題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
47,呼吸道之阻力（airway resistance）受下列那一種因素的影響最大？,氣流的速度,呼吸道的內徑,呼吸道的長短,呼吸道的順應性（compliance）,B,呼吸道的內徑,無
48,肺的回彈壓力（recoil pressure）其主要成因是：,肺的含水量及彈性蛋白,彈性蛋白及肺的脂肪量,表面張力及肺的含水量,肺組織及表面張力,D,肺組織及表面張力,無
49,負責事件性記憶（episodic memory）形成的limbic system核區，最主要為：,海馬迴（hippocampus）,杏仁核（amygdala）,中隔區（septum）,下視丘（hypothalamus）,A,海馬迴（hippocampus）,無
50,憂鬱症（depression）的病人，其症狀主要為下列那一腦區的活性過低？,邊緣系統和前額葉（limbic system and prefrontal cortex）,腦幹（brain stem）,小腦（cerebellum）,基底核（basal ganglia）,A,邊緣系統和前額葉（limbic system and prefrontal cortex）,無
51,有關桿細胞（rod cells）的敘述，下列何者正確？,對弱光敏感,負責白天視覺,有三種，分別對紅、藍、綠光敏感,主要分布在中央小凹（fovea centralis）,A,對弱光敏感,無
52,有關強光引起瞳孔反射的敘述，下列何者正確？,刺激交感神經（sympathetic nerve）系統，讓瞳孔縮小,刺激交感神經（sympathetic nerve）系統，讓瞳孔放大,刺激副交感神經（parasympathetic nerve）系統，讓瞳孔縮小,刺激副交感神經（parasympathetic nerve）系統，讓瞳孔放大,C,刺激副交感神經（parasympathetic nerve）系統，讓瞳孔縮小,無
53,下列那一段腎小管對尿素的滲透性最大？,亨利氏管（loop of Henle）之細升管,亨利氏管（loop of Henle）之粗升管,髓質內部之集尿管（medullary collecting duct）,皮質部之集尿管（cortical collecting duct）,C,髓質內部之集尿管（medullary collecting duct）,無
54,心房體積撐大時，會使下列那一種激素增加？,醛固酮（aldosterone）,腎素（renin）,"心房利鈉素（atrial natriuretic peptide, ANP）",第二型血管張力素（angiotensin II）,C,"心房利鈉素（atrial natriuretic peptide, ANP）",無
55,嬰兒吸乳時，母體內會經由神經刺激腦下腺後葉（posterior pituitary）分泌：,催產素（oxytocin）,泌乳素（prolactin）,"濾泡刺激素（follicle-stimulating hormone, FSH）","黃體刺激素（luteinizing hormone, LH）",A,催產素（oxytocin）,無
56,下列那一種活性之變化可減少結腸收縮？,副交感神經（parasympathetic nerve）活性增加,交感神經（sympathetic nerve）活性增加,交感神經（sympathetic nerve）活性減少,多醣類在結腸中發酵,B,交感神經（sympathetic nerve）活性增加,無
57,下列何者不是細胞受刺激後，細胞質鈣離子濃度上升的可能方式？,細胞表面鈣離子通道開啟,內質網（endoplasmic reticulum）表面鈣離子通道開啟,內質網（endoplasmic reticulum）鈣離子幫浦抑制,細胞表面鈣離子幫浦活化,D,細胞表面鈣離子幫浦活化,無
58,下列何種細胞內啟動訊息傳遞路徑的酵素，不是由G protein直接啟動？,腺嘌呤基環化酶（adenylyl cyclase）,鳥糞嘌呤基環化酶（guanylyl cyclase）,磷脂酶C（phospholipase C）,蛋白質激酶C（protein kinase C）,D,蛋白質激酶C（protein kinase C）,無
59,下列訊息傳遞路徑的產物中，何者為造成發炎反應的物質？,甘油二酯（diacylglycerol）,前列腺素（prostaglandins）,二氧化碳（carbon dioxide）,一氧化氮（nitric oxide）,B,前列腺素（prostaglandins）,無
60,當荷爾蒙作用於細胞的濃度過高時，其受器在該細胞的表現量反而會降低，有關於此現象的敘述，下列何者錯誤？,此現象稱為受器活化（activation）,屬於負回饋的恆定機制,可能因為受器被分解速率加快所致,會使細胞對此荷爾蒙之反應增強,D,會使細胞對此荷爾蒙之反應增強,無
61,小動脈收縮時，會導致位於其上游的動脈血壓：,增加,減少,不變,不一定,A,增加,無
62,小動脈舒張時，有關其下游微血管的敘述，下列何者正確？,血壓與血流量均減少,血壓與血流量均增加,血壓增加，而血流量減少,血壓減少，而血流量增加,B,血壓與血流量均增加,無
63,心電圖（ECG）中的T波是由下列何者產生？,心房去極化,心房再極化,心室去極化,心室再極化,D,心室再極化,無
64,感壓受器（baroreceptors）位於下列何處？,延腦（medulla oblongata）,下視丘（hypothalamus）,頸動脈體（carotid bodies）與主動脈體（aortic bodies）,頸動脈竇（carotid sinus）與主動脈弓（aortic arch）,D,頸動脈竇（carotid sinus）與主動脈弓（aortic arch）,無
65,氧解離曲線（oxygen dissociation curve）向右偏移的原因有：,pH值降低,二氧化碳分壓下降,溫度下降,"2,3-雙磷甘油（2,3-biphosphoglycerate）量降低",A,pH值降低,無
66,記錄單一吐氣的氮氣濃度曲線（single-breath N₂ curve）並分析該氣體的濃度，可用來測量：,生理性死腔（physiologic dead space）,解剖性死腔（anatomic dead space）,潮氣容積（tidal volume）,功能肺餘量（functional residual capacity）,B,解剖性死腔（anatomic dead space）,無
67,破傷風毒素（tetanus toxin）作用於突觸，導致肌肉痙攣的機轉為何？,抑制乙醯膽鹼脂酶（acetylcholinesterase）,抑制synaptotagmin蛋白,抑制SNARE蛋白,抑制自體受器（autoreceptor）,C,抑制SNARE蛋白,無
68,吳姓商人酒駕車禍頭部受傷之後，雖然神智清醒，卻出現答非所問，無法理解與別人談話內容的現象。則其損傷區域最可能為：,枕葉角迴（angular gyrus area）,顳葉Wernicke氏區,額葉Broca氏區,邊緣葉聯合區（limbic system）,B,顳葉Wernicke氏區,無
69,馬拉松長跑者所產生的長跑者高潮（runner's high）現象，與下列何種神經胜肽分泌增加有關？,多巴胺（dopamine）,鴉片類（opioids）,物質P（substance P）,神經胜肽Y（neuropeptide Y）,B,鴉片類（opioids）,無
70,一般神經元之靜止膜電位，較接近下列何種離子的平衡電位？,鈣離子,氯離子,鉀離子,鈉離子,C,鉀離子,無
71,有關柯蒂氏器（organ of Corti）的敘述，下列何者錯誤？,立體纖毛（stereocilia）外含有高鈉液體,柯蒂氏器位於基底膜,基底膜因波動而造成位移時，會移動毛細胞,此受器上的毛細胞為一種機械性受器,A,立體纖毛（stereocilia）外含有高鈉液體,無
72,關於耳咽管之敘述，下列何者錯誤？,一般情況下是關閉的,位於內耳,連通鼻咽部,打哈欠時，可打開耳咽管,B,位於內耳,無
73,關於耳蝸基底膜的敘述，下列何者正確？,基底膜位於鼓階（scala tympani）與前庭階（scala vestibuli）之間,高頻率振動是由靠近耳蝸底部的基底膜所接收,基底膜纖維的直徑，由耳蝸底部至尖端逐漸增加,基底膜纖維的長度，由耳蝸底部至尖端逐漸減少,B,高頻率振動是由靠近耳蝸底部的基底膜所接收,無
74,若食物中含有麩胺酸（glutamate），可刺激下列何種味覺產生？,苦味（bitter）,酸味（sour）,鮮味（umami）,鹹味（salty）,C,鮮味（umami）,無
75,腎小管對下列何種物質再吸收的比例會低於90%？,水（H₂ O）,鈉離子（Na + ）,碳酸氫根離子（HCO₃⁻）,尿素（urea）,D,尿素（urea）,無
76,下列何種物質的血漿濃度增加時，可明顯增加醛固酮（aldosterone）的釋放？,促腎上腺皮質激素（adrenocorticotropic hormone）,血管張力素原（angiotensinogen）,鉀離子,鈉離子,C,鉀離子,無
77,有關空腹狀態（postabsorptive state）血糖調控的敘述，下列何者正確？,此時身體主要產生葡萄糖的組織是肝臟,會經由糖質新生（gluconeogenesis）作用而產生葡萄糖的臟器，是肝臟和骨骼肌,骨骼肌會經由肝醣分解作用（glycogenolysis）產生葡萄糖,此時腎臟產生的葡萄糖，亦在血糖恆定的維持上扮演重要的角色,A,此時身體主要產生葡萄糖的組織是肝臟,無
78,有關腦下垂體前葉（anterior pituitary）分泌荷爾蒙特性，下列敘述何者正確？,此類荷爾蒙受器均在標的細胞膜上,在血中多與其攜帶蛋白相結合,其合成過程，不需經過DNA和RNA的轉錄與轉譯作用,在血中代謝速率均較甲狀腺素（thyroid hormone）為慢,A,此類荷爾蒙受器均在標的細胞膜上,無
79,下列何者最不可能是胰島素缺乏所造成的變化？,蛋白質代謝升高,造成滲透利尿（osmotic diuresis）的現象,造成呼吸性酸中毒（respiratory acidosis）,造成血糖濃度的升高,C,造成呼吸性酸中毒（respiratory acidosis）,無
80,若以相同重量組織而言，下列何者的分泌量最大？,唾腺,胃,胰臟,肝臟,A,唾腺,無
