題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
30,下列有關孩童慣用手的敘述，何者錯誤？,判斷孩童慣用手時，觀察其使用剪刀的活動較觀察其拿杯子喝水的活動適當,右手為慣用手的亞洲孩童較左手為慣用手的亞洲孩童多,若嬰兒在7個月前一直固定使用某一側的手，應予注意,若孩童3歲仍未發展出固定的慣用手時，亟需尋求專業協助,D,若孩童3歲仍未發展出固定的慣用手時，亟需尋求專業協助,D,,無
31,職能治療師提供孩童翻書、分卡片、串珠三項活動，此三項活動皆可以訓練到下列那一種手中操作技巧（in-hand manipulation）？,手掌到手指傳送（palm-to-finger translation）,手指到手掌傳送（finger-to-palm translation）,移動（shift）,旋轉（rotation）,C,移動（shift）,C,,無
32,孩童發展手中操作技巧（in-hand manipulation）時，必須具備成熟的前臂與手腕姿勢，以達良好穩定度，下列何者為最佳之前臂與手腕姿勢？,前臂旋後（supination）與手腕稍微伸直（extension）,前臂旋後（supination）與手腕稍微屈曲（flexion）,前臂旋前（pronation）與手腕稍微伸直（extension）,前臂旋前（pronation）與手腕稍微屈曲（flexion）,A,前臂旋後（supination）與手腕稍微伸直（extension）,A,,無
33,有關感覺統合功能評估的敘述，何者正確？,"感覺統合與運用測驗（Sensory Integration and Praxis Tests, SIPT）包含了所有感覺統合功能表現資訊，足以解釋障礙孩童的日常生活表現",與孩童的發展、智能、病史有關，需要透過與照顧者會談補充這類資料,需要評估的項目太多，挑選鑑別力高的項目施測,感覺調節能力的資訊透過觀察臨床活動獲得即可,B,與孩童的發展、智能、病史有關，需要透過與照顧者會談補充這類資料,B,,無
34,職能治療師進行評估時發現一個2歲孩童的保護性反應較差，如要誘發其保護性反應，讓孩童採取那一種姿勢可達到最好的效果？,躺在地墊上,坐在職能治療師的腿上,坐在傾斜板或圓形滾筒上,趴在地墊上,C,坐在傾斜板或圓形滾筒上,C,,無
35,孩童因感覺統合問題造成姿勢控制有困難時，最不會出現下列何種情況？,伸直肌肉出現高張力,姿勢穩定度差,平衡反應差,無法維持趴姿伸直狀態,A,伸直肌肉出現高張力,A,,無
36,根據任務特性，下列活動那一種最為封閉？,刷牙,盪鞦韆,足球,剪紙,A,刷牙,A,,無
37,學習障礙孩童有明顯的視覺記憶困難，職能治療師可以使用下列何種方式來增進視覺長期記憶？,制定時間壓力管理策略,執行視覺記憶任務之前減少視覺注意力,將任務與額外的感覺輸入（觸覺、本體覺和聽覺）相結合,重複視覺記憶任務一次,C,將任務與額外的感覺輸入（觸覺、本體覺和聽覺）相結合,C,,無
38,學校老師諮詢職能治療師有關解決孩童圖形背景辨識困難的代償策略，下列何者是最推薦的方法？,每一頁的左邊都畫上紅線,閱讀作業活動時使用計時器,教導孩童有組織的從上到下、從左到右視覺搜尋方式,減少一個頁面上單字出現的數量，沒有進行的部分遮蔽,D,減少一個頁面上單字出現的數量，沒有進行的部分遮蔽,D,,無
39,職能治療師利用獲得與動作學習技巧來訓練孩童寫字，治療重點強調透過大量練習，建立孩童本體覺與運動覺的回饋，減少對於視覺線索的依賴。此為動作學習三階段論中的那個階段？,準備階段（preparation）,認知階段（cognitive）,聯結階段（associative）,自動階段（autonomous）,C,聯結階段（associative）,C,,無
40,下列評估工具，何者最不適合評估低年級學童書寫相關能力？,"明尼蘇達書寫評量（Minnesota Handwriting Assessment, MHA）","拜瑞布坦尼卡視覺動作整合發展測驗第六版（Beery-Buktenica Developmental Test of Visual Motor Integration-6, VMI-6）","皮巴迪動作發展量表第二版（Peabody Developmental Motor Scales, 2nd Edition, PDMS-2）","視知覺發展測驗第三版（Developmental Test of Visual Peception-3, DTVP-3）",C,"皮巴迪動作發展量表第二版（Peabody Developmental Motor Scales, 2nd Edition, PDMS-2）",C,,無
41,下列有關Pediatric Evaluation of Disability Inventory-Computer Adaptive Test的敘述，何者最適當？,評量孩童的自我照顧、移動以及社交／認知能力,為紙本的日常生活評估工具,可由家長填答或兒童自行作答,適用年齡為0～18歲,A,評量孩童的自我照顧、移動以及社交／認知能力,A,,無
42,有關進食的發展里程碑，何者最適當？,9～13個月：需要幫忙餵食，還不會使用手指進食（finger feed）,18～24個月：開始想要自己吃飯，能從湯匙抿入食物,2～3歲：喜歡用手抓著吃東西，還不會使用湯匙,3～5歲：可以開始使用筷子吃飯,B,18～24個月：開始想要自己吃飯，能從湯匙抿入食物,B,,無
43,關於評估兒童社會參與與社交技巧的敘述，下列何者錯誤？,職能治療師可選擇包含社交面向的一般性評估工具，或是專門評估社會功能的評估工具來了解兒童社會參與表現,職能治療師不會透過訪談兒童來了解其社會參與,社交技巧的評估可包含觀察兒童與他人互動時的眼神接觸,社交技巧的評估亦包含對幽默感的表現與反應,B,職能治療師不會透過訪談兒童來了解其社會參與,B,,無
44,兒童職能治療師針對個案採用Matching Person and Technology模式進行輔助科技評估時，下列何項較不是治療師的考量因子？,個案個性,使用情境,裝置特性,材料產地,D,材料產地,D,,無
45,下列有關促進兒童進行想像性遊戲（imaginative play）的策略，何者錯誤？,一開始就不要使用玩具或道具，讓兒童能有更豐富的想像空間,在遊戲中讓兒童共享遊戲主控權,當兒童具有語言及假裝的技巧時，治療師可向兒童提出有趣的問題，讓兒童增加創意及想像性,進行假扮性遊戲時，可以先選擇兒童喜歡且熟悉的故事或角色,A,一開始就不要使用玩具或道具，讓兒童能有更豐富的想像空間,A,,無
46,小明今年5歲，下列建議的睡眠時間，何者較適當？,17小時,15小時,10小時,8小時,C,10小時,C,,無
47,有關自我決定（self-determination）與工具性日常生活活動（IADL）之敘述，何者錯誤？,身心障礙的孩童或青少年常缺乏機會參與自我決定之工具性日常生活活動,透過購物、到遊樂場等活動可協助孩童確認興趣、做出選擇以促進自我決定發展,自我決定主要受到教育的環境、障礙的嚴重程度、是否出現問題行為影響,自我決定通常與孩童的IADL獨立性呈現負相關,D,自我決定通常與孩童的IADL獨立性呈現負相關,D,,無
48,下列有關身心障礙孩童於日常生活活動之適應原則配對，何者錯誤？,低視力孩童：增強物品的感覺特徵（如顏色、大小、觸覺）,肌力弱孩童：使用較輕的日常生活用品,挫折忍受度低孩童：在孩童參與日常生活活動時，提供孩童選擇的機會,姿勢控制不佳孩童：減少支撐如移除扶手或座椅靠背，誘發孩童的主動姿勢控制,D,姿勢控制不佳孩童：減少支撐如移除扶手或座椅靠背，誘發孩童的主動姿勢控制,D,,無
49,關於社會參與的定義與描述，下列何者錯誤？,社會參與包含了與家人、同儕、朋友一起從事活動，發展人際互動關係,社會參與是兒童健康與安適的發展中一項重要的職能,職能治療介入很重要的部分是協助促進兒童在自然情境中的社會參與,與朋友在虛擬聊天室或透過網路傳訊息不屬於社會參與,D,與朋友在虛擬聊天室或透過網路傳訊息不屬於社會參與,D,,無
50,根據皮亞傑（Piaget）的理論，下列有關兒童遊戲發展的敘述，何者正確？,感覺動作期（sensorimotor stage）的兒童經常進行象徵性遊戲（symbolic play）,前運思期（pre-operational stage）的兒童會和同儕玩辦家家酒,5歲兒童處於具體運思期（concrete operational stage），會玩規則性遊戲（game with rules）,形式運思期（formal operations stage）的兒童才會開始從事功能性遊戲（functional play）,B,前運思期（pre-operational stage）的兒童會和同儕玩辦家家酒,B,,無
51,兒童能自己調整遊戲難度，讓遊戲變得更有挑戰性且更有趣，此為Bundy所提到那一個面向的玩興（playfulness）？,內在動機（intrinsic motivation）,內在控制（internal control）,懸置現實（freedom to suspend reality）,對別人發出暗示或解讀別人的暗示（framing）,B,內在控制（internal control）,B,,無
52,下列有關評估兒童遊戲表現的敘述，何者錯誤？,職能治療師必須多次觀察兒童在不同情境、和不同玩伴的遊戲表現,在標準化玩具及標準化環境下觀察兒童的遊戲表現較為準確,分析兒童的遊戲表現，亦可評估兒童的生理、認知及社交互動能力,職能治療師評估兒童的遊戲表現，主要聚焦於兒童的能力而非障礙,B,在標準化玩具及標準化環境下觀察兒童的遊戲表現較為準確,B,,無
53,小宇有社交互動的困難，無法與他人建立和維持正常的社交互動，在班上沒有朋友。在與別人互動的過程中，時常出現不斷拍手的行為。不但難以理解和回應他人的情感表達，亦難以理解非語言的社交信號。根據上面的描述，小宇最符合下列那種診斷的社交問題？,自閉症,智能發展障礙,注意力不足過動症,學習障礙,A,自閉症,A,,無
54,下列何種姿勢最適合用來幫頭部及軀幹控制不佳且下肢伸直張力過強的兩歲痙攣型腦性麻痺孩童穿脫褲子？,仰臥，使下肢彎曲並外展,坐姿，背靠著媽媽的身體，使下肢彎曲並外展,側臥在媽媽的大腿上，使下肢彎曲並外展,俯臥在媽媽的大腿上，使下肢彎曲並外展,D,俯臥在媽媽的大腿上，使下肢彎曲並外展,D,,無
55,有關日常生活活動介入之策略，下列敘述何者最不適當？,對低挫折忍受度或低自尊的孩童，建議使用前向連鎖（forward chaining）方式教導日常生活活動,對精細動作控制不佳的孩童，建議可加大鈕扣與衣服的拉鍊，完成穿衣活動,針對張力較高的孩童，建議穿衣前可先讓孩童放鬆，降低肌肉張力,針對有觸覺防禦的孩童，建議讓孩童自己選擇想穿的衣服,A,對低挫折忍受度或低自尊的孩童，建議使用前向連鎖（forward chaining）方式教導日常生活活動,A,,無
56,"下列敘述何者不是以家庭或個案為中心模式思考或介入孩童／青少年的工具性日常生活活動（instrumental activities of daily living, IADL）為主要的概念？",增強孩童／青少年對IADL的自我控制感以及獨立性,協助整個家庭與支持性團體做連結,透過職能治療師的專業知識，指示孩童／青少年應如何執行以符合社會的期待,提供孩童選擇及給予機會參與工具性日常生活活動,C,透過職能治療師的專業知識，指示孩童／青少年應如何執行以符合社會的期待,C,,無
57,有關促進青少年社會參與的介入方法，下列何者最不適當？,以技巧為焦點的介入,以環境為焦點的介入,以同儕支持為焦點的介入,以家庭為焦點的介入,ABCD,以技巧為焦點的介入；以環境為焦點的介入；以同儕支持為焦點的介入；以家庭為焦點的介入,D,第17題一律給分，第57題一律給分，第66題一律給分,無
58,"目標達成量表（Goal Attainment Scaling, GAS）可用來評估身心障礙孩童的社交技巧和社會參與。關於此量表的敘述，下列何者正確？",設定治療目標時強調個人化，主要由職能治療師依重要性和個案當時能力狀況來設定目標比重,此量表檢測個案參與治療後的改變度，可能較常模參照（norm-referenced）測驗更為敏感,量表的級距設定在－2和＋2之間，0代表個案目前的能力狀況，＋2代表治療後達到長期目標,量表主要提供治療結果的相關資訊，除適合檢測個案本身的進步量外，也可跟一般孩童比較,B,此量表檢測個案參與治療後的改變度，可能較常模參照（norm-referenced）測驗更為敏感,B,,無
59,依據Reilly在孩童遊戲中，描述孩童有效率及能力表現，是指下列那一個階段？,探索階段,勝任階段,競爭階段,成就階段,B,勝任階段,B,,無
60,有關孩童日常活動表現的敘述，下列何者錯誤？,孩童的日常活動表現可能與家庭成員的特質有關，照顧者若身體虛弱，則孩童表現可能較獨立,孩童的日常活動表現是否獨立，可能會影響孩童能否與同儕相處以及未來能否工作,孩童的動機、自信會影響到孩童的日常活動表現超過或低於預期表現,不同國家孩童從事的日常活動都一樣，如吃飯、穿衣、洗澡等，所以日常活動表現與文化無關,D,不同國家孩童從事的日常活動都一樣，如吃飯、穿衣、洗澡等，所以日常活動表現與文化無關,D,,無
61,依據多層的公共健康模式（Multitiered Public Health Model）於學校心理健康之應用，下列敘述何者最適當？,強調個體導向，治療個體缺陷之模式,大部分可分成四層，從通用（universal）介入朝向個體（individual）介入,第二層為針對有心理健康、行為問題風險的族群，但尚未符合特殊教育需求,職能治療師的介入重點為已經有心理健康或行為問題的族群,C,第二層為針對有心理健康、行為問題風險的族群，但尚未符合特殊教育需求,C,,無
62,有關早期療育的服務，下列敘述何者最不適當？,職能治療師為成員之一,提供教練（coaching）服務,提供諮詢（consultation）服務,治療室為最佳的服務地點,D,治療室為最佳的服務地點,D,,無
63,關於兒童復健服務層級中急性復健服務，下列敘述何者錯誤？,先天性肢體缺失病人進行肢體重建手術，需接受急性復健服務,被沸水燙傷的兒童，需接受急性復健服務,腦性麻痺兒童接受神經外科手術，需接受急性復健服務,情緒障礙兒童有攻擊行為，治療師至家中進行密集訓練，提供急性復健服務,D,情緒障礙兒童有攻擊行為，治療師至家中進行密集訓練，提供急性復健服務,D,,無
64,一位四歲兒童因顱骨骨折與腦傷正住在醫院接受治療，下列介入策略何者錯誤？,在病房運用月曆和日記本協助定向感的建立，減少因住院造成原本生活作息之影響,在治療師協助下，以安全帽保護頭部，使用枴杖，走去吃早餐，訓練安全的移行能力,治療師製作文字卡，寫下洗澡的步驟，請個案閱讀並記憶後，練習獨立洗澡,治療師在實際的用餐時間，運用適當的輔具，陪同個案練習單手吃飯，並在用餐後練習刷牙,C,治療師製作文字卡，寫下洗澡的步驟，請個案閱讀並記憶後，練習獨立洗澡,C,,無
65,治療師與新生兒加護病房的嬰兒家庭建立良好夥伴關係，下列做法何者錯誤？,對於家長的提問，需誠實一致的回答,安排大量機會協助家長演練照顧技巧，提升家長的信心,提供專業的英文學術論文與醫學報告給家長參考和閱讀,歡迎家長與醫療人員一起討論從入院到出院的照顧計畫,C,提供專業的英文學術論文與醫學報告給家長參考和閱讀,C,,無
66,下列那一種新生兒加護病房的介入，可能會讓早產兒有失溫之危險？,親餵,袋鼠照護,嬰兒按摩,寧握照護,ABCD,親餵；袋鼠照護；嬰兒按摩；寧握照護,C,第17題一律給分，第57題一律給分，第66題一律給分,無
67,在跨專業整合模式（transdisciplinary model）服務下，美國從事早期療育之職能治療師除扮演主要服務介入提供者（primary interventionist）外，更較常以何種形式提供職能治療服務？,諮商,團體治療,一對一個別治療,家庭訪問,A,諮商,A,,無
68,兒童醫院的職能治療師，可以使用下列那一項評估工具來評估一位兩歲病童的生活功能？,"功能獨立性量表（Functional Independence Measure, FIM）","兒童生活功能量表（Pediatric Evaluation of Disability Inventory, PEDI）","表現品質評分量表（The Performance Quality Rating Scale, PQRS）","加拿大職能表現量表（The Canadian Occupational Performance Measure, COPM）",B,"兒童生活功能量表（Pediatric Evaluation of Disability Inventory, PEDI）",B,,無
69,"費歐娜（Fiona Graham）發展出的「職能表現教練」（Occupational Performance Coaching, OPC），為提供職能治療師協助父母親促進其孩童職能表現的一種治療方式。下列何者非「職能表現教練」所涵蓋的三大要素？",情緒的支持,技術的教導,資訊的交換,結構化的程序,B,技術的教導,B,,無
70,"兒童評估工具依其屬性，可區分成發展性（developmental）、功能性（functional）與健康相關的生活品質（health-related quality of life, HRQL）評估等三大類別。有關評估工具與屬性之配對，下列敘述何者最不適當？","布－歐氏動作精練度測驗第二版（Bruininks-Oseretsky Test of Motor Proficiency, 2nd Edition, BOT-2）屬於功能性評估","兒童功能獨立性量表（Functional Independence Measure for Children, WeeFIM System）屬於功能性評估","兒童職能自我評估（Child Occupational Self-Assessment, COSA）屬於健康相關的生活品質評估","拜瑞布坦尼卡視覺動作整合發展測驗（Berry-Buktenica Developmental Test of Visual-Motor Integration, VMI）屬於發展性評估",A,"布－歐氏動作精練度測驗第二版（Bruininks-Oseretsky Test of Motor Proficiency, 2nd Edition, BOT-2）屬於功能性評估",A,,無
71,"在美國有特殊教育需求的學生接受評估後，一旦符合資格，應於多少時間內完成訂定其「個別化教育計畫（individualized education plan, IEP）」？",7天,14天,30天,60天,C,30天,C,,無
72,依據2011年Newman等人的研究，青年身心障礙學生接受轉銜服務後的就業資料顯示，受僱比例最高的障礙類別為何？,聽覺障礙,智能障礙,學習障礙,創傷性腦傷,C,學習障礙,C,,無
73,職能治療對於燒傷孩童介入的準備方法（preparatory methods），下列敘述何者正確？,急性期時的疤痕按摩（scar massage）在傷口癒合後馬上開始，合併使用乳液也有助疤痕成熟,急性期穿著的壓力衣壓力應比微血管壓稍高（30～35 mmHg），每天穿23小時直到疤痕成熟,住院期的牽張（stretches）活動持續到個案做出完整主動關節活動幅度，一般大約需半年時程,門診期進行監督式有氧（aerobic）和漸進式阻力（progressive resistance）訓練計畫，有助於復健,D,門診期進行監督式有氧（aerobic）和漸進式阻力（progressive resistance）訓練計畫，有助於復健,D,,無
74,"職能治療師運用認知導向日常職能表現（Cognitive Orientation to daily Occupational Performance, CO-OP）介入來幫助自閉症兒童建立職能表現行為技能，下列敘述何者錯誤？",CO-OP是以認知理論及動機理論為基礎,需要兒童本身具備足夠的內在動機及觀察學習的能力,證據顯示用於各種程度的自閉症兒童均效果卓越,終極目標是自閉症兒童可以類化學到的新技能到日常生活當中,C,證據顯示用於各種程度的自閉症兒童均效果卓越,C,,無
75,下列描述腦性麻痺的感覺動作問題，何者正確？,肌肉張力隨著肢體動作發生速度改變而改變，為痙攣型腦性麻痺,不正常原始反射出現比率極高，但會隨著年齡增長逐漸整合消退,常伴隨感覺處理功能障礙，特別是前庭覺、本體覺及觸覺,"運動失調（dyskinetic）腦性麻痺包含athetoid, choreoathetoid, and dystonic三大類，影響主動性動作控制",A,肌肉張力隨著肢體動作發生速度改變而改變，為痙攣型腦性麻痺,A,,無
76,自主神經異常反射（autonomic dysreflexia）最容易出現在那一種個案身上？,脊髓損傷,肌肉萎縮症,燒傷,自閉症,A,脊髓損傷,A,,無
77,"脊髓損傷的兒童在最低薦髓段（S4-S5）不具感覺與運動機能，根據美國脊髓損傷協會障礙機能損傷分級法（American Spinal Injury Association Impairment Scale, ASIA Impairment Scale），其屬於那一級？",AIS A,AIS B,AIS C,AIS D,A,AIS A,A,,無
