題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
11,關於體神經系統與自主神經系統的比較，下列敘述何者正確？,體神經系統對骨骼肌有興奮作用，為多神經元路徑,自主神經系統對平滑肌或心肌有興奮與抑制作用，為單神經元路徑,體神經系統的運動神經元細胞本體位於灰質的背角（dorsal horn）,交感神經系統的節前交感神經元的細胞本體位於脊髓灰質外側角（lateral horn）,D,交感神經系統的節前交感神經元的細胞本體位於脊髓灰質外側角（lateral horn）,D,,無
12,下列何者是交感神經興奮所產生的反應？,射精,水晶體凸起,唾液分泌,膽囊收縮,A,射精,A,,無
13,味覺屬於那種神經類型？,體感覺（somatic sensory）,臟器感覺（visceral sensory）,體運動（somatic motor）,臟器運動（visceral motor）,B,臟器感覺（visceral sensory）,B,,無
14,關於神經組織的敘述，下列何者錯誤？,較粗的軸突（axon）傳遞脈衝（impulse）速度較快,軸突（axon）內沒有粗糙內質網（rough endoplasmic reticulum）和高基氏體（Golgi apparatus）,突觸（synapse）皆位於軸突（axon）與樹突（dendrite）之間,突觸（synapse）間主要靠突觸小泡（synaptic vesicle）分泌神經傳導物質（neurotransmitter）傳遞訊息,C,突觸（synapse）皆位於軸突（axon）與樹突（dendrite）之間,C,,無
15,楔狀束（fasciculus cuneatus）屬於下列那一個訊息傳遞路徑？,脊髓小腦徑（spinocerebellar pathway）,背柱內側蹄系徑（dorsal column-medial lemniscus pathway）,脊髓視丘徑（spinothalamic pathway）,頂蓋脊髓束（tectospinal tract）,B,背柱內側蹄系徑（dorsal column-medial lemniscus pathway）,B,,無
16,下列何者受傷最可能導致股薄肌（gracilis）癱瘓？,脛神經（tibial nerve）,股神經（femoral nerve）,臀上神經（superior gluteal nerve）,閉孔神經（obturator nerve）,D,閉孔神經（obturator nerve）,D,,無
17,當位於手掌區域的尺神經（ulnar nerve）受傷時，仍可以進行下列何者動作？,屈曲小指的掌指關節,屈曲小指的遠端關節,拇指的內收（adduction）,小指的對掌（opposition）,B,屈曲小指的遠端關節,B,,無
18,足底皮膚的感覺主要由下列何者負責傳遞？,股神經（femoral nerve）,腓深神經（deep fibular nerve）,腓淺神經（superficial fibular nerve）,脛神經（tibial nerve）,D,脛神經（tibial nerve）,D,,無
19,下列何者不屬於腦幹（brain stem）？,延髓（medulla oblongata）,橋腦（pons）,中腦（midbrain）,間腦（diencephalon）,D,間腦（diencephalon）,D,,無
20,下列那個大腦區域掌管視覺？,顳葉（temporal lobe）,枕葉（occipital lobe）,頂葉（parietal lobe）,額葉（frontal lobe）,B,枕葉（occipital lobe）,B,,無
21,下列何者為腦脊髓液正確的循環方向？①側腦室（lateral ventricle） ②第三腦室（third ventricle） ③大腦導水管（cerebral aqueduct） ④第四腦室（fourth ventricle） ⑤ 正中孔（median aperture）與側孔（lateral aperture） ⑥蜘蛛網膜下腔（subarachnoid space）,①②③④⑤⑥,①③②④⑤⑥,①②③⑤④⑥,①②④③⑤⑥,A,①②③④⑤⑥,A,,無
22,關於第11對腦神經的敘述，下列何者正確？,與吞嚥和言語功能有關,支配斜方肌和胸鎖乳突肌,與舌頭運動有關,與嗅覺有關,B,支配斜方肌和胸鎖乳突肌,B,,無
23,下列何種感覺細胞具有不活動性之纖毛（immotile cilia）？,觸覺,視覺,味覺,嗅覺,D,嗅覺,D,,無
24,下列何者與內耳之卵圓窗（oval window）接觸？,錘骨（malleus）,鐙骨（stapes）,耳咽管（pharyngotympanic tube）,砧骨（incus）,B,鐙骨（stapes）,B,,無
25,生物辨識技術中，眼球的何種結構最有可能作為辨識依據？,角膜（cornea）,晶狀體（lens）,虹膜（iris）,瞳孔（pupil）,C,虹膜（iris）,C,,無
26,提上眼瞼肌（levator palpebrae superioris muscle）由下列何者控制？,視神經（optic nerve）,動眼神經（oculomotor nerve）,滑車神經（trochlear nerve）,外旋神經（abducent nerve）,B,動眼神經（oculomotor nerve）,B,,無
27,心包腔（pericardial carvity）位於下列何處？,心臟與漿液臟層心包膜（visceral layer of serous pericardium）之間,漿液臟層心包膜（visceral layer of serous pericardium）與漿液壁層心包膜（parietal layer of serous pericardium）之間,纖維心包膜（fibrous pericardium）與漿液壁層心包膜（parietal layer of serous pericardium）之間,二層纖維心包膜（fibrous pericardium）之間,B,漿液臟層心包膜（visceral layer of serous pericardium）與漿液壁層心包膜（parietal layer of serous pericardium）之間,B,,無
28,有關腱索（chordae tendineae）的敘述，下列何者錯誤？,腱索位於心室內,腱索由乳頭肌（papillary muscle）之尖端突出，連接於二尖瓣（bicuspid valve）和三尖瓣（tricuspid valve）上,腱索與瓣膜可以幫助心室收縮,心室收縮時腱索幫助防止血液逆回流心房,C,腱索與瓣膜可以幫助心室收縮,C,,無
29,交感神經纖維（sympathetic nerve fiber）控制心跳速率，主要是直接作用於下列何者？,竇房結（SA node）,房室結（AV node）,希氏束（bundle of His）,普金杰纖維（Purkinje fiber）,A,竇房結（SA node）,A,,無
30,過敏性發炎或寄生蟲感染時，所增加的白血球細胞種類為何？,嗜中性白血球（neutrophil）,嗜酸性白血球（eosinophil）,B淋巴球（lymphocyte）,單核球（monocyte）,B,嗜酸性白血球（eosinophil）,B,,無
31,後肋間靜脈（posterior intercostal vein）的血液最主要經由下列何者匯流至上腔靜脈？,奇靜脈（azygos vein）,胸內靜脈（internal thoracic vein）,鎖骨下靜脈（subclavian vein）,椎靜脈（vertebral vein）,A,奇靜脈（azygos vein）,A,,無
32,旋股內側動脈（medial circumflex femoral artery）穿過下列何者至大腿後側？,髂腰肌（iliopsoas）和恥骨肌（pectineus）,內收長肌（adductor longus）和內收大肌（adductor magnus）,內收短肌（adductor brevis）和內收長肌（adductor longus）,恥骨肌（pectineus）和內收短肌（adductor brevis）,A,髂腰肌（iliopsoas）和恥骨肌（pectineus）,A,,無
33,腎素（renin）製造於下列何處？,腎絲球（glomerulus）,腎髓質（renal medulla）,顆粒細胞（granular cells）,腎絲球囊（glomerular capsule）,C,顆粒細胞（granular cells）,C,,無
34,下列何者為睾丸中分泌睾固酮（testosterone）的細胞？,精原細胞（spermatogonium）,初級精母細胞（primary spermatocyte）,精子（spermatozoon）,間質細胞（interstitial cell）,D,間質細胞（interstitial cell）,D,,無
35,有關咽（pharynx）的敘述，下列何者錯誤？,口咽（oropharynx）黏膜的上皮是複層扁平上皮（stratified squamous epithelium）,舌骨上肌群（suprahyoid muscles）幫助咽部上提及前移，藉此使會厭軟骨（epiglottis）得以覆蓋喉部,咽縮肌（pharyngeal constrictors）是咽的內層肌群，可緊縮咽壁幫助吞嚥,咽具有非常豐富的淋巴組織，可聚集形成扁桃體（tonsils）,C,咽縮肌（pharyngeal constrictors）是咽的內層肌群，可緊縮咽壁幫助吞嚥,C,,無
36,關於大網膜（greater omentum）的構造，下列敘述何者正確？,是雙層腹膜（double-layered peritoneum）的構造,在一定的高度往上反折後，再與胃大彎連接,大網膜下方在出生後會融合，因此成人的下隱窩（inferior recess）較剛出生時小,屬腹側繫膜（ventral mesentery）,C,大網膜下方在出生後會融合，因此成人的下隱窩（inferior recess）較剛出生時小,C,,無
37,下列何者為包圍腎錐體乳頭（papilla of pyramid）的杯形管？,腎大盞（major calyx）,腎盂（renal pelvis）,腎竇（renal sinus）,腎小盞（minor calyx）,D,腎小盞（minor calyx）,D,,無
38,在排尿反射中，下列何者可引起逼尿肌（detrusor）收縮？,大腦的括約肌神經元,交感神經纖維,副交感神經纖維,迷走神經,C,副交感神經纖維,C,,無
39,精索（spermatic cord）是筋膜包覆生殖管道，進入腹股溝管（inguinal canal），其組成不包括下列何者？,輸精管（ductus deferens）,睪丸動脈（testicular artery）,蔓狀靜脈叢（pampiniform venous plexus）,精囊（seminal vesicle）,D,精囊（seminal vesicle）,D,,無
40,初級濾泡位於下列何處？,卵巢生殖上皮（germinal epithelium）,卵巢皮質（cortex）,卵巢髓質（medulla）,卵巢門（hilum）,B,卵巢皮質（cortex）,B,,無
41,如果從嬰兒期開始，甲狀腺缺乏會造成什麼影響？,發生巨人症（gigantism）,發生肢端肥大症（acromegaly）,生長速率將低於正常水平,體溫會高於正常水平,C,生長速率將低於正常水平,C,,無
42,有關心肌細胞的敘述，下列何者錯誤？,心肌細胞以層狀方式，圍繞心臟腔室外圍,心肌細胞通常比骨骼肌細胞短，並且為單細胞核,透過細胞外鈉離子流入，造成心肌細胞的去極化,心肌細胞可以在沒有外部鈣離子進入情況下收縮,D,心肌細胞可以在沒有外部鈣離子進入情況下收縮,D,,無
43,有關多單元平滑肌細胞（multiunit smooth muscle cells）的敘述，下列何者正確？,細胞間有許多間隙連接（gap junction）,受自主神經系統（autonomic nervous system）支配,細胞受神經刺激後，只會產生興奮性反應，不會有抑制性反應,細胞具有豐富的橫小管（transverse tubule）,B,受自主神經系統（autonomic nervous system）支配,B,,無
44,在骨骼肌收縮過程中，有關ATP功能的敘述，下列何者正確？,鈉鉀幫浦（Na + /K + pump）利用ATP水解產生動作電位，促進骨骼肌收縮,鈣幫浦（Ca 2+ pump）利用ATP水解回收鈣離子到肌漿網（sarcoplasmic reticulum），使骨骼肌放鬆,肌凝蛋白（myosin）利用ATP水解產生高能狀態的橫橋（cross-bridge），進而與肌動蛋白（actin）分離,大量ATP在骨骼肌內堆積，造成肌凝蛋白（myosin）與肌動蛋白（actin）結合，產生屍殭（rigor mortis）現象,B,鈣幫浦（Ca 2+ pump）利用ATP水解回收鈣離子到肌漿網（sarcoplasmic reticulum），使骨骼肌放鬆,B,,無
45,動作電位（action potential）經由下列何種構造，傳遞進入骨骼肌內？,Z線（Z line）,肌漿網（sarcoplasmic reticulum）,橫小管（transverse tubule）,M線（M line）,C,橫小管（transverse tubule）,C,,無
46,關於骨骼肌有氧慢肌纖維（slow-oxidative fiber）與無氧快肌纖維（fast-glycolytic fiber）的敘述，下列何者正確？,有氧慢肌纖維具有較多的肝醣,無氧快肌纖維具有較多的肌紅素（myoglobin）,無氧快肌纖維可以產生較大的張力,兩者具有相同的細胞直徑,C,無氧快肌纖維可以產生較大的張力,C,,無
47,比較下列四類奧運田徑金牌選手，何者大腿肌肉含有最低比例的有氧慢肌纖維（slow-oxidative fiber）？,"10,000米選手","5,000米選手","1,500米選手",200米選手,D,200米選手,D,,無
48,有關降鈣素（calcitonin）的敘述，下列何者錯誤？,在血中鈣離子濃度非常高時，才有作用,由甲狀腺內副濾泡細胞（parafollicular cell）分泌,主要藉由抑制蝕骨細胞（osteoclast）活性,與副甲狀腺素作用相反，能隨時調控血鈣濃度,AD,在血中鈣離子濃度非常高時，才有作用；與副甲狀腺素作用相反，能隨時調控血鈣濃度,D,第48題答Ａ或Ｄ或AD者均給分,無
49,有關心肌細胞絕對不反應期（absolute refractory period）的敘述，下列何者正確？,可以促使第二個動作電位產生，所以心臟可以持續收縮（contraction）,可以讓心室舒張，利於血液流入心室,鈣離子通道進入不活化期（inactivation），因而導致絕對不反應期,心肌細胞的絕對不反應期持續時間遠短於骨骼肌細胞,B,可以讓心室舒張，利於血液流入心室,B,,無
50,有關等容積心室收縮期（isovolumetric ventricular contraction）的相對壓力大小，下列何者正確？,左心室＞主動脈＞左心房,主動脈＞左心房＞左心室,左心房＞主動脈＞左心室,主動脈＞左心室＞左心房,D,主動脈＞左心室＞左心房,D,,無
51,關於感壓反射（baroreflex），下列敘述何者正確？,原發性高血壓（essential hypertension）有可能造成此反射的鈍化（insensitive）,感壓反射經由副交感神經調控血管之張力（tension）,感壓反射受器（baroreceptors）之感覺訊息都是由迷走神經（vagus nerve）傳入中樞,感壓反射之調控中樞主要位於杏仁核（amygdala）,A,原發性高血壓（essential hypertension）有可能造成此反射的鈍化（insensitive）,A,,無
52,關於血壓，下列敘述何者正確？,迷走神經（vagus nerve）興奮可使心臟收縮增強而影響血壓,副交感神經興奮易引起血壓上升,交感神經興奮將使心血管系統的周邊阻力增加,感壓反射（baroreflex）的傳出訊號主要作用於頸動脈竇（carotid sinus）,C,交感神經興奮將使心血管系統的周邊阻力增加,C,,無
53,關於循環系統，下列敘述何者正確？,動脈需要骨骼肌收縮來推進血液流動,所有動脈之血液均為充氧血,微血管只有一層細胞的厚度,所有動脈及靜脈均具有瓣膜,C,微血管只有一層細胞的厚度,C,,無
54,氧氣主要以何種形式在動脈血中被運送？,與血紅素（hemoglobin）結合,溶解在血漿（plasma）中,直接溶解在紅血球的細胞質,與肌紅蛋白（myoglobin）結合,A,與血紅素（hemoglobin）結合,A,,無
55,肺的順應性（lung compliance）增加，代表下列何種意義？,肺容易擴張,肺泡表面張力大,肺泡壁會變厚,肺的回彈力（elastic recoid）大,A,肺容易擴張,A,,無
56,下列何者為表面張力素（surfactant）維持小肺泡穩定的主要原因？,增加肺泡表面張力,降低肺泡塌陷的趨勢,增加呼吸道阻力（airway resistance）,降低肺泡順應性（lung compliance）,B,降低肺泡塌陷的趨勢,B,,無
57,一位70歲的男性睡眠時長期有打呼的現象，近期被診斷為睡眠呼吸中止症（sleep apnea），最可能是下列何處發生問題所致？,上呼吸道,下呼吸道,橫膈肌,腦幹,A,上呼吸道,A,,無
58,造成呼吸道管徑縮小的因素有以下那些？①乙醯膽鹼（ACh） ②呼吸道水腫（edema） ③正腎上腺素（NE） ④組織胺（histamine） ⑤beta 2腎上腺素接受器致效劑（agonist）,①②③,③④⑤,①②④,②③④,C,①②④,C,,無
59,下列何種中樞神經系統的反射路徑最不涉及中間神經元（interneuron）？,牽張反射（stretch reflex）,回縮反射（withdrawal reflex）,屈肌反射（flexor reflex）,姿勢反射（postural reflex）,A,牽張反射（stretch reflex）,A,,無
60,下列何種反射中樞不位於下視丘（hypothalamus）？,口渴中樞,體溫調節中樞,呼吸中樞,進食中樞,C,呼吸中樞,C,,無
61,縫核（raphe nuclei）主要透過分泌何種神經傳導物質來調控睡眠？,血清素（serotonin）,多巴胺（dopamine）,正腎上腺素（norepinephrine）,乙醯膽鹼（acetylcholine）,A,血清素（serotonin）,A,,無
62,有關細胞靜止膜電位（resting membrane potential）的敘述，下列何者錯誤？,靜止膜電位的計算，必須考慮到細胞膜對於不同離子具有不同的通透性,細胞內的氯離子濃度低於細胞外的氯離子濃度,鈉鉀幫浦（Na + /K + ATPase）的存在，造成鈉離子和鉀離子在細胞內外濃度不同,細胞的靜止膜電位最接近於鈉離子的平衡電位（equilibrium potential）,D,細胞的靜止膜電位最接近於鈉離子的平衡電位（equilibrium potential）,D,,無
63,阿茲海默症（Alzheimer's disease）和那一種神經元的傳導物質最有關係？,血清素（serotonin）,乙醯膽鹼（acetylcholine）,神經胜肽Y（neuropeptide Y）,正腎上腺素（norepinephrine）,B,乙醯膽鹼（acetylcholine）,B,,無
64,有關神經傳導物質自身受器（autoreceptor）的敘述，下列何者錯誤？,位於突觸前神經細胞膜上,可經由負回饋調控神經傳導物質的釋放,多巴胺可結合到多巴胺自身受器，以調控多巴胺的釋放,乙醯膽鹼也可結合到多巴胺自身受器，以調控多巴胺的釋放,D,乙醯膽鹼也可結合到多巴胺自身受器，以調控多巴胺的釋放,D,,無
65,頻率5000赫茲（Hz）的聲音主要是興奮位於耳蝸管（cochlear duct）那一部位的毛細胞？,靠近基部（base）,中間部位,靠近頂部（apex）,所有部位,A,靠近基部（base）,A,,無
66,當患者的視交叉（optic chiasm）遭受腦下垂體腫瘤壓迫時，可能發生下列何種視野缺陷？,右眼全盲,同右側偏盲,雙顳側偏盲,同左側偏盲,C,雙顳側偏盲,C,,無
67,有關注視近處物體時視覺調適（accommodation）過程之敘述，下列何者錯誤？,瞳孔縮小,睫狀肌收縮,懸韌帶張力降低,水晶體曲率變小,D,水晶體曲率變小,D,,無
68,雙側青光眼（glaucoma）患者，使用膽鹼性致效劑（cholinergic agonist）的滴劑治療時，會產生下列何種現象？,散瞳作用,縮瞳作用,瞳孔大小不同,瞳孔對照光失去反應,B,縮瞳作用,B,,無
69,下列那個腦區負責調控日夜節律（circadian rhythm）？,視丘（thalamus）,室旁核（paraventricular nucleus）,視上核（supraoptic nucleus）,視叉上核（suprachiasmatic nucleus）,D,視叉上核（suprachiasmatic nucleus）,D,,無
70,下列何種構造中不含本體感覺受體（proprioceptor）？,心肌,肌腱,骨骼肌,關節,A,心肌,A,,無
71,下列何者不屬於腎臟可調節之生理功能？,血漿的體積,血漿pH值,血漿中蛋白質含量,血漿中代謝產物含量,C,血漿中蛋白質含量,C,,無
72,逆流倍增系統（countercurrent multiplier system），最主要發生在下列何處？,近曲小管（proximal tubule）,亨利氏環（loop of Henle）,遠曲小管（distal tubule）,集尿管（collecting duct）,B,亨利氏環（loop of Henle）,B,,無
73,近腎絲球器（juxtaglomerular apparatus），主要位於下列何者？,近曲小管（proximal tubule）,亨利氏環（loop of Henle）,遠曲小管 (distal tubule),集尿管 (collecting duct),C,遠曲小管 (distal tubule),C,,無
74,70公斤重的正常人，每天經由腎絲球（glomerular）產生之過濾液（filtration）總量，最接近下列何者？,80公升,180公升,280公升,380公升,B,180公升,B,,無
75,下列何種激素會促使乳腺收縮？,血管收縮素（vasopressin）,助孕素（progesterone）,泌乳素（prolactin）,催產素（oxytocin）,D,催產素（oxytocin）,D,,無
76,呆小症（cretinism）是由於嬰幼兒時期何種荷爾蒙分泌不足所導致？,生長激素,甲狀腺素,腎上腺素,胰島素,B,甲狀腺素,B,,無
77,精子位於何處成熟？,睪丸（testis）,儲精囊（seminal vesicle）,副睪（epididymis）,前列腺（prostate）,C,副睪（epididymis）,C,,無
78,何種激素的大量釋放，會導致排卵？,助孕素（progesterone）,"促性腺激素釋放激素（gonadotropin-releasing hormone, GnRH）","濾泡刺激素（follicle-stimulating hormone, FSH）","黃體刺激素（luteinizing hormone, LH）",D,"黃體刺激素（luteinizing hormone, LH）",D,,無
79,有關胃的敘述，下列何者正確？,胃像個囊袋，有食物在胃裡的時候會變大,如果沒有食物在胃裡，仍會分泌大量胃酸,胃酸就是硫酸,胃的酸性主要是用來分解脂肪,A,胃像個囊袋，有食物在胃裡的時候會變大,A,,無
80,下列何者可以促進膽囊釋出膽汁到小腸？,歐迪氏括約肌（sphincter of Oddi）收縮,十二指腸張力增加,膽囊收縮素（CCK）濃度增高,十二指腸的脂肪酸濃度下降,C,膽囊收縮素（CCK）濃度增高,C,,無
