題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
11,眼動脈（ophthalmic artery）是下列那一條血管的分支？,顳深動脈（deep temporal artery）,頸內動脈（internal carotid artery）,面動脈（facial artery）,上頜動脈（maxillary artery）,B,頸內動脈（internal carotid artery）,無
12,下列敘述何者錯誤？,右腎上腺靜脈（right suprarenal vein）直接注入下腔靜脈（inferior vena cava）,右生殖腺靜脈（right gonadal vein）直接注入下腔靜脈（inferior vena cava）,左腎上腺靜脈（left suprarenal vein）直接注入下腔靜脈（inferior vena cava）,肝靜脈（hepatic vein）直接注入下腔靜脈（inferior vena cava）,C,左腎上腺靜脈（left suprarenal vein）直接注入下腔靜脈（inferior vena cava）,無
13,腦下腺後葉（posterior lobe of pituitary）的軸突其神經細胞本體位於下視丘（hypothalamus）的那一核區？,視神經前核（preoptic nucleus）,視神經上核（supraoptic nucleus）,乳頭體（mammillary body）,結節核（tuberal nucleus）,B,視神經上核（supraoptic nucleus）,無
14,下列何者直接與鼓膜（tympanic membrane）相連？,砧骨（incus）,鐙骨（stapes）,錘骨（malleus）,耳咽管（auditory tube）,C,錘骨（malleus）,無
15,來自身體的體知覺，下列何者最可能投射至大腦體知覺皮質區（somatosensory cortex）的內上方？,臉部,手掌,軀幹,腳掌,D,腳掌,無
16,下列眼球的構造中，何者透光性最好？,角膜（cornea）,虹膜（iris）,脈絡膜（choroid）,睫狀體（ciliary body）,A,角膜（cornea）,無
17,足部蚓狀肌（lumbricals）的近端附著於下列那一肌肉之肌腱上？,屈趾長肌（flexor digitorum longus）,屈長肌（flexor hallucis longus）,屈趾短肌（flexor digitorum brevis）,伸趾長肌（extensor digitorum longus）,A,屈趾長肌（flexor digitorum longus）,無
18,下列何者之近端不是附著於下肢的骨間膜（interosseous membrane）？,屈長肌（flexor hallucis longus）,屈趾長肌（flexor digitorum longus）,脛前肌（tibialis anterior）,伸長肌（extensor hallucis longus）,B,屈趾長肌（flexor digitorum longus）,無
19,薦骨（sacrum）的正中薦嵴（median sacral crest）由下列何者癒合而形成？,橫突（transverse process）,棘突（spinous process）,關節突（articular process）,齒狀突（dens）,B,棘突（spinous process）,無
20,關於前臂（forearm）的敘述，下列何者錯誤？,鷹嘴突（olecranon）位於尺骨（ulna）近端處,尺骨（ulna）遠端與手腕骨頭之間由盤狀軟骨隔開,橈骨粗隆（radial tuberosity）為肱三頭肌腱（triceps tendon）附著處,橈骨（radius）遠端和舟狀骨（scaphoid）、月狀骨（lunate）形成關節面,C,橈骨粗隆（radial tuberosity）為肱三頭肌腱（triceps tendon）附著處,無
21,下列何者通過肱骨（humerus）的結節間溝（intertubercular sulcus）？,肱二頭肌腱（biceps tendon）,肱三頭肌腱（triceps tendon）,肱肌腱（brachialis muscle tendon）,肱橈肌腱（brachioradialis muscle tendon）,A,肱二頭肌腱（biceps tendon）,無
22,下列何者不受皮質脊髓路徑（corticospinal tract）所直接支配？,交感神經元（sympathetic neuron）,α動作神經元（α motor neuron）,γ動作神經元（γ motor neuron）,Ia抑制性中間神經元（Ia inhibitory interneuron）,A,交感神經元（sympathetic neuron）,無
23,傳遞足部痛覺的上行路徑中，於何處交叉至對側？,脊髓（spinal cord）,延腦（medulla oblongata）,橋腦（pons）,中腦（midbrain）,A,脊髓（spinal cord）,無
24,下列那一種特殊感覺屬於邊緣系統（limbic system）的一部分？,嗅覺,視覺,聽覺,平衡感覺,A,嗅覺,無
25,「臨表涕泣，不知所云。」，會有「涕」與「泣」同時發生，是因為下列何種構造的關係？,耳咽管（pharyngotympanic tube）,鼻淚管（nasolacrimal duct）,篩板（cribriform plate）,卵圓孔（foramen ovale）,B,鼻淚管（nasolacrimal duct）,無
26,由前至後，光線通過眼球構造的順序為何？荛玻璃體（vitreous body） 荜水晶體（lens） 荝角膜（cornea）,荛荜荝,荛荝荜,荝荛荜,荝荜荛,D,荝荜荛,無
27,下列細胞中，何者具有多核（multiple nuclei）？,骨骼肌細胞（skeletal muscle cell）,運動神經元（motor neuron）,平滑肌細胞（smooth muscle cell）,纖維母細胞（fibroblast）,A,骨骼肌細胞（skeletal muscle cell）,無
28,肺臟中進行氣體交換的主要結構稱做：,肺泡（alveolus）,氣管（trachea）,支氣管（bronchus）,橫膈（diaphragm）,A,肺泡（alveolus）,無
29,體循環（systemic circulation）內的血液是從心臟中的那個部位打出？,左心室（left ventricle）,左心房（left atrium）,右心室（right ventricle）,右心房（right atrium）,A,左心室（left ventricle）,無
30,有關胃部腺體（gastric gland）細胞和其分泌的物質，下列敘述何者正確？,黏液細胞（mucous cell）只有分布在胃底（fundus）部,壁細胞（parietal cell）的分泌物和維他命B12的吸收有關,主細胞（chief cell）分泌胃酸和胃蛋白酶（pepsin）,腸內分泌細胞（enteroendocrine cell）分泌的內因子（intrinsic factor）可以減少胃酸分泌,B,壁細胞（parietal cell）的分泌物和維他命B12的吸收有關,無
31,下列何者是供應空腸（jejunum）遠端的主要動脈？,腹腔動脈幹（celiac trunk）,胃十二指腸動脈（gastroduodenal artery）,腸繫膜上動脈（superior mesenteric artery）,腸繫膜下動脈（inferior mesenteric artery）,C,腸繫膜上動脈（superior mesenteric artery）,無
32,關於排尿的敘述，下列何者正確？,嬰兒的尿道內括約肌（internal urethral sphincter）無法防止漏尿,排尿為脊髓反射,副交感神經促使逼尿肌（detrusor muscle）放鬆，防止排尿,排尿會受到橋腦的影響,D,排尿會受到橋腦的影響,無
33,初級卵母細胞（primary oocyte）第一次減數分裂於何時結束？,精子進入時,幼年時期,黃體激素分泌高峰後,排卵後,C,黃體激素分泌高峰後,無
34,下列何者位於表皮的基底層（stratum basale）？,毛囊受器（hair follicle receptor）,默克耳氏盤（Merkel disc）,梅斯納氏小體（Meissner’s corpuscle）,球狀小體（bulbous corpuscle）,B,默克耳氏盤（Merkel disc）,無
35,降口角肌（depressor anguli oris）的拮抗肌為下列何者？,顴肌（zygomaticus）,嚼肌（masseter）,頦肌（mentalis）,降下唇肌（depressor labii inferioris）,A,顴肌（zygomaticus）,無
36,下列何者屬於顱骨（cranial bone）？,下頜骨（manidible）,篩骨（ethmoid bone）,犁骨（vomer）,淚骨（lacrimal bone）,B,篩骨（ethmoid bone）,無
37,下列何者收縮時，可外翻腳掌？,屈趾長肌（flexor digitorum longus）,腓長肌（fibularis longus）,脛前肌（tibialis anterior）,脛後肌（tibialis posterior）,B,腓長肌（fibularis longus）,無
38,下列眼球肌中何者接受外展神經（abducent nerve）支配？,內直肌（medial rectus）,外直肌（lateral rectus）,上斜肌（superior oblique）,下斜肌（inferior oblique）,B,外直肌（lateral rectus）,無
39,下列何者約占眼球80%體積？,晶狀體（lens）,睫狀體（ciliary body）,玻璃體（vitreous body）,視網膜（cornea）,C,玻璃體（vitreous body）,無
40,睪丸鞘膜（tunica vaginalis）水腫時，以針穿刺陰囊引流蓄積的液體，不會穿過下列何者？,肉筋膜（dartos fascia）,提睪肌筋膜層（cremasteric fascia）,鞘膜壁層（parietal layer of tunica vaginalis）,白膜（tunica albuginea）,D,白膜（tunica albuginea）,無
41,有關平滑肌的敘述，下列何者正確？,平滑肌沒有粗絲（thick filament）與細絲（thin filament）,細胞內鈣離子會直接結合並活化平滑肌的橫橋（cross-bridge）,平滑肌並非經由肌鈣蛋白（troponin）與原肌凝蛋白（tropomyosin）作用來調節橫橋活動,平滑肌中的肌凝蛋白（myosin）被磷酸化後，才能與ATP結合,C,平滑肌並非經由肌鈣蛋白（troponin）與原肌凝蛋白（tropomyosin）作用來調節橫橋活動,無
42,礦質化（mineralization）作用，最主要由下列何種細胞完成？,軟骨細胞（chondrocytes）,成骨細胞（osteoblasts）,蝕骨細胞（osteoclasts）,骨細胞（osteocytes）,B,成骨細胞（osteoblasts）,無
43,骨骼肌纖維中的橫小管（transverse tubules）之功能為何？,儲存鈣離子，活化橫橋（cross-bridge）週期,在肌小節（sarcomere）末端形成Z線（Z line）,傳遞動作電位（action potential）至骨骼肌內,協助製造並儲存三磷酸腺苷（ATP）,C,傳遞動作電位（action potential）至骨骼肌內,無
44,有關骨骼肌纖維的最佳長度（optimal length），下列敘述何者正確？,肌纖維可以產生最大等長收縮力（isometric contraction tension）時的長度,骨骼肌可以達到的最短收縮長度,骨骼肌可以達到的最長伸展長度,骨骼肌所有細絲（thin filament）連接起來的長度,A,肌纖維可以產生最大等長收縮力（isometric contraction tension）時的長度,無
45,下列何者不是骨骼肌收縮時的ATP來源？,磷酸肌胺酸（creatine phosphate）,氧化磷酸化（oxidative phosphorylation）,糖質新生（gluconeogenesis）,糖解作用（glycolysis）,C,糖質新生（gluconeogenesis）,無
46,重症肌無力（myasthenia gravis）最常見的致病機制為何？,乙醯膽鹼酯酶（acetylcholinesterase）製造不足,尼古丁型乙醯膽鹼受器（nicotinic acetylcholine receptor）遭受自身免疫系統破壞,L型鈣離子通道（L-type Ca 2+ channel）遭受自身免疫系統破壞,出現分泌過量乙醯膽鹼的腫瘤,B,尼古丁型乙醯膽鹼受器（nicotinic acetylcholine receptor）遭受自身免疫系統破壞,無
47,維生素D3缺乏可能會導致下列何種現象？,高鈣血症（hypercalcemia）,骨量增加,副甲狀腺素升高,增加腸道對鈣的吸收,C,副甲狀腺素升高,無
48,低血鈣（hypocalcemia）時，最主要促進下列何種激素（hormone）生成？,副甲狀腺素（parathyroid hormone）,胰島素（insulin）,皮質醇（cortisol）,甲狀腺素（thyroid hormone）,A,副甲狀腺素（parathyroid hormone）,無
49,有關正常心跳的敘述，下列何者正確？,動作電位源自右心房的竇房結（SA node），之後迅速引起左右心房的同步產生去極化（depolarization）,房室結（AV node）興奮之後會迅速引起左右心房的同步產生去極化（depolarization）,房室結（AV node）動作電位的傳導速度比蒲金氏纖維（Purkinje fiber）的快,動作電位在左右心房的傳遞，需要喜氏束（His bundle）和蒲金氏纖維（Purkinje fiber）,A,動作電位源自右心房的竇房結（SA node），之後迅速引起左右心房的同步產生去極化（depolarization）,無
50,下列何者最能有效增加心輸出量（cardiac output）？,降低血中腎上腺素濃度,增加竇房結（SA node）放電頻率,降低心室舒張末期容積（end-diastolic ventricular volume）,增加副交感神經的興奮性,B,增加竇房結（SA node）放電頻率,無
51,有關交感神經興奮造成心肌細胞內鈣離子濃度增加的機制，下列何者正確？,活化腎上腺素受器（adrenergic receptor）導致高基氏體（Golgi apparatus）鈣離子通道活性的增加,活化乙醯膽鹼受器（acetylcholine receptor）導致高基氏體（Golgi apparatus）鈣離子通道活性的增加,活化乙醯膽鹼受器（acetylcholine receptor）導致內質網（endoplasmic reticulum）鈣離子通道活性的增加,活化腎上腺素受器（adrenergic receptor）導致細胞膜（plasma membrane）鈣離子通道活性的增加,D,活化腎上腺素受器（adrenergic receptor）導致細胞膜（plasma membrane）鈣離子通道活性的增加,無
52,下列何者非血漿蛋白（plasma proteins）的主要功能？,調節心跳速率,調節血量（blood volume）,凝血（blood clotting）,免疫反應,A,調節心跳速率,無
53,急性嚴重失血時，感壓反射（baroreflex）有何反應？,副交感神經活性增加,交感神經活性不受影響,交感神經活性增強,副交感神經活性不受影響,C,交感神經活性增強,無
54,若全身動脈氫離子濃度增加，主要會去刺激下列那個受器？,腦幹（brainstem）的髓質（medulla）,周邊化學受器（peripheral chemoreceptor）,中央化學受器（central chemoreceptor）,背側呼吸群（dorsal respiratory group）,B,周邊化學受器（peripheral chemoreceptor）,無
55,肺氣腫（emphysema）的病人累積了很多氣體在肺泡內，主要是下列何種因素所致？,肺泡回彈力（recoil force）減少,肺泡彈性組織（elastic tissue）增加,肺泡表面張力（surface tentsion）下降,肺泡表面張力素（surfactant）增加,A,肺泡回彈力（recoil force）減少,無
56,關於傳導區（conducting zone）的描述，下列何者錯誤？,即為解剖死腔（anatomical dead space）,參與發聲功能,不具有防禦功能,減少空氣對肺泡的刺激,C,不具有防禦功能,無
57,延腦吸氣神經元放電增加時，最有可能導致下列何種反應？,橫膈肌收縮；胸腔體積增加,橫膈肌收縮；胸腔體積減少,橫膈肌放鬆；胸腔體積增加,橫膈肌放鬆；胸腔體積減少,A,橫膈肌收縮；胸腔體積增加,無
58,"一位30歲的健康男性肺活量（vital capacity, VC）為5 L，潮氣容積（tidal volume, VT）為0.5 L，吸氣量（inspiratory capacity, IC）為3.5 L，功能肺餘量（functional residual capacity, FRC）為2.5 L，則其呼氣儲備容積（expiratory reserve volume, ERV）為何？",1.0 L,1.5 L,2.0 L,3.5 L,B,1.5 L,無
59,下列何種構造主要受到正腎上腺素的調控？,腎上腺髓質（adrenal medulla）,交感神經之節後神經,副交感神經之節後神經,交感神經之目標器官（target organ）,D,交感神經之目標器官（target organ）,無
60,關於右腳不慎踩到圖釘所引發的回縮反射（withdrawal reflex），下列敘述何者正確？,不牽涉中間神經元（interneuron）,造成右大腿屈肌舒張,造成左大腿伸肌收縮,反射路徑需經腦幹以維持身體平衡,C,造成左大腿伸肌收縮,無
61,大多數的交感節後神經釋放何種傳導物質？,正腎上腺素（norepinephrine）,乙醯膽鹼（acetylcholine）,多巴胺（dopamine）,GABA（gamma-aminobutyric acid）,A,正腎上腺素（norepinephrine）,無
62,下列何者非腦幹之主要功能？,協調軀體運動及平衡,調節血管管徑,調節眼睛對光之反射,調節體溫,D,調節體溫,無
63,有關動作電位傳導的敘述，下列何者錯誤？,神經細胞本體的動作電位可以沿著軸突一直傳到神經末梢，促使神經傳導物質的釋放,牽涉到電壓依賴性鈉離子通道和鉀離子通道的反覆開關,指的是A點產生的動作電位，會造成B點膜電位的去極化並產生新的動作電位,動作電位傳導速度與軸突的粗細無關,D,動作電位傳導速度與軸突的粗細無關,無
64,有關神經傳導物質從突觸間隙移除的敘述，下列何者錯誤？,可藉由突觸前神經元的轉運子（transporter）再回收,可藉由突觸間隙內的酵素分解,可藉由神經膠細胞（glia）再回收,可藉由間隙連接（gap junction）再回收,D,可藉由間隙連接（gap junction）再回收,無
65,下列何者與內耳前庭系統（vestibular system）的關連性最為密切？,聽覺反射,姿態反射,味覺反射,痛覺反射,B,姿態反射,無
66,有關光感受器細胞（photoreceptor）之敘述，下列何者錯誤？,桿狀細胞（rods）數量較多,錐狀細胞（cones）負責彩色視覺,桿狀細胞對光的敏感度較差,色盲與錐狀細胞有關,C,桿狀細胞對光的敏感度較差,無
67,邊緣系統的功能不包括下列何者？,攻擊行為,性慾調節,語言的了解,嗅覺訊息的處理,C,語言的了解,無
68,與恐懼（fear）情緒最相關的構造為何？,海馬迴（hippocampus）,杏仁核（amygdala）,視丘（thalamus）,胼胝體（corpus callosum）,B,杏仁核（amygdala）,無
69,下列何種訊息傳遞對嗎啡類（opioids）局部麻醉劑最敏感？,觸覺（touch）,痛覺（pain）,本體感覺（proprioception）,體運動訊號（somatic motor response）,B,痛覺（pain）,無
70,身體那一個部位的感覺是投射到大腦皮質後中央腦迴（postcentral gyrus）之外側下方（lower temporal）？,上肢,下肢,臉部,腹部,C,臉部,無
71,關於血壓上升時，腎臟自我調節（renal autoregulation）對血管的調控，下列敘述何者最正確？,使小葉間動脈（interlobular artery）收縮,使出球小動脈（efferent arteriole）收縮,使入球小動脈（afferent arteriole）收縮,使弓狀動脈（arcuate artery）收縮,C,使入球小動脈（afferent arteriole）收縮,無
72,正常人下列何種物質的腎血漿清除率（renal plasma clearance）小於腎絲球過濾速率（glomerular filtration rate）？,菊糖（inulin）,尿素（urea）,能被分泌（secretion）之物質,肌酸酐（creatinine）,B,尿素（urea）,無
73,有關排尿的敘述，下列何者正確？,內尿道括約肌（internal urethral sphincter）主要由平滑肌（smooth muscle）組成,逼尿肌（detrusor）由骨骼肌（skeletal muscle）組成,交感神經刺激可使內尿道括約肌（internal urethral sphincter）放鬆,交感神經刺激可使逼尿肌（detrusor）收縮,A,內尿道括約肌（internal urethral sphincter）主要由平滑肌（smooth muscle）組成,無
74,醛固酮（aldosterone）最主要作用於腎臟何處，以調節鈉離子再吸收（reabsorption）？,近曲小管（proximal tubule）,亨利氏環（loop of Henle）,遠曲小管（distal tubule）,腎絲球（glomerulus）,C,遠曲小管（distal tubule）,無
75,下列那個內分泌系統的活化與壓力（stress）反應最密切相關？,下視丘-腦下垂體-甲狀腺,下視丘-腦下垂體-腎上腺皮質,下視丘-腦下垂體-卵巢,下視丘-腦下垂體-睪丸,B,下視丘-腦下垂體-腎上腺皮質,無
76,何種荷爾蒙在嬰幼兒時期分泌不足，會導致侏儒症（dwarfism）？,生長激素,糖皮質激素,甲狀腺素,雄性素,A,生長激素,無
77,正常情況下，受精應發生於那一個部位？,輸卵管,卵巢,子宮,陰道,A,輸卵管,無
78,下列何種組織不含有內分泌腺體（endocrine glands）？,脂肪,脾臟,胎盤,心臟,B,脾臟,無
79,有關胃蛋白酶（pepsin）的敘述，下列何者最為正確？,大部分的胃蛋白酶都是由胃的主細胞（chief cell）直接分泌,胃蛋白酶必須在高pH值環境才有作用,絲胺酸（serine）可將胃蛋白酶原（pepsinogen）活化成胃蛋白酶。,胃蛋白酶加速蛋白質分解,D,胃蛋白酶加速蛋白質分解,無
80,有關腸期（intestinal phase）抑制胃排空（gastric emptying）的敘述，下列何者正確？,交感神經活性下降,十二指腸內的脂肪濃度下降,十二指腸的膨脹,十二指腸內胺基酸濃度下降,C,十二指腸的膨脹,無
