題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
23,有關工作分析的抬舉能力評估，下列敘述何者正確？,大部分功能性能力評估（Functional Capacity Evaluation）所用的抬舉能力方式多為心理物理學（psychophysical）模式,抬著物品但實際沒有將其搬抬至另一處，稱為等動力（isokinetic）模式,抬舉工作與下背痛之關係尚無法利用抬舉公式來呈現潛在風險,抬舉能力的模式有心理物理學（psychophysical）模式、等動力（isokinetic）模式及模擬（simulative）模式,A,大部分功能性能力評估（Functional Capacity Evaluation）所用的抬舉能力方式多為心理物理學（psychophysical）模式,無
24,工作分析以質的分析來看，可分為以下何者？①職業分析（job analysis） ②職場分析（workplace analysis） ③職務分析（task analysis） ④職位分析（position analysis）,①②④,①②③,①③④,②③④,C,①③④,無
25,湯姆是一個42歲的金屬板切割工人，2個月前因為機器故障造成右手壓碎傷，雖經過多次手術重建，右手仍有感覺、肌肉力量與動作協調的問題。職能治療師擬提供服務以協助湯姆重返職場，下列何者較不適當？,藉由肌肉骨骼評估湯姆的失能狀況（impairment）,運用指梯（finger ladder）改善手指關節活動度,與雇主溝通擬定重返工作計畫,進行職務再設計需求評估與建議,B,運用指梯（finger ladder）改善手指關節活動度,無
26,下列何者不屬於工作樣本評量相較於紙本測驗之優點？,不受文化教育程度影響,容易多人同時測試,可以觀察到受試者工作習慣,容易觀察受測者技能及興趣,B,容易多人同時測試,無
27,"當功能性能力評估（Functional Capacity Evaluation, FCE）之測驗結果可以反映出受測者在目標工作上的表現，讓施測者做出重返工作的建議，則此測驗最符合那一特性？",信度（reliability）,效度（validity）,實用（practicality）,效用（utility）,B,效度（validity）,無
28,系列學業技能測驗屬於那種心理計量測驗？,性向測驗,智力測驗,成就測驗,人格測驗,C,成就測驗,無
29,下列有關心理計量測驗（psychometric testing）之敘述，何者錯誤？,通常比情境評量容易施測,通常比工作樣本工具成本低,測驗人員之資格有一定的規範,測驗的發展能快速符合職場的變化,D,測驗的發展能快速符合職場的變化,無
30,有關興趣評量之敘述，下列何者正確？,表達興趣（expressed interest）指個人實際喜歡從事的職務或職業,興趣量表可成功預測受測者之工作滿意度,興趣與能力之間有絕對的相關,興趣量表可以評量一職類中再細分的職業,B,興趣量表可成功預測受測者之工作滿意度,無
31,根據Burwash Model，職能治療師在協助身心障礙者建立工作價值（valuing）時，下列何種評估工具較為合適？,Work Environment Impact Scale,Service Fidelity Scale,Computerized career exploration system,Spirituality of work questionnaire,D,Spirituality of work questionnaire,無
32,蘿拉是一位先天智力發展遲緩的高三應屆畢業生，父母並未期待她畢業後去就業。學校輔導老師認為蘿拉具有就業潛能，但蘿拉對就業沒有明顯的動機，也不知道為什麼需要就業。因而學校老師將蘿拉轉介給職業重建個案管理員，以利就業轉銜。個案管理員需要優先處理的是以下那一個部分？,建立蘿拉的工作概念,強化蘿拉的工作技能,助蘿拉擬定工作目標,評估蘿拉適合的職種,A,建立蘿拉的工作概念,無
33,職業重建服務內容中的工作準備（job readiness）階段，不包括以下那一項？,處理及改進影響工作之健康因素,藥物處理,使用輔助科技處理日常生活活動,面試技巧的訓練,D,面試技巧的訓練,無
34,職業輔導評量員在撰寫職業輔導評量報告時的助力及阻力分析時，以下那一個敘述最適當？,個案不適合擔任收銀財務等相關工作,個案工作速度較慢，宜由自然支持者協助,因個案腰椎受傷，未來避免搬運個案覺得重的物品,人際衝突處理能力不足,D,人際衝突處理能力不足,無
35,職業輔導評量員根據評估結果，判斷個案適合庇護性就業型態的安置模式。則其職業輔導評量報告通常不包括以下何者？,個案所需的工作輔具,個案在庇護職場所需要訓練的項目,個案庇護職場所應得的工作薪資,個案與一般人相比較的工作速度,C,個案庇護職場所應得的工作薪資,無
36,職業探索（vocational exploration）一般包括以下那些步驟？①知己；②知彼；③經歷；④抉擇與行動,①②③,①③④,②③④,①②④,D,①②④,無
37,下列何者為職業重建服務的「初始評量」（initial assessment）所需要回答的問題？,個案是否需要職業重建服務才能就業,個案無法立即回覆或進入職場就業的阻礙因素為何,要用什麼方式可以協助個案找到工作並維持工作,個案如何達到穩定就業的目標,A,個案是否需要職業重建服務才能就業,無
38,身心障礙職業重建個案管理員透過需求評估以釐清個案職業重建服務需求，此需求評估的策略通常不包括以下何者？,訪談個案在校的老師,參考個案之職能治療師的評估報告與服務紀錄,透過測驗工具瞭解個案的身心特質,透過長期工作試做瞭解個案的工作技能,D,透過長期工作試做瞭解個案的工作技能,無
39,觀察個案所穿的鞋底，發現外側底面與鞋跟有明顯磨損現象，代表個案足踝可能有下列何種狀態？,弓形足（pes cavus）,扁平足（pes planus）,拇趾外翻（hallux valgus）,仰趾足（pes calcaneus）,A,弓形足（pes cavus）,無
40,從橫斷面觀察，股骨頭與股骨頸（femoral head and neck）的中央連線與股骨內外髁（femoral medial/lateral condyles）之間的連線所形成的角度，稱之為：,Q角（quadriceps angle）,維貝格角（angle of Wiberg）,扭轉角（angle of torsion）,傾斜角（angle of inclination）,C,扭轉角（angle of torsion）,無
41,有關手指的屈指肌腱滑車（flexor pulleys）之敘述，何者錯誤？,避免肌腱在手指活動時造成弓弦（bowstring）現象,十字滑車（cruciate pulleys）比環狀滑車（annular pulleys）多,滑車同時將屈指深肌及淺肌肌腱約束在指骨腹側面,滑車斷裂會減少手指屈曲活動度,B,十字滑車（cruciate pulleys）比環狀滑車（annular pulleys）多,無
42,如圖所示，有關肌力測試之敘述，何者錯誤？,主要作用肌為尺側屈腕肌（flexor carpi ulnaris）,作用肌由正中神經支配,作用肌之終點在豆狀骨（pisiform bone）,作用肌之起始點在共同屈肌肌腱（common flexor tendon）,B,作用肌由正中神經支配,無
43,完整手臂上舉（total arm elevation）的過程中，盂肱關節（glenohumeral joint）及肩胛胸廓關節（scapulothoracic joint）貢獻的關節活動度比例大約是：,1：2,2：1,1：4,4：1,B,2：1,無
44,有關手指扭傷（finger sprain）及處理之敘述，何者錯誤？,又稱為卡住的手指（jammed finger）,PIP比DIP容易發生扭傷,副韌帶（collateral ligament）扭傷會造成關節不穩定,PIP保持彎曲時，屈曲DIP可以牽張粘連的斜韌帶（oblique retinacular ligament）,D,PIP保持彎曲時，屈曲DIP可以牽張粘連的斜韌帶（oblique retinacular ligament）,無
45,如圖所示，此為測試第三指那項肌肉？①屈指淺肌（flexor digitorum superficialis） ②屈指深肌（flexor digitorum profundus） ③蚓狀肌（lumbricals）,僅①,僅②,僅①②,①②③,A,僅①,無
46,如圖所示，站立時，將長褲拉起穿上的動作需要那些肌肉作向心收縮（concentric contraction）？ ①肱二頭肌（biceps brachii） ②肱三頭肌（triceps brachii） ③闊背肌（latissimus dorsi） ④菱形肌（rhomboids）,僅①②,僅②③,僅①③④,①②③④,C,僅①③④,無
47,如圖所示，從A圖至B圖將手中叉子從口中放回盤中，下列那一肌肉作用最多？,肱二頭肌（biceps brachii）,肱三頭肌（triceps brachii）,橈側伸腕肌（extensor carpi radialis）,屈拇指長肌（flexor pollicis longus）,B,肱三頭肌（triceps brachii）,無
48,針對肌梭（muscle spindle）和肌腱受器（Golgi tendon organs）的敘述，下列何者正確？,由於肌腱受器與肌腱及肌肉間串連的特性，因此可以在肌肉長度改變的狀態下偵測肌腱或肌肉的張力,肌腱受器藉由Ia神經纖維將訊息傳送到脊髓及小腦,Ib神經纖維同時環繞於肌梭中的核袋（nuclear bag）與核鏈纖維（nuclear chain）,II神經纖維環繞於肌梭中的核鏈纖維（nuclear chain）,D,II神經纖維環繞於肌梭中的核鏈纖維（nuclear chain）,無
49,針對肌肉纖維因應動作需求而發展及調適的敘述，下列何者正確？,新生兒因為具有快速抽動的動作型態，因此第一型肌肉纖維占較高比例,當嬰兒開始發展姿勢控制能力時，第二型肌肉纖維的比例將增加,當孩童約2歲開始發展出平衡及對抗重力的動作型態時，第一型與第二型肌肉纖維的比例即開始與成人相似,老化過程中，第一型與第二型肌肉纖維的整體數量均會降低，其中第一型肌肉纖維的萎縮較為顯著,C,當孩童約2歲開始發展出平衡及對抗重力的動作型態時，第一型與第二型肌肉纖維的比例即開始與成人相似,無
50,針對肌肉衝動（muscle impulse）傳遞的敘述，下列何者正確？,橫管系統（transverse tubular system）平行於肌原纖維（myofibril）並且使肌肉動作電位快速傳至肌纖維的所有部位,肌質網（sarcoplasmic reticulum）垂直於肌原纖維並且位於其淺層,鈣離子儲存於橫管系統（transverse tubular system）,鈣離子在肌肉收縮時釋放,D,鈣離子在肌肉收縮時釋放,無
51,下列關於行為改變的敘述，何者較不是基於心理動力的參考架構（Psychodynamic Frame of Reference）？,透過主題式的繪畫來釐清自身面對的衝突,透過演劇來看清自己與家人的芥蒂,透過團體的參與來練習成熟的心理防衛機轉,透過團體其他成員的回饋，修正自身的信念，進而改變行為模式,D,透過團體其他成員的回饋，修正自身的信念，進而改變行為模式,無
52,在依據艾倫認知障礙參考架構（Allen's Cognitive Disabilities Frame of Reference）設計的活動團體中，職能治療師為個案規劃重複性和操作性的活動，如鑲嵌馬賽克磁磚盒，並將活動時間調整於30分鐘內完成活動。此團體中的個案最可能屬於那一個認知階層？,階層二,階層三,階層四,階層五,B,階層三,無
53,個案在精熟每一項工作技巧時發展出勝任感進而在工作上持續獲得正向回饋。這較屬於班度拉（Bandura）所提出的那一種引發動機的形式？,自我增強,自我效能,自我要求,自我參照,A,自我增強,無
54,評值社區團體時，職能治療師發現團體中一半的參與者都很注重自己的表現，希望爭取帶領者的關注、以及自己能掌控的領域，以自己為中心而非關注團體或議題。依照Schutz的團體發展階段，您會在評值表上註記這個團體是在那一個階段？,包容階段（inclusion stage）,排除階段（exclusion stage）,控制階段（control stage）,情感階段（affection stage）,A,包容階段（inclusion stage）,無
55,小蝦參與戒酒團體時，分享了他是因為剛畢業時工作不順遂，才開始藉由喝酒消除壓力，卻也因此而染上酒癮。下列職能治療師的反應，那一項較符合不帶批判的接受（nonjudgmental acceptance）?,「工作一點挫敗其實沒甚麼，你應該更堅強的面對」,「工作上的挫敗的確很難讓人忍受，那種痛苦只有過來人才能體會」,「喝酒傷身，不是個舒壓的好辦法，你應該多運動」,「年輕人應該要更有韌性，展現跌倒後馬上站起來的勇氣」,B,「工作上的挫敗的確很難讓人忍受，那種痛苦只有過來人才能體會」,無
56,"有關李文森（Levinson, 1978）提出的人生架構，其中成年早期轉銜的主要任務不包含下列那一項？",形成夢想,找到良師益友的關係,接受教育,開始婚姻與家庭,C,接受教育,無
57,下列何者是治療團體在訂定主題（group title）時，最需要呈現給個案的資訊？,活動次數,活動內容,活動帶領者,活動獎品,B,活動內容,無
58,觀察一個人際關係成長團體時，發現每每輪到某成員分享時，其他成員大多時候會抱怨團體的設計內容，或領導者的時間控制不好等藉口帶過。根據Yalom的團體發展理論，這個團體可能處於那個階段？,衝突期（conflict）,成熟期（cohesive maturity）,風暴期（storming）,導向期（orientation）,A,衝突期（conflict）,無
59,帶領一個失婚婦女的就業諮詢團體，下列何種領導風格最不適合？,顧問型（advisory）,指令型（directive）,促進型（facilitative）,放任型（laissez-faire）,B,指令型（directive）,無
60,在團體的進行中，成員A不時的分享有關自己的感受，但其內容卻與現在團體關注的焦點完全無關。則A的行為最符合下列那一項團體中的個人角色（individual role）？,滑頭（playboy）,自我告解者（self-confessor）,尋求幫助者（help-seeker）,認同尋求者（recognition-seeker）,B,自我告解者（self-confessor）,無
61,個案在參與團體的過程中，透過協助其他成員，獲得某種心靈上的滿足，進而更能促進自身的改變。以上敘述符合Yalom所提的那個團體治療因子？,自我了解（self-understanding）,灌注希望（instillation of hope）,利他（altruism）,模仿行為（imitative behaviors）,C,利他（altruism）,無
62,在一個記憶大挑戰的認知促進團體中，下列何者是屬於Cole's團體七步驟中Introduction的涵蓋範圍？①花5分鐘時間，請大家分享上週末去那裡玩、做了什麼事，當作暖身；②請大家分享今日活動的收穫；③介紹今日預計的活動內容；④簡單總結上週的團體內容是什麼,①②③④,僅①③④,僅③,僅①④,B,僅①③④,無
63,"下列何項不是以社區為基礎的參與式行動研究（community-based participatory action research, CBPAR）之特質？",以量化研究設計為主,行動為導向,以個案為中心並與其合作,以真實情境為本,A,以量化研究設計為主,無
64,方案規劃可選擇的財務來源包括捐款（D）、贊助（S）、計畫補助（G）和使用者付費（F）等種類。下列方案和財務來源種類的配對，何者錯誤？,大企業品牌資助某醫院宣導失智預防：S,居家服務的部分負擔：D,長照2.0復能服務方案：G,社區老人自費聚餐：F,B,居家服務的部分負擔：D,無
65,一個社區方案的方針（objectives）為新移民媽媽能認識兩歲以內幼兒的動作發展里程碑，下列何者錯誤？,方針已經指出what：動作發展里程碑,方針已經指出when：兩歲以內,方針已經指出who：新移民媽媽,方針沒有指出how much：認識程度,B,方針已經指出when：兩歲以內,無
66,"提供預防疾病、健康促進、供餐與交通接駁等服務的成人日間照護中心（adult day services centers, ADCs），是屬於下列何種模式？",醫療模式（medical model）,健康相關模式（health-related model）,特殊照護模式（specialized care model）,社會模式（social model）,D,社會模式（social model）,無
67,下列何項因素將影響獨立於社區環境中使用輪椅的能力？①可執行進出門操作；②從交通工具中裝載及卸除輪椅；③有能力於1：20之斜坡進行上下坡操作；④不同平面之輪椅轉位；⑤掌握保養與維修輪椅之資訊,①②③④,①②④⑤,僅①②④,③⑤,B,①②④⑤,無
68,有關針對利用感覺處理策略（sensory processing strategies）協助兒童與青少年發展壓力處理的自我控制能力（self-regulatory capacities）與學習策略（learning strategies）的敘述，下列何者錯誤？,有助於恢復自我控制感（sense of personal control）,感覺調節缺失的個案，常因特定的感覺類型而產生過度警醒的狀態（overarousal state）,感覺調節規劃（sensory modulation programming）的關鍵要素不包含調整物理環境及教育照顧者,感覺調節規劃（sensory modulation programming）是關鍵的構成要素,C,感覺調節規劃（sensory modulation programming）的關鍵要素不包含調整物理環境及教育照顧者,無
69,下列那一個敘述不是推廣社區職能治療的主要障礙因素？,現行職能治療理論與知能與社區實務執行取向是一致的,社區職能治療的工作缺額比較少，且相關法規對職能治療師執業範疇的限制,現代職能治療以醫療場域為主要執業場域，因此很多職能治療師不願意跨出醫療以外的專業範疇,社區實務有許多都適合職能治療師去執行，但是職能治療師並沒有以職能治療師的身分去執行，因此無法讓大眾看到職能治療的價值,A,現行職能治療理論與知能與社區實務執行取向是一致的,無
70,職能治療師面對一位已接受高雄市八一石化氣爆事件重傷者生活重建服務，仍無法回到原職能角色的個案時，下列何項措施最為直接且適當？,轉介到更好的醫學中心接受職能治療,邀請國外職能治療專家來台會診，提供後續治療計畫,增加職能治療的頻率，用較密集的治療來提升其復健成效,利用基層職能治療所，提供社區化的復能協助,D,利用基層職能治療所，提供社區化的復能協助,無
71,依身心障礙者專用停車位設置管理辦法，下列敘述何者錯誤？,身心障礙停車位與連接路外人行道或騎樓有高低差時，應設置斜坡道,應保留百分之三之身心障礙停車位,需有身心障礙者專用停車位標誌及標線之設置,身心障礙者專用機車停車位之寬度應在2.3公尺以上,B,應保留百分之三之身心障礙停車位,無
72,職能治療師要開設營利型事業（for-profit business），在擬定事業計畫（business plan）時，依據 Richmond & Powers（2004）提出的五大領域，下列何者錯誤？,市場調查（market assessment）,使命任務說明（mission statement）,事業理念（business concept）,利潤目標（profit goals）,D,利潤目標（profit goals）,無
73,對照方案規劃過程和職能治療過程兩者，方案規劃過程的探索準備、前計畫期（preplanning），相當於職能治療過程的那一階段？,介入規劃,個案評估,病歷資料回顧,紀錄,C,病歷資料回顧,無
74,有關長照2.0的居家復能訓練，下列敘述何者符合復能訓練的原則？,一個長期性、以個案為主、結合居家復能訓練與社區據點活動的服務模式,藉由密集性、跨領域的合作，各個專業各自設定目標去提升個案的整體功能,個案最想做的日常生活活動是一個復能目標，也是訓練手段,跟醫院的復健介入同樣都強調以回復失去或缺損功能為優先目標，才能達到生活獨立,C,個案最想做的日常生活活動是一個復能目標，也是訓練手段,無
75,根據Scaffa and Reitz之著作《Occupational therapy in community-based practice settings》，下列那一項職能治療實務最接近公共衛生理論的「次級預防（secondary prevention）」範疇？,職能治療師在醫院裡治療中風個案，發現本來意識清楚的個案有譫妄（delirium）症狀，趕快通報醫療團隊,於社區據點提供一個針對輕度認知損傷老人的預防延緩失能之認知促進方案,給與上肢動作控制很差、有中度高張力，長時間臥床的多次中風個案一個上肢副木，並教導照顧者擺位技巧,提供一個健康生活再造團體給中學生,B,於社區據點提供一個針對輕度認知損傷老人的預防延緩失能之認知促進方案,無
76,下列那一項任務最不符合職能治療在預防延緩失能的功能與角色？,在日間照護中心設計以建構健康生活型態為主題的照顧者支持團體,協助一個社區據點的活動規劃，提供符合當地失能者需求的活動,在醫院鼓勵門診復健的個案申請長照居家服務,在國中親師時間，提供家長一堂健康講座，主題是健康飲食、適當運動、肥胖與糖尿病、心血管疾病的關係,C,在醫院鼓勵門診復健的個案申請長照居家服務,無
77,在社區據點帶領一個體適能團體，有一位長者對自己是否能夠執行活動沒有信心，甚至覺得運動會對他的關節、身體等造成傷害。根據社會認知理論（Social Cognitive Theory），運用以下那一個策略最能夠提升他的參與度？,團體中儘量不要把注意力放在他身上，以免他不自在,調整運動難度到最適合他的挑戰（just right challenge）,讓他有選擇參與活動的彈性，以免造成壓力,在社區據點張貼很多說明健康與運動關係的海報,B,調整運動難度到最適合他的挑戰（just right challenge）,無
78,以健康信念理論（Health Belief Model）作為主要參考架構，執行一個讓社區據點的衰弱老人增加居家身體活動量的社區介入，下列那一項策略最能增加執行率？,讓他可以觀摩他人的運動成效,設定一套提醒制度，讓他能夠在固定時間、固定場所記得執行特定活動,調整運動的難度到最適合他的挑戰,增加據點運動團體領導者的能力,B,設定一套提醒制度，讓他能夠在固定時間、固定場所記得執行特定活動,無
79,職能治療師提供憂鬱症個案進行黑雕刮畫活動，以協助宣洩情緒並獲得成就感。但在活動一開始，個案就猶豫不決無法選擇要創作的草圖，於是職能治療師和個案會談了解需求後，先找出三張草圖再讓其挑選繪於黑雕紙上。下列那一項是職能治療師對個案所使用的技術？,活動分析（activity analysis）,活動調適（activity adaptation）,活動分級（activity grading）,活動合成（activity synthesis）,B,活動調適（activity adaptation）,無
80,承上題，原本職能治療師準備讓個案利用竹籤進行黑雕刮除，後來觀察個案做得很好，於是提供菜瓜布做表層刮除，再用竹籤做細部勾繪，最後再以金漆筆為作品作裝飾，雖然活動變得較有挑戰，但期待個案可以透過多個步驟及不同層次的表現獲得更大的成就感與滿足感。上述職能治療師所提供的技術為下列何項？,活動分析（activity analysis）,活動調整（activity adaptation）,活動分級（activity grading）,活動合成（activity synthesis）,C,活動分級（activity grading）,無
