題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
11,一位下背痛患者主訴1週前向前彎腰搬約15公斤重的工具箱時，出現下背中央疼痛及肌肉僵硬，3天後向前彎腰漱口時，背痛延伸至右邊臀部及大腿後側，平時於站立姿勢或走路時背痛較為緩解，坐姿及向前彎腰時疼痛特別明顯。近日抱怨2天前，在一次打噴嚏後，突然感覺疼痛延伸至右小腿，且患者自覺姿勢因受傷而改變，站立時呈現雙肩水平向左偏移。有關此個案的治療，下列何者不適合？,仰臥起坐運動,腰椎伸直導向運動（extension-bias exercise）,先矯正脊柱偏移（lateral shift）後，再執行仰腰的運動,在功能性姿勢下進行運動,A,仰臥起坐運動,A,,無
12,一位腰椎退化（spondylosis）的患者，腰部向右側彎、後仰等動作會增加右大腿後面的針刺感，向前彎時針刺感會減輕或消失。有關此患者的治療，下列何者正確？,患者側躺右側，肩關節下方墊毛巾，讓腰椎呈現左側彎及左旋轉的姿勢牽引,患者側躺左側，肩關節下方墊毛巾，讓腰椎呈現右側彎及左旋轉的姿勢牽引,患者側躺左側，腰部下方墊毛巾，讓腰椎呈現左側彎及右旋轉的姿勢牽引,患者側躺右側，腰部下方墊毛巾，讓腰椎呈現右側彎及右旋轉的姿勢牽引,C,患者側躺左側，腰部下方墊毛巾，讓腰椎呈現左側彎及右旋轉的姿勢牽引,C,,無
13,有關物理治療師評估患者的腹肌耐力，下列敘述何者正確？,動態耐力的評估為在仰臥下雙腳彎曲平放床面，雙手伸直放身體旁邊，然後縮下巴將上半身提起至肩胛骨離開床面，以每分鐘25下的節律進行，計算患者最多可重複的次數,靜態耐力的表現以等速收縮維持姿勢來評估,靜態耐力的評估，雙手抱胸前最難，其次是雙手抱頭後，雙手向前伸直為最容易,在仰臥下雙腳彎曲平放床面，雙手伸直朝向膝關節將上半身提起到肩胛骨離開床面，維持15秒鐘，評分為 Poor,A,動態耐力的評估為在仰臥下雙腳彎曲平放床面，雙手伸直放身體旁邊，然後縮下巴將上半身提起至肩胛骨離開床面，以每分鐘25下的節律進行，計算患者最多可重複的次數,A,,無
14,62歲男性病人出現雙側下肢疼麻症狀，腿部症狀比腰部症狀明顯，走路或站立時症狀增加，坐下時症狀減少，下列何者為最有可能的問題？,腰椎狹窄,椎間盤突出,小面關節退化,肌筋膜轉移痛,A,腰椎狹窄,A,,無
15,肩盂肱關節（glenohumeral joint）前後方向X光攝影，發現盂窩（glenoid fossa）有「空」（empty）的現象。下列何者是最有可能的問題？,盂肱關節前向脫位（anterior dislocation）,盂肱關節後向脫位（posterior dislocation）,肩黏連性關節囊炎（adhesive capsulitis）,盂肱關節退化,B,盂肱關節後向脫位（posterior dislocation）,B,,無
16,胸鎖關節扭傷（sternoclavicular joint sprains）後造成關節不穩定，訓練下列那一條肌肉最無法幫助穩定此關節？,上斜方肌,胸大肌,提肩胛肌,三角肌,C,提肩胛肌,C,,無
17,一位業餘攀岩者在吊掛的時候，肩部被拉扯時產生疼痛，經影像診斷為 SLAP傷害，攀岩者想先嘗試保守治療，下列治療安排何者錯誤？,若有肩關節活動受限，則初期以恢復被動關節度為目標,運動治療需包含肩旋轉肌袖的肌力訓練,運動治療需包含肩胛肌群的肌力訓練,若肱二頭肌無力，初期可執行肱二頭肌的離心肌力訓練,D,若肱二頭肌無力，初期可執行肱二頭肌的離心肌力訓練,D,,無
18,患者主訴右上肢有麻痛與腫脹的症狀，如懷疑為胸廓出口症候群（thoracic outlet syndrome）時，下列何種測試與協助確診較不相關？,上肢神經張力測試（upper limb tension test）,第一肋骨活動度測試,Wright測試,提肩胛肌柔軟度測試,D,提肩胛肌柔軟度測試,D,,無
19,患者舉手過肩之角度正常，但舉到60至120度間感到疼痛，下列何測試與此症狀較無關？,肩胛骨的動作控制測試,Hawkins-Kennedy夾擠測試（impingement test）,空罐測試（empty can test）,Adson測試,D,Adson測試,D,,無
20,一位幼稚園小朋友哭訴手肘痛，且無法做出旋後（supination）動作，下列何者為最有可能的原因？,橈骨頭脫臼,分離性骨軟骨炎（osteochondritis dissecans）,肱二頭肌肌腱炎,尺側副韌帶扭傷,A,橈骨頭脫臼,A,,無
21,因上肢周邊神經受壓迫而出現爪型手（claw hand）變形，下列何項運動較不恰當？,遠端至近端指間關節之屈曲阻力訓練,保持所有手指關節伸直，屈曲掌指關節,各手指外展與內收阻力訓練,大拇指與其他指之對掌阻力訓練,A,遠端至近端指間關節之屈曲阻力訓練,A,,無
22,針對外觀無明顯腫脹之急性膝關節傷害，下列何種檢查最可區辨其內側關節囊撕裂伴隨內側副韌帶的傷害為嚴重或輕微？,關節內活動（joint play）測試,阻力測試,主動關節活動度測量,Q角度測量,A,關節內活動（joint play）測試,A,,無
23,當膝關節的受傷機制包含膝外翻（valgus）與脛骨外轉，且患者抱怨受傷後經常有軟腳（give way）的現象，下列何者是最可能的狀況？,僅有膝內側副韌帶斷裂,膝內側與外側副韌帶均斷裂，造成旋轉不穩定,膝內側副韌帶與前十字韌帶斷裂，造成前內向旋轉不穩定（anteromedial rotary instability）,膝內側副韌帶與後十字韌帶斷裂，造成後內向旋轉不穩定（posteromedial rotary instability）,C,膝內側副韌帶與前十字韌帶斷裂，造成前內向旋轉不穩定（anteromedial rotary instability）,C,,無
24,有關應力性骨折（stress fracture）之敘述，下列何者正確？,骨折早期即可在X光片上顯示,在活動時的疼痛是間歇性的,受傷原因與活動程度無關,可能是長時間反覆承重造成,D,可能是長時間反覆承重造成,D,,無
25,下列關於骨質疏鬆之敘述，何者錯誤？,以骨質密度掃描的T-score作為診斷標準,骨質密度檢查結果通常以年輕白種女性資料做標準，區分為正常、骨質缺乏（osteopenia）、骨質疏鬆,常發生在體重過重的老年人身上,骨質疏鬆患者易有脊椎、髖部或腕部的骨折,C,常發生在體重過重的老年人身上,C,,無
26,關於骨質疏鬆與運動之敘述，下列何者錯誤？,在非藥物的治療選擇中，運動是預防骨質疏鬆的主要方法,以行走為運動治療項目，可顯著增加有骨質疏鬆診斷患者的骨質密度,矯正胸椎過度後凸姿勢（thoracic kyphotic posture）的脊椎後伸姿勢訓練，可降低脊椎骨折的機率,骨質疏鬆患者若有跌倒風險，則運動治療中需加入平衡訓練，以避免因跌倒而骨折的發生,B,以行走為運動治療項目，可顯著增加有骨質疏鬆診斷患者的骨質密度,B,,無
27,籃球選手拉傷腓骨短肌（fibularis brevis），以致於無法走路或踩地會痛。下列何種足底輔具最可以降低腓骨短肌作用，而協助其走路？,充氣副木（air splint）,外側楔型墊（lateral wedge）,蹠骨墊（metatarsal pad）,2公分高的足跟墊（heel lift）,B,外側楔型墊（lateral wedge）,B,,無
28,英國醫學會（British Medical Association）提出新的軟組織受傷之緊急處置臨床指引為 PEACE & LOVE原則，不建議使用冰敷，其原因為下列何者？,冰敷會降低運動表現,冰敷會延緩軟組織癒合速度,冰敷會影響肌肉柔軟度,冰敷會影響肌力,B,冰敷會延緩軟組織癒合速度,B,,無
29,物理治療師於場館防護時，下列何者不會被視為可能會休克（shock）的警訊？,收縮壓從120 mmHg陡降至70 mmHg,心跳脈搏變弱且快,瞳孔縮小,呼吸微弱、大量冒冷汗,C,瞳孔縮小,C,,無
30,當患者的燒燙傷面積大於全身表面積20% 以上且有吸入性嗆傷，有關其系統性併發症的敘述，下列那些正確？①周邊水腫，會造成心臟輸出量下降；②可能會出現肺臟水腫、氣管攣縮、肺炎等問題；③可能出現異位性骨化（heterotopic ossification），產生肢體活動疼痛與障礙；④基礎代謝率降低，影響傷口癒合的能力,僅①②③,僅②④,僅①③④,①②③④,A,僅①②③,A,,無
31,有關傷口處理的敘述，下列何者正確？,控制水腫、清除壞死組織、戒菸、保持肢體溫暖、避免疼痛或焦慮、補充水分等為改善傷口組織氧氣灌注的方法,有嚴重動脈硬化的肢體水腫，應給與彈性繃帶或彈性襪，來降低水腫,慢性靜脈功能不全患者的傷口應在水療池（whirlpool）中進行清瘡,糖尿病神經病變的足部潰瘍患者，應克服患肢感覺遲鈍的問題，增加患肢載重的練習,A,控制水腫、清除壞死組織、戒菸、保持肢體溫暖、避免疼痛或焦慮、補充水分等為改善傷口組織氧氣灌注的方法,A,,無
32,有關三級淋巴水腫象皮病（lymphostatic elephantiasis）的敘述，下列何者錯誤？,有 Stemmer sign,典型的皮膚改變包括過度角化、乳頭狀瘤、深層皮膚皺褶,肢體抬高可減輕水腫,常見皮膚和指甲的細菌或真菌感染,C,肢體抬高可減輕水腫,C,,無
33,關於腰椎旁肌肉與相對應的轉移痛（referred pain），下列何者正確？,腰髂肋肌（iliocostalis lumborum）的轉移痛常會出現在脊椎外側，薦椎到臀裂口，小腿後側,多裂肌（multifidus）的轉移痛常會出現在T9～T11的脊椎外側，肋骨後側區域,最長肌（longissimus）的轉移痛常會出現在脊椎旁往下到臀部,腹肌（abdominals）的轉移痛常會出現在T10肋骨下緣，脊椎外側，往下到尾椎,C,最長肌（longissimus）的轉移痛常會出現在脊椎旁往下到臀部,C,,無
34,一名患者在四足跪姿下，執行背旋轉肌測試（back rotator test），測試得分為普通（Fair），這是指能完成下列那一項指示？,在一隻手抬起時，能維持骨盆正中，至少持續20秒,在一隻腳抬起時，能維持骨盆正中且持續20秒，但在單側手和對側腳同時抬起時，無法維持骨盆正中,在單側手和對側腳同時抬起時，能維持骨盆正中，至少持續20秒,在一隻手抬起時，無法維持骨盆正中,A,在一隻手抬起時，能維持骨盆正中，至少持續20秒,A,,無
35,患者出現尿失禁、排尿困難或鞍狀麻木（saddle anesthesia）等現象，最有可能的是下列那一類腰椎椎間盤突出？,側向突出（lateral protrusion）,後向大突出（posterior large protrusion）,外後向突出（posterolateral protrusion）,前向大突出（anterior large protrusion）,B,後向大突出（posterior large protrusion）,B,,無
36,病人觸診時左髂後上棘（PSIS）附近有明顯痛點，平躺時骨盆出現髂前上棘（ASIS）左側較低且較向前，Patrick測試會引發左薦髂關節疼痛，左薦髂關節擠壓測試也引發疼痛。下列何者為最適當之治療？,左髖伸肌牽張運動,肌肉能量技術促使左臀大肌收縮,腰部牽引以降低疼痛,豎脊肌肌力訓練,B,肌肉能量技術促使左臀大肌收縮,B,,無
37,一位30歲下背痛男性患者，長期採坐姿辦公，1週前搬重物時，拉傷腰部肌肉。現階段適合的訓練為：①以骨盆小幅前後傾訓練本體感覺；②學習脊椎維持正中；③加強腹直肌耐力；④教導翻身、坐到站時保護脊椎,①②③,①③④,①②④,②③④,C,①②④,C,,無
38,下列有關胸腰筋膜側縫（lateral raphe）的敘述，何者錯誤？,是發生腰部拉傷常見之區域,為前、中、後三層胸腰筋膜之交會處，但未與闊背肌筋膜直接相連,此處同時接收左右兩側之側向拉力，可使腰椎棘突間距變小，提升穩定度,腹直肌筋膜與豎脊肌筋膜於此處相連，有助脊椎屈肌、伸肌間力量之傳遞,BD,為前、中、後三層胸腰筋膜之交會處，但未與闊背肌筋膜直接相連；腹直肌筋膜與豎脊肌筋膜於此處相連，有助脊椎屈肌、伸肌間力量之傳遞,D,第7題答Ｂ或Ｃ者均給分，第38題答Ｂ或Ｄ或BD者均給分，第48題答Ｂ或Ｄ或BD者均給分,無
39,有關薦髂關節功能障礙及治療的配對，下列何者正確？,向前旋轉的無名骨（innominate）－臀大肌肌肉能量技術訓練,向後旋轉的無名骨（innominate）－膕旁肌肌肉能量技術訓練,恥骨聯合活動度不足－沿下肢長軸進行高速關節鬆動（high velocity thrust）技術,薦髂關節整體活動度不足－沿下肢長軸進行高速關節鬆動（high velocity thrust）技術,A,向前旋轉的無名骨（innominate）－臀大肌肌肉能量技術訓練,A,,無
40,一位患者右腳長、左腳短，於站立姿勢時，右邊骨盆高於左邊骨盆，雙肩高度一致。下列敘述何者正確？,左髖關節較為內收、右髖關節較為外展,右髂薦關節面較為水平，會承受較大的壓力；左髂薦關節面較為垂直，會承受較大的剪力,右邊的腰椎椎間孔較為狹窄,腰椎會向左側彎、向右旋轉,C,右邊的腰椎椎間孔較為狹窄,C,,無
41,下圖患者接受下肢肌群柔軟度檢查，已知他右下肢Thomas test為陽性，執行右下肢的直膝抬腿測試時，下列敘述何者最恰當？,於患者下背部放毛巾，支撐下背的曲度，再執行右下肢的直膝抬腿測試,將左下肢彎曲，讓骨盆後傾回正中（neutral）位置，再執行右下肢直膝抬腿測試,將右膝關節彎曲後，再執行直膝抬腿測試,在左大腿後側放毛巾，讓骨盆前傾後，再執行右下肢直膝抬腿測試,B,將左下肢彎曲，讓骨盆後傾回正中（neutral）位置，再執行右下肢直膝抬腿測試,B,,images/Q41_區域.png
42,下背痛病人站立時呈現過大腰薦角度（lumbosacral angle）、過大腰椎前凸（lumbar lordosis）、過大骨盆前傾及髖關節屈曲。下列何者為較常伴隨的姿勢變化？,過大胸椎後凸（kyphosis）、前位頭部（forward head）,胸椎前凸（lordosis）、下巴內收（chin-in）,過大胸椎後凸（kyphosis）、下巴內收（chin-in）,胸椎前凸（lordosis）、前位頭部（forward head）,A,過大胸椎後凸（kyphosis）、前位頭部（forward head）,A,,無
43,有關肩關節與髖關節在解剖上相似處之比較，下列敘述何者錯誤？,肩盂（glenoid）與髖臼（acetabulum）的開口方向皆為向外、向前及向上,兩者皆為杵臼關節（ball & socket joint）,兩者皆有關節唇（labrum），以增加關節腔的深度,肱骨頸與骨幹的傾斜角度（inclination angle）以及股骨頸與骨幹的傾斜角度均約為125～130度,A,肩盂（glenoid）與髖臼（acetabulum）的開口方向皆為向外、向前及向上,A,,無
44,有關盂肱關節成形術（glenohumeral arthroplasty）術後最大保護期（0到4週），下列處置何者最不適當？,肩外展0到30度的被動關節活動,以吊帶（sling）保護肩關節，擺位於肩胛平面（scapular plane）上,平躺下，肩胛骨前突（protraction）的徒手阻力訓練,肩外轉0度的等長阻力訓練,D,肩外轉0度的等長阻力訓練,D,,無
45,下列何者可用以測試肱二頭肌肌腱炎？,患者肩外展90度，施測者施以頭部側彎的阻力,患者肩屈曲90度，肘部伸直、前臂旋後（supination）時，施測者於患者手臂施以向下的阻力,患者肩關節於肩胛平面上抬90度，肘部伸直，大拇指向下，施測者於患者手臂施以向下的阻力,患者肩屈曲90度，肘部屈曲90度，施測者在患者手肘上施以肱骨長軸方向向後的阻力,B,患者肩屈曲90度，肘部伸直、前臂旋後（supination）時，施測者於患者手臂施以向下的阻力,B,,無
46,有關物理治療師於患者坐姿下進行徒手牽張（stretch）其胸小肌，下列敘述何者錯誤？,治療師一手控制病人肩胛骨下角處，一手控制病人肩前喙突處,治療師將病人肩胛骨往後傾方向移動,要配合病人呼吸節奏進行，呼氣時牽張，吸氣時放鬆,牽張時間長且重複數次，效果較好,C,要配合病人呼吸節奏進行，呼氣時牽張，吸氣時放鬆,C,,無
47,患者主訴1週前跌倒時肩膀撞擊到地面後便開始疼痛，尤其當肩外展超過90度與手欲觸碰對側肩膀時感到最痛；治療師同時也觀察到鎖骨的肩峰端（acromial end）有些微隆起，且附近有局部壓痛感，則患者最可能的傷害為下列何者？,肩峰鎖骨關節韌帶斷裂,盂肱關節向下脫位,胸鎖關節脫臼,肩旋轉袖肌斷裂,A,肩峰鎖骨關節韌帶斷裂,A,,無
48,肩部班卡氏（Bankart）病變開放式修復手術後，下列那條肌肉最不宜過度牽張（stretch）？,棘上肌,棘下肌,大圓肌,胸大肌,BD,棘下肌；胸大肌,B,第7題答Ｂ或Ｃ者均給分，第38題答Ｂ或Ｄ或BD者均給分，第48題答Ｂ或Ｄ或BD者均給分,無
49,有關冰凍肩的敘述，下列何者正確？,泛指肩部後方關節囊發炎後形成的關節活動度不足現象,好發於30～50歲，男性多於女性,以比例來說，肩屈曲及外展之關節活動度較其他方向的受限程度更大，因此患者症狀多為無法抬高手臂,高應激性（irritability）患者，其主訴症狀為疼痛，即使休息時及夜間仍會持續疼痛,D,高應激性（irritability）患者，其主訴症狀為疼痛，即使休息時及夜間仍會持續疼痛,D,,無
50,下列有關前臂區域相關之神經纏套（entrapment）問題的敘述，何者錯誤？,尺神經纏套可使規則九測試（rule-of-nine test）呈現陽性反應,旋前圓肌症候群是正中神經纏套傷害的一種,搔潰測試（scratch collapse test）可以協助判斷橈神經、正中神經以及尺神經問題,前骨間神經症候群不會引起感覺功能喪失,A,尺神經纏套可使規則九測試（rule-of-nine test）呈現陽性反應,A,,無
51,下列有關手肘特殊測試與測試問題之配對，何者錯誤？,桌面復位測試（tabletop relocation test）：手肘後外側旋轉不穩定,蒙特婁孩童手肘測試：分離性骨軟骨炎（osteochondritis dissecans）,Mill測試：肱骨外上髁炎,捏握測試（pinch grip test）：前骨間神經症候群,B,蒙特婁孩童手肘測試：分離性骨軟骨炎（osteochondritis dissecans）,B,,無
52,有關外側網球肘之敘述，下列何者正確？,做腕部的彎曲阻力測試會產生疼痛,疼痛多在橈側屈腕肌腱處,肘部不一定會出現明顯腫脹,被動牽張（stretch）腕部屈肌會疼痛,C,肘部不一定會出現明顯腫脹,C,,無
53,下列何者之症狀與腕隧道症候群最不相同？,旋前圓肌症候群（pronator teres syndrome）,第六頸椎神經根病變（C6 radiculopathy）,胸廓出口症候群（thoracic outlet syndrome）,蓋恩氏通道症候群（Guyon's canal syndrome）,D,蓋恩氏通道症候群（Guyon's canal syndrome）,D,,無
54,關於獵場看守員拇指（gamekeeper's thumb）之治療策略，下列何者最不適當？,穩定型（stable）大拇指以副木（splint）或石膏固定應至少4週,掌指關節外翻大於35度，是接受韌帶重建術的適應症,韌帶重建術後4週後，開始掌指關節的被動尺側／橈側偏移運動,於韌帶重建術後第9週，進行肌力強化運動,C,韌帶重建術後4週後，開始掌指關節的被動尺側／橈側偏移運動,C,,無
55,有關手指鵝頸變形（swan-neck deformity）之敘述，下列何者錯誤？,掌指關節及遠端指間關節彎曲,近端指間關節過度伸直,手內在肌無力,近端指間關節掌板破裂,C,手內在肌無力,C,,無
56,病患側躺時，物理治療師將其位於上方的受測腳之膝關節和髖關節彎曲90度，再將髖關節外展並伸直至正中位置，發現受測腳無法被移至正中位置，此現象與下列何者最為相關？,臀大肌肌力不足,梨狀肌緊縮,闊筋膜張肌鬆弛,髖屈曲肌群緊縮,D,髖屈曲肌群緊縮,D,,無
57,因髖關節骨折癒合不良，患者接受經後外側手術之全髖關節置換術，下列術後早期階段的處置，何者錯誤？,髖屈曲不可超過90度，不可內收或內轉超過中立位置,進行踝關節幫浦（pumping）運動，以預防循環系統或肺臟的併發症,一般而言，行走時，患肢承重以在可忍受範圍內進行,術後早期階段不可上下樓梯,D,術後早期階段不可上下樓梯,D,,無
58,一位35歲男性患者，主訴最近3個月右腳跨機車時會有困難，觀察其步態，在左腳承重時，右側骨盆會有下降的情況，則下列敘述何者錯誤？,病患可能右側的臀中肌有無力的現象,應該進行Trendelenburg sign測試，預期會獲得陽性結果,必須進行兩側臀中肌的肌力測試，以確認是否有一側較為無力,治療應以肌肉強化訓練為主，包括開放鍊和閉鎖鍊肌力訓練,A,病患可能右側的臀中肌有無力的現象,A,,無
59,關於髖關節功能性評估的敘述，下列何者錯誤？,理想下，髖關節的功能性活動度應該至少要有屈曲120度，外展20度和外轉20度,可以數字計分表（numerical rating scale）來評估疼痛強度,Kujala計分問卷常用於髖關節手術的病患，進行術前與術後的功能性評估,The Western Ontario and McMaster Universities Osteoarthritis Index（WOMAC）較常用於人工髖關節或膝關節置換手術病患的功能性評估,C,Kujala計分問卷常用於髖關節手術的病患，進行術前與術後的功能性評估,C,,無
60,有關 Ober測試，下列敘述何者錯誤？①Ober提出本測試時，是將膝關節擺在伸直位置；②當膝關節伸直時，髂脛束將有最大的壓力；③當膝關節彎曲時，髂脛束將有最大的壓力；④膝關節的伸直或彎曲可能會對股神經造成不同的壓力,①③,①②,②④,①③④,A,①③,A,,無
61,有關股骨髖臼夾擠症候群（femoroacetabular impingement）非手術治療之早期處置，下列敘述何者正確？,不建議使用非類固醇消炎止痛藥（nonsteroidal anti-inflammatories）,大部分個案不建議使用關節內類固醇藥物注射（intra-articular corticosteroid injection）,可針對腰部核心肌群、椎旁肌（paraspinal muscles）和髖外展肌群給予肌力訓練,針對過緊的髖伸肌和外展肌給予軟組織鬆動術，改善關節活動度和功能,C,可針對腰部核心肌群、椎旁肌（paraspinal muscles）和髖外展肌群給予肌力訓練,C,,無
62,下列有關膝過度伸直（hyperextension）的敘述，何者正確？,可讓髕骨的滑行軌跡相對較為穩定,易導致股四頭肌在膝屈曲0至20度時的離心控制不佳,兩腿長度不等時，較長腳在站立期時便會表現出膝過度伸直,可能造成高位髕骨（patella alta），並伴隨髕骨的低活動度（hypomobility）,B,易導致股四頭肌在膝屈曲0至20度時的離心控制不佳,B,,無
63,下列有關膝內側半月軟骨傷害和內側髕骨皺襞症候群（plica syndrome）的鑑別診斷之敘述，何者錯誤？,兩者皆可能有關節腫脹,內側髕骨皺襞症候群常會出現關節鎖住（locking）的症狀,內側髕骨皺襞症候群常會出現被動關節屈曲時疼痛症狀,膝內側半月軟骨傷害常出現內側關節線觸診疼痛,B,內側髕骨皺襞症候群常會出現關節鎖住（locking）的症狀,B,,無
64,有關膝關節在開放鍊及閉鎖鍊運動之敘述，下列何者錯誤？,以閉鎖鍊方式進行下蹲運動有助於膕旁肌的訓練,相較於閉鎖鍊訓練，以開放鍊方式進行坐姿膝伸直訓練，對股內斜肌的肌力訓練效果較少,以開放鍊方式進行坐姿膝伸直肌力訓練時，脛骨－股骨關節較大應力會出現在膝屈曲大於70度時,以開放鍊方式進行膝伸直肌力訓練時，前十字韌帶在膝屈曲小於25度時會出現張力,C,以開放鍊方式進行坐姿膝伸直肌力訓練時，脛骨－股骨關節較大應力會出現在膝屈曲大於70度時,C,,無
65,有關膝關節單獨內側副韌帶傷害（isolated MCL injury）的鑑別診斷，下列何者正確？,最敏感的測試是在膝關節完全伸直時執行外翻應力測試（valgus stress test）,外觀上很少會有顯著的關節水腫,用內側關節線的壓痛可排除膝內側半月軟骨傷害,用前向抽拉測試（anterior drawer test）可排除膝前、後十字韌帶的傷害,B,外觀上很少會有顯著的關節水腫,B,,無
66,下列關於股四頭肌訓練的敘述，何者正確？,股四頭肌訓練可增強膝關節在額狀面（frontal plane）的控制，對於退化性膝關節炎患者有益,股四頭肌訓練增加其肌力後，將增加髕股關節作用力，髕股關節疼痛者應避免之,站立時，閉鎖鍊小範圍的股四頭肌訓練可誘發大腿後肌的共同收縮（co-contraction），對於膝前十字韌帶手術後1週的患者是安全的訓練方式,開放鍊股四頭肌訓練可增強大腿後肌的離心收縮控制能力，可應用於膝關節後外側受損病患,C,站立時，閉鎖鍊小範圍的股四頭肌訓練可誘發大腿後肌的共同收縮（co-contraction），對於膝前十字韌帶手術後1週的患者是安全的訓練方式,C,,無
67,兒童的外八走路型態（toe-out）與下列何者最無關連？,髖內轉肌群麻痺無力,脛骨外轉（lateral tibial torsion）,小腿三頭肌（triceps surae）攣縮過緊造成足外翻（pes valgus）,不正常的股骨前轉（abnormal femoral antetorsion）,D,不正常的股骨前轉（abnormal femoral antetorsion）,D,,無
68,下列何者為最適合評估運動員踝關節功能性背屈角度的測量？,站立時踮腳尖高度測試,弓箭步測試（ankle lunge test）之脛骨傾斜角度,單腿跪姿之腿踝關節被動背屈角度,平躺時測量主動踝關節背屈角度,B,弓箭步測試（ankle lunge test）之脛骨傾斜角度,B,,無
69,下列何者不是檢測踝關節韌帶聯合（syndesmosis）的測試？,踝關節前向抽拉測試（anterior drawer test of the ankle）,Cotton測試,腓骨位移測試（fibular translation test）,外轉壓力測試（external rotation stress test）,A,踝關節前向抽拉測試（anterior drawer test of the ankle）,A,,無
70,下列何者為小腿前腔室壓迫症候群最容易看到的臨床神經症狀？,垂足,腓腸肌痙攣,腓骨肌群控制不良,脛後肌功能損傷,A,垂足,A,,無
71,病人能夠向前走，但無法以腳內側著地外側提起之姿勢行走，最可能的問題為下列何者？,脛後肌與脛前肌控制不良,腓腸肌無力,腓骨長肌與腓骨短肌無力,伸趾長肌控制不良,C,腓骨長肌與腓骨短肌無力,C,,無
