題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
19,某人的肺功能檢查數據為第一秒用力吐氣體積（FEV1）＝0.8公升（25％的預期值），FEV1/FVC＝50％，殘餘體積（RV）＝5公升（200％的預期值），肺總容量（TLC）＝7公升（110％的預期值），下列何者為正確判讀？,此人肺功能優於常人,此人肺功能異常，屬於阻塞性肺疾病,此人肺功能異常，屬於限制性肺疾病,此人肺功能異常，屬於阻塞合併限制性肺疾病,B,此人肺功能異常，屬於阻塞性肺疾病,B,,無
20,下列何項測試最可以代表呼吸肌的肌耐力表現？,最大吸氣壓（maximal inspiratory pressure）,最大吐氣壓（maximal expiratory pressure）,最大自主通氣量（maximal voluntary ventilation）,吸鼻壓（sniff nasal inspiratory pressure）,C,最大自主通氣量（maximal voluntary ventilation）,C,,無
21,針對肺部移植後使用環孢靈（cyclosporine）的患者進行物理治療時，下列何種注意事項錯誤？,治療師需佩戴口罩和手套，避免增加患者感染的風險,藥物會造成腎毒性，患者運動時要適當補充水分避免脫水，必要時治療師要調整運動處方,藥物容易引起過敏反應，運動時要注意是否有喉嚨腫脹或蕁麻疹症狀,藥物可能造成骨質疏鬆或肌肉震顫，運動強度要循序漸進,C,藥物容易引起過敏反應，運動時要注意是否有喉嚨腫脹或蕁麻疹症狀,C,,無
22,"有關一位特發性肺纖維化（idiopathic pulmonary fibrosis, IPF）的患者，主訴吸氣總是吸不飽。下列敘述何者錯誤？",解剖上有問題的部位主要在肺實質,診斷上，肺容積測試（lung volume test）的結果比肺量計（spirometry）敏感,呼吸困難的主要原因是氣道阻力大,運動時血氧降低是常見的臨床現象,C,呼吸困難的主要原因是氣道阻力大,C,,無
23,一位有漏斗胸的肺氣腫患者，運動時可以降低呼吸困難最有效的呼吸策略為何？,節段式呼吸,圓唇吐氣,淺快呼吸,胸式呼吸,B,圓唇吐氣,B,,無
24,肺部復健的主要目的，下列何者錯誤？,提升第一秒用力吐氣體積與最大肺活量,減少氣道阻塞,預防及治療各種併發症,增進病人生活品質,A,提升第一秒用力吐氣體積與最大肺活量,A,,無
25,左冠狀動脈（left coronary artery）的分支，下列何者錯誤？,左旋（left circumflex）動脈,左後上支（left posterior ascending）動脈,左鈍緣分支（obtuse margin branch）動脈,斜向支（diagonal branch）動脈,B,左後上支（left posterior ascending）動脈,B,,無
26,有關人體正常的運動反應，下列何者錯誤？,運動時能量需求急速增加,循環系統加快移走二氧化碳和乳酸的代謝產物，並散掉多餘的熱,收縮肌肉輸送和使用氧的能力仰賴足夠的血流和細胞呼吸兩者的配合,運動初期會刺激副交感神經，因而增加心臟幫浦的功能和引起一般性血管的收縮,D,運動初期會刺激副交感神經，因而增加心臟幫浦的功能和引起一般性血管的收縮,D,,無
27,美國心臟學會（AHA）針對心臟病患，考量症狀限制最大運動測試的絕對禁忌症，下列敘述何者錯誤？,急性肺栓塞、肺梗塞,未控制性心律不整伴有血流動力學障礙,休息收縮壓180 mmHg或舒張壓110 mmHg,2天內急性心肌梗塞,C,休息收縮壓180 mmHg或舒張壓110 mmHg,C,,無
28,人體進行上下肢運動時，心率變化的監測，下列何者錯誤？,心率可由脈搏或心電圖上得知,心率會受藥物、心室功能和活動量大小所影響，一般每增加1 MET的運動，心率約下降10±2 bpm,當心率與平均血壓之預期反應不同時，應同時檢查血壓、心音等有無異常,僅只有單純的心跳反應過快，可能只是病人病後貧血或不活動導致,B,心率會受藥物、心室功能和活動量大小所影響，一般每增加1 MET的運動，心率約下降10±2 bpm,B,,無
29,心電圖檢查判讀為竇性節律（sinus rhythm）時，其R波間距離在心電圖紙上為20 mm（20小格），則此時心率應為何？,50次／分鐘,60次／分鐘,75次／分鐘,100次／分鐘,C,75次／分鐘,C,,無
30,判讀以下的心電圖，下列選項何者正確？（特徵提示：①左邊算起第三心跳，比預期心跳提早發生；②左邊算起第三心跳看不到P波）,心室撲動（ventricular flutter）,房室結早期收縮（JPC or NPC）,心房撲動（atrial flutter）,心房早期收縮（APC）,B,房室結早期收縮（JPC or NPC）,B,,無
31,"關於軸式流向型（axial-flow）左心室輔助裝置（left ventricular assist devices, LVAD）患者運動監測與生理反應之敘述，下列何者錯誤？",運動期間若平均動脈壓（MAP）高於95 mmHg，應評估是否需調降訓練強度或休息,軸式LVAD患者之心率不具代表性，仍應記錄其趨勢,RPE是初期監測的實用工具，應控制於11～13,若 SpO2維持97～100％，則可排除低灌流的可能,D,若 SpO2維持97～100％，則可排除低灌流的可能,D,,無
32,汪先生因患有急性心肌梗塞正在加護病房（ICU）進行照護，經由醫療團隊評估後認為可進行早期活動訓練，下列那一項內容最不適合列入汪先生第一天的訓練處方？,床邊坐起,呼吸控制訓練,當日累計步行距離達150公尺以上,被動關節活動與短坐姿訓練,C,當日累計步行距離達150公尺以上,C,,無
33,一名同時罹患慢性阻塞性肺疾病以及心臟衰竭的病患正接受心肺運動訓練，RPE維持在13/20，SpO2為91％，但訓練中多次主訴「腿軟、想吐」，血壓由118/76下降至92/64 mmHg。病史顯示近2天調整藥物，包括使用spironolactone（保鉀型利尿劑）與長效型乙型交感神經致效劑。下列何者最可能是症狀原因？,鉀離子偏低導致心律不穩,長效型乙型交感神經致效劑造成中樞刺激與低血糖,利尿劑造成姿勢性低血壓與電解質失衡,呼吸藥物影響肺擴張導致缺氧,C,利尿劑造成姿勢性低血壓與電解質失衡,C,,無
34,李先生為健康男性25歲70公斤，其進行跑步時心率150 bpm，心搏量90 mL/beat，通氣量為65 L/min，呼吸頻率35次/min，動靜脈血氧差為14 mL/dL，其在此跑步運動時之MET數值約為何？,5.5,6.6,7.7,8.8,C,7.7,C,,無
35,承上題，這位李先生有氧跑步運動訓練30分鐘，可以消耗大約多少熱量（大卡）？,200,240,280,320,C,280,C,,無
36,參與社區預防及延緩失能照護，發展許多團體活動模組促進社區老年人身體健康，在公衛四段七級中的那個時期扮演重要角色？,一段預防,二段預防,三段預防,四段預防,A,一段預防,A,,無
37,林爺爺今年67歲，健康良好無用藥，平時沒有規律運動的習慣。若他要進行漸進式運動測試（graded exercise testing），下列何種注意事項不適用在林爺爺身上？,測試起始的作功量（workload）要輕（＜3 METs），且增加作功量的幅度要小,若使用直立式腳踏車（cycle ergometer）進行測試，可能會因局部肌肉疲乏，導致比用跑步機（treadmill）進行測試時所測到的尖峰攝氧量低,使用跑步機（treadmill）進行測試時，考量測試者的走路速度，可以用增加坡度取代增加速度,因林爺爺年紀較大，不可用年齡預估之最大心率來作為終止測試的指標,D,因林爺爺年紀較大，不可用年齡預估之最大心率來作為終止測試的指標,D,,無
38,運動訓練的效果會在停止訓練（detraining）後一段時間內消失，初期（3週內）與較長時間（3～12週）的最大攝氧量降低的主要原因各與那個因素下降最相關？,初期：最大心輸出量；長期：動靜脈氧分壓差,初期：動靜脈氧分壓差；長期：最大心輸出量,初期：粒線體數量；長期：最大心搏量（stroke volume）,初期：最大心搏量（stroke volume）；長期：最大心率,A,初期：最大心輸出量；長期：動靜脈氧分壓差,A,,無
39,肌力與肌耐力的運動表現不同，下列何者是特別強調「肌耐力訓練」之最適當的運動處方？,訓練強度：8～12 RM；組數3 Sets；每週2次,訓練強度：2～6 RM；組數3～6 Sets；每週3次,訓練強度：20～30 RM；組數3～6 Sets；每週3～5次,訓練強度：8～20 RM；組數3～8 Sets；每週4～12次,C,訓練強度：20～30 RM；組數3～6 Sets；每週3～5次,C,,無
40,有關健康成年人執行有氧運動的處方，下列建議何者最適當？,30～39％HRR，3天／週，30～60分鐘／天,40～59％HRR，2天／週，30～60分鐘／天,60～89％HRR，3天／週，20～60分鐘／天,60～89％HRR，2天／週，30～60分鐘／天,C,60～89％HRR，3天／週，20～60分鐘／天,C,,無
41,根據動作學習理論，治療師為發展遲緩兒童進行介入時，下列敘述何者正確？,根據以任務為導向的動作學習模式來進行介入，對兒童的成效較好,學習需實際操作，兒童單純的觀察別人的動作不算動作學習,針對兒童每個動作練習給予回饋，錯誤立即糾正，以確認動作的正確性,團體治療不適合兒童動作學習,A,根據以任務為導向的動作學習模式來進行介入，對兒童的成效較好,A,,無
42,依據動態系統理論來評估或訓練兒童的動作表現時，下列那一項敘述最不適當？,動作的表現會受到多重系統互相影響，評估時也需要觀察兒童所在的情境,動作到達穩定狀態時表示兒童已經學會該動作，是最適當提供介入的時間點，由介入誘發新動作產生,在治療時，引導兒童在關鍵次系統中的改變，以為未來可能帶來動作明顯改變作準備,設計具體的任務會比用抽象性的任務更容易有好的動作表現,B,動作到達穩定狀態時表示兒童已經學會該動作，是最適當提供介入的時間點，由介入誘發新動作產生,B,,無
43,小玲為一位3歲，無明顯關節攣縮及姿勢變形之多重障礙個案，完全無移動能力，也無法維持頭部姿勢，何種站姿輔具較為適合？,不應使用站姿輔具,仰躺式站立架,趴式站立架,直立站立架,B,仰躺式站立架,B,,無
44,一名智能障礙的兒童，為了要吸引治療師的注意力而亂丟東西，此時治療師選擇刻意不關注這件事情，這種作法屬於下列何種行為改變策略?,正增強,消極增強,削弱,懲罰,C,削弱,C,,無
45,提供患有智能障礙兒童服務時，有關評估原則的描述，下列何者正確？,只須評估其障礙及失能的程度，不須評估兒童的支持需求,動作技巧的評估可包括粗大動作能力、遊戲活動能力、操作物體的能力等,針對其視覺功能，主要評估視覺記憶能力,進行感知覺評估時，藉由觸覺敏感度的變動以瞭解前庭系統的功能,B,動作技巧的評估可包括粗大動作能力、遊戲活動能力、操作物體的能力等,B,,無
46,關於脊髓脊膜膨出（myelomeningocele）的預防、病因與症狀，下列敘述何者錯誤？,與遺傳因素有關,患童可能會有下肢感覺喪失與肌肉無力的症狀，並有排泄控制的問題,在懷孕前開始補充葉酸是無效的預防策略,可能伴隨發生水腦，會影響兒童的認知功能,C,在懷孕前開始補充葉酸是無效的預防策略,C,,無
47,關於個別化教育計畫（Individualized Educational Plan）的目標設定，下列敘述何者正確？①著重功能性活動、不能有動作的訓練；②以教育目標為優先、最終境界是能兼顧學生個人需求；③須將學生優弱勢、家長期望與家庭狀況等因素列入考量；④目標僅限於學生個人能力提升，不包含個人環境的調整；⑤應參考教師對學生學習相關表現的觀察以及教師預定的教學內容,①②③,②③⑤,③④⑤,①④⑤,B,②③⑤,B,,無
48,關於中樞型態發生器（Central Pattern Generators）理論的敘述，下列何者錯誤？,不需周邊神經輸入回饋,需意識調節才能產生動作,腦幹的中樞型態發生器控制節律性呼吸運動,脊髓的中樞型態發生器控制節律性移行動作,B,需意識調節才能產生動作,B,,無
49,"物理治療師評估一名疑似發展遲緩的幼兒，其結果部分如下，若將結果按照國際健康功能與身心障礙分類系統（International Classification of Functioning, Disability and Health）進行分類，下列那一項評估結果不屬於身體功能與構造的面向？",體重在正常範圍內,出現向後的手部保護性伸直反應,有主動跨步的動作，但步態呈現左右寬幅大,可以臀移方式移動，但無法獨立行走,D,可以臀移方式移動，但無法獨立行走,D,,無
50,有關以家庭為中心早期介入之原則，下列敘述何項錯誤？,專業人員與家長形成從屬關係,專業人員與家長分享資訊,尊重家庭個別差異,著重家庭成員參與早期介入,A,專業人員與家長形成從屬關係,A,,無
51,某地方政府辦理幼兒園遊會，邀請物理治療師規劃在攤位中找出個別孩童是否可能有發展遲緩的問題，下列何項工具最適合？,兒童生活功能量表（Pediatric Evaluation of Disability Inventory）,穆林早期學習評量（Mullen Scales of Early Learning）,"臺北市學前兒童發展檢核第二版（Taipei City Developmental Screening Checklist for Preschoolers, 2nd Version）",嬰幼兒綜合發展測驗（Comprehensive Developmental Inventory for Infants and Toddlers）,C,"臺北市學前兒童發展檢核第二版（Taipei City Developmental Screening Checklist for Preschoolers, 2nd Version）",C,,無
52,依據皮亞傑認知心理理論，當兒童發展出正確配對圓形、方形等形狀時，是屬於那一階段？,感覺動作期,前運思期,具體運思期,形式運思期,B,前運思期,B,,無
53,有位早產兒，妊娠週數為32週，出生日期為2017年12月1日，於2020年7月1日接受兒童發展評估。治療師對照評估工具常模以取得標準分數時，應選擇下列那一個年齡層較為適當？,未滿2歲,2歲至未滿2歲6個月,2歲6個月至未滿3歲,3歲以上,BC,2歲至未滿2歲6個月；2歲6個月至未滿3歲,C,第53題答Ｂ或Ｃ者均給分,無
54,關於兒童遊戲發展的敘述，下列何者正確？,兒童雖可透過遊戲發展社會情緒能力，但對其他領域發展沒有幫助,與同儕互動是遊戲過程中不可或缺的一環，因此無所事事（unoccupied behavior）和獨自遊戲（solitary play）皆被視為遊戲發展有遲緩,平行遊戲（parallel play）過程中，兒童雖不直接介入他人正在進行的活動，但可能會觀察並模仿同儕的行為,結夥遊戲（associative play）在學齡前階段出現，兒童在遊戲過程中會互相交流、並設定分工與共同目標來完成遊戲,C,平行遊戲（parallel play）過程中，兒童雖不直接介入他人正在進行的活動，但可能會觀察並模仿同儕的行為,C,,無
55,關於美國早期兒童成效中心所提出的家庭成效問卷（Family Outcome Survey）修訂版，下列那一項最不符合其評量的內涵？,當需要幫忙時，家庭是否有朋友或家人可以依靠,家庭是否覺得接受早期療育服務對其有幫助,家庭覺得孩子與父母的關係有進步,住家附近的兒童就學服務是否能滿足家庭的需求,C,家庭覺得孩子與父母的關係有進步,C,,無
56,關於新生兒發展的理論架構，下列何者錯誤？,動態系統理論（Dynamical Systems Theory）強調嬰兒的行為是許多系統的相互作用的結果，也包含環境因素,協同發展理論（Synactive theory of development）認為新生兒的神經行為功能是各個次級系統相互影響與統整的結果,協同發展理論（Synactive theory of development）所包含的各個次級系統中，最基礎的是動作系統,神經群選擇理論（Neuronal Group Selection Theory）和動態系統理論（Dynamical Systems Theory）都認為動作發展是非線性的,C,協同發展理論（Synactive theory of development）所包含的各個次級系統中，最基礎的是動作系統,C,,無
57,早產兒在新生兒階段的神經行為發展評估，下列何者是經期後週數（postmenstrual age）達37～42週的表現？,拉坐時，嬰兒可維持頭部與軀幹在同一軸線上至少3秒,腳踝背屈時，雙腳踝能從正中姿勢（90度）被動彎曲超過30度，貼近小腿前側,吸吮奶嘴時，規律連續吸吮達4次,在自然仰躺姿勢下，四肢呈現伸直外展，缺乏接近中線與屈曲姿勢,A,拉坐時，嬰兒可維持頭部與軀幹在同一軸線上至少3秒,A,,無
58,在新生兒加護病房中，物理治療師參與早產兒的個別化早期介入計畫。根據「以家庭為中心的照護」理念，下列那一項做法最不符合此理念的核心精神？,物理治療師根據專業評估與發展指標，自行制定介入計畫，並請家長配合執行,物理治療師鼓勵家長參與床邊觀察與記錄早產兒反應，作為調整介入策略的依據,在出院前，治療師與家長共同討論居家照護挑戰與資源需求，擬定後續照護計畫,治療師重視家長在照護中的觀察與經驗，與家長協同設定契合家庭生活情境的目標,A,物理治療師根據專業評估與發展指標，自行制定介入計畫，並請家長配合執行,A,,無
59,當在新生兒加護病房進行早產兒的物理治療介入時，觀察到早產兒出現連續打哈欠的情形，下列說明與處置何者較為適當？,打哈欠為正常生理現象，無需特別理會，繼續執行介入即可,打哈欠表示早產兒警醒程度下降，應將早產兒扶起，給予前庭刺激將其喚醒,打哈欠為壓力徵象，應暫停介入，觀察早產兒的生理與行為變化情形,打哈欠表示早產兒感覺舒適，可延長介入時間使其入睡,C,打哈欠為壓力徵象，應暫停介入，觀察早產兒的生理與行為變化情形,C,,無
60,有關早產兒視網膜病變（retinopathy of prematurity）的敘述，下列何者正確？,病變的形成分成兩階段，第一個階段是因為缺氧導致視網膜新生血管增生，而第二個階段是因為缺少生長因子而導致視網膜血管發育不全,病變的嚴重程度與神經發展預後無關,病變的產生只與暴露於高濃度的氧氣有關,病變所增生之新生血管結構異常，容易出血及水腫,D,病變所增生之新生血管結構異常，容易出血及水腫,D,,無
61,有位3歲腦性麻痺兒童，粗大動作功能分類第一級，僅踝關節有高張力，關節活動度正常，但行走時常因踮腳尖步態造成跌倒，何種醫療處置較為適當？,口服藥物,肉毒桿菌毒素注射,骨科手術,脊髓腔內注射肌肉鬆弛劑,B,肉毒桿菌毒素注射,B,,無
62,一位患有腦性麻痺的3歲兒童，其日常生活的表現如下：要喝飲料時，需要大人協助先鬆開蓋子；畫垂直線或平行線時比一般同儕動作慢，且需要大人提醒手要壓著紙；串四方形有洞珠珠時比一般同儕動作慢，會用一手壓著珠珠於桌上，一手在大人提醒下將線穿過洞。這位兒童屬於迷你徒手能力分類系統（Mini-Manual Ability Classification System）那一級？,第I級,第II級,第III級,第IV級,B,第II級,B,,無
63,"關於自閉症類群障礙（autism spectrum disorder, ASD）兒童的敘述，下列何者正確？",近年全球ASD盛行率穩定，且女性盛行率高於男性,目前ASD的臨床診斷仍依賴結構性神經心理測驗與神經影像檢查的客觀結果為主,ASD兒童對早期介入計畫反應一致，臨床上可採固定式訓練流程以提升訓練效率,實證研究指出，早期介入可有效提升ASD兒童的社交、語言及適應功能發展,D,實證研究指出，早期介入可有效提升ASD兒童的社交、語言及適應功能發展,D,,無
64,關於自閉症類群障礙兒童接受物理治療時的互動與介入策略，下列那個做法較為合適？,鼓勵兒童在有興趣的遊戲中參與活動，並結合其喜好調整介入內容,透過快速切換不同訓練活動，增加感官與認知刺激，以延長兒童的參與時間與動機,若兒童無法配合，建議家長接受其他行為療法，不適合物理治療,由於兒童常出現注意力分散問題，治療師應提升環境的複雜度來提升其專注度,A,鼓勵兒童在有興趣的遊戲中參與活動，並結合其喜好調整介入內容,A,,無
65,關於發展性協調障礙（developmental coordination disorder）、自閉症類群障礙（autism spectrum disorder）、注意力不足過動症（attention deficit hyperactivity disorder）的敘述，下列何者錯誤？,在學齡期兒童中，盛行率最高的是自閉症類群障礙,一般而言，最早可以診斷的是自閉症類群障礙,三者互相為可能的共病症,三者都屬於神經發展疾患（neurodevelopmental disorder）,A,在學齡期兒童中，盛行率最高的是自閉症類群障礙,A,,無
66,一名5歲男童被診斷為中度智能障礙（IQ為40～55），物理治療師評估其粗大動作發展、姿勢控制及平衡能力皆落後同齡兒童。根據智能障礙之臨床特徵與物理治療介入原則，下列何者為最適當的處置策略？,以學齡前兒童之標準動作表現為訓練目標，以提升其年齡相符能力,採用指導性提示與重複性的活動安排，強化動作學習與功能參與,加強語言與社交訓練，以帶動其動作功能的發展,因動作功能發展落後同齡兒童，應延後進入同儕團體活動,B,採用指導性提示與重複性的活動安排，強化動作學習與功能參與,B,,無
67,下列何者不是臂神經叢損傷兒童常接受的檢查？,肌電圖,肌肉超音波,神經傳導速度,感覺與肌力測試,B,肌肉超音波,B,,無
68,一名罹患脊柱裂（spina bifida）的4歲兒童，物理治療評估結果為：髖屈曲肌與股四頭肌肌力為4分、踝背屈肌肌力3分、肌張力偏高，及足趾伸直肌幾乎無法主動控制。根據上述臨床表現，該兒童的動作層級為何？,腰椎第3節,腰椎第4節,腰椎第5節,薦椎第1節,B,腰椎第4節,B,,無
69,有關一位4歲開始出現走路內八步態兒童的敘述，下列何者正確？,四歲內幼兒內八步態盛行率約為30％,內八步態通常矯正半年即可完全正常,內八步態的主要介入方式為手術合併術後物理治療,因股骨頭前傾造成的內八步態，通常於11歲左右會改善,D,因股骨頭前傾造成的內八步態，通常於11歲左右會改善,D,,無
70,教導父母運用適當的策略來照護成骨不全症（osteogenesis imperfecta）的寶寶時，下列那個介入最不適當？,應準備有前開式鈕扣的上衣，會比起單純套頭上衣更容易也更安全的穿脫,換尿布時，應一手抓著寶寶兩腳的腳踝將寶寶提起，另一手快速的抽換尿布，避免寶寶哭泣,嬰兒期洗澡時，儘量使用有軟墊的嬰兒澡盆，提供頭部及軀幹支撐,在進行座椅坐姿活動時，身體周遭視情況給予保護，且下肢最好接觸地面避免懸空,B,換尿布時，應一手抓著寶寶兩腳的腳踝將寶寶提起，另一手快速的抽換尿布，避免寶寶哭泣,B,,無
71,因卵圓孔未關閉（Patent Foramen Ovale）所造成的先天性心臟病異常，最可能對嬰幼兒心肺系統發展造成何種影響？,右心室向左心室分流，導致左心房與左心室容量負荷增加並肥大,左心房向右心房分流，造成右心房與右心室容量負荷增加並肥大,肺動脈管徑縮小，導致肺血流灌注減少,無明顯生理意義，不會對循環造成影響,B,左心房向右心房分流，造成右心房與右心室容量負荷增加並肥大,B,,無
72,有關罹患先天性心室中膈缺損心臟病（ventricular septal defects）之嬰幼兒的呼吸循環生理變化，下列何者正確？,肺動脈壓過低導致氣體交換不足,左向右分流導致肺血流量增加與左心室過度負荷風險上升,心輸出量過高導致周邊組織血氧過多,主動脈狹窄導致上半身灌流不足,B,左向右分流導致肺血流量增加與左心室過度負荷風險上升,B,,無
73,關於兒童癌症化學治療引起的周邊神經病變（chemotherapy-induced peripheral neuropathy）之敘述，下列何者正確？,僅發生在接受化學治療後的中樞神經癌症病童，造成其感覺、動作或自主神經失能,最早期且最常見的症狀為阿基里斯腱反射增強,病童會出現垂足、腳踝背側屈曲主動關節角度受限、感覺異常等現象，進而影響病童行走功能,使用踝足支架無助於改善病童行走時的足部關節排列與步態,C,病童會出現垂足、腳踝背側屈曲主動關節角度受限、感覺異常等現象，進而影響病童行走功能,C,,無
74,關於兒童癌症的治療，下列何者正確？,所有兒童癌症都以化學治療為優先選擇，其次是放射線治療，最後才考慮手術,為了避免交互作用，最好採單一治療方式，效果不佳才考慮更換治療方式,癌症治療的不良副作用可能在治療期間出現，而功能損傷可能在數年後出現,疲憊（fatigue）是常見的癌症治療副作用，在適當休息後就可以緩解,C,癌症治療的不良副作用可能在治療期間出現，而功能損傷可能在數年後出現,C,,無
75,關於兒童身體活動量的敘述，下列何者錯誤？,兒童一般活動量與身體質量指數（body mass index）呈低度相關,教育部建議30分鐘費力活動的次數，小學生為5次／週，國中生為4次／週，高中生為3次／週,父母養育方式影響兒童體適能表現與參與活動的習慣,注意力不足過動症兒童身體活動量低於一般發展兒童,B,教育部建議30分鐘費力活動的次數，小學生為5次／週，國中生為4次／週，高中生為3次／週,B,,無
76,有關一般發展嬰兒於10個月大時的功能性軀幹伸直肌力測試的表現，下列何者正確？,以坐姿臀移方式移動時，出現腰椎後凸,坐姿往前取物可再回復原位，可不需用手撐著地板,不扶桌子站立時，可彎腰一手碰觸地面,俯臥姿下，大人抱著骨盆可以維持飛翔姿勢16秒,B,坐姿往前取物可再回復原位，可不需用手撐著地板,B,,無
77,下列何項工具比較適合評估早期療育之家庭面向成效？,早期介入發展量表（Early Intervention Developmental Profile）,學校日常生活功能評量（School Function Assessment）,卡羅萊納嬰幼兒課程（Carolina Curriculum for Infants and Toddlers with Special Needs）,親職壓力量表（Parent Stress Index）,D,親職壓力量表（Parent Stress Index）,D,,無
