題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
34,關於Ayres感覺統合參考架構的治療特質，下列敘述何者正確？,可用於治療自閉症個案,可治癒學習障礙的問題,職能治療師主導治療活動的進行,主要以團體治療的方式進行,A,可用於治療自閉症個案,無
35,孩童對於新食物非常排斥，不喜歡被碰觸到嘴唇與嘴巴附近的部位；用湯匙餵食時常把頭轉開，也時常出現嘔吐反應。職能治療師依此推論孩童的問題，最符合下列何者？,行為問題,情緒問題,感覺問題,動作問題,C,感覺問題,無
36,下列何者較適合用於因力氣不足而無法長時間使用一般鍵盤與滑鼠的孩童？①搖桿式滑鼠（joystick mouse） ②軌跡球滑鼠（trackball mouse） ③擴大型鍵盤（BigKeys keyboard） ④薄膜式鍵盤（membrane keyboard）,③④,①③,②④,①②,C,②④,無
37,下列那一個評估工具，最適合用來評量孩童單手動作能力與動作品質？,"手功能分級系統（Manual Ability Classification System, MACS）","箱子與積木測驗（Box and Block Test, BBT）","輔助手評估測驗（Assisting Hand Assessment, AHA）","墨爾本單側上肢功能評估測驗（Melbourne Assessment of Unilateral Upper Limb Function, MAUULF）",D,"墨爾本單側上肢功能評估測驗（Melbourne Assessment of Unilateral Upper Limb Function, MAUULF）",無
38,孩童有行為問題與同儕互動困難，下列治療計畫何者是最重要的部分？,在威權領導環境中提供活動,讓孩童有機會自己發展基本的社交技能,在安全且接納的環境中提供愉快的活動,嚴格執行團體遊戲規則,C,在安全且接納的環境中提供愉快的活動,無
39,使用標準化功能評估9歲兒童的動作技巧，下列那一個工具最適合？,"皮巴迪動作發展量表第二版（Peabody Developmental Motor Scales, 2nd Edition, PDMS-2）","兒童生活功能量表（Pediatric Evaluation of Disability Inventory, PEDI）","米勒功能與參與評量（Miller Function & Participation Scales, M-FUN）","布—歐氏動作精練度測驗第二版（Bruininks-Oseretsky Test of Motor Proficiency, 2nd Edition, BOT-2）",D,"布—歐氏動作精練度測驗第二版（Bruininks-Oseretsky Test of Motor Proficiency, 2nd Edition, BOT-2）",無
40,"感覺統合與運用測驗（Sensory Integration and Praxis Tests, SIPT）中，那一項不是以測量視知覺或視覺動作的能力為主？",空間視覺（space visualization）,手觸形狀辨識（manual form perception）,圖形複製（design copying）,主題背景（figure-ground）,B,手觸形狀辨識（manual form perception）,無
41,有關常模參照測驗（norm-referenced test）與效標參照測驗（criterion-referenced test）的敘述，下列何者錯誤？,常模參照測驗是標準化測驗（standardized assessment），而效標參照測驗則是非標準化測驗（nonstandardized assessment）,常模參照測驗強調孩童能力與常模的比較，而效標參照測驗則強調孩童能力的描述,常模參照測驗的選題是經過預試及試題分析，而效標參照測驗的選題則是選擇孩童日常生活中最重要的能力,"皮巴迪動作發展量表第二版（Peabody Developmental Motor Scales, 2nd Edition, PDMS-2）是常模參照測驗，也是效標參照測驗",A,常模參照測驗是標準化測驗（standardized assessment），而效標參照測驗則是非標準化測驗（nonstandardized assessment）,無
42,下列何者較不屬於感覺區辨與知覺的問題？,"""b"" 與 ""d"" 分不清楚",吃完飯滿臉飯粒而不自知,寫字時需要眼睛一直盯著,容易受環境中的聲音干擾而分心,D,容易受環境中的聲音干擾而分心,無
43,"在臨床觀察（Clinical Observations for Assessing Postural Control and Motor Planning）評估中，下列何者不是兩側整合與順序性（bilateral integration and sequencing, BIS）障礙表現？",接不到一顆彈跳的球,無法做出郊遊步（skipping）,無法仰臥屈曲（supine flexion）,沒辦法做開合跳（jumping jacks）,C,無法仰臥屈曲（supine flexion）,無
44,有關孩童寫字先備技巧的敘述，下列何者最不適當？,每個孩童有不同的發展時程，有些4歲就具備寫字先備技巧，有些可能要到6歲才具備,學者建議應在孩童具備寫字先備技巧之後，再開始教寫字，避免造成未來學習動機低落或寫字表現不佳等問題,寫字先備技巧包含上肢控制、手眼協調與視動整合等,學者認為可以描繪拜瑞－布坦尼卡視覺－動作統整發展測驗（VMI）前6個圖形，為具備寫字先備技巧,D,學者認為可以描繪拜瑞－布坦尼卡視覺－動作統整發展測驗（VMI）前6個圖形，為具備寫字先備技巧,無
45,評估一個6個月大的嬰兒，頭部輕輕轉往一側，身體的轉動呈分節狀，頭轉過去，然後是肩部，最後是骨盆。職能治療師觀察到這個動作可以記錄為何？,身體翻正反應（body righting reaction）,保護反應（protective reaction）,蘭道反應（Landau reaction）,視覺翻正反應（optic righting）,A,身體翻正反應（body righting reaction）,無
46,關於聽覺系統的敘述，下列何者錯誤？,毛細胞（hair cell）為其受器,核心路徑（core pathway）傳遞聲音頻率的資訊,經過視丘的內側膝狀核（medial geniculate nucleus）再傳至大腦皮質聽覺區,聲音刺激在耳蝸核（cochlear nuclei）與其他的體感覺刺激整合，協助定位聲音來源,D,聲音刺激在耳蝸核（cochlear nuclei）與其他的體感覺刺激整合，協助定位聲音來源,無
47,職能治療師要使用School Function Assessment評量小華，下列敘述何者最適當？,可評量小華於學校之參與、需要的協助以及從事學校任務的能力,會請小華自行填寫這份量表,會評量小華於學校10個情境如教室、操場、廁所等的表現,小華是男生的話，可對照男生的常模確認小華的能力,A,可評量小華於學校之參與、需要的協助以及從事學校任務的能力,無
48,職能治療師透過了解孩子的興趣、動機、對自我能力的信念，協助孩子探索和參與對其有意義的活動，是運用了下列何種介入模式？,社會認知模式,行為改變介入,人類職能模式,感覺介入,C,人類職能模式,無
49,小榮為6歲的重度腦性麻痺孩童，Gross Motor Function Classification System（GMFCS）為5，Manual Ability Classification System（MACS）為4。職能治療師如欲介入小榮的進食技巧後，下列何者最適合用來當作成效評量工具？,Adaptive Behavior Assessment System,Goal Attainment Scales,Vineland Adaptive Behavior Scales,Functional Independence Measure-II for children,B,Goal Attainment Scales,無
50,比較日常生活評估工具，下列敘述何者最適當？,Functional Independence Measure-II for Children最適合用於評量兒童在學校執行日常生活活動的表現,Pediatric Evaluation of Disability Inventory-Computer Adaptive Test適合用來作為介入的參考依據以及成效評量,Assessment of Motor and Process Skills為從下到上（bottom-up）的評估工具評量兒童從事日常生活活動的動作與處理技巧,Adaptive Behavior Assessment System System為學生自填式問卷，評量學生於日常生活活動的勝任感,B,Pediatric Evaluation of Disability Inventory-Computer Adaptive Test適合用來作為介入的參考依據以及成效評量,無
51,"依據學生環境任務工具（Student Environment Task Tool, SETT）進行輔助科技評估時，下列相關的引導問題和情境（context）類別，何項敘述錯誤？",「可能可以使用那些策略來提高學生表現？」屬於與工具（tools）情境相關的問題,「周遭人的態度和期待如何影響學生表現？」屬於與任務（tasks）情境相關的問題,「學生每天有那些資源可使用？」屬於與環境（environments）情境相關的問題,「學生的特殊需求和目前能力為何？」屬於與學生（student）情境相關的問題,B,「周遭人的態度和期待如何影響學生表現？」屬於與任務（tasks）情境相關的問題,無
52,下列何者不是輔助科技在學校場域中應用的障礙？,不足的評估和計畫,有限的經費和時間,學校人員的負面態度,過少的學生人數,D,過少的學生人數,無
53,關於輔助科技服務在不同實務場域（practice settings）的敘述，下列何項錯誤？,在醫院或醫療中心的服務，針對3歲以上兒童的主要角色為治療,在區域中心提供的服務內容，常涉及倡議（advocacy）與焦點團體（focus groups）,在居家或是社區場域提供的服務，可能與其他專業人士諮詢的機會較少,在公立學校所提供的服務，較複雜的科技系統問題無法處理,A,在醫院或醫療中心的服務，針對3歲以上兒童的主要角色為治療,無
54,小杰在與同齡孩童互動時，常無法仔細聆聽別人的談話，亦常衝動打斷別人的發言。班上同學大多不喜歡與小杰一起玩，朋友少。根據上面的描述，小杰最符合下列那種診斷的社交問題？,自閉症,智能發展障礙,注意力不足過動症,學習障礙,C,注意力不足過動症,無
55,下列有關兒童做家務之發展里程碑，何者最適當？,2～3歲：可摺棉被、毛巾、衣服,4～5歲：可收拾自己的玩具，餵食寵物,6～7歲：可自己清理房間，準備簡單的餐點,8～9歲：可根據購物清單購買家用物品,B,4～5歲：可收拾自己的玩具，餵食寵物,無
56,執行符合Ayres Sensory Integration Fidelity Measure（ASIFM）標準的感覺統合治療中，關於評估的報告內容，何者最不適當？,包含過去的醫療、教育、接受療育的歷史,各項發展歷史時程,僅由治療師評估的結果為基礎擬定治療計畫,小孩目前最喜歡的活動,C,僅由治療師評估的結果為基礎擬定治療計畫,無
57,下列有關職能治療師教育（education）、教練（coaching）及訓練（training）身心障礙兒童的家長、兄弟姐妹或老師一起促進兒童遊戲的敘述，何者最不適當？,當身心障礙兒童使用非傳統玩法去玩玩具時，家長、老師或兄弟姐妹應阻止，並示範玩法讓他模仿,治療師應協助家長、老師或兄弟姐妹了解身心障礙兒童的優點，學會如何和他一起有趣、開心地遊戲,混齡遊戲（mixed-age play）對身心障礙兒童是有益的,治療師應指導身心障礙兒童的兄弟姐妹，如何在與身心障礙兒童遊戲及自己玩想玩的遊戲間取得平衡,A,當身心障礙兒童使用非傳統玩法去玩玩具時，家長、老師或兄弟姐妹應阻止，並示範玩法讓他模仿,無
58,有關個體自我認同發展的敘述，下列何者錯誤？,"學者艾瑞克森（Erikson, 1968）認為幼兒階段是個體發展自我認同特別重要的時期",自我認同的發展是一個動態且個別化的發展過程,透過參與職能活動能提供個體機會去探索自己獨特的能力並發展自我認同,同儕的支持與示範有助於個體發展自我認同,A,"學者艾瑞克森（Erikson, 1968）認為幼兒階段是個體發展自我認同特別重要的時期",無
59,下列敘述何者最符合提升學校學習表現介入的「調整（modify）」？,舉辦關於低年級孩童感覺處理與手功能技巧發展的講座,提供握筆器，促進孩童於課堂上的書寫表現,提供課後或暑假有關書寫技巧練習的建議方案,透過相關活動，提供孩童的手功能技巧,B,提供握筆器，促進孩童於課堂上的書寫表現,無
60,孩童較無情緒起伏，對於與環境／物件互動的興趣大於與父母的互動，此敘述最符合下列那種依附類型的反應？,安全依附型（secure）,逃避型（avoidance）,矛盾型（ambivalent）,紊亂型（disorganized）,B,逃避型（avoidance）,無
61,"下列那些工具可用來評量孩童的日常生活活動（activities of daily living, ADL）？①目標達成量表（Goal Attainment Scaling） ②兒童生活功能量表－電腦化適性測驗（Pediatric Evaluation of Disability Inventory Computer Adaptive Test, PEDI-CAT） ③兒童協助：責任、期待與支持（Children Helping Out: Responsibilities, Expectations, and Supports） ④兒童職能自我評量（Child Occupation Self-Assessment）",①②③④,僅①②③,僅②③④,僅①②④,D,僅①②④,無
62,關於健康維持（healthcare maintenance）的敘述，下列何者錯誤？,5～9歲脊柱裂（spina bifida）孩童在提醒下，會注意減輕壓力並檢查皮膚的異狀,10～14歲的孩童會察覺生病及需要看醫生的時候,5～9歲的孩童可以在不協助下準備好藥物並服藥,15～18歲的孩童會在意個人衛生，並維持良好的衛生習慣,C,5～9歲的孩童可以在不協助下準備好藥物並服藥,無
63,Parten（1932）從人際互動的角色來看遊戲，下列孩童遊戲參與的發展歷程順序，何者正確？①合作遊戲（cooperative play） ②獨自遊戲（solitary play） ③平行遊戲（parallel play） ④關係遊戲（associative play）,③②①④,③②④①,②③④①,②③①④,C,②③④①,無
64,"關於玩興測驗（Test of Playfulness, ToP）的敘述，下列何者錯誤？",職能治療師依量表設計情境讓孩童玩並評分,可評估孩童玩興（playfulness）,包括玩興的4要素：內在動機（intrinsic motivation）、內在控制（internal control）、懸置現實（freedom to suspend reality）、架構（framing）,以3面向評量孩童：程度（extent）、強度（intensity）、技能（skill）,A,職能治療師依量表設計情境讓孩童玩並評分,無
65,職能治療師可透過各種服務方式執行學校職能治療，下列何者配對最適當？,直接服務：治療師協助教師調整教學教材以及教學方法,間接服務：治療師入課堂觀察學生於課堂表現，並提供學生協助,融合式直接服務：學生以能力分組，治療師與教師共同在教室教學不同的組別,間接服務：治療師以一對一的方式，提供書寫教學,C,融合式直接服務：學生以能力分組，治療師與教師共同在教室教學不同的組別,無
66,治療師與學校老師共同負責體育課程，治療師負責有特殊需求的學生，提供小團體的活動，教師負責一般教育學生，請問此為何種共同教學方式？,平行教學（parallel teaching）,一人教學一人協助（one teaching and one assist）,替代教學（alternative teaching）,團隊教學（team teaching）,C,替代教學（alternative teaching）,無
67,新生兒加護病房的醫療照護工作可依嚴重與複雜程度分為四層級（美國兒科學會，2012），當新生兒需高度複雜的醫療介入，例如：使用葉克膜體外維生系統或接受複雜的心肺手術，該醫療照護工作屬於那一層級？,Level I,Level II,Level III,Level IV,D,Level IV,無
68,"在學校的環境中，職能治療師如以職能表現教練（occupational performance coaching, OPC）介入，下列敘述何者最適當？",提供教師、家長一份完整的職能評估報告，強調學生的弱點，以促使教師或家長積極參與治療計畫,與教師或學生一起設定具體、可測量的治療目標，並協助其制定實際可行的行動計畫，以促進學生的職能表現,定期向校方匯報學生的進展情況，以確保學校和治療師之間的有效合作,設計特殊的教學策略，教導教師或家長使用，以確保學生在學業上的表現達到標準,B,與教師或學生一起設定具體、可測量的治療目標，並協助其制定實際可行的行動計畫，以促進學生的職能表現,無
69,"下列有關教學介入反應（Response to Intervention, RTI）結合支持性多層次系統（Multi-Tiered System of Support, MTSS）之說明，何者敘述最適當？",MTSS的第一層次提供全校性課業、行為以及社交支持，通常有60％的學生可受益,RTI強調收集學童的進步資料以支持兒童於學業、日常生活以及休閒娛樂之表現,RTI與 MTSS通常用於特殊教育的學生協助學生適應學校生活,職能治療師於MTSS第二層可帶領小團體，如利用多感官策略的寫字團體,D,職能治療師於MTSS第二層可帶領小團體，如利用多感官策略的寫字團體,無
70,關於兒童醫院的服務與特色，下列敘述何者錯誤？,兒童醫院運用藝術、色彩與空間設計營造友善、溫暖與接納的環境，讓兒童可以遊戲，也讓家人可以齊聚和溝通,兒童醫療輔導師在兒童醫院中關注兒童的情緒與發展需求，也協助家庭因應與減低孩子長期住院的壓力,兒童醫院通常會有志工協助兒童及家人,兒童醫院的治療師優先參考學術研究報告來訂定以個案為中心的照護計畫（client-centered care）,D,兒童醫院的治療師優先參考學術研究報告來訂定以個案為中心的照護計畫（client-centered care）,無
71,有關新生兒加護病房（NICU）之治療性擺位及照顧介入，下列敘述何者錯誤？,NICU中的擺位傾向於模擬嬰兒在子宮內四肢屈曲、被包覆、對稱中線的姿勢,神經發展不成熟的早產兒常呈現仰躺姿勢，四肢外展且外轉，頭部不對稱地轉向某側,有斜頸的新生兒不適合接受溫和的被動關節活動（PROM）介入,俯臥與側躺姿勢可協助有胃食道逆流的嬰兒減輕壓力,C,有斜頸的新生兒不適合接受溫和的被動關節活動（PROM）介入,無
72,有關教練（coaching）的職能治療服務模式，下列敘述何者錯誤？,教練過程的成效評估由教練獨力完成,教練可以利用提問（questioning）方式，促進學習者進行反思（reflection）,適合使用於早期療育所提供之職能治療服務,學習者能有自信地支持兒童於自然環境中學習，是執行介入服務的目標,A,教練過程的成效評估由教練獨力完成,無
73,文傑被篩選為高風險心理健康問題之個案，在多層次教育模式（multitiered public health model of school mental health）中，文傑最可能被安排在那一層級的教育下接受職能治療服務？,早期區辨層級（層級1）,目標性介入層級（層級2）,密集且個別化介入層級（層級3）,依照心理測驗結果之分級而定,B,目標性介入層級（層級2）,無
74,"從搖籃到學院的就業模式（Cradle to College and Career Model, CCC Model）、各州共同核心標準（Common Core State Standards, CCSS）、受僱優先（Employment First）與思考學院（Think College）等新轉銜趨勢的共通目標為何？",提高期望並改善長期結果,降低身心障礙學生的考試標準,促進融合教育,簡化服務流程,A,提高期望並改善長期結果,無
75,"以常規為基礎的訪談（routines-based interview, RBI）屬於一種收集資料的方式。有關 RBI的敘述，下列何者錯誤？",屬於一種非結構性的訪談,可以收集到個案於自然環境中的相關資訊,常使用於早期療育服務,訪談對象為家庭中的主要照護者,A,屬於一種非結構性的訪談,無
76,"當發展性協調障礙兒童使用認知導向日常職能表現（Cognitive Orientation to daily Occupational Performance, CO-OP）介入學習騎腳踏車時，兒童一邊練習騎腳踏車，口中一直自言自語說「我會成功，再練習幾次我就會騎腳踏車了」，此為何種認知策略？",整體問題解決策略（global problem solving strategy）,自我教練策略（self-coaching strategy）,自我引導策略（self-guidance strategy）,自我暗示策略（self-hint strategy）,B,自我教練策略（self-coaching strategy）,無
77,下列疾病的患者，那些可能會出現社交障礙（social impairment）？①胎兒酒精類群障礙（Fetal Alcohol Spectrum Disorder） ②注意力不足過動症（Attention Deficit Hyperactivity Disorder） ③焦慮症（Anxiety Disorder） ④學習障礙（Learning Disabilities） ⑤情緒障礙症（Mood Disorders）,僅②③④⑤,僅②③⑤,僅③④⑤,①②③④⑤,D,①②③④⑤,無
78,"下列那些敘述常用在自閉症孩童的單一嘗試教學法（discrete trial training, DTT）？①在高度結構化的環境中進行；②孩童自己開始活動，並且由他決定活動的進行腳步；③治療中，治療師給予指令指揮孩童做目標行為；④在治療中一直使用同樣的刺激（stimuli） ⑤在治療中使用多種在自然環境中可以取得的刺激（stimuli）",①②③⑤,①③④,②③④⑤,①④⑤,B,①③④,無
79,根據DSM-5，下列何者不會被診斷為自閉症類群障礙（autism spectrum disorder）？,符合DSM-4診斷標準的自閉症兒童（autistic disorder）,符合DSM-4診斷標準的雷特氏症候群兒童（Rett's syndrome）,符合DSM-4診斷標準的亞斯伯格症兒童（Asperger's disorder）,符合DSM-4診斷標準的廣泛性發展障礙兒童（pervasive developmental disorder）,B,符合DSM-4診斷標準的雷特氏症候群兒童（Rett's syndrome）,無
80,針對孩童及青少年躁鬱症患者，最不適合採取下列何種方式？,有效的壓力管理,規律的睡眠習慣,良好的溝通技巧,嚴格的行為規範,D,嚴格的行為規範,無
