題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
15,下列敘述何者最能概括心血管健康研究（cardiovascular health study）對於衰弱表徵型篩檢的核心概念？,涵蓋身體、心理及社交三個層面的綜合評估,主要聚焦於五個客觀的身體表現指標,主要依賴主觀問卷評估生活自理能力,主要以檢驗所得數值為主導的診斷工具,ABCD,涵蓋身體、心理及社交三個層面的綜合評估；主要聚焦於五個客觀的身體表現指標；主要依賴主觀問卷評估生活自理能力；主要以檢驗所得數值為主導的診斷工具,B,第15題一律給分，第47題答Ｃ給分,無
16,在實驗中，從給予指令到受試者開始實際執行動作的時間間隔，稱之為何？,動作時間（movement time）,前置期（foreperiod）,反應時間（reaction time）,總反應時間（total response time）,C,反應時間（reaction time）,C,,無
17,有關開鏈式迴路（open-loop）的動作控制概念，下列敘述何者錯誤？,強調動作過程中回饋的重要性,動作產生後即不能更改,定向標靶射擊的動作控制過程為開鏈式迴路,利用動作程式來執行動作,A,強調動作過程中回饋的重要性,A,,無
18,Henry Molaison（H. M.）先生患有重度癲癇因而接受雙側內側顳葉及海馬迴切除手術，術後發現其具有動作學習能力，而手術2年前的記憶雖然正常但無法再儲存新的記憶。下列關於此個案之敘述，何者正確？,屬於前向性失憶（anterograde amnesia），而陳述記憶（declarative memory）功能正常,屬於前向性失憶（anterograde amnesia），而程序記憶（procedural memory）功能正常,屬於回溯性失憶（retrograde amnesia），而陳述記憶（declarative memory）功能正常,屬於回溯性失憶（retrograde amnesia），而程序記憶（procedural memory）功能正常,B,屬於前向性失憶（anterograde amnesia），而程序記憶（procedural memory）功能正常,B,,無
19,基模理論（schema theory）無法解釋或預測下列何種動作學習的現象？,練習期間給予消褪回饋（faded feedback）有益於學習,練習期間的變異性有益於學習,偵測錯誤的能力在快速動作較慢速動作強,動作器官（effector）的轉移效應,A,練習期間給予消褪回饋（faded feedback）有益於學習,A,,無
20,下列那一項平衡測試較適合評估老人是否有跨步策略（stepping strategy）？,阮柏氏測試（Romberg's test）,單腳站立測試（one-legged stance test）,功能性伸手測試（functional reach test）,推放測試（push and release test）,D,推放測試（push and release test）,D,,無
21,「陳小姐為30歲的脊髓損傷患者，現在與父母一起居住，出入使用電動輪椅，還養了一隻貓陪她在家工作」。以上這一段內容以國際健康功能與身心障礙分類系統（ICF）的定義來分析，下列何者正確？,「30歲女性」屬「健康情形」,「脊髓損傷」屬「身體構造與功能」,「使用電動輪椅」屬「參與」,「與父母一起居住、養貓」屬「環境因素」,D,「與父母一起居住、養貓」屬「環境因素」,D,,無
22,下列何者最適合以治療球（Swiss ball）進行坐姿平衡訓練？,嚴重平衡障礙且需雙手支撐坐姿之急性期腦損傷患者,剛完成髖關節置換手術且無法理解指令之失智患者,能獨立靜坐但動態坐姿重心控制不良之多發性硬化症患者,軀幹僵硬且明顯姿勢反射異常之中重度巴金森氏病患者,C,能獨立靜坐但動態坐姿重心控制不良之多發性硬化症患者,C,,無
23,若臨床訓練目標為強化預期性姿勢控制能力，下列那一項訓練方式最為適當？,坐於治療球上，交替舉起雙手或向前伸手,坐於治療球上，閉眼靜止維持姿勢約30秒,平躺於治療床上，主動控制骨盆前後擺動,平躺於治療床上，將雙腳置於治療球上進行下肢屈伸動作,A,坐於治療球上，交替舉起雙手或向前伸手,A,,無
24,張先生罹患缺血性中風4個月，目前即將準備回到售貨員的工作崗位，為使體力能負荷其工作，下列何項運動處方較為適當？,上肢阻力訓練，每次10分鐘，每週5次，達60％的最大心跳量,滑步訓練機，每次20分鐘，每週3次，達到40％心跳儲備量,直立式腳踏車，每次30分鐘，每週3次，達運動自覺用力指數（RPE）16/20分,跑步機訓練，每次15分鐘，每週3次，達40％的最大心跳量,B,滑步訓練機，每次20分鐘，每週3次，達到40％心跳儲備量,B,,無
25,賀女士是腦創傷右側偏癱個案，其踝關節蹠屈肌有不正常肌肉張力，行走訓練時易出現腳尖著地（toe first）步態，下列何種治療模式較適合改善其步態問題？,行走時，利用肌電生物回饋提供踝關節蹠屈肌放鬆的聽覺回饋,站姿下，利用彈力帶給與踝關節背屈與外展方向阻力,行走時，利用功能性電刺激誘發踝關節背屈與外展肌,站立於牽拉板上，牽拉踝關節蹠屈肌,C,行走時，利用功能性電刺激誘發踝關節背屈與外展肌,C,,無
26,訓練左側偏癱之大腦中風患者由平躺往右側翻身，利用本體感覺神經肌肉誘發技巧（PNF），要求患者右手握住左手，下列那種模式最為合適？,下砍（chopping）,反向下砍（reversal of chopping）,上抬（lifting）,反向上抬（reversal of lifting）,D,反向上抬（reversal of lifting）,D,,無
27,有關評估布朗斯壯分期，下列敘述何者正確？,每一項動作僅需測試一次以節省時間,肩肘測試時若出現頸部動作不予限制,手部動作測試前宜先誘發張力出現,測試若為坐姿宜選用有扶手的椅子,B,肩肘測試時若出現頸部動作不予限制,B,,無
28,一位80歲患者上週剛因中風導致右側偏癱，目前生命徵象穩定但患側肢體已開始出現痙攣的現象。為改善痙攣，讓身體兩側張力更一致，玻巴斯學派的療法在此階段最可能選擇的擺位姿勢與理由為何？,平躺，以促進全身伸肌張力上升,趴臥，以降低張力迷路反射（tonic labyrinthine reflexes）的影響,側躺，以減少不對稱頸部張力反射（asymmetrical tonic neck reflex）對張力的影響,坐姿，以刺激大腳趾球（ball of foot）來誘發正向支撐反射（positive supporting reflex）,C,側躺，以減少不對稱頸部張力反射（asymmetrical tonic neck reflex）對張力的影響,C,,無
29,要使用玻巴斯療法來誘發中風病患手臂向前伸手取物時，為增進預期性姿勢調整及姿勢穩定，應優先使用下列那個關鍵點及動作？,骨盆，前傾（anterior tilt）,骨盆，後傾（posterior tilt）,肩帶，前突（protraction）,肩帶，後縮（retraction）,A,骨盆，前傾（anterior tilt）,A,,無
30,一名患者側躺在左側時，治療師一手置於患者右側肩關節前方，另一手置於患者右側骨盆後方，慢慢增加阻力，並請患者維持此姿勢不要被治療師推倒，之後治療師兩手切換方向重複此步驟。此技巧最可能是下列何者？,節律穩定,重複收縮,節律啟動,交替性等長收縮,A,節律穩定,A,,無
31,下列那一個評估量表不包含反應性姿勢控制（reactive postural control）之測試項目？,柏格氏平衡量表（Berg balance scale）,迷你平衡評估系統測試（mini-balance evaluation systems test）,平衡評估系統測試（balance evaluation systems test）,緹氏表現導向行動評量（Tinetti performance-oriented mobility assessment）,A,柏格氏平衡量表（Berg balance scale）,A,,無
32,下列關於任務導向臨床應用原則的敘述何者較不適當？,強調重複練習以達到有效劑量,強調明確的功能性目標,強調變異練習有助於學習,強調任務分析及被動參與,D,強調任務分析及被動參與,D,,無
33,一位中風4個月的患者，右側足下垂與步態時足跟無法先著地，但膝關節穩定，無顯著踝或膝關節側向不穩，也沒有感覺損傷、水腫、糖尿病等問題。治療師考慮為其配置下肢矯具以改善步態。下列何種矯具最適合該患者？,固定型踝足矯具（solid AFO）,後葉片彈性踝足矯具（posterior leaf spring AFO）,傳統雙立柱金屬矯具（conventional double upright metal AFO）,膝－踝－足矯具（knee-ankle-foot orthosis）,B,後葉片彈性踝足矯具（posterior leaf spring AFO）,B,,無
34,下列中風個案的感覺功能測試順序，由先至後何者最適當？,關節位置覺、物體辨識覺、輕觸覺,兩點區辨距離、壓力覺、運動覺,疼痛覺、關節位置覺、物體辨識覺,物體辨識覺、溫度覺、運動覺,C,疼痛覺、關節位置覺、物體辨識覺,C,,無
35,鄰居王媽媽中風右側無力，住院復健三個月終於回家了，可是王先生說，她一直抱怨右手肩關節疼痛，下列敘述何者最不適當？,鼓勵王媽媽自己好手帶壞手執行主動－協助關節運動,建議王先生協助執行被動關節運動時，要把王媽媽的掌心朝下，再將手抬高,建議王先生協助穿衣服的時候要從右手先穿,建議王媽媽吃飯的時候也要把右手放在桌上，不要垂在輪椅旁邊,B,建議王先生協助執行被動關節運動時，要把王媽媽的掌心朝下，再將手抬高,B,,無
36,大腦中風患者，右側上肢近端與下肢為布朗斯壯分期第三期、上肢遠端為布朗斯壯分期第二期，在平地行走時須使用單柺與治療師中度協助。下列那種方式最適合用來促進行走能力？,改使用無輪助行器，增加身體穩定度，以進行密集行走訓練,使用懸吊系統結合跑步機訓練，並每週逐漸減少懸吊系統提供的體重支撐百分比,遵循任務特定訓練（task-specific training）概念，以外骨骼系統支撐雙側下肢與軀幹，產生被動行走動作,使用功能性電刺激，在整個步態週期持續刺激右下肢股四頭肌與比目魚肌的動作神經，促進跨步動作,B,使用懸吊系統結合跑步機訓練，並每週逐漸減少懸吊系統提供的體重支撐百分比,B,,無
37,下列那一條血管阻塞最有可能導致兩眼之左側視野偏盲（hemianopsia）？,左側之前大腦動脈,右側之前大腦動脈,左側之中大腦動脈,右側之中大腦動脈,D,右側之中大腦動脈,D,,無
38,關於柏格氏平衡量表（Berg Balance Scale）與中風病患姿勢評估量表（postural assessment scale for stroke patients），下列敘述何者錯誤？,兩者均有「維持姿勢」與「改變姿勢」的測試項目,兩者均有「從坐姿站起」與「從站姿坐下」的測試項目,前者無「坐姿平衡」的測試項目，後者有「坐姿平衡」的測試項目,中風病患姿勢評估量表對偵測急性期中風病患的變化優於對慢性期中風病患,C,前者無「坐姿平衡」的測試項目，後者有「坐姿平衡」的測試項目,C,,無
39,下列關於中風衝擊量表（stroke impact scale）的敘述何者正確？,主要評估中風後的生理功能，與心理或社會層面無關,用於評估中風患者的參與程度，包括社交活動、社區參與和日常生活活動,包含生活品質構面，只能由病人填答，不能由代理人代為填寫,主要用於醫療人員的臨床評估，病人僅需配合接受測驗，無需主觀填寫,B,用於評估中風患者的參與程度，包括社交活動、社區參與和日常生活活動,B,,無
40,一位中風病人左側偏癱，發病至今10天，上肢仍處於痙攣階段，肩關節無攣縮也無自主動作但有嚴重肩痛情形。在避免加重肩痛的前提下，安全地執行肩關節活動，下列何者是最適合這位病人可自主執行的指導內容？,在坐姿時，雙手十指交握下以右手協助左手肩屈曲，重複運動範圍在0度至120度，但需注意肩痛狀況，若有不適立即停止,在仰臥時，雙手十指交握下以右手協助左手肩屈曲，重複運動範圍在90度至120度，此範圍可能過大，請謹慎評估自身狀況,使用滑輪訓練器（overhead pulleys），以右手協助左手肩屈曲，重複運動範圍在0度至120度，此方式可能增加肩關節夾擠風險，若肩不痛時再做,在坐姿或仰臥時，以右手扶在左手肘後面協助將左手肩屈曲至較小的角度（例如0～60度），此方式較為安全，能有效控制活動幅度,D,在坐姿或仰臥時，以右手扶在左手肘後面協助將左手肩屈曲至較小的角度（例如0～60度），此方式較為安全，能有效控制活動幅度,D,,無
41,下列何種量表的評估結果不應紀錄於國際健康功能與身心障礙分類系統之「身體結構與功能」範疇？,美國國家衛生研究院腦中風評估量表（National Institutes of Health Stroke Scale）,中風衝擊量表（stroke impact scale）,肌力指數（motricity index of arm and leg）,星星刪除測驗（star cancellation tests）,B,中風衝擊量表（stroke impact scale）,B,,無
42,中風後之站姿平衡訓練，由易至難排序：①雙腳與肩同寬，雙手抱胸；②雙腳與肩同寬，撿起位於患側腳外側的物品；③雙腳與肩同寬，上半身往左及往右轉；④雙腳稍比肩寬，雙手抱胸,④③①②,④①③②,④①②③,①④③②,B,④①③②,B,,無
43,患者85歲，左側殼核梗塞性中風2週，目前狀況穩定，神經內科照會物理治療師介入，治療師進行評估時請患者做出張眼、閉眼、張口、閉嘴、嘟嘴及抬眉毛等動作，此為那一對腦神經之評估？,第三對,第五對,第七對,第九對,C,第七對,C,,無
44,一位出血性中風病患入院後的影像檢查如下圖，該病患最不可能出現下列何項臨床檢查結果？,進行追視檢查時，出現眼球震顫,深腱反射降低,執行仿畫測驗時，僅畫出左側的圖像,執行指鼻測試時，出現對不準鼻尖,C,執行仿畫測驗時，僅畫出左側的圖像,C,,images/Q44_圖.png；images/Q44_圖_2.png
45,70歲的林奶奶在浴室跌倒頸部受傷導致C6不完全損傷（如圖虛線內部分），下列敘述何者正確？,同側的本體感覺受損比對側嚴重,上肢動作功能受影響比下肢嚴重,下肢動作功能受影響比上肢嚴重,完全保留本體感覺但痛覺溫度覺喪失,B,上肢動作功能受影響比下肢嚴重,B,,images/Q45_圖.png
46,下列那一節脊髓損傷患者，最不會有受損節數以下肢體肌肉張力升高的問題？,T10,C7,L3,T12,C,L3,C,,無
47,45歲男性因車禍導致C2絞刑者骨折（Hangman's fracture）使C2椎體前移，經骨科手術固定後，術後早期仍須使用頸部支架來限制活動，以下何者最適當？,使用 SOMI（sternal-occipital-mandibular immobilizer）支架，能限制所有方向的頸部活動，適用於高位頸椎骨折,選擇 Halo固定裝置，因C2為高位不穩定性骨折，需最大程度限制頸椎活動,使用 Philadelphia collar，因其可提供足夠的術後固定來支撐C2骨折癒合,使用頸圈並搭配姿勢控制，以減少頸部負荷並逐步恢復活動,C,使用 Philadelphia collar，因其可提供足夠的術後固定來支撐C2骨折癒合,B,第15題一律給分，第47題答Ｃ給分,無
48,下列有關各脊髓節完全性損傷（ASIA A）的功能性預後之敘述，何者最適當？,C5損傷的患者通常可以自行使用標準輪椅，並能夠自行轉位,C6損傷的患者可能可以進行獨立床上移位，但通常需要一些輔助設備或技巧來完成轉位,T6損傷的患者通常無法控制軀幹穩定，因此無法進行長時間的輪椅推動或坐姿維持,L1損傷的患者通常能夠獨立使用助行器與下肢踝足矯具（AFO）來行走,B,C6損傷的患者可能可以進行獨立床上移位，但通常需要一些輔助設備或技巧來完成轉位,B,,無
49,患者10天前發生車禍導致C5頸髓完全損傷，下列何項功能性訓練可能最適合患者？,訓練延長維持坐姿的時間,獨立穿戴頸圈訓練,訓練自主控制大小便,獨立穿衣訓練,A,訓練延長維持坐姿的時間,A,,無
50,一名68歲女性患者，近幾個月覺得走路「腳底沒感覺，像踩在棉花上」，在暗處或閉眼時更容易失去平衡。在神經學檢查發現：雙腳肌力正常，也能分辨針刺與冷熱水刺激。但對音叉振動反應遲鈍，閉眼時無法準確感覺腳趾位置。進一步詢問病史發現，她長期素食且顯示長期維他命B12缺乏。此患者最可能的脊髓損傷症候群為何？,前髓症候群,後髓症候群,中髓症候群,布朗－斯夸症候群,B,後髓症候群,B,,無
51,有關脊髓損傷患者之物理治療介入，下列敘述何者錯誤？,使用功能性電刺激促進脊髓損傷患者之行走功能，其主要限制為容易產生肌肉疲勞,為C5～C6之脊髓損傷患者選擇適當輪椅以供代步時，需在輪圈加凸起之球狀手把以供抓握,於T12完全脊髓損傷患者進行步行訓練時，只須穿著踝足矯具搭配枴杖即可練習行走,以懸吊系統之跑步機為脊髓損傷患者進行步行訓練，其主要原理為中樞型態產生器來誘發正常行走模式,C,於T12完全脊髓損傷患者進行步行訓練時，只須穿著踝足矯具搭配枴杖即可練習行走,C,,無
52,對於一位T10的完全脊髓損傷患者，下列何種輔具的需求優先性相對最低？,手動輪椅（manual wheelchair）,輪椅用減壓坐墊（decompression seat mattress）,洗澡椅（tub bench）,環境控制系統（environment control system）,D,環境控制系統（environment control system）,D,,無
53,丁先生因車禍造成創傷性腦傷後恢復良好，但經常有頭暈、暈眩和視力模糊而影響平衡與日常活動，下列那些測試適合優先進行以判斷丁先生的問題？①諾丁漢測試（Nottingham test） ②豪派－狄克測試（Hallpike-Dix test） ③福田踏步測試（Fukuda's stepping test） ④眼球平滑追視（smooth pursuit）測試；⑤動作敏感係數測試（motion sensitivity quotient）,①②③④⑤,②③④⑤,③④⑤,②③,B,②③④⑤,B,,無
54,關於腦外傷所產生之肌張力異常，下列敘述何者最不適當？,腦外傷後肌張力異常可能呈現為痙攣（spasticity）、高張力或肌肉痙攣（spasm）,異常姿勢與肌張力分布的變化，有助於判斷腦外傷損傷的範圍與神經學層級,肌張力異常大多侷限於上肢，極少影響下肢,異常肌張力若未早期介入可能導致關節攣縮,C,肌張力異常大多侷限於上肢，極少影響下肢,C,,無
55,下列那一項敘述最能正確區分腦震盪與輕度創傷性腦傷的診斷標準？,腦震盪的診斷主要依賴臨床症候群，不要求影像學檢查呈現異常；輕度創傷性腦傷必須在電腦斷層掃描或核磁共振上發現輕微結構異常,輕度創傷性腦傷診斷要求葛拉斯哥昏迷量表13～15分及短暫創傷後失憶；腦震盪必然伴隨顯著意識喪失及記憶障礙，兩者在臨床評估上完全獨立,腦震盪與輕度創傷性腦傷的診斷均必須依賴電腦斷層掃描或核磁共振確認無結構性異常，否則就不能作為診斷標準,腦震盪是由生物力學力量引起的短暫神經功能改變，通常無影像異常；輕度創傷性腦傷以葛拉斯哥昏迷量表的13～15分為基準，診斷可能涵蓋腦震盪，且部分病例可見輕微影像異常,D,腦震盪是由生物力學力量引起的短暫神經功能改變，通常無影像異常；輕度創傷性腦傷以葛拉斯哥昏迷量表的13～15分為基準，診斷可能涵蓋腦震盪，且部分病例可見輕微影像異常,D,,無
56,一名40歲男性患者，因車禍導致創傷性腦傷，目前認知功能處於瑞秋洛斯阿米哥斯認知功能程度量表（LOCF）第四級，下列那項物理治療介入策略最適當？,使用多步驟的指令，鼓勵患者發展問題解決能力和認知彈性,在患者情緒激動時，立即提供大量視覺和聽覺刺激，以增加其感官輸入，幫助穩定情緒,讓患者獨立完成自我照護活動，鼓勵他自由探索環境，以促進自主性,在安靜且獨立的環境中，使用簡短明確的指令，提供安全且熟悉的活動，以減少混亂和激動,D,在安靜且獨立的環境中，使用簡短明確的指令，提供安全且熟悉的活動，以減少混亂和激動,D,,無
57,關於新版國際動作障礙學會巴金森病綜合評量表（MDS-UPDRS）項目3.4手指拍打（finger tapping），下列敘述何者正確？,雙側同時施測，以利比較雙側表現差異,測試中施測者保持示範，避免個案中途暫停,30秒內個案完成手指拍打數越高，分數越高,觀察拍打速度、動作大小與拍打節奏,D,觀察拍打速度、動作大小與拍打節奏,D,,無
58,王伯伯今年75歲，於15年前診斷出巴金森病，目前獨居，侯葉氏分期第4期，走路時常因小碎步或凍凝步態跌倒，且無藥效時平衡與步態異常更為明顯。下列何運動訓練最為合適？,王伯伯在家走路時進行數學運算（如由100一直往下減7），分散對行走的注意力以降低凍凝步態出現的機率,在無藥效時進行具高強度與高挑戰性的平衡與步態訓練，以改善無藥效時的行走表現,在跑步機上進行步態訓練，速度設定在舒適行走速度的2倍，請要求步頻越快越好以提升行走速度,在平地訓練走路並使用節拍器，請王伯伯配合節拍器節奏做出跨步動作,D,在平地訓練走路並使用節拍器，請王伯伯配合節拍器節奏做出跨步動作,D,,無
59,關於巴金森氏病患者的凍凝步態之介入，下列敘述何者錯誤？,運動同時加入認知訓練可能有助於改善凍凝步態,口語指示患者利用動作策略，例如轉彎時轉較大幅度的轉彎,先看一些減少凍凝步態的策略影片再練習動作，比未先觀看影片直接練習效果較佳,對於凍凝步態症狀較嚴重的患者，要給與較原行走頻率更高頻率（較快）的口語提示才能改善凍凝步態,D,對於凍凝步態症狀較嚴重的患者，要給與較原行走頻率更高頻率（較快）的口語提示才能改善凍凝步態,D,,無
60,88歲的胡奶奶最近常常忘東忘西，治療中還常重複述說一樣的事情，治療師懷疑她有失智的現象。下列何評估結果代表治療師的判斷為正確？,極早期失智症篩檢量表（AD-8）＝1,迷你認知評量（Mini-cog）＝4,蒙特利爾認知評估（MoCA）＝14,迷你心智量表（MMSE）＝24,C,蒙特利爾認知評估（MoCA）＝14,C,,無
61,下列那一個深層小腦核與小腦損傷患者前庭眼球反射（vestibulo-ocular reflex）的異常最相關？,頂核（fastigial nuclei）,齒狀核（dentate nuclei）,球狀核（globose nuclei）,栓狀核（emboliform nuclei）,A,頂核（fastigial nuclei）,A,,無
62,陳女士，58歲，近來發現執行高度技巧性的動作時變得越來越困難。她是一位業餘畫家，發現精細的筆觸控制變得非常吃力，快速移動手臂來描繪細節時，手部協調性明顯下降；在廚房切菜時，對於需要精確度的切片動作也感到難以掌握。基於以上症狀描述，下列那一個小腦區域最可能受損？,前庭小腦（vestibulocerebellum）,脊髓小腦（spinocerebellum）,大腦小腦（cerebrocerebellum）,小腦蚓部（vermis）,C,大腦小腦（cerebrocerebellum）,C,,無
63,關於多發性硬化症中之假性惡化（pseudoexacerbation），下列敘述何者正確？,通常會導致永久性的神經損傷,患者應避免運動，以免引發假性惡化,烏托夫現象（Uhthoff phenomenon）並不會出現在假性惡化的狀態中,不論外在因素或內在因素引起的體溫上升都可能引發假性惡化,D,不論外在因素或內在因素引起的體溫上升都可能引發假性惡化,D,,無
64,有關於肌萎縮性側索硬化症之敘述，下列何者錯誤？,流行病學上女性發生率高於男性,延髓發病型（bulbar-onset）患者常以語音與吞嚥障礙為首發症狀,常用肌電圖做為診斷之輔助工具,功能損傷涵蓋上與下運動神經元的症狀,A,流行病學上女性發生率高於男性,A,,無
65,鄭小姐是位家庭主婦，多年前診斷為多發性硬化症後，病情控制穩定。半年前復發後雙下肢無力，經過2個月的藥物及復健治療後恢復到可在社區緩慢行走，最近病情無明顯變化，但常感疲累、嗜睡、不愛出門或運動。下列敘述何者不恰當？,可考慮轉介到精神科去檢查有無憂鬱症傾向,應是體力太差，需轉介給物理治療師進行高強度肌力訓練,應請個案記錄整天活動，以評估其生活模式與活動量,應請治療師到府評估，確認家中環境是否符合個案需求,B,應是體力太差，需轉介給物理治療師進行高強度肌力訓練,B,,無
66,患者三個月前因車禍撞擊右肘關節，導致尺神經發生軸突斷傷（axonotmesis），影響右手動作功能。徒手肌力測試顯示，右腕屈曲肌力為2分、右無名指和小指屈肌肌力為1分，且手掌尺側感覺異常，下列那項介入最為適當？,平時穿戴副木將肘關節維持在屈曲90度的擺位姿勢,將右前臂泡熱水以促進組織癒合，並維持去神經肌肉的循環及活性,利用腕伸肌產生協同動作以誘發手指屈曲動作,進行右手指屈肌的靜態拉伸訓練，以維持肌肉柔軟度,C,利用腕伸肌產生協同動作以誘發手指屈曲動作,C,,無
67,一位中年男性在睡覺時長時間壓在右手臂上，隔天醒來出現右手腕下垂及手背感覺遲鈍，經檢查發現其手臂神經傳導速度下降，但未見肌肉萎縮或反射異常。若其神經病變為「軸突仍完整，但髓鞘受損」，則應屬於下列那一種神經損傷程度？,神經失用症,軸突斷傷,神經斷裂,神經退化症,A,神經失用症,A,,無
68,一位曾罹患小兒麻痺的65歲女性，近年被診斷為小兒麻痺後症候群，應特別避免下列何種介入方式，以防止症狀惡化？,鼓勵進行高強度阻力訓練以促進肌力強化,指導每日進行肌肉牽張運動以維持關節活動度,教導正確的姿勢與日常轉移技巧,安排輕度水中運動,A,鼓勵進行高強度阻力訓練以促進肌力強化,A,,無
