題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
14,當肱骨外科頸（surgical neck of humerus）骨折時，最有可能傷及下列何者？,正中神經（median nerve）,腋神經（axillary nerve）,尺神經（ulnar nerve）,肌皮神經（musculocutaneous nerve）,B,腋神經（axillary nerve）,無
15,松果腺（pineal gland）屬於下列何者的一部分？,大腦皮質（cerebral cortex）,間腦（diencephalon）,中腦（midbrain）,橋腦（pons）,B,間腦（diencephalon）,無
16,下列何者介於第三及第四腦室之間？,外側孔（lateral aperture）,中央管（central canal）,室間孔（interventricular foramen）,大腦導水管（cerebral aqueduct）,D,大腦導水管（cerebral aqueduct）,無
17,下列關於神經元（neuron）中尼氏小體（Nissl body）的敘述，何者正確？,很少出現在軸丘（axon hillock）中,大量出現在細胞核（nucleus）中,含有大量的平滑內質網（smooth endoplasmic reticulum）,含有大量的溶酶體（lysosome）,A,很少出現在軸丘（axon hillock）中,無
18,下列脊髓的構造中，何者最不可能含有神經纖維（nerve fiber）？,圓錐（conus medullaris）,終絲（filum terminale）,馬尾（cauda equina）,背根（dorsal root）,B,終絲（filum terminale）,無
19,下列關於布洛卡氏區（Broca's area）的敘述，何者正確？,布洛卡氏區受損會導致病人無法理解語言的內容,位於顳葉（temporal lobe）可以從大腦外側面觀察到,布洛卡氏區通常位於語言優勢（language dominant）的半球，通常是右腦,布洛卡氏區負責控制說話所需的肌肉,D,布洛卡氏區負責控制說話所需的肌肉,無
20,下列關於本體感覺受器（proprioceptor）的敘述，何者最正確？,肌梭（muscle spindle）的本體感覺受器可以感覺肌肉拉扯（stretch）的程度,主要是在骨骼肌上的肌梭（muscle spindle）內及皮下組織（hypodermis）可以找到,接受的刺激類型為機械型受器（mechanoreceptor）與痛覺受器（nociceptor）,肌腱器（tendon organ）可以感受肌腱拉扯（stretch）的程度與疼痛,A,肌梭（muscle spindle）的本體感覺受器可以感覺肌肉拉扯（stretch）的程度,無
21,下列何者不受頸襻（ansa cervicalis）所支配？,甲狀舌骨肌（thyrohyoid muscle）,胸骨甲狀肌（sternothyroid muscle）,胸骨舌骨肌（sternohyoid muscle）,肩胛舌骨肌（omohyoid muscle）,A,甲狀舌骨肌（thyrohyoid muscle）,無
22,橋腦（pons）中的橋腦核（pontine nuclei）藉由下列何者將訊息送至小腦（cerebellum）？,上小腦腳（superior cerebellar peduncle）,中小腦腳（middle cerebellar peduncle）,下小腦腳（inferior cerebellar peduncle）,大腦腳（cerebral peduncle）,B,中小腦腳（middle cerebellar peduncle）,無
23,下列何者傳遞舌前三分之二的味覺？,舌咽神經（glossopharyngeal nerve）,舌下神經（hypoglossal nerve）,迷走神經（vagus nerve）,面神經（facial nerve）,D,面神經（facial nerve）,無
24,鼓膜（tympanic membrane）介於下列那兩個結構之間？,外耳道與錘骨（malleus）,錘骨（malleus）與鐙骨（stapes）,鐙骨（stapes）與前庭（vestibule）,砧骨（incus）與耳咽管（pharyngotympanic tube）,A,外耳道與錘骨（malleus）,無
25,下列何者位於眼瞼（eyelid）的內表面（inner surface）？,角膜（cornea）,虹膜（iris）,結膜（conjunctiva）,鞏膜（sclera）,C,結膜（conjunctiva）,無
26,視覺影像訊息經視覺路徑（visual pathway）最後投射到大腦何處？,額葉（frontal lobe）,顳葉（temporal lobe）,頂葉（parietal lobe）,枕葉（occipital lobe）,D,枕葉（occipital lobe）,無
27,下列關於動脈的敘述，何者正確？,皆為成對血管,皆攜帶高含氧血,皆將血液帶離心臟,皆含瓣膜以防止血液逆流,C,皆將血液帶離心臟,無
28,下列何者在心臟後表面且位於心房與心室之間？,心小靜脈（small cardiac vein）,邊緣動脈（marginal artery）,冠狀竇（coronary sinus）,左冠狀動脈（left coronary artery）,C,冠狀竇（coronary sinus）,無
29,血液從右心房進入右心室時，會經過下列何者？,二尖瓣（bicuspid valve）,三尖瓣（tricuspid valve）,主動脈半月瓣（aortic semilunar valve）,肺動脈半月瓣（pulmonary semilunar valve）,B,三尖瓣（tricuspid valve）,無
30,股深動脈（deep artery of thigh）發出的穿通動脈（perforating arteries）穿過下列何者至大腿後側？,恥骨肌（pectineus）,內收大肌（adductor magnus）,股二頭肌（bicep femoris）,內收長肌（adductor longus）,B,內收大肌（adductor magnus）,無
31,下列何者常被用來進行冠狀動脈繞道手術（coronary artery bypass）之替代血管？,肘正中靜脈（median cubital vein）,大隱靜脈（great saphenous vein）,頭靜脈（cephalic vein）,奇靜脈（azygos vein）,B,大隱靜脈（great saphenous vein）,無
32,左卵巢靜脈（left ovarian vein）之血液注入下列何靜脈？,上腔靜脈（superior vena cava）,下腔靜脈（inferior vena cava）,左腎靜脈（left renal vein）,右腎靜脈（right renal vein）,C,左腎靜脈（left renal vein）,無
33,下列何者不是單純的內分泌器官？,副甲狀腺（parathyroid gland）,胰臟（pancreas）,腎上腺（adrenal gland）,松果腺（pineal gland）,B,胰臟（pancreas）,無
34,對照腹部九等分圖，下列關於消化器官所在的位置，何者錯誤？,肝臟（liver）主要位於①和②,脾臟（spleen）主要位於②,直腸（rectum）主要位於⑧,闌尾（appendix）主要位於⑦,B,脾臟（spleen）主要位於②,無
35,下列那一條動脈最主要供應十二指腸近端（proximal part of duodenum）的血液？,肝總動脈（common hepatic artery）,脾動脈（splenic artery）,胃左動脈（left gastric artery）,胃右動脈（right gastric artery）,A,肝總動脈（common hepatic artery）,無
36,下列對於胃（stomach）的肌外層（muscular externa）之敘述，何者正確？,共有三層肌肉，三層肌肉纖維的走向皆不同,最外層肌肉走向為環走（circular）,最外層肌肉走向為斜走（oblique）,最內層肌肉走向為環走（circular）,A,共有三層肌肉，三層肌肉纖維的走向皆不同,無
37,關於泌尿器官的敘述，下列何者正確？①兩個輸尿管開口（uretic orifice）和尿道內口（internal urethral orifice）界定了膀胱三角（trigone of bladder） ②膀胱位於恥骨聯合（pubic symphysis）後方,①②皆正確,①②皆錯誤,僅①正確,僅②正確,A,①②皆正確,無
38,腎臟的再吸收（resorption）功能主要由下列何者負責？,腎絲球（glomerulus）,腎球囊（glomerular capsule）,腎小管（renal tubule）,出球小動脈（efferent arteriole）,C,腎小管（renal tubule）,無
39,下列何者位於輸出小管（efferent ductule）與輸精管（ductus deferens）之間？,副睪（epididymis）,細精小管（seminiferous tubule）,睪丸網（rete testis）,射精管（ejaculatory duct）,A,副睪（epididymis）,無
40,下列關於精子（sperm）的敘述，何者錯誤？,中段（midpiece）含有粒線體（mitochondria）,尾巴（tail）是由微管（microtubule）所構成的鞭毛（flagellum）,頭端（head）的頂體（acrosome）是由內質網（endoplasmic reticulum）所構成,一個初級精母細胞（primary spermatocyte）能產生四個精子,C,頭端（head）的頂體（acrosome）是由內質網（endoplasmic reticulum）所構成,無
41,鈣幫浦（Ca₂+ -ATPase）透過下列何種機制調節細胞內的鈣離子？,簡單擴散（simple diffusion）,促進性擴散（facilitated diffusion）,初級主動運輸（primary active transport）,次級主動運輸（secondary active transport）,C,初級主動運輸（primary active transport）,無
42,細胞核中以DNA為模板合成RNA的過程稱為：,轉錄（transcription）,複製（replication）,轉譯（translation）,傳輸（transmission）,A,轉錄（transcription）,無
43,小腸上皮細胞的頂膜（apical membrane）是藉由下列何種方式吸收葡萄糖？,離子通道（ion channel）,簡單擴散（simple diffusion）,次級主動運輸（secondary active transport）,初級主動運輸（primary active transport）,C,次級主動運輸（secondary active transport）,無
44,關於有氧肌纖維與無氧肌纖維的直徑大小的敘述，下列何者正確？,有氧肌纖維與無氧肌纖維一樣粗,有氧肌纖維比無氧肌纖維粗,有氧肌纖維比無氧肌纖維細,兩者之間的相對粗細大小會隨著不同生理狀況而改變,C,有氧肌纖維比無氧肌纖維細,無
45,當骨骼肌產生向心等張收縮（concentric isotonic contraction）時，會出現何種現象？,A帶（A band）變短,I帶（I band）變短,細絲（thin filament）變短,粗絲（thick filament）變短,B,I帶（I band）變短,無
46,下列何者會增加骨骼肌產生的收縮張力？,增加運動神經元的放電頻率,將肌肉拉伸到最長的長度,縮短肌肉收縮後休息的時間,促進運動神經元鉀離子通道的活性,A,增加運動神經元的放電頻率,無
47,下列何者不是副甲狀腺激素（parathyroid hormone）的作用？,增加蝕骨細胞（osteoclast）分解骨質,減少腎臟對鈣的再吸收（reabsorption）,促進維生素D₃ 的活化，增加腸道對鈣的吸收,導致血漿鈣離子濃度增加,B,減少腎臟對鈣的再吸收（reabsorption）,無
48,"1,25-二羥維生素D（1,25-dihydroxyvitamin D），最主要作用於下列何者？",胃腸道（gastrointestinal tract）,肺臟（lung）,肝臟（liver）,皮膚（skin）,A,胃腸道（gastrointestinal tract）,無
49,有關心搏量（stroke volume）的調控因素，下列敘述何者正確？,心搏量與心室舒張末期容積（end-diastolic volume）沒有明顯關係,心搏量與交感神經興奮強度有關,副交感神經興奮會增加心搏量,動脈壓（arterial pressure）升高會增加心搏量,B,心搏量與交感神經興奮強度有關,無
50,有關心臟蒲金氏纖維（Purkinje fiber）的動作電位，下列何者錯誤？,靜止膜電位接近鉀離子的平衡電位,靜止細胞膜電位為漸進式的去極化,一旦去極化超過閾值（threshold），其膜電位呈現直衝（upstroke）式的上升,動作電位具有明顯的高原期（plateau）,B,靜止細胞膜電位為漸進式的去極化,無
51,下列何者是微血管內外濃度有相當大差異的溶質？,鉀離子,鈉離子,氯離子,蛋白質,D,蛋白質,無
52,關於淋巴系統（lymphatic system）的功能，下列敘述何者正確？,淋巴管含C型軟骨,淋巴液不含血小板,淋巴液含紅血球,淋巴管不回收組織間液,B,淋巴液不含血小板,無
53,關於白血球，下列敘述何者正確？,嗜中性球（neutrophil）可被H-E stain染成亮紅色,被寄生蟲感染後，常見嗜酸性白血球（eosinophil）增加,正常血液中最常見的白血球為淋巴細胞（lymphocyte）,發生如氣喘等過敏反應時，單核球（monocyte）的數目會增加,B,被寄生蟲感染後，常見嗜酸性白血球（eosinophil）增加,無
54,人體內氧解離曲線（oxygen-hemoglobin dissociation curve）會移向左側的可能原因是：,pH值增加,二氧化碳增加,溫度上升,"2,3-diphosphoglycerate（2,3-DPG）量增加",A,pH值增加,無
55,呼吸系統的肺泡囊（alveolar sacs）總數最接近下列何者？,10¹,10⁴,10⁷,10 11,C,10⁷,無
56,下列何種肺部容積或容量可由肺量計（spirometry）檢測？,"肺活量（vital capacity, VC）","肺總量（total lung capacity, TLC）","肺餘容積（residual volume, RV）","功能肺餘量（functional residual capacity, FRC）",A,"肺活量（vital capacity, VC）",無
57,健康的成年人在劇烈運動且通氣量配合增加的狀態下，動脈血氧分壓（PaO₂ ）和動脈血二氧化碳分壓（PaCO₂ ）的變化為何？,兩者皆顯著下降,兩者皆顯著上升,動脈血氧分壓維持不變，動脈血二氧化碳分壓下降,動脈血氧分壓上升，動脈血二氧化碳分壓維持不變,C,動脈血氧分壓維持不變，動脈血二氧化碳分壓下降,無
58,關於過度換氣（hyperventilation）對肺泡氧分壓（PO₂ ）與二氧化碳分壓（PCO₂ ）的影響，下列何者正確？,PO₂ 減少；PCO₂ 增加,PO₂ 增加；PCO₂ 增加,PO₂ 增加；PCO₂ 減少,PO₂ 減少；PCO₂ 減少,C,PO₂ 增加；PCO₂ 減少,無
59,突觸前神經軸突末梢（axon terminal）中何種離子的濃度上升可促進突觸囊泡（synaptic vesicles）的釋放？,鈣離子,鎂離子,鉀離子,氯離子,A,鈣離子,無
60,下列有關神經細胞動作電位不反應期（refractory period）的敘述，何者正確？,可避免生理狀況下動作電位在軸突產生倒傳（back propagation）的現象,漸進電位（graded potential）具有不反應期,不反應期乃因為電壓依賴性鈣離子通道（voltage-gated Ca₂+ channel）尚未關閉之故,在絕對不反應期（absolute refractory period）給予刺激可以產生動作電位,A,可避免生理狀況下動作電位在軸突產生倒傳（back propagation）的現象,無
61,下列何者為大腦最主要的興奮性神經傳導物質（excitatory neurotransmitters）？,甘胺酸（glycine）,麩胺酸（glutamate）,腺苷酸（adenosine）,γ胺基丁酸（GABA）,B,麩胺酸（glutamate）,無
62,有關帕金森氏症（Parkinson's disease）的敘述，下列何者正確？,黑質（substantia nigra）神經細胞退化所致,腦中多巴胺（dopamine）分泌過多,下視丘過度活化而出現震顫（tremor）,治療藥物以增加血清素（serotonin）分泌為目標,A,黑質（substantia nigra）神經細胞退化所致,無
63,關於牽張反射（stretch reflex），下列敘述何者錯誤？,因肌梭（muscle spindle）內纖維受拉扯而使感覺神經興奮,反射中樞在脊髓,引起肌肉舒張之反應,是維持身體姿勢最基本的反射,C,引起肌肉舒張之反應,無
64,屈肌縮回反射（flexor withdrawal reflex）的受器主要為何？,痛覺受器（nociceptor）,肌梭（muscle spindle）,本體感覺受器（proprioceptor）,觸覺受器（touch receptor）,A,痛覺受器（nociceptor）,無
65,下列何者與疼痛感覺最相關？,"α-黑色素細胞刺激素（α-Melanocyte-stimulating hormone, α-MSH）","促腎上腺皮質激素（Adrenocorticotropic hormone, ACTH）",生長激素（Growth hormone）,β-內啡肽（β-Endorphin）,D,β-內啡肽（β-Endorphin）,無
66,有關視覺障礙之視力矯正鏡片，下列敘述何者錯誤？,近視眼者需配戴雙凹鏡片,遠視眼者需配戴雙凸鏡片,散光眼者需配戴圓柱狀鏡片,老花眼者需配戴雙凹鏡片,D,老花眼者需配戴雙凹鏡片,無
67,某生經過一場搖滾演唱會的洗禮後，隔天發現自己無法聽清楚教授的講課，醫師懷疑是耳蝸毛細胞受損。下列何者為造成毛細胞興奮主要的機制？,鈉離子進入毛細胞,鉀離子進入毛細胞,鉀離子流出毛細胞,氯離子流出毛細胞,B,鉀離子進入毛細胞,無
68,如果患者腦部右側的視束（optic tract）受損，下列何種視覺缺陷將會發生？,導致雙眼完全失明,左眼失去全部視覺，但右眼視力正常,無法感知左眼視網膜左半側所接受的影像,無法感知右眼視網膜右半側所接受的影像,D,無法感知右眼視網膜右半側所接受的影像,無
69,清醒、放鬆的健康成年人，當閉著眼睛坐著時，在枕葉上主要記錄到的 EEG節律是：,delta波（0.5~4 Hz）,theta波（4~7 Hz）,alpha波（8~13 Hz）,beta波（13~30 Hz）,C,alpha波（8~13 Hz）,無
70,前額葉皮層受損時，最可能造成下列那種記憶障礙？,喪失遙遠記憶（remote memory）,喪失工作記憶（working memory）,喪失將短期記憶（short-term memory）轉變成為長期記憶（long-term memory）的能力,產生錯誤的情緒記憶（emotion memory）,B,喪失工作記憶（working memory）,無
71,刺激支配入球小動脈（glomerular afferent arteriole）的交感神經活性時，腎絲球過濾速率（glomerular filtration rate）會有何變化？,不變,上升,下降,無法判斷,C,下降,無
72,亨耳氏環（loop of Henle）上的鈉鉀幫浦（Na + /K + pump），最主要位於下列何處？,下降枝粗段（thick segment of descending limb）,上升枝粗段（thick segment of ascending limb）,上升枝細段（thin segment of ascending limb）,下降枝細段（thin segment of descending limb）,B,上升枝粗段（thick segment of ascending limb）,無
73,有關腎臟對鉀（potassium）的調控，下列敘述何者錯誤？,鉀主要由皮質集尿管（cortical collecting duct）分泌,尿液中的鉀都是透過腎絲球過濾作用（glomerular filtration）所產生,鉀分泌量受醛固酮（aldosterone）調控,鉀主要在近曲小管內被再吸收（reabsorption）,B,尿液中的鉀都是透過腎絲球過濾作用（glomerular filtration）所產生,無
74,近曲小管（proximal convoluted tubule）管壁上皮細胞（tubular epithelial cell）的鈉／氫交換子（Na + /H⁺exchanger）具有下列何種功能？,再吸收（reabsorb）氫離子、分泌（secrete）鈉離子,再吸收（reabsorb）鈉離子、分泌（secrete）氫離子,同時再吸收（reabsorb）鈉離子與氫離子,同時分泌（secrete）鈉離子與氫離子,B,再吸收（reabsorb）鈉離子、分泌（secrete）氫離子,無
75,下列何種狀況會抑制褪黑激素（melatonin）的分泌？,刺激上頸神經節（superior cervical ganglion）,刺激室旁核（paraventricular nucleus）,刺激視網膜（retina）,刺激視上核（supraoptic nucleus）,C,刺激視網膜（retina）,無
76,有關飢餓（starvation）過程中血漿內不同型態甲狀腺激素的濃度變化，下列何者最適當？,血漿中T₃ 濃度隨時間逐漸上升,血漿中reverse T₃ 濃度隨時間逐漸下降,血漿中T₄ 濃度無顯著變化,不會影響血漿中T₃ 、T₄ 和reverse T₃ 的濃度,C,血漿中T₄ 濃度無顯著變化,無
77,泌乳素（prolactin）主要是由何處分泌？,腦下垂體前葉,腦下垂體後葉,腎上腺,乳腺,A,腦下垂體前葉,無
78,下列何種激素與生長最不相關？,睪固酮（testosterone）,甲狀腺激素（thyroid hormone）,胰島素（insulin）,抗利尿激素（antidiuretic hormone）,D,抗利尿激素（antidiuretic hormone）,無
79,有關唾液功能的敘述，下列何者錯誤？,將食物濕潤,含澱粉酶（amylase）可分解多醣類,抗細菌的效果,含蛋白酶可分解蛋白質,D,含蛋白酶可分解蛋白質,無
80,下列營養物質，何者不是經由主動運輸方式進入小腸表皮細胞？,果糖（fructose）,葡萄糖（glucose）,半乳糖（galactose）,胺基酸（amino acid）,A,果糖（fructose）,無
