題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
11,職能治療師在治療室訓練個案洗手的任務，將任務拆解成：將手靠近水龍頭感應器、把手打濕、壓洗手乳、兩手搓洗、清洗雙手、檢查泡沫清除、拿取紙巾、用紙巾擦乾手、將紙巾丟入垃圾桶。根據獲得參考架構，下列敘述何者錯誤？,可以利用任務步驟製作評估與介入的檢核表,任務步驟必須按照順序排列,任務步驟可以依據個案的進步情況作調整,當任務步驟皆能完成時，可預測個案在家中也能自行完成,D,當任務步驟皆能完成時，可預測個案在家中也能自行完成,D,,無
12,小安車禍受傷前喜歡踢足球，職能治療師以踢足球活動來幫助小安訓練下肢肌力。此職能治療師是採下列何種治療方式？,代償模式（compensatory）,以職能做為治療方式（occupation as a means）,行為塑造（shaping）,生物力學模式（biomechanical model）,B,以職能做為治療方式（occupation as a means）,B,,無
13,有關封閉任務（closed task）與開放任務（open task），下列何者正確？,剪紙娃娃比寫字較為封閉,踢足球比盪鞦韆較為開放,剪紙比刷牙較為封閉,學習新動作技巧時，開放任務較封閉任務先開始,B,踢足球比盪鞦韆較為開放,B,,無
14,處理視知覺問題時，下列何種治療模式強調姿勢穩定性對於眼球動作效率的重要性？,發展性,代償性,神經生理,動作技巧獲得,C,神經生理,C,,無
15,職能治療師在介入孩童的心理社會問題時，會使用下列何種臨床推理過程來了解「個案的家庭對個案的看法及態度」及「個案在所處的社會文化環境中的經驗和感受」？,互動（interactive）,敘事（narrative）,情境（conditional）,科學（scientific）,B,敘事（narrative）,B,,無
16,關於Ayres感覺統合介入的基本假說，下列何者錯誤？,藉由感覺輸入誘發適應性反應,有意義的感覺註冊發生在適應性反應之後,適應性反應促進感覺統合的發展,複雜的行為表現建立在簡單的動作基礎上,B,有意義的感覺註冊發生在適應性反應之後,B,,無
17,"下列何者不屬於「認知導向職能表現介入（cognitive orientation to daily occupational performance, CO-OP）」的主要特色？",選定目標,動態表現分析,使用認知策略,評估結果,D,評估結果,D,,無
18,有關唇腭裂（cleft lip and palate）孩童口腔動作問題的描述與處置，下列何者錯誤？,唇腭裂孩童時常無法進行有效的吸吮動作,唇腭裂孩童不論嚴重程度，只能瓶餵，無法親餵（breast-feeding）,唇腭裂孩童進食牛奶時，時常出現牛奶溢到鼻腔的情形,治療策略包含特殊奶瓶的建議,B,唇腭裂孩童不論嚴重程度，只能瓶餵，無法親餵（breast-feeding）,B,,無
19,當職能治療師為一位8歲孩童選擇介入活動時，下列那一個心理社會發展要素是最需要被考量的？,建立基礎的信任,自由的使用主動權,發展自我的認同,加強勝任的能力,ABCD,建立基礎的信任；自由的使用主動權；發展自我的認同；加強勝任的能力,D,第19題一律給分，第72題一律給分，第74題一律給分。,無
20,有關兒童侷限誘發療法（pediatric constraint-induced movement therapy）的治療原則，下列何者最不適切？,不應使用布製手套（mitts and gloves）等材質侷限健側手,應透過各種活動，誘發患側手的動作,強調重複與大量的練習，並適時提供回饋,利用動作學習與動作塑造（shaping）的技巧，提升孩童動作,A,不應使用布製手套（mitts and gloves）等材質侷限健側手,A,,無
21,下列選項，何者最符合一般發展孩童使用剪刀技巧的發展順序？,直線→圓形→方形,直線→方形→圓形,圓形→直線→方形,方形→直線→圓形,A,直線→圓形→方形,A,,無
22,下列何者非側躺姿勢下，可以發展的功能性技巧？,可以區辨身體兩側（下側承重，上側活動）,容易將手放到視野中活動,促進抬頭能力,抑制迷路張力反射,C,促進抬頭能力,C,,無
23,有關動作學習與技巧獲得的回饋描述，下列何者正確？,在練習的初期，最好給予持續的回饋或每次嘗試後都提供回饋,在練習的初期，提供特定的或針對細節的回饋比表現整體性的回饋有效果,"「你用拇指和手指握筆且用力一點按壓」是動作結果的回饋（knowledge of results, KR）",回饋的形式包括口語、手勢、臉部表情、聲音與觸覺提示，必要時以手引導,D,回饋的形式包括口語、手勢、臉部表情、聲音與觸覺提示，必要時以手引導,D,,無
24,職能治療師評估一位注意力不足過動症個案，特別容易觀察到的行為為何？,個案容易變得惱怒，不能在位置上坐好，會直接拿同儕的東西或工具,個案經常將自己稱為是團體中的老大和最聰明的人,個案經常對其他人說髒話和故意撞擊他人,個案用語言表達對任務的焦慮，並表達對失敗的恐懼,A,個案容易變得惱怒，不能在位置上坐好，會直接拿同儕的東西或工具,A,,無
25,若職能治療的目標是讓退縮的孩童增加表達感情和情緒的能力，則下列那一個是最建議的方法？,畫一幅名為“這是我”的圖畫,和一小群孩童一起踢足球,和兩個同學一起玩大富翁,在團體中一起唱童謠,A,畫一幅名為“這是我”的圖畫,A,,無
26,感覺統合之神經動作臨床觀察（clinical observation of neuromotor performance）中有關趴姿伸展（prone extension）的描述，下列何者錯誤？,儘快擺到標準姿勢,頭須抬離地面約45度位置,膝蓋維持在小於15度的屈曲,6歲以上的孩童可維持30秒,C,膝蓋維持在小於15度的屈曲,C,,無
27,下列有關重力不安全感的描述，何者錯誤？,是對前庭刺激過度反應的行為表現,孩童會特別害怕身體重心作線性的移動，如坐在車裡突然剎車身體向前衝,怕坐盪鞦韆，或是雙腳不敢離開地面,從斜坡上滾下及下階梯，是重力不安全感評估（Gravitational Insecurity Assessment）中最具鑑別力的兩個項目,D,從斜坡上滾下及下階梯，是重力不安全感評估（Gravitational Insecurity Assessment）中最具鑑別力的兩個項目,D,,無
28,動態系統理論應用在促進孩童動作發展的原則，下列何者錯誤？,轉化成新動作模式包含探索、選擇和練習三個階段,功能性協同動作是動作行為的基礎,感覺知覺與動作系統是共同出現的,動作技巧是中樞神經系統所預設的階層模式所控制,D,動作技巧是中樞神經系統所預設的階層模式所控制,D,,無
29,有關結果知識（knowledge of results）的給予，下列敘述何者最正確？,對於類別困難度（nominal task difficulty）高的活動，練習的結果知識應該要頻繁且及時給予，以促進最大學習效果,對於功能困難度（functional task difficulty）高的活動，隨機提供結果知識，將可使學習效果保留較久,對於類別困難度（nominal task difficulty）低的活動，區段提供結果知識，可促進最佳學習,對於功能困難度（functional task difficulty）低的活動，不需要提供結果知識,A,對於類別困難度（nominal task difficulty）高的活動，練習的結果知識應該要頻繁且及時給予，以促進最大學習效果,A,,無
30,視覺空間能力障礙的孩童無法找到對的路線，下列那一種代償方式最不恰當?,尋找地標,畫路線圖,複誦路線，特別是轉彎處的特徵,嘗試找新的路線,D,嘗試找新的路線,D,,無
31,在感覺統合之神經動作臨床觀察（clinical observation of neuromotor performance）的評估中，下列何者不是兩側整合功能障礙的表現？,手指的順序碰觸,身體兩側動作協調困難,避免肢體跨中線,左右混淆,A,手指的順序碰觸,A,,無
32,治療寫字問題時，職能治療師將孩童寫字的平面傾斜20～30度，此治療方式與下列何者最無關？,促進鉛筆抓握能力,促進手腕伸張角度（extension）,增加前臂旋前角度（pronation）,傾斜後，寫字平面較接近眼睛，可以促進孩童追視手部動作,C,增加前臂旋前角度（pronation）,C,,無
33,小珍因書寫困難被轉介到職能治療，因此職能治療師提供訓練掌內操作技巧（in hand manipulation）的活動，例如讓小朋友在塗滿奶油的桌面上畫畫，此方式屬於下列那一種介入模式？,獲得與動作學習介入模式,感覺動作介入模式,生物力學介入模式,認知介入模式,B,感覺動作介入模式,B,,無
34,關於體感覺系統的描述，下列何者錯誤？,主要由背柱內側丘系（DCML）與前外側束（AL）兩條主要路徑將感覺刺激輸入至中樞神經系統,關節、肢體動作及位置的感覺主要由背柱內側丘系（DCML）傳遞,臉部的感覺由前外側束（AL）負責傳遞,痛、溫度、癢的感覺由前外側束（AL）傳遞,C,臉部的感覺由前外側束（AL）負責傳遞,C,,無
35,有關以理情治療（rational emotive therapy）評量社交合適性的等級與介入，下列敘述何者錯誤？,層級1：孩童即將對他人或自己做出傷害行為,層級3：孩態度負向但不至於干擾團體，有退縮、消極、在活動任務中很安靜的情況,層級4：孩童行為接近可接受程度，只剩一些小地方須修正,層級5：孩童在社區中出現具功能性、可接受的行為表現,A,層級1：孩童即將對他人或自己做出傷害行為,A,,無
36,有關視知覺相關知識，下列何者錯誤？,視知覺能力不佳可能影響語言發展,在各種腦性麻痺孩童中，痙攣型四肢麻痺（spastic quadriplegic）孩童的視知覺問題最嚴重,精神疾患孩童視知覺問題遠大於視覺動作問題,發展性協調障礙孩童可能伴隨視知覺問題,C,精神疾患孩童視知覺問題遠大於視覺動作問題,C,,無
37,奈奈的預產期為去年的9月20日，但她在去年的6月10日提前出生。目前奈奈的實際年齡為1歲1個月又22天，奈奈的矯正年齡為：,9個月,10個月,11個月,12個月,B,10個月,B,,無
38,下列那些測驗常用於評量感覺統合動作運用能力（praxis）？①Bruininks-Oseretsky Test of Motor Proficiency ②Movement Assessment Battery for Children ③Sensory Profile ④Peabody Developmental Motor Scales,僅①②,僅①④,僅②③,僅①②④,A,僅①②,A,,無
39,下列那些工具較適合評量孩童對執行日常生活活動之感受（如勝任感、重要性）？①兒童及青少年參與及環境量表（Participation and Environment Measure for Children and Youth） ②兒童職能自我評估量表（Child Occupation Self-Assessment） ③動作與處理技巧評量表（Assessment of Motor and Process Skills） ④加拿大職能表現量表（Canadian Occupational Performance Measure）,①②,②③,②④,③④,C,②④,C,,無
40,下列有關兒童生活功能量表電腦化適性測驗（Pediatric Evaluation of Disability Inventory-Computer Adaptive Test）之敘述，何者錯誤？,用來評量孩童的日常生活活動及工具性日常生活活動,測驗針對0～6歲一般發展孩童所設計，但適用到12歲身心障礙孩童,採用國際健康功能與身心障礙分類系統（ICF）為測驗發展架構,除了評量孩童的活動功能外，也評量照顧者提供多少協助,B,測驗針對0～6歲一般發展孩童所設計，但適用到12歲身心障礙孩童,B,,無
41,有關如廁訓練的策略，下列敘述何者最不適切？,孩童若無法主動表達要上廁所，可訓練孩童將如廁變成習慣，每天固定時間上廁所,姿勢控制不佳的孩童因無法維持坐姿於馬桶上，建議採用蹲式廁所，方便孩童如廁,對於年紀較大的孩童或青少年，更要注意孩童的如廁隱私，避免孩童感到害羞,孩童若手功能操作不佳，整理衣物有困難，建議穿著方便穿脫的衣物，如女生可穿裙子,B,姿勢控制不佳的孩童因無法維持坐姿於馬桶上，建議採用蹲式廁所，方便孩童如廁,B,,無
42,關於學習障礙孩童常見的社交參與問題，下列何者較不適切？,社交互動,執行功能,社交動機,社交覺察,C,社交動機,C,,無
43,運用社交故事（social story）中所涵蓋的4種句型教導自閉症孩童社交技巧，「當我在學校或公共場所上廁所時，我只會讓馬桶沖一次水」較屬於下列那種句型的應用？,描述句（descriptive）,指示句（directive）,觀點句（perspective）,肯定句（affirmative）,D,肯定句（affirmative）,D,,無
44,關於社交技巧訓練團體的實施要點，下列敘述何者錯誤？,涵蓋的個案年齡層可有5年的差異，但過大的年齡差距可能降低訓練效果,對他人造成危險的攻擊性行為和不足的互動動機，皆會降低訓練效果,社交技巧訓練的理想時間應維持至少1週2次，每次約60到90分鐘，共維持14週,訓練團體可在不同地點時間執行，如醫療院所、學校、課後或是暑假期間,A,涵蓋的個案年齡層可有5年的差異，但過大的年齡差距可能降低訓練效果,A,,無
45,下列何者並非職能治療領域常應用於評估分析自閉症孩童社交障礙問題之理論模型（theoretical model）？,心智理論（theory of mind）,執行功能（executive functions）,任務導向（task-oriented）,中心聚合（central coherence）,C,任務導向（task-oriented）,C,,無
46,"關於形成通用設計學習（universal design for learning, UDL）概念的原則，下列何者錯誤？",當學習者發生參與困難時，因應其學習能力和需求即時修改環境以符合其學習目標,應用多種的呈現方式給予學習者多樣化的方式獲得資訊和知識,應用多種的行動和表現方式提供學習者不同機會展現所知的內容,應用多種的參與方式帶出學習者興趣、提供合適挑戰和增加動機,A,當學習者發生參與困難時，因應其學習能力和需求即時修改環境以符合其學習目標,A,,無
47,校園進行全年級躲避球比賽，這是屬於那種遊戲類型？,規則遊戲（game with rules）,象徵遊戲（symbolic play）,感覺動作遊戲（sensorimotor play）,結構性遊戲（constructive play）,A,規則遊戲（game with rules）,A,,無
48,一般而言，獨自遊戲（solitary play）大約幾歲的孩童開始出現？,0～2歲,3～4歲,5～6歲,7～8歲,A,0～2歲,A,,無
49,關於孩童遊戲發展進程，下列何者錯誤？,嬰兒期到孩童滿一歲是屬於探索性遊戲（exploratory play）,1～2歲孩童是屬於感覺動作遊戲（sensorimotor play），也開始學著操作玩具、積木,大富翁等具規則性的遊戲，較適合約五或六歲的孩童進行,社交遊戲（social play）須等到二歲以上才會開始發展,D,社交遊戲（social play）須等到二歲以上才會開始發展,D,,無
50,職能治療利用遊戲治療時，下列敘述何者錯誤？,孩童玩的方式與環境的互動能力須符合其年齡，以增加信心,孩童不適合自己發展出玩具的其他玩法,住院的孩童因為生理受限，也缺乏人際互動，可能容易造成遊戲能力不佳,有情緒障礙的孩童常有退化性、攻擊性的玩法,B,孩童不適合自己發展出玩具的其他玩法,B,,無
51,依據Reilly的孩童遊戲理論，描述孩童技術成熟並可達成目標的要求做到最好，是指下列那一個階段？,探索階段,勝任階段,競爭階段,成就階段,D,成就階段,D,,無
52,Bundy（1987）的玩興（playfulness）遊戲理論，需要三個因素，下列何者不屬於？,內在控制（internal control）,內在動機（intrinsic motivation）,懸置現實（ability to suspend reality）,表演能力（performing）,D,表演能力（performing）,D,,無
53,Knox的學齡前遊戲量表修正版（Revised Knox Preschool Play Scale）包括四個範疇，不包括下列何者？,空間處理（space management）,動作發展（motor development）,材料運用（material management）,參與（participation）,B,動作發展（motor development）,B,,無
54,孩童拿玩具湯匙和飯碗餵娃娃、帶娃娃睡覺，屬於下列何種遊戲？,結構性遊戲（constructive play）,功能性遊戲（functional play）,象徵性遊戲（symbolic play）,規則性遊戲（game with rules）,C,象徵性遊戲（symbolic play）,C,,無
55,餵食時職能治療師從孩童的前方給予外在的下顎支持，職能治療師的拇指應放在孩童身體的何處？,臉頰接近唇邊處,上唇,下巴下方,下巴前方,D,下巴前方,D,,無
56,下列那一項是屬於工具性日常生活活動（instrumental activities of daily living）？①打電話給友人；②照顧寵物；③每日服藥,僅②,僅①②,僅①③,①②③,D,①②③,D,,無
57,當孩童以練習遊戲（practice games）為主要遊戲型態時，在社會互動發展上以下列何者為主？,平行遊戲（parallel play）,獨立遊戲（independent play）,團隊參與（team participation）,合作遊戲（cooperative play）,B,獨立遊戲（independent play）,B,,無
58,「孩童玩扮家家酒以學習合適的成人行為」最適合說明下列何種遊戲理論的觀點？,創造力,溝通,社會化,認知,C,社會化,C,,無
59,關於新生兒加護病房的照護，下列敘述何者錯誤？,以家庭為中心的照護，也包含鼓勵早產兒手足參與其照護,父母都適合來執行袋鼠照護,袋鼠照護只適用於已自行呼吸的早產兒,母奶對大部分住院的早產兒是最佳的營養來源,C,袋鼠照護只適用於已自行呼吸的早產兒,C,,無
60,新生兒整合發展照護模式（neonatal integrative developmental care model）特別強調下列那一項重點？,醫療團隊合作,家庭參與,病房的感染控制,出院的照護計畫,B,家庭參與,B,,無
61,關於早產兒聽覺功能的發展，下列何者正確？,在足月年齡（term age）前結構和功能都已成熟,在足月年齡前，隨著週數增加，對音量分貝愈敏感,日後容易聽不到低頻聲音，但中及高頻聲音則較無問題,音樂介入並不適合仍住在加護病房的早產兒,B,在足月年齡前，隨著週數增加，對音量分貝愈敏感,B,,無
62,關於以家庭為中心（family-centered）的介入方式，下列敘述何者錯誤？,著重在整個家庭的優勢，而非劣勢,提供孩童的照護服務，家人有權做出接受與否的決定,家人及服務提供者必須一起合作發展治療目標,家人及服務提供者都必須是扮演兒童直接治療者的角色,D,家人及服務提供者都必須是扮演兒童直接治療者的角色,D,,無
63,"在美國，有關個別化家庭服務計畫（individualized family service plan, IFSP），下列敘述何者錯誤？","計畫之執行受到「身心障礙者教育改進法案（The Individuals with Disabilities Education Improvement Act, IDEA）」的規範",屬於一種動態的服務計畫,需每年檢視一次服務內容,某些州已可讓職能治療師透過遠距照護（telehealth）作為提供服務的方式,C,需每年檢視一次服務內容,C,,無
64,下列那一項為兒童醫院職能治療師最可能提供住院病童的治療內容？,食物營養的建議,家人照護的教導,學校課業的輔導,口語表達的訓練,B,家人照護的教導,B,,無
65,下列針對美國雙層次教育模式（two-tiered model of education）與多層次教育模式（multitiered model of education）之描述，何者錯誤？,雙層次教育模式所提及的雙層次分別是普通教育層級與特殊教育層級,雙層次教育模式中的兩個層級，學生比率分別為85%與15%,多層次教育模式共有3個層級,接受多層次教育模式第二層級服務之學生，約占全部學生的35%,D,接受多層次教育模式第二層級服務之學生，約占全部學生的35%,D,,無
66,"美國為特殊需求學生權益所訂定之法律是許多國家仿效的對象。依據美國法律的規範，有關個別化教育計畫（individualized education plan, IEP）定期檢視（review）之期限，若家長或學校未提出檢視要求，則多久時間應至少檢視1次？",半年,1年,1年半,2年,B,1年,B,,無
67,"「從搖籃到學院之就業模式（cradle to college and career model, CCC model）」是轉銜服務之新趨勢，其主要目標為何？",從幼兒時期就開始接受特殊專長訓練，協助未來就業,不論幼兒或成人，都應學習特殊專長，以增進就業潛能,連結學校作業與職業或職務，讓學生獲得就業所需之能力,將學生診斷分組，並協助學生選擇,C,連結學校作業與職業或職務，讓學生獲得就業所需之能力,C,,無
68,下列敘述何者較貼近跨專業劇場評量（transdisciplinary arena assessment）的做法？,一個專業先評量，另一專業再評量，類似不同專業輪流評量的做法,由一專業人員進行評估，家屬及其他專業成員則在過程中提供諮詢,幾個專業單獨評量結束後，再針對個案進行討論,必須於個案的家庭或學校進行評量,B,由一專業人員進行評估，家屬及其他專業成員則在過程中提供諮詢,B,,無
69,學校系統職能治療師經常需要提供諮詢服務，下列何種類型的諮詢者（consultee）不太需要知道細節就直接付諸行動？,成就型（achiever）,分析型（analyst）,說服型（persuader）,支持型（supporter）,C,說服型（persuader）,C,,無
70,由Dawson和Rogers發展出來的Early Start Denver Model，最初是針對下列那一個族群的介入？,腦性麻痺孩童,自閉症孩童,早產兒,學習障礙孩童,B,自閉症孩童,B,,無
71,8歲的自閉症孩童小清每次參加學校的集會時總是感到壓力很大，而且過度警醒。職能治療師幫助小清了解自己的警醒程度，並且幫助小清找到可以自我調節的方法，例如幫他找到可以幫助自己冷靜的活動。因此小清在參加學校集會前會先進行這些可以幫助自己冷靜的活動，然後他也學會如何去了解自己的警醒程度，他漸漸可以在集會裡待更久。最後，他更進一步學會在發現自己被聲音過度刺激時要跟老師講，請老師讓他去比較安靜的地方。上述治療方式屬於下列何者？,The alert program,Stress thermometer,Emotion charades,Social autopsies,A,The alert program,A,,無
72,下列何者比較不是在焦慮症孩童身上常見的社交問題（social problems）？,溝通技巧（communication skills）困難,社交技巧（social skills）困難,自我管理（self-management）困難,問題解決（problem solving）困難,ABCD,溝通技巧（communication skills）困難；社交技巧（social skills）困難；自我管理（self-management）困難；問題解決（problem solving）困難,A,第19題一律給分，第72題一律給分，第74題一律給分。,無
73,阿滴表現出混淆和躁動行為，可以在最大協助下開始參與日常生活活動。則他的瑞裘認知功能階級（Rancho Los Amigos Levels of Cognitive Functioning）屬於那一個等級？,2,3,4,5,C,4,C,,無
74,"灣灣是一位腦性麻痺的12歲孩童，主要使用手動輪椅移行，無法使用助行器行走，且用手操弄物體困難，若職能治療師先把這些物體調整到適合他操弄的角度時，則他可以獨立完成活動。根據粗大動作功能分類系統（Gross Motor Function Classification System, GMFCS）和徒手能力分類系統（Manual Ability Classification System, MACS），他的分級為何？",GMFCS第五級，MACS第二級,GMFCS第一級，MACS第二級,GMFCS第五級，MACS第三級,GMFCS第四級，MACS第四級,ABCD,GMFCS第五級，MACS第二級；GMFCS第一級，MACS第二級；GMFCS第五級，MACS第三級；GMFCS第四級，MACS第四級,C,第19題一律給分，第72題一律給分，第74題一律給分。,無
75,職能治療師發現自閉症孩童小明特別喜歡海綿寶寶，覺得海綿寶寶是他的英雄，職能治療師使用一張海綿寶寶的圖片，並且說一個海綿寶寶的故事，告訴小明在教室裡面該如何適當地和其他的小朋友互動，例如海綿寶寶在教室裡面會坐在圓形地墊上，不會伸手摸別的小朋友，會聽老師講話，而且會跟全班一起唱早安歌。請問此描述的介入方式為何？,社交故事（social stories）,應用行為分析（applied behavior analysis）,充電卡（power cards）,心智解讀（mind reading）,C,充電卡（power cards）,C,,無
76,下列何者為職能治療師對自閉症孩童小明使用區段教學（block scheduling）的進行方式？,在小明家中進行15分鐘的治療,在職能治療室對小明進行30分鐘小團體的治療,在小明的幼稚園教室裡待2-3個小時，以一對一或小團體方式進行治療活動，同時提供老師和助理建議,和小明的老師們一週開會一次討論小明的治療方式,C,在小明的幼稚園教室裡待2-3個小時，以一對一或小團體方式進行治療活動，同時提供老師和助理建議,C,,無
77,"Gorski, Davidson & Brazelton（1979）將早產兒行為組織能力的發展分為三期。下列何種處置或介入最不適合顯現期（coming out stage）的嬰兒？",安撫奶嘴的吸吮,日夜循環光照環境,觀看黑白圖片,袋鼠式照護,C,觀看黑白圖片,C,,無
78,有關雷特氏症候群（Rett's syndrome）的敘述，下列何者錯誤？,是一種神經系統疾病,好發於小男孩,嬰兒早期發展正常，但一旦發病，會有快速退化及發展遲緩的現象,發病後會喪失已具備的手功能，且出現刻板的手部動作，如搓、扭、緊握、拍手等,B,好發於小男孩,B,,無
79,一般嬰幼兒最早多大時，將他放在坐姿位置時，他會呈現軀幹完全屈曲（total trunk flexion）的現象？,1～2個月,3～4個月,5～6個月,正常坐姿發展不會呈現軀幹完全屈曲的現象,A,1～2個月,A,,無
80,職能治療師在為身心障礙孩童選擇輔具時，下列原則何者錯誤？,應考慮其美觀性,不同年齡之孩童應有不同考量,應以高科技（high tech）輔具為優先考量,孩童及家長使用輔具的滿意度是決定使用輔具之指標,C,應以高科技（high tech）輔具為優先考量,C,,無
