題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
14,25歲患有智能障礙的阿國，最近奶奶過世了，無人為他準備午餐。治療師教導他學會使用家中的電鍋加熱飯菜，於父母外出上班時，自己處理好午餐。請問上述訓練最主要是運用那一種介入型態？,發展新技巧,用品通用設計,預防介入,環境調適,A,發展新技巧,無
15,某治療師在一個長照2.0復能B單位進行執業登記，她服務每一位老人復能個案後，雇主提供分帳七成的方式，給她酬勞。請問她的報酬給予方式是屬於：,時薪制,論件計酬,月薪制,論日計酬,B,論件計酬,無
16,我國的職能治療師，必須接受的持續執業能力（continuing competence）認證，下列何者正確？,每五年完成繼續教育課程，積分合計達一百點以上,每五年完成繼續教育課程，積分合計達一百二十點以上,每六年完成繼續教育課程，積分合計達一百點以上,每六年完成繼續教育課程，積分合計達一百二十點以上,D,每六年完成繼續教育課程，積分合計達一百二十點以上,無
17,依臺灣職能治療學會職能治療師專業能力進階制度認證辦法，臨床職能治療師共可分為幾個層級？,二個,三個,四個,五個,C,四個,無
18,職能治療所負責人因故不能執行業務，應指定合於負責職能治療師資格者代理，此代理人最長可代理多久期限？,1年,2年,3年,5年,A,1年,無
19,有關職能治療所之規定，下列何者錯誤？,職能治療所若歇業，應將其招牌拆除,職能治療所開業執照遺失者，應填具申請書，並繳納開業執照費，向原發給開業執照機關申請補發,職能治療所核准登記事項應包括負責職能治療師之身分證統一編號及住址,職能治療所如需換發開業執照，申請人不須再繳納開業執照費,D,職能治療所如需換發開業執照，申請人不須再繳納開業執照費,無
20,依據職能治療師法施行細則，下列有關申請設立職能治療所的敘述，何者錯誤？,需繳納開業執照費，並向中央衛生主管機關申請核准登記,需檢附職能治療師證書正本及影本，正本驗畢後歸還,需檢附國民身分證正本及影本；正本驗畢後發還,需檢附職能治療所平面配置圖及建築物合法使用證明文件,A,需繳納開業執照費，並向中央衛生主管機關申請核准登記,無
21,依據醫事人員執業登記及繼續教育辦法規定，醫事人員辦理執業執照更新，應於其執照應更新日期屆滿前多久申請換照？,一個月內,三個月內,六個月內,一年內,C,六個月內,無
22,輔具評估及使用建議是醫院必須為住院之身心障礙者提供的出院準備計畫，此規範明訂於下列何者？,醫療法,精神衛生法,身心障礙者權益保障法,身心障礙者輔具資源整合與研究發展及服務辦法,C,身心障礙者權益保障法,無
23,依據長期照顧服務法，下列那些服務類型是居家式、社區式、機構住宿式長照服務方式均明文規定可提供的服務型態？①身體照顧服務；②日常生活照顧服務；③交通接送服務；④醫事照護服務；⑤社會參與服務；⑥家屬教育服務；⑦預防引發其他失能或加重失能之服務,①②④⑦,①②⑤⑥,①④⑤⑦,②③⑤⑥,A,①②④⑦,無
24,依據身心障礙者權益保障法對行動不便之身心障礙者專用停車位之規定，下列敘述何者錯誤？,公共停車場應保留百分之三停車位，作為行動不便之身心障礙者專用停車位,車位未滿五十個之公共停車場，至少應保留一個身心障礙者專用停車位,行動不便之身心障礙者專用停車位的設置地點與空間規劃，由中央主管機關會同交通、營建等相關單位定之,民營事業機構設有停車場者亦應保留身心障礙者專用停車位,A,公共停車場應保留百分之三停車位，作為行動不便之身心障礙者專用停車位,無
25,某位脊髓損傷個案具有下肢感覺功能缺損，經過半年的治療，下肢感覺功能並沒有恢復的跡象，因此採用視覺來避免皮膚損傷，此為何種理論或模式之應用？,感覺統合理論,復健參考架構,認知發展理論,生物力學參考架構,B,復健參考架構,無
26,根據Donohue（2010）所提出的五種發展性團體（developmental group）模式，下列那一種團體較適合平行性團體（parallel group）的模式？,大學生的人際互動成長團體,輕度失智症的生活經驗分享團體,焦慮症的冥想團體,小學六年級的桌遊團體,C,焦慮症的冥想團體,無
27,人類職能模式（Model of Human Occupation）中，那一個元素和參與職能的動機最相關？,意志（volition）,習慣（habituation）,表現能力（performance capacity）,環境（environment）,A,意志（volition）,無
28,職能治療師在為病患設定治療目標時，必須考慮目標的可及性。下列那些因素會影響病患職能目標的可及性？①疾病本身的禁忌症（contraindications） ②失能狀態的改善潛能；③個案過去與最近的日常生活相關活動的經驗；④個案的學習特性；⑤個案對治療方針的配合度,①②③④⑤,僅②③④,僅①②④⑤,僅①③⑤,A,①②③④⑤,無
29,社區精神復健機構中的病患，剛與職能治療師會談後體認到養成運動習慣的重要，正猶豫是否要嘗試，依據跨理論行為改變模式（Transtheoretical Model of Change），此屬於那個階段，及適合的介入策略為何？,前運思期（precontemplation stage）：透過衛教單，強化運動習慣養成重要性的認知,運思期（contemplation stage）：鼓勵其嘗試訂定行動目標,準備期（preparation stage）：與個案討論出運動習慣養成的具體目標,行動期（action stage）：提供問題解決策略，支持其落實運動習慣,B,運思期（contemplation stage）：鼓勵其嘗試訂定行動目標,無
30,有關動作練習與回饋的種類與例子配對，下列何者錯誤？,part practice－只練習把手臂穿進外套袖子裡的動作,massed practice－連續練習一小時，中間只有短暫的休息,inherent feedback－倒水而將水灑出的當下，知道自己出錯,concurrent feedback－治療師在個案完成伸手取物後，告知個案手張得不夠開,D,concurrent feedback－治療師在個案完成伸手取物後，告知個案手張得不夠開,無
31,有關復元模式（Recovery Model）的敘述，下列何者錯誤？,精神障礙者所發展的復元模式強調藥物治療之重要性,精神障礙者的復元是一個起起伏伏的過程，精神障礙者在過程中得以學習與成長,精神障礙者須為自己的復元負責，專業人員可以從旁提供協助與建議,精神障礙者在復元的過程會對未來感到希望並學習做決定,A,精神障礙者所發展的復元模式強調藥物治療之重要性,無
32,下列那一個評估工具可用來了解精神障礙照護單位符合復元導向服務（Recovery-Oriented Services）之程度？,賦權量表（The Empowerment Scale）,疾病管理復元量表（The Illness Management Recovery Scale）,復元自我評量（The Recovery Self-Assessment）,復元知識量表（The Recovery Knowledge Inventory）,C,復元自我評量（The Recovery Self-Assessment）,無
33,人類職能模式（Model of Human Occupation）的環境（environment）面向不包含下列那一項內容？,參與職能時所使用的物品,參與職能時所使用的空間,特定情境下從事被認同的職能,參與職能時所需的時間,D,參與職能時所需的時間,無
34,下列何種行為學習理論的假說強調相信自我能力，高度自信是可以克服任務的難度？,社會認知學習理論（social cognitive theory of learning）,建構學習理論（constructivist theory）,行為主義理論（behaviorist theory）,自我效能理論（self-efficacy theory）,D,自我效能理論（self-efficacy theory）,無
35,治療師在治療過程中逐漸減少提示及協助，讓患者能獨立使用已學得的策略並熟練操作，這位治療師使用了何種行為改變技巧？,褪除（fading）,連鎖（chaining）,形塑（shaping）,概化（generalization）,A,褪除（fading）,無
36,根據Dunn的感覺處理模式，個人會依本身感覺處理模式出現一致性的特定行為。若個案在受到噪音過度刺激時會出現摀住耳朵，該個案可分類於下列那一型行為者？,尋求者（seeker）,旁觀者（bystander）,敏感者（sensor）,迴避者（avoider）,D,迴避者（avoider）,無
37,有關空間忽略症（spatial neglect）的敘述，下列何者正確？①主因是因偏盲（hemianopsia）所導致看不見患側邊的刺激；②因空間忽略症狀複雜，無法單獨使用刪除任務（cancellation tasks）評估；③使用稜鏡調適療法（prism adaptation）可代償忽略現象；④視覺掃描訓練（visual scanning training）結合患者健側肢體動作訓練可改善忽略現象,①②,③④,①④,②③,D,②③,無
38,治療師請個案舉例說出各種如何回家的解決方案，該治療師欲測試個案何種能力？,工作記憶（working memory）,程序記憶（procedural memory）,認知彈性（cognitive flexibility）,意念性失用（ideational apraxia）,C,認知彈性（cognitive flexibility）,無
39,在候診處提供大量的觸覺刺激的玩具給感覺閾值高的孩童，是應用人類表現生態（ecology of human performance）模式中那一個介入策略？,建立／恢復（establish/restore),改變（alter）,調適／修改（adapt/modify）,預防（prevent）,D,預防（prevent）,無
40,在Fitts and Posner動作學習第三階段時，個案學習主要是運用下列何種記憶力？,程序記憶（procedural memory）,前瞻記憶（prospective memory）,陳述記憶（declarative memory）,語意記憶（semantic memory）,A,程序記憶（procedural memory）,無
41,下列何種參考架構，並非以大腦的可塑性理論（theory of brain plasticity）作為病患可能產生改變的基礎？,水川模式（Kawa Model）,神經發展治療（Neurodevelopmental Treatment）,感覺統合（Sensory Integration）,動作控制（Motor Control）,A,水川模式（Kawa Model）,無
42,學者透過研究將高齡者罹患腦血管病變的經驗，描述為一種身體安全感的削弱。上述研究屬於職能科學研究中的那一類範疇？,職能的觀察面向,職能的現象學面向,人類的職能天性,系統化職能科學知識,B,職能的現象學面向,無
43,職能調適過程模式（model of the occupational adaptation process）主要描述那兩個要素的交互作用？,個體與職能環境的交互作用,職能表現與職能環境的交互作用,任務與個體的交互作用,職能環境與任務的交互作用,A,個體與職能環境的交互作用,無
44,有關心理疾患復元的敘述，下列何者正確？①復元導向的臨床服務會考量被服務者的想法；②復元是一種狀態而非過程；③復元的個人觀點認為由疾病中復元的責任在於提供臨床服務者,僅①,僅①③,僅②③,①②③,A,僅①,無
45,下列那一種領導者風格最適用於自閉症兒童家長支持團體？,促進式（facilitative）,諮詢式（advisory）,指導式（directive）,中立式（netural）,B,諮詢式（advisory）,無
46,三明治世代通常發生在那一個時期？,中年期,青少年期,老年期,學齡期,A,中年期,無
47,下列那一個評估工具較不適合用來評估發展性協調疾患（Developmental Coordination Disorder）孩童的動作技巧？,Bruininks-Oseretsky Test of Motor Proficiency-Second Edition（BOT-2）,School Function Assessment（SFA）,Movement Assessment Battery for Children-Second Edition（Movement ABC-2）,Peabody Developmental Motor Scales（2nd edition）（PDMS-2）,B,School Function Assessment（SFA）,無
48,下列那些是前美國職能治療學會主席Carolyn Baum所指稱職能治療的新興實務領域（emerging areas of practice）？①在地老化；②燒燙傷復健；③駕駛評估及訓練計畫；④社區健康與安適,①②③,①③④,②③④,①②④,B,①③④,無
49,一名腦中風個案在發病前，在一間小吃店工作，有時會到宮廟當志工，並喜歡與人社交，現在因為右側無力且記憶力不佳無法參與職能；職能治療師改變其社交職能的需求，使個案能坐在椅子上和孫子玩簡單桌遊一小段時間。依據上述，職能治療師最有可能使用何種實務模式？,人類職能模式,加拿大職能表現模式,職能調適,人環境職能表現模式,C,職能調適,無
50,有關建立職能剖面（occupational profile）資料的蒐集過程，下列敘述何者較不合理？,主要採面對面晤談的評估策略,先晤談後治療師再進行興趣量表（interest checklist）問卷評估,用開放式問題開始訪談，以促進與受訪者之互動,訪談時應避免使用專業術語,B,先晤談後治療師再進行興趣量表（interest checklist）問卷評估,無
51,在教育體系中，職能治療的服務可以透過許多方式進行，下列那一種方式較屬於系統性支持（systems support）？,提供相關資訊給特教老師,重新設計遊樂設施,調整座椅高低,直接入班觀察記錄,B,重新設計遊樂設施,無
52,對於一位剛腦中風的個案，還在意識混亂的情況下，那一種介入最不適合？,自我調節（self-regulation）,治療性運動（therapeutic exercise）,物理設備（physical agent modalities）,模擬活動（simulated activity）,D,模擬活動（simulated activity）,無
53,"關於使用徒手肌力測試（Manual Muscle Testing, MMT）來測量個案的肌力，下列敘述何者最不適當？",MMT在表面效度方面是被認可的,施測者一般在受過訓練後其測量表現的一致性是可以接受的,只需要把各部位的肌力加起來就可以比較兩個人的整體肌力,MMT可以說是一套標準化的評量方式,C,只需要把各部位的肌力加起來就可以比較兩個人的整體肌力,無
54,依據Passmore及French等人2003年對於娛樂（leisure）的分類，「看電視」這個活動比較適合分配在那一類的娛樂？,成就型休閒（achievement leisure）,社交型休閒（social leisure）,暫時脫離型休閒（time-out leisure）,競爭型休閒（competition leisure）,C,暫時脫離型休閒（time-out leisure）,無
55,有關幼兒時期的遊戲，下列敘述何者最不適切？,遊戲是幼兒時期最重要的職能活動,2歲幼兒喜歡分享玩具,幼兒時期小朋友喜歡玩充滿想像力的遊戲,遊戲是指自發的、享樂的、沒有特定目標或目的的活動,B,2歲幼兒喜歡分享玩具,無
56,侷限誘發療法是一種針對半側偏癱腦中風個案有效的介入方式，此種介入屬於下列何種職能治療介入途徑？,矯治性,代償性,預防性,維持性,A,矯治性,無
57,有關中華民國職能治療師公會全國聯合會的功能角色，不包含下列何者？,協助政府推行法令及建議興革事項,辦理繼續教育課程，提升專業服務品質,審核國內職能治療師養成教育課程是否符合世界職能治療師聯盟標準,職能治療業務糾紛之調處與仲裁事項,C,審核國內職能治療師養成教育課程是否符合世界職能治療師聯盟標準,無
58,下列何項作法，最能夠確保單位中不同職能治療師的個案評估與介入達到一致性？,透過個案觀摩或共同治療,規定一律使用標準化評估工具,每個人分工，僅負責專一特定工作,規定僅可執行有實證的介入方案,A,透過個案觀摩或共同治療,無
59,職能治療部門主管希望能提升治療師的工作滿意度，並留任人才，依據自我決定理論（self-determination theory），以下措施何者最適合？,進階制度：鼓勵專業成長，並搭配升遷機會,業績競賽：鼓勵願意多服務、有產能之治療師,考績獎金：提供額外獎金，鼓勵表現佳的治療師,賞罰分明：明確獎勵及懲罰規定，以示公平,A,進階制度：鼓勵專業成長，並搭配升遷機會,無
60,職能治療督導者對臨床治療師大約以每個月一次的頻率面對面進行業務上的溝通或討論，期間亦可輔以信件或電話溝通，屬於那一種督導層次？,直接督導（direct supervision）,密切督導（close supervision）,例行督導（routine supervision）,一般督導（general supervision）,D,一般督導（general supervision）,無
61,展現職能治療專業性的特質，可能隨時代而稍有差異，但一致認可的專業表現，包含下列何者？①維持與精進專業服務水準，提供以實證為基礎的實務；②具不斷精進專業知能的行動，如參與OT專業組織；③具高度熱誠與責任感，能回應社會脈動及與對專業的需求；④能應用最新科技技術於職能治療過程中,僅①②,僅②③,僅①②③,①②③④,C,僅①②③,無
62,關於職能治療（OT）部門中，不同類別督導的敘述，下列何者錯誤？,行政事務的督導者，必須具備OT專業背景,專業實務的督導者，通常為較資深的OT專業人員,專業實務的督導者，通常具備實習教學指導的資格,任務型督導者，只負責於特定技術上提升其專業知能，不需全面督導,A,行政事務的督導者，必須具備OT專業背景,無
63,方案過程（program process）是方案評估項目之一，有關方案過程之敘述，下列何者錯誤？,轉介與介入階段之規劃,界定服務範圍與內容,擬定評估與再評估的時機,評估階段之規劃,B,界定服務範圍與內容,無
64,某新成立職能治療所在鄰里張貼海報，將在聖誕節當天，借用社區廣場辦理失智症關懷闖關活動，過關者可獲得失智症免費檢測諮詢服務。前述活動使用服務與產品宣傳推廣策略四大類中的那幾類？①廣告（advertising） ②促銷（sales promotion） ③公眾關係（public relations） ④人員推銷（personal selling）,①②③④,僅①③④,僅②④,僅①②③,D,僅①②③,無
65,依照學者Doll（2010）的定義，下列何者屬於職能治療的直接成本（direct costs）？,空間成本,保險成本,維護和管理成本,治療設備成本,D,治療設備成本,無
66,當一家職能治療所的成本等於收入，不留下任何債務或利潤時，稱之為：,損益平衡點（break-even point）,固定成本（fixed costs）,不計費項目（non-billable items）,浮動成本（variable costs）,A,損益平衡點（break-even point）,無
67,下列那些人或單位可能會閱讀職能治療病歷？①護理師；②保險公司；③法官或律師；④個案或其監護人,僅①③,僅①②④,僅②③④,①②③④,D,①②③④,無
68,按照學者Braveman（2011）的論述，起始一個新的職能治療服務管理計畫，需要有視野與策略來了解改變如何發生，關於策略（strategies）的敘述，下列何者錯誤？,需要有具體的目標,需要有使命感,進行方式確立後不能調整,單位的規劃與執行須融入其中,C,進行方式確立後不能調整,無
69,行銷（marketing mix）的重要概念為7Ps，不包含下列那個選項？,產品（product）,方案（program）,價格（price）,通路（place）,B,方案（program）,無
70,學者Spears（2000）強調有效的僕人式領導（servant leaders）有十種特徵，下列何種不包括在內？,傾聽（listening）,同理心（empathy）,療癒（healing）,迅速（fast）,D,迅速（fast）,無
71,學者Stanford-Blair和Dickmann於2005年提出了領袖一貫模式（model of leadership coherence），指出領袖風格發展時可以自問三個問題，其中未包括那一個？,你是如何成為領導者的？,身為領導者，你的表現如何？,你如何在時間與逆境中維持領導力？,你如何運用領導力去降低人事成本以獲利？,D,你如何運用領導力去降低人事成本以獲利？,無
72,關於SOAP的敘述，下列何者正確？,S：the subjective experience of therapists,O：the clients' objective observations and measurement,"A：the clinicians' interpretation of the meaning of the ""O"" section",P：the families' plans,C,"A：the clinicians' interpretation of the meaning of the ""O"" section",無
73,按照美國醫療保健研究品質部門於2015年所提出的定義，包括職能治療品質在內的品質管理中，著重於照護提供的過程，並遵守最佳臨床實作治療方案，屬於下列何者？,結構性衡量（structural measures）,程序性衡量（process measures）,結果性衡量（outcome measures）,策略性衡量（strategy measures）,B,程序性衡量（process measures）,無
74,有一篇研究招募有肝癌及沒有肝癌的個案，比較兩組過去喝酒的習慣，此篇研究採用那一種研究設計？,隨機分派試驗,長期追蹤研究,病例對照研究,橫斷式研究,C,病例對照研究,無
75,有關實證應用的敘述，下列何者較不適當？,職能治療師需與個案及其重要他人說明文獻證據來決定治療方式,職能治療師需使用個案可以了解的用語說明實證的成效,證據強度低的文獻最適合作為臨床應用的參考,個案了解介入方案的研究證據與相關利弊後，可以自主選擇是否參與該介入,C,證據強度低的文獻最適合作為臨床應用的參考,無
76,效果值（effect size）或最小臨床重要差異值（minimal clinically important difference）可用來呈現研究證據的那一個面向？,顯著性（significance）,可信度（trustworthiness）,概化（generalizability）,臨床重要性（clinical importance）,D,臨床重要性（clinical importance）,無
77,職能治療師考量治療室現有設備，因而設計抓／捏治療性黏土，並與個案說明活動目的、活動對於重回職場的助益等。上述過程較符合何種臨床推理策略？,程序推理（procedural reasoning）,互動推理（interactive reasoning）,情境推理（conditional reasoning）,實用推理（pragmatic reasoning）,D,實用推理（pragmatic reasoning）,無
78,職能治療師評估腦中風患者在活動中的表現，發現患者進步有限，職能治療師因而將介入重點從訓練患者獨立完成日常活動調整為在輔具協助下可以完成日常活動，係採用那一種治療性推理？,實用推理（pragmatic reasoning）,科學推理（scientific reasoning）,情境推理（conditional reasoning）,互動推理（interactive reasoning）,C,情境推理（conditional reasoning）,無
79,下列有關實用推理（pragmatic reasoning）的敘述，何者錯誤？,實用推理會檢視治療師個人的專業能力是否符合需求,實用推理將焦點放在個案或個案的狀況上,採用實用推理的治療師會考量與介入相關的臨床情境與個人情境因素,治療師採用實用推理時會了解執行介入所需的設備及空間,B,實用推理將焦點放在個案或個案的狀況上,無
80,下列那一種臨床推理（clinical reasoning）過程較強調「問題定義、目標設定、治療規劃」及「著重於個案的疾病和失能，決策增進功能表現的最佳治療模式」？,程序推理（procedural reasoning）,互動推理（interactive reasoning）,情境推理（conditional reasoning）,實用推理（pragmatic reasoning）,A,程序推理（procedural reasoning）,無
