題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
13,腋動脈（axillary artery）通過大圓肌（teres major）下緣後變成下列何者？,肱動脈（brachial artery）,尺動脈（ulnar artery）,肩胛背動脈（dorsal scapular artery）,深肱動脈（profunda brachii artery）,A,肱動脈（brachial artery）,無
14,下列何者供應心肌（cardiac muscle）充氧血？,肺動脈（pulmonary artery）,主動脈弓（aortic arch）,冠狀動脈（coronary artery）,胸內動脈（internal thoracic artery）,C,冠狀動脈（coronary artery）,無
15,血漿（blood plasma）內不含有下列何者？,白蛋白（albumin）,球蛋白（globulin）,纖維蛋白原（fibrinogen）,紅血球（erythrocyte）,D,紅血球（erythrocyte）,無
16,聲韌帶（vocal ligament）連結下列那兩塊軟骨？,環狀軟骨與甲狀軟骨（cricoid and thyroid cartilages）,環狀軟骨與杓狀軟骨（cricoid and arytenoid cartilages）,杓狀軟骨與小角軟骨（arytenoid and corniculate cartilages）,杓狀軟骨與甲狀軟骨（arytenoid and thyroid cartilages）,D,杓狀軟骨與甲狀軟骨（arytenoid and thyroid cartilages）,無
17,小腸中，由黏膜（mucosa）與黏膜下層（submucosa）所形成皺褶為下列何者？,絨毛（villus）,皺襞（rugae）,環狀皺襞（circular fold）,腸脂垂（epiploic appendage）,C,環狀皺襞（circular fold）,無
18,在排尿（micturition）過程中，副交感神經的作用為下列何者？,刺激膀胱（urinary bladder）收縮,刺激尿道內括約肌（internal urethral sphincter）收縮,抑制腦幹（brain stem）功能,使尿道外括約肌（external urethral sphincter）鬆弛,A,刺激膀胱（urinary bladder）收縮,無
19,胰臟中的α細胞（A細胞）會分泌下列何者？,胰島素（insulin）,體抑素（somatostatin）,升糖激素（glucagon）,胰多胜肽（pancreatic polypeptide）,C,升糖激素（glucagon）,無
20,下列何者不屬於表皮（epidermis）的衍生物？,指甲,毛囊,毛髮,壓覺受器,D,壓覺受器,無
21,關於慢肌纖維（Type I）的特性，下列何者正確？,具有廣泛發達的肌漿網（sarcoplasmic reticulum），利於快速釋放鈣離子,肌纖維比快肌大,含有大量的肌紅蛋白（myoglobin）,支配的神經纖維較粗,C,含有大量的肌紅蛋白（myoglobin）,無
22,根據肌肉負荷與收縮速度（force-velocity）之規律，下列敘述何者正確？,向心收縮時負荷愈大其收縮的速度會愈快,等長收縮時產生的力量一定大於離心收縮,離心收縮時其產生的力矩平均大於向心收縮,最大收縮速度通常發生在肌肉承受重負荷時,C,離心收縮時其產生的力矩平均大於向心收縮,無
23,屍僵（rigor mortis）發生的主要生理機制為何？,溶酶體酵素釋放導致肌纖維溶解,鈣離子大量流失導致肌肉無法收縮,ATP耗盡，導致肌凝蛋白頭部無法與肌動蛋白分離,肌漿網過度釋放鈣離子導致持續性去極化,C,ATP耗盡，導致肌凝蛋白頭部無法與肌動蛋白分離,無
24,高齡者常有肌肉無力的現象，下列何種運動方式最適合有效增加高齡者的肌力？,無負重的運動訓練,阻力運動,伸展運動,被動關節運動,B,阻力運動,無
25,下列何種狀況，最會加速女性高齡者骨質流失的情形？,停經,曬太陽,運動補充很多水,體重增加,A,停經,無
26,關於類固醇激素的敘述，下列何者錯誤？,化學結構與膽固醇相似,大多從膽固醇合成而來,容易經由擴散通過細胞膜進入組織間液,多數儲存於內分泌細胞,D,多數儲存於內分泌細胞,無
27,下列激素何者為腦下垂體後葉所分泌？,生長激素,黃體生成素,抗利尿激素,促腎上腺皮質素,C,抗利尿激素,無
28,"關於1,25-二羥維生素D（1,25-Dihydroxyvitamin D）的敘述，下列何者錯誤？",患有腎疾的病患血漿中濃度較低,主要功能是促進小腸內的鈣質吸收,生合成作用受到副甲狀腺素（parathyroid hormone）的調控,主要的前驅物質是維生素D1,D,主要的前驅物質是維生素D1,無
29,關於女性青春期生長加速（pubertal growth spurt）的機轉，下列敘述何者正確？,主要由甲狀腺素（thyroid hormones）單獨驅動,雌激素（estrogen）會促進生長並最終導致骨骺閉合（epiphysial closure）,"第二型類胰島素生長因子（insulin-like growth factor II, IGF-II）在青春期達到高峰","生長激素（growth hormone, GH）的基礎分泌量在青春期顯著下降",B,雌激素（estrogen）會促進生長並最終導致骨骺閉合（epiphysial closure）,無
30,病患因為腦部長了腫瘤，壓迫到視覺傳導區域，導致視野明顯受損，產生類似隧道式的視野，即靠近鼻側的視覺正常，而兩邊外側視野明顯受損。此病患的腫瘤壓迫到視覺區的位置最有可能是在下圖中何處？,視神經（optic nerve）,視交叉（optic chiasm）,視徑（optic tract）,膝距束（geniculocalcarine tract）,B,視交叉（optic chiasm）,無
31,下列有關一般人過度換氣（hyperventilation）之敘述，何者正確？,過度換氣會增加血氧，增加血二氧化碳，過高的血氧刺激呼吸中樞更加速呼吸,過度換氣會增加血氧，降低血二氧化碳，過高的血氧抑制呼吸中樞更減弱呼吸,過度換氣不會增加血氧，會增加血二氧化碳，過高的血二氧化碳刺激呼吸中樞更增強呼吸,過度換氣不會增加血氧，會降低血二氧化碳，過低的血二氧化碳抑制呼吸中樞更減弱呼吸,D,過度換氣不會增加血氧，會降低血二氧化碳，過低的血二氧化碳抑制呼吸中樞更減弱呼吸,無
32,進行無氧閾值以上的強度運動30分鐘後，會使血紅素－氧解離曲線（oxyhemoglobin dissociation curve）向何處偏移？,左,右,維持不變,無法判斷,B,右,無
33,承上題，影響該血紅素－氧解離曲線偏移的主要生理意義為何？,增加氧在肺部微血管與血紅素結合,增加氧在組織端被釋放,降低氧在肺部微血管與血紅素結合,增加血液攜帶氧的量,B,增加氧在組織端被釋放,無
34,一位患者在進行閉氣用力（Valsalva maneuver）後釋放測試時，出現以下四個階段的血壓變化：Phase I血壓短暫上升、Phase II血壓下降伴隨心率加快、Phase III血壓進一步下降、Phase IV血壓超過基線值。關於 Phase IV血壓超過基線值的機制，下列敘述何者最適當？,胸內壓持續升高導致心輸出量增加,心輸出量恢復時周邊血管仍處於收縮狀態,迷走神經活性增加導致血管阻力上升,壓力感受器敏感度下降導致交感神經持續興奮,B,心輸出量恢復時周邊血管仍處於收縮狀態,無
35,老化與身體組成之變化，下列敘述何者錯誤？,橫向研究（cross-sectional data）結果指出，70歲的人一般而言相較於20歲的人矮,縱向研究（longitudinal data）結果指出，體脂肪隨年齡上升而上升,超過60歲，骨質（bone mass）可能下降多至30～50%,一般而言，18歲之後體重與體脂肪逐漸上升至50歲到60歲，之後體重與體脂肪開始下降,D,一般而言，18歲之後體重與體脂肪逐漸上升至50歲到60歲，之後體重與體脂肪開始下降,無
36,甲在高山上時的大氣壓力為500 mmHg，環境溫度為0°C，若他的體溫仍為37°C，則此時他氣管內的氧分壓最接近多少mmHg？（平地大氣壓＝760 mmHg；0°C的飽和水蒸氣壓＝5 mmHg，37°C的飽和水蒸氣壓＝47 mmHg；氧占全部氣體體積的20% ）,142.6,100.0,99.0,90.6,D,90.6,無
37,在促黃體激素高峰（LH surge）出現後，大約幾小時發生排卵？,9,13,24,48,A,9,無
38,假設一位患者血漿中某物質的濃度為0.5mg/dL，患者每分鐘排尿量為125mL且尿中某物質的濃度為0.3mg/dL，此患者的腎臟對該物質的清除率應為多少？,0.375 mg/min,0.375 ml/min,0.75 mg/min,0.75 ml/min,A,0.375 mg/min,無
39,在皮膚損傷後的癒合過程中，下列那一種細胞在正常生理作用下的參與度相對最少？,嗜中性白血球（neutrophil）,巨噬細胞（macrophage）,微膠細胞（microglial cell）,纖維母細胞（fibroblast）,C,微膠細胞（microglial cell）,無
40,關於補體系統（complement system）的敘述，下列何者錯誤？,補體蛋白可藉由抗體（antibodies）在入侵微生物的細胞膜上直接進行破壞，造成大孔而使水分等流入膜內促使微生物死亡,補體系統具調理作用（opsonization），可以在吞噬細胞和標的細胞間形成橋樑而促進吞噬作用,補體系統具趨化作用（chemotaxis），釋放的補體片段可吸引吞噬細胞移到補體活化的部位,活化補體系統可促使感染區因為血管舒張而增加微血管通透性，因此可吸引更多吞噬細胞參與作戰,A,補體蛋白可藉由抗體（antibodies）在入侵微生物的細胞膜上直接進行破壞，造成大孔而使水分等流入膜內促使微生物死亡,無
41,依應力－應變關係圖（stress-strain relationship），韌帶或肌腱承受拉力時，下列何者錯誤？,關係圖可分為非線性區、彈性區與塑性區,彈性區為正常的生理範圍，可提供關節穩定度,拉筋時，應力須進入塑性區但不能超過最終崩潰點（ultimate failure point）,結締組織的剛性（stiffness）為應變（strain）除以應力（stress）,D,結締組織的剛性（stiffness）為應變（strain）除以應力（stress）,無
42,下列肌蛋白結構與功能之配對，何者錯誤？,肌球蛋白重鏈（myosin heavy chain）—與肌動蛋白（actin）鍵結產生收縮力,肌球蛋白輕鏈（myosin light chain）—影響肌小節（sarcomere）的收縮速度,肌動蛋白（actin）—與肌球蛋白（myosin）鍵結以傳導力量和縮短肌小節（sarcomere）,巨型肌聯蛋白（titin）—幫助肌動蛋白鈎住Z盤（Z discs）,D,巨型肌聯蛋白（titin）—幫助肌動蛋白鈎住Z盤（Z discs）,無
43,下圖（一）～（三），受試者平躺，上肢與軀幹平行並平貼床面，做肘關節屈曲及伸直，下列敘述何者正確？,全部屈曲過程中，肱二頭肌為主動肌（agonist），作正功（positive work）,全部伸直過程中，肱三頭肌為主動肌（agonist），作負功（negative work）,屈曲超過90度到完全屈曲（圖二）的過程，肱三頭肌為主動肌（agonist），作正功（positive work）,伸直超過90度到近乎完全伸直（圖三）的過程，肱二頭肌為主動肌（agonist），作負功（negative work）,D,伸直超過90度到近乎完全伸直（圖三）的過程，肱二頭肌為主動肌（agonist），作負功（negative work）,images/Q43_圖.png
44,有關肌肉進行向心與離心活動之比較，下列敘述何者正確？,離心收縮所產生的力量小於向心收縮,在相同負荷下，離心活動所激活的運動單位（motor units）少於向心活動,在固定力量輸出時，離心活動的耗氧量大於向心活動,向心的肌肉活動是做負功，離心的肌肉活動是做正功,B,在相同負荷下，離心活動所激活的運動單位（motor units）少於向心活動,無
45,下列那一條肌肉最無法穩定盂肱關節？,小圓肌（teres minor）,棘上肌（supraspinatus）,三角肌（deltoid）,胸大肌（pectoralis major）,D,胸大肌（pectoralis major）,無
46,下列那個肌肉不是肩胛下轉的協同肌（synergist）？,菱形肌（rhomboid）,提肩胛肌（levator scapulae）,胸小肌（pectoralis minor）,上斜方肌（upper trapezius）,D,上斜方肌（upper trapezius）,無
47,肘關節處於下列那一個屈曲角度範圍，肘屈肌可以產生最大肌力？,15至30度,35至50度,70至85度,85至100度,C,70至85度,無
48,右手使用螺絲起子，要順時針用力鎖緊螺絲時，不會用到以下那一條肌肉？,橈側伸腕肌,伸拇長肌,掌長肌,肱三頭肌,C,掌長肌,無
49,下列那一肌肉不屬於小魚際肌群（hypothenar muscles）？,屈小指肌,外展小指肌,掌短肌,蚓狀肌,D,蚓狀肌,無
50,有關拇指腕掌（carpometacarpal）關節的屈曲動作，下列敘述何者正確？,發生於矢狀面,發生於水平面,拇指掌骨關節面向內側滾動,拇指掌骨關節面向外側滑動,C,拇指掌骨關節面向內側滾動,無
51,下列那條肌肉不附著於脛骨？,股薄肌,縫匠肌,內收大肌,股二頭肌,C,內收大肌,無
52,下列肌肉與所對應的嘴巴動作，何者正確？,外翼肌（lateral pterygoid muscles）：下巴後縮,顳肌（temporalis muscles）：下巴前突,內翼肌（medial pterygoid muscles）：嘴巴張開,嚼肌（masseter muscles）：嘴巴閉合,D,嚼肌（masseter muscles）：嘴巴閉合,無
53,步態隨著速度增加，從走變為跑的變化，下列何者錯誤？,一開始會以增加步頻和步長來增加速度,當步長到達極限，則會增加步寬來增加速度,開始奔跑時，雙腳支撐期（double limb support）會消失,奔跑時，腳觸地的位置可能在中足（midfoot）,B,當步長到達極限，則會增加步寬來增加速度,無
54,地面反作用力的垂直方向的力，在站立期會有兩個尖峰，分別發生於那兩個時期？,站立中期及腳趾離地時,承重反應期及推進期,腳跟著地一瞬間及站立中期,腳跟著地一瞬間及腳趾離地時,B,承重反應期及推進期,無
55,由沒有扶手的椅子上站起，下列敘述何者錯誤？,站起前，膝關節屈曲約90至115度，較有利於身體重心向前轉移,對正常人來說，身體重心向前移動的過程中，髖屈肌無需持續收縮,身體由向前移動轉為向上移動時，其重心位置在踝關節正上方最有效率,隨著身體重心向前移動，頸椎會伸直以維持視線水平,C,身體由向前移動轉為向上移動時，其重心位置在踝關節正上方最有效率,無
56,進行下圖側面棒式（side plank）運動時，主要訓練的核心肌肉不包括下列那一條？,腹斜肌（oblique abdominis）,腰方肌（quadratus lumborum）,腹橫肌（transverse abdominis）,腹直肌（rectus abdominis）,D,腹直肌（rectus abdominis）,無
57,有關骨頭在承受扭轉（torsion）負載發生骨折現象的敘述，下列何者正確？,骨折先由剪力的作用而發生，接著發生的骨折通常會沿著最大張應力平面分布,骨折先由張力的作用而發生，接著發生的骨折通常會沿著最大剪應力平面分布,骨折先由壓力的作用而發生，接著發生的骨折通常會沿著最大剪應力平面分布,骨折先由壓力的作用而發生，接著發生的骨折通常會沿著最大張應力平面分布,A,骨折先由剪力的作用而發生，接著發生的骨折通常會沿著最大張應力平面分布,無
58,有關脊神經根的敘述，下列何者錯誤？,在脊椎的硬硬膜囊（thecal sac）內的神經根含有神經束膜（perineurium），所以具有張力強度,承受張力時，位於椎間孔的神經根其強度大於位在硬硬膜囊（thecal sac）內的神經根,脊神經根的兩個位置遭受壓迫時，會較單一位置遭受壓迫引起較多的症狀,椎間盤突出壓迫脊神經是屬於外側壓迫的形式,A,在脊椎的硬硬膜囊（thecal sac）內的神經根含有神經束膜（perineurium），所以具有張力強度,無
59,下列何者無法藉由加強盂肱關節囊以提供盂肱關節穩定度的功能？,喙肱韌帶（coracohumeral ligament）,棘上肌（supraspinatus）,二頭肌短頭,上、中、下盂肱韌帶,C,二頭肌短頭,無
60,關於肌肉和支配神經的配對，下列何者錯誤？,肱二頭肌－肌皮神經,旋前圓肌－尺神經,旋後肌－橈神經,肱橈肌－橈神經,B,旋前圓肌－尺神經,無
61,下列何種肌肉收縮，最不可能造成尺側偏移？,尺側伸腕肌,尺側屈腕肌,伸指肌,屈拇長肌,D,屈拇長肌,無
62,如圖所示，某病患以右腳單腳站立維持平衡時，左手提一重物的重量F為100牛頓，力臂長c為0.4公尺。病患體重（排除右下肢重量）W為800牛頓，力臂長b為0.1公尺。髖外展肌的施力臂a為0.04公尺。髖外展肌的力量M大小是多少？,900牛頓,3000牛頓,1000牛頓,700牛頓,B,3000牛頓,無
63,當右側髖關節疼痛患者要拿枴杖和一個重物走路時，在軀幹維持相同直立姿勢下，下列那個方式會造成在右腳單腳支撐期的右側髖關節壓力最大？,左手用枴杖，右手提重物,左手用枴杖，重物背在背上,右手用枴杖，左手提重物,右手用枴杖，重物背在背上,C,右手用枴杖，左手提重物,無
64,膝關節於開放鏈姿勢下，下列何肌肉收縮時不會造成脛骨相對股骨內轉？,股薄肌（gracilis）,膕肌（popliteus）,半膜肌（semimembranosus）,闊筋膜張肌（tensor fasciae latae）,D,闊筋膜張肌（tensor fasciae latae）,無
65,膝關節由完全伸直到彎曲的運動過程中，脛股、髕股兩個關節在股骨髁的接觸區何處會有重疊（如下圖）？,①,②,③,④,A,①,無
66,下列腳踝韌帶之強度，由強至弱順序，何者是正確的？①三角（deltoid）韌帶；②前距腓（anterior talofibular）韌帶；③跟腓（calcaneofibular）韌帶；④後距腓（posterior talofibular）韌帶,①②③④,①③④②,①④③②,④①③②,B,①③④②,無
67,有關腳踝負荷分布之敘述，下列何者錯誤？,主要負重是脛骨平台和距骨穹窿（talar dome）,內翻動作增加內側小面（medial facet）載重,正中位置接觸面積大於背屈時,三角韌帶切除減少距骨接觸面積,C,正中位置接觸面積大於背屈時,無
68,下列那個肌肉沒有支持內側縱弓的功能？,脛後肌（tibialis posterior）,屈長肌（flexor hallucis longus）,外展小趾肌（abductor digiti minimi）,外展肌（abductor hallucis）,C,外展小趾肌（abductor digiti minimi）,無
69,有關顳顎關節執行張嘴動作時，關節面動作的敘述，下列何者正確？,張嘴前期，關節面動作以滑動動作為主，造成下頜體（the body of mandible）往下往後動,張嘴前期，關節面動作以轉動動作為主，造成下頜體（the body of mandible）往下往後動,張嘴後期，關節面動作以滑動動作為主，造成下頜髁（the mandibular condyle）往下往後動,張嘴後期，關節面動作以轉動動作為主，造成下頜髁（the mandibular condyle）往下往後動,B,張嘴前期，關節面動作以轉動動作為主，造成下頜體（the body of mandible）往下往後動,無
70,關於頸部斜角肌（scalenus muscle）的敘述，下列何者錯誤？,單側肌肉收縮會使頸部做同側側彎及旋轉,中斜角肌與後斜角肌有臂神經叢通過（brachial plexus）,前斜角肌與中斜角肌有鎖骨下動脈通過（subclavian artery）,起始點包含第四至第六節頸椎的橫突，終點包含第一或第二肋骨,B,中斜角肌與後斜角肌有臂神經叢通過（brachial plexus）,無
71,有關黃韌帶（ligamentum flavum）的敘述，下列何者錯誤？,有80%是彈性蛋白,可以延長35% ，過長就會斷裂,是成對的韌帶,在頸椎最肥厚,D,在頸椎最肥厚,無
72,正常頸椎的總活動角度在那個方向角度最大？,前彎,後仰,側彎,旋轉,D,旋轉,無
73,下列那個肌群無法協助軀幹執行屈曲動作？,腹直肌,腹內斜肌,腰大肌,腰髂肋肌,D,腰髂肋肌,無
74,關於軀幹肌肉控制之敘述，下列何者錯誤？,咳嗽和吞嚥過程中，頸長肌肌肉活動增加，提供頸部穩定作用,胸鎖乳突肌需要其他頸部肌肉的協同收縮，才能產生頸部屈曲的動作,腹橫肌主要可引起軀幹伸直,腹外斜肌可以協助咳嗽動作的完成,C,腹橫肌主要可引起軀幹伸直,無
75,穩定背部的內在肌肉（intrinsic muscles），由頸半棘肌（semispinalis cervicis muscle）到多裂肌（multifidus）到迴旋短肌（rotator brevis），其施力方向與脊椎連線的銳夾角變化如何？,由大而小,由小而大,大致相同,由小漸大，再變小,B,由小而大,無
76,於公車站立時，採取髖關節策略來穩定姿勢，下列那塊肌肉最不活躍？,公車突然向前開動：膕旁肌,公車突然剎車：股四頭肌,公車突然向前開動：腓腸肌,公車突然剎車：腹直肌,C,公車突然向前開動：腓腸肌,無
77,在擺盪中期到腳跟著地之間，下列那個肌肉最沒有活化？,股外側肌,股內側肌,股中間肌,股直肌,D,股直肌,無
78,關於站立時使用吸塵器清潔地板的敘述，下列何者錯誤？,良好的身體力學是頭、頸和軀幹保持在正中位置,用強力抓握（power grip）的方式握住吸塵器手把,依靠肩關節和肘關節的協同動作即可省力地推拉吸塵器,向前推吸塵器時，右側肩胛骨做出前突（protraction）和稍微向上轉動（upward rotation）的動作,C,依靠肩關節和肘關節的協同動作即可省力地推拉吸塵器,images/Q78_圖.png
79,下列關於高爾夫球揮桿中加速期（acceleration phase）的敘述，下列何者錯誤？,起始於球桿與地面水平，結束於桿頭碰到球,期間身體重量都落在後側支撐腳以維持穩定,此期間骨盆與軀幹的旋轉速度會在擊到球前達到最快,此期間需要全身上下肢與軀幹各部位的肌肉都共同參與,B,期間身體重量都落在後側支撐腳以維持穩定,無
80,關於關節固定（immobilization）對關節周圍肌腱或韌帶組織力學與結構之作用，下列那一項敘述最適當？,降低韌帶在拉伸的材料剛性（mechanical stiffness）,增加肌腱在拉伸的材料剛性（mechanical stiffness）,增加第一型膠原纖維合成,"減少肌腱或韌帶內基質金屬蛋白酶（matrix metalloproteinases, MMPs）活動",A,降低韌帶在拉伸的材料剛性（mechanical stiffness）,無
