題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
21,有關醫事人員申請執業登記，下列敘述何者錯誤？,應向衛生福利部申請,須先加入在地醫事人員公會，成為公會會員才能申請,須檢附中央主管機關發給且仍在有效期間內之專科醫事人員證書,須檢附擬執業機構出具之證明文件,A,應向衛生福利部申請,A,,無
22,人類職能模式（Model of Human Occupation）就以下那些觀點探討職能表現？①環境；②表現能力；③意志；④習慣；⑤適應；⑥偏好,①②⑤⑥,②③④⑥,①②③④,①③④⑤,C,①②③④,C,,無
23,有關各生命期的發展任務，下列敘述何者最不適切？,建立事業是中年期（40～65歲）的發展任務,建立家庭是青年期（20～40歲）的發展任務,適應體力與健康的退化是老年期（65歲以上）的發展任務,建立價值觀及道德觀是青少年期（12～20歲）的發展任務,A,建立事業是中年期（40～65歲）的發展任務,A,,無
24,有關正常老化，下列敘述何者最不適當？,視力退化，影響開車能力,平衡感退化，增加跌倒風險,認知能力退化，無法參與社區活動,聽力退化，與其聊天須提高音量,C,認知能力退化，無法參與社區活動,C,,無
25,有關青少年之職能治療介入，下列方式何者最不適當？,讓青少年選擇治療活動，可使其感覺可獲得控制的權力,為了協助身障青少年穿衣，須優先考慮衣服的便利性，而非青少年的偏好,青少年常會質疑權威，所以職能治療師須在治療前與青少年建立約定,可以利用寫作、小團體聚會、個人發表會讓青少年適度表現自己與抒發情緒,B,為了協助身障青少年穿衣，須優先考慮衣服的便利性，而非青少年的偏好,B,,無
26,有關人類表現生態模式（Ecology of Human Performance Model）的敘述，下列何者最不適當？,失能者公民權運動（disability civil rights movement）影響,受Lawton所提出的Environmental press概念影響,為由上而下的理論,職能定義為人在一生中從事的自發性任務（self-directed tasks）,D,職能定義為人在一生中從事的自發性任務（self-directed tasks）,D,,無
27,有關介入形式之有目的的活動（purposeful activity），下列敘述何者最適切？,職能治療師不須向個案解釋活動的目的,不包含模擬的活動,可能不會產生類化,當活動有目的時，個案不會重複練習,C,可能不會產生類化,C,,無
28,"世界衛生組織（World Health Organization, WHO）提出造成身體活動量（physical activity）減低的原因中，不包括下列何者？",工業化,都市化,食物市場全球化,電子產品普及化,ABCD,工業化；都市化；食物市場全球化；電子產品普及化,D,第28題一律給分,無
29,有關治療性使用職能與活動的敘述，下列何者最適切？,職能治療師的最終目標在於幫助個案參與有目的的活動,可以用模擬真正的職能，作為準備方式之一,職能治療師使用各種型式（modality）作為執業的工具，包括介入方法及媒介,介入媒介是指用來活化治療效果的步驟、順序及處理,C,職能治療師使用各種型式（modality）作為執業的工具，包括介入方法及媒介,C,,無
30,使用行動線索（cues to action）的方式以促進健康行為，較符合下列那一個理論或模式？,社會認知理論（Social cognitive theory）,健康信念模式（Health belief model）,跨理論模式（Transtheoretical model）,行為計畫理論（Theory of planned behavior）,B,健康信念模式（Health belief model）,B,,無
31,下列何者為健康信念模式（Health Belief Model）和社會認知理論（Social Cognitive Theory）共同強調之內容？,自我效能,察覺物理與社會環境中有利資源,察覺行動線索,察覺維持現況與後續嚴重性,A,自我效能,A,,無
32,"有關侷限誘發療法（constraint-induced movement therapy, CIMT）的動作功能成效評估，下列那些評估工具適當？①動作活動量表（Motor Activity Log） ②沃夫動作功能量表（Wolf Motor Function Test） ③上肢功能研究量表（Action Research Arm Test） ④手臂動作能力測驗（Arm Motor Ability Test）",僅②③,僅①②,僅①③④,①②③④,D,①②③④,D,,無
33,職能治療師在治療多重人格疾患者時，運用正念（mindfulness）技巧、有效地處理人際關係（interpersonal effectiveness）、接受現實及忍耐情緒上的困擾（distress tolerance）等作法，較符合下列那個理論的執行方式？,Bandura社會學習理論（social learning theory）,Ellis理情治療（rational emotive therapy）,Beck認知治療（cognitive therapy）,Linehan辯證行為治療（dialectical behavior therapy）,D,Linehan辯證行為治療（dialectical behavior therapy）,D,,無
34,"若觀察到兒童有平衡、順序動作或兩側協調困難，此表現為新的感覺處理障礙（Sensory Processing Disorder, SPD）診斷名詞的那項障礙？①感覺調節障礙（sensory modulation disorder） ②感覺相關動作障礙（sensory-based motor disorder） ③感覺區辨障礙（sensory discrimination disorder）",僅①,僅②,①②,②③,B,僅②,B,,無
35,有關複雜理論（complexity theory）之敘述，下列何者錯誤？,以交互影響理論（transactionalism）之原則為根基,職能治療對複雜理論的探索源自生物醫學模式的限制,認為職能會被文化、社會、經濟、歷史和政治力影響,可以協助職能治療師檢驗人類的職能選擇,A,以交互影響理論（transactionalism）之原則為根基,A,,無
36,被父親家暴的小孩，看到所有男性成年人都會產生恐懼，此敘述符合下列何者之意涵？,刺激區別（Stimulus discrimination）,刺激概化（Stimulus generalization）,連續刺激（Continuous reinforcement）,間斷刺激（Intermittent reinforcement）,B,刺激概化（Stimulus generalization）,B,,無
37,下列何者為古典制約與操作制約中，制約刺激與反應（conditioned stimulus-response）的差異？,增強物（reinforcement）的有無,針對的反應種類不同,刺激的頻率不同,形成的聯結是否為刻意（voluntary）,D,形成的聯結是否為刻意（voluntary）,D,,無
38,有關職能正義論述中，最實際且直接影響參與職能的機會與限制，其核心關鍵為何？,權力關係（power relations）,身分（identity）,價值觀（values）,動機（motivation）,A,權力關係（power relations）,A,,無
39,下列何者將「和平、庇護、教育、食物、收入、永續資源、社會公平」列為健康的先決因素？,世界衛生組織憲章,健康人群2020計畫,渥太華健康促進憲章,世界人權宣言,C,渥太華健康促進憲章,C,,無
40,矯治是職能治療的介入途徑之一，下列何者不屬於矯治？,肌力訓練,利用打泡泡遊戲訓練視覺追視,利用黑色墊板為背景提高視覺注意力,利用平衡板練習動態平衡,C,利用黑色墊板為背景提高視覺注意力,C,,無
41,針對失智老人提供遺失物尋找器，綁在常遺失的物品上，這屬於下列何種介入途徑？,矯治性,代償性,預防性,維持性,B,代償性,B,,無
42,科技與輔助設備發展及諮商是職能治療新興領域，下列敘述何者錯誤？,科技輔具指的是利用高科技新開發之產品，以增進失能者生活功能為目的,可透過遠距醫療模式提供職能治療服務,設計服藥提醒APP也是一種職能治療服務,輔助科技包含提供坐姿與擺位輔具,A,科技輔具指的是利用高科技新開發之產品，以增進失能者生活功能為目的,A,,無
43,播放輕音樂能有效減緩失智長者問題行為的出現頻率，此做法較屬於下列何種介入方式？,教育性介入（educational approach）,預防性介入（prevention approach）,代償介入（compensation approach）,環境改造介入（environmental modification）,D,環境改造介入（environmental modification）,D,,無
44,篩檢工具的敏感性（sensitivity）和特異性（specificity），為探討測量工具的何種特性？,效度（validity）,信度（reliability）,內在一致性（internal consistency）,黃金效標（gold standard）,A,效度（validity）,A,,無
45,下列何者較不屬於工具性日常生活活動？,養育孩子,財務管理,個人用具照顧,購物,C,個人用具照顧,C,,無
46,若將職能視為基礎科學研究時，宜聚焦於那些研究領域？①系統化職能科學知識；②職能之觀察面向；③職能之現象學面向；④人類之職能天性,①②③,②③④,①②④,①③④,B,②③④,B,,無
47,Schkade & Schultz於職能調適理論中提到的職能活動特色，不包括下列何者？,對個案有意義,有明確的起始與終點,具有成果,以成果為導向,D,以成果為導向,D,,無
48,學者Matuska（2012）提出生活平衡模式（life balance model），認為最佳的生活平衡建立在四大基本需求上，下列何者不屬於此四大基本需求之一？,有良好的健康,具人與人之間正向的關係,能感受到對於生活／活動的融入與挑戰,具足夠的自我察覺,D,具足夠的自我察覺,D,,無
49,職能剖面（occupational profile）是在下列那一過程中進行？,評估,介入,再評估,病患衛教,A,評估,A,,無
50,「根據個案的注意力、動作控制和語言表現能力進行不同的認知能力分級，再根據不同認知層級提供個案所需的環境調整、活動選擇、輔助提供......等介入處理。」，以上敘述屬於何種認知訓練？,Cognitive Disability Model,Neurofunctional Approach,Remedial Model,Multicontext Approach,A,Cognitive Disability Model,A,,無
51,相較於其他理論，下列那一個理論架構未強調環境對職能表現的影響？,人類職能模式（Model of Human Occupation）,人環境職能表現模式（Person-Environment-Occupational-Performance Model）,動機理論（Motivational Theory）,職能調適理論（Occupational Adaptation Theory）,C,動機理論（Motivational Theory）,C,,無
52,為了有效監控行銷策略之效能，下列做法何者較不合適？,預算規劃是否正確，包括個人行銷之人力成本考量,是否建立合適的監控顧客瀏覽率或新增消費者人次之紀錄或統計資料供追蹤,是否與相關轉介單位密切合作,行銷計畫是否持續保持一致的作法貫徹落實,D,行銷計畫是否持續保持一致的作法貫徹落實,D,,無
53,有關預算的概念，下列何者錯誤？,預算即對收入與支出規畫之預測,財政年度意指預算規畫的期間，一般財政年度為一年，與接受補助或收入的來源有關,預算規畫在財政年度結束時，可檢視預算執行成果，成效良好意指預計花費金額遠低於預算應支金額,預算執行成果亦可透過每月比較收入與支出，用以提醒預算進度或是否超支,C,預算規畫在財政年度結束時，可檢視預算執行成果，成效良好意指預計花費金額遠低於預算應支金額,C,,無
54,從事下列那些活動有助於培養職能治療師的專業發展或繼續能力（continuing competence）？①參加職能治療研討會；②向同儕發表特定治療方式或個案研究；③在特定領域尋求研究或臨床實務訓練；④為機構、大眾或個案擔任志工服務,僅①②,僅①③④,僅②③④,①②③④,D,①②③④,D,,無
55,有關職能治療師在整個機構組織部門之策略計畫中的角色與功能，下列敘述何者最不合適？,提供職能治療之服務與範疇,了解整個組織之策略計畫，並提出職能治療部門之優勢與支持策略,將職能治療之發展目標與機構組織之任務、願景結合,就職能治療專業內可達成的任務給予協助，不包含社區相關資源與服務範疇,D,就職能治療專業內可達成的任務給予協助，不包含社區相關資源與服務範疇,D,,無
56,在會談或會議中，成功且有效的溝通包含許多因素，下列何者除外？,一致的使用投票表決來達成公平決議,在會議之前提供相關的議程內容,提供會議開始及預計結束時間,讓與會者知道該次會議的目的為何,A,一致的使用投票表決來達成公平決議,A,,無
57,有關現金流（cash flow）的監控，下列敘述何者錯誤？,包括服務方案的內容與所需人員服務時數之估算,須對已付款項與未付款項之金額與支付期限有良好的掌握,保留資金帳戶之設立，可以提供營運常規支出使用,有效掌握現金流有助於讓資金能更積極的運用,C,保留資金帳戶之設立，可以提供營運常規支出使用,C,,無
58,下列何種團隊運作方式，強調「成員保有其本身的專業角色，同時採取互動式的合作方式，並專注在解決共同的問題」?,專業內整合團隊（intradisciplinary team）,多重專業整合團隊（multidisciplinary team）,跨專業整合團隊（transdisciplinary team）,專業間整合團隊（interdisciplinary team）,D,專業間整合團隊（interdisciplinary team）,D,,無
59,關於成功督導（supervision）的過程，下列敘述何者錯誤？,是動態（dynamic）的歷程,是互動（interactive）的歷程,是可預期及可依循（orderly）的歷程,是間歇性（intermittent）的歷程,D,是間歇性（intermittent）的歷程,D,,無
60,臨床職能治療服務內容之影響因素很多，下列那項因素較不相關？,職能治療人員之異動,社區特色與個案個別需求,專業服務規範與發展,保險給付、補助內容與金額,A,職能治療人員之異動,A,,無
61,若職能治療管理者必須完成一項重要任務，當任務截止日期即將到來，下列何者是最佳的領導方式？,告訴員工若截止日前無法完成任務，每個人都要承擔後果,管理者自我期待每個員工維持目前的工作量，推測應該可以在截止日前完成任務,管理者告訴員工目前部門的處境以及在截止日前完成此任務的重要性，同時給予員工鼓勵和希望,管理者每天在不同員工間徘徊，確保他們時時刻刻都在為完成任務做最大努力,C,管理者告訴員工目前部門的處境以及在截止日前完成此任務的重要性，同時給予員工鼓勵和希望,C,,無
62,下列何者不是職能治療管理者（manager）的主要功能？,規劃整個醫療機構的福祉與發展,規劃與發展專業團隊的合作模式,提供員工訓練,規劃達成職能治療部門整體目標的策略與作法,A,規劃整個醫療機構的福祉與發展,A,,無
63,下列何者最符合管理學中的X理論？,在職能治療部門推動讀書會，以增進治療師間的知識交流,醫院規定治療師們上、下班需刷卡，以確保未翹班、遲到早退,給予治療師在設計活動上的最大空間與尊重,治療師購買自用品須填寫細目表,B,醫院規定治療師們上、下班需刷卡，以確保未翹班、遲到早退,B,,無
64,職能治療學生到臨床實習，面對臨床老師給予回饋時，下列何者為最不適切的行為？,承認自己的錯誤,可以將老師的回饋，以自己的話解釋給老師聽，以確認是否聽懂老師的回饋,當學生覺得老師所給的回饋有誤解時，應先暫停老師的談話並立即澄清,面對老師的回饋若無法立即做出回應，應向老師表達需要更多的時間思考,C,當學生覺得老師所給的回饋有誤解時，應先暫停老師的談話並立即澄清,C,,無
65,職能治療師在指導實習學生時，對於學生的表現應給予適度的回饋，下列回饋內容何者最有助益？,你的初評報告寫得很糟糕,你目前的表現不符合我們設定的目標,你今天在會談的過程中使用過多封閉式的問題，所能得到的資訊較少,你一個月前幫個案A訓練平衡能力時，應隨時站在他的患側邊,C,你今天在會談的過程中使用過多封閉式的問題，所能得到的資訊較少,C,,無
66,治療性運用自我（therapeutic use of self）的定義為何？,治療師與個案相互參與的過程,計畫性的使用治療師自身的個性、觀點、覺知與判斷，作為治療過程的一部分,個案能夠相信治療師會盡力的確保其生理的安全及心理的安適,個案在治療關係中能採取主動而非被動的角色，並決定治療的進展,B,計畫性的使用治療師自身的個性、觀點、覺知與判斷，作為治療過程的一部分,B,,無
67,有關實證執業，與「估計預後」相關的研究設計，下列何者最不適合？,世代研究（cohort studies）,個案報告（case series）,橫斷研究（cross-sectional studies）,個案控制研究（case-control studies）,C,橫斷研究（cross-sectional studies）,C,,無
68,「在同一段時間內量測特定族群的各種因素，以探討因素間的關係或因素對結果之影響」上述實驗設計為何？,世代研究（cohort study）,橫斷研究（cross-sectional study）,隨機控制試驗（randomized controlled trials）,個案研究（case series）,B,橫斷研究（cross-sectional study）,B,,無
69,有關效應值（effect size），下列敘述何者正確？,用以瞭解實證研究與臨床服務的相關性（relevance）,用以描述治療一段時間後的差異量,為非標準化的數值,具有單位,B,用以描述治療一段時間後的差異量,B,,無
70,有關實證執業，下列何者為探討預後（prognosis）最主要的內容？,瞭解個案的職能經驗和需求等相關背景,瞭解該診斷的最佳職能評估方法,瞭解個案使用不同治療方式的相關效益,基於個案的共病性、病史和症狀等因子瞭解介入後的改變,D,基於個案的共病性、病史和症狀等因子瞭解介入後的改變,D,,無
71,實證醫學中，“PICO”最適用於那一個階段？,說明臨床問題,收集實證研究,評鑑最佳實證,應用實證以引導臨床實務,A,說明臨床問題,A,,無
72,臨床推理的思考過程，依序應為何？①產生假設；②形成評估前的概念；③假設評估；④解釋提示；⑤獲得提示,②⑤①④③,⑤④②①③,①⑤④③②,②①⑤③④,A,②⑤①④③,A,,無
73,有關臨床推理之提問，下列何者最具備互動推理（interactive reasoning）的特徵？,疾病的本質為何,適用個案的評估工具為何,個案的診斷為何,鼓勵個案的最佳方式為何,D,鼓勵個案的最佳方式為何,D,,無
74,一位下肢癱瘓的脊髓損傷個案，經過2週的漸進式阻力肌力訓練，下肢肌力已有顯著進步。隨著個案生理能力的進步，職能治療師配合個案職能需求調整復健活動，增加輪椅至床的移位活動訓練。上述過程較符合何種臨床推理策略？,敘事推理（narrative reasoning）,互動推理（interactive reasoning）,情境推理（conditional reasoning）,實用推理（pragmatic reasoning）,C,情境推理（conditional reasoning）,C,,無
75,習慣訓練（habit training）是一種為克服紊亂的習慣、修正之前的習慣及建構新的習慣而設計的教育方案，其目的是恢復及維護健康。此訓練是由何人提出？,George Edward Barton,Herbert Hall,Eleanor Clarke Slagle,Thomas Kidner,C,Eleanor Clarke Slagle,C,,無
76,當患者的損傷已無法透過治療改善時，運用下列何種治療模式可幫助其恢復獨立？,Neurodevelopmental Approach,Rehabilitative Approach,Sensory Integration Approach,Cognitive Approach,B,Rehabilitative Approach,B,,無
77,有關task-oriented approach，下列敘述何者錯誤？,神經系統會持續的調整，以適應環境的要求及生理上的限制,治療的目的在於教導個案完成功能性活動的目標,職能治療師必須促使個案做出正常的動作模式,職能治療師會提供個案回饋，並協助確認代償性技巧的使用,C,職能治療師必須促使個案做出正常的動作模式,C,,無
78,美國身心障礙人權法案（Americans with Disabilities Act）是保障身心障礙者的重要法案，下列何者是法案內容之要點？①不准有就業上的歧視；②就業場所需有合宜的改裝或工作再造；③無障礙環境；④身心障礙者的醫療保險；⑤身心障礙津貼,①②③,①②⑤,①③④,②③④,A,①②③,A,,無
79,職能治療師在治療過程中必須瞭解個案的社經地位與相關因素，及其如何影響到個案從事職能活動，下列何者是最重要的資訊取得方式？,閱讀病歷上資料,透過其他專業團隊（如社工）,傾聽個案敘述,以觀察法判斷,C,傾聽個案敘述,C,,無
80,下列何者是資本門支出？,建造或購買廠房、大型機器,員工薪資,廣告,租金、水電,A,建造或購買廠房、大型機器,A,,無
