題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
13,個案昨天接受心臟再同步化治療（CRT-D）植入手術，傷口位於左胸前，患者左手何時才可以開始抬高超過90度？,術後2天,術後2星期,術後2個月,術後2年,C,術後2個月,無
14,為淋巴水腫患者進行間歇機械性壓縮治療（intermittent mechanical compression therapy）的壓力設定原則何者最佳？,高於患者收縮壓,低於患者收縮壓但高於舒張壓,等於患者平均動脈壓,低於患者舒張壓,D,低於患者舒張壓,無
15,關於間歇訓練（interval training）之敘述，下列何者錯誤？,是指在同一節運動課程中在固定間期內採用多樣化運動強度,和傳統中強度的訓練相比，高強度間歇訓練能增加一節運動課程的高運動強度的比例,高強度間歇訓練適合用在運動員，不適合用在有代謝、心肺或肺疾患者身上,間歇訓練在運動處方的變化，取決於訓練課程的目的和客戶或病患的體適能程度,C,高強度間歇訓練適合用在運動員，不適合用在有代謝、心肺或肺疾患者身上,無
16,有關血清脂質，下列敘述何者錯誤？,腸道所吸收的脂肪，經腸細胞組成乳糜微粒（chylomicron）後，進入乳糜小管,血中三酸甘油酯濃度偏高與心臟病相關,極低密度脂蛋白（VLDL），是由血液中低密度脂蛋白（LDL）轉化而來,血中低密度脂蛋白膽固醇（LDL-C）濃度偏高與心臟病相關,C,極低密度脂蛋白（VLDL），是由血液中低密度脂蛋白（LDL）轉化而來,無
17,下列透析用（洗腎）導管，何者屬於暫時導管？,AV fistula,AV graft,Permcath catheter,Double lumen catheter,D,Double lumen catheter,無
18,關於阻塞性肺部疾病的診斷工具，下列敘述何者最適當？,胸部X光是診斷大多數阻塞性肺部疾病的首選檢查,肺量計檢查（spirometry test）比胸部X光更適合用來診斷大多數阻塞性肺部疾病,所有阻塞性肺部疾病都會在胸部X光上呈現異常,高解析度電腦斷層（HRCT）是診斷所有阻塞性肺部疾病的首選,B,肺量計檢查（spirometry test）比胸部X光更適合用來診斷大多數阻塞性肺部疾病,無
19,62歲男性進行肺功能檢查：用力吐氣肺活量（FVC）為預測值的85％；第一秒用力吐氣體積（FEV1）為預測值的60％；使用支氣管擴張劑後之 FEV1維持不變。根據此結果，患者最可能的診斷為何？,限制性肺疾病,可逆性阻塞性肺疾病,不可逆性阻塞性肺疾病,混合性通氣障礙,C,不可逆性阻塞性肺疾病,無
20,潮氣體積（tidal volume）的定義是：,單次最大吸氣量,單次最大呼氣量,最大吸氣後再加上最大呼氣的總量,單次正常吸入或呼出的氣體量,D,單次正常吸入或呼出的氣體量,無
21,檢視患者第一秒用力吐氣體積與用力吐氣肺活量比值（FEV1/FVC）的目的為何？,評估呼吸系統的最大負荷,評估氣道阻塞的程度,評估肺泡通氣量,評估肺部殘餘容量,B,評估氣道阻塞的程度,無
22,下列何者不是氣喘患者使用β₂-交感神經受器作用劑（β2-agonists）後常見的副作用？,抑制呼吸,頭痛,顫抖,心率過慢,A,抑制呼吸,無
23,基本呼吸困難指數（baseline dyspnea index）被認為與生理測量值最相關的呼吸困難評估，下列何者不是其量測的內容？,從事職業工作或一般活動的呼吸困難程度,主觀用力大小的呼吸困難程度,在約100碼（30公尺）的平地行走需停頓次數與呼吸困難程度,工作費力大小的呼吸困難程度,C,在約100碼（30公尺）的平地行走需停頓次數與呼吸困難程度,無
24,胸腹術後肺部併發症的危險分級，下列何者分數最高？,術前FVC＜20 mL/kg,肌肉衰弱,超過36小時無法起床,血液氣體分析值異常,A,術前FVC＜20 mL/kg,無
25,下列何者不是心臟病患運動壓力測試的絕對禁忌？,不穩定心絞痛,嚴重主動脈狹窄,第一度心房心室阻斷,合併發燒、全身痠痛之急性全身性感染症,C,第一度心房心室阻斷,無
26,有關二尖瓣狹窄（mitral valve stenosis），下列敘述何者錯誤？,風濕熱慢性發炎是二尖瓣狹窄常見原因,心房顫動是二尖瓣狹窄常見心律不整,二尖瓣狹窄導致的舒張期雜音為低頻率的心音,左心室擴大是胸部X光最常見變化,D,左心室擴大是胸部X光最常見變化,無
27,執行跑步機運動心電圖（treadmill exercise stress test）檢查時，停止檢查之時機，下列敘述何者錯誤？,出現持續性心室頻脈（ventricular tachycardia）,水平式ST段，下降超過2 mm,收縮壓較檢查前下降超過20 mmHg,收縮壓較檢查前上升超過30 mmHg,D,收縮壓較檢查前上升超過30 mmHg,無
28,一位90歲慢性心臟衰竭患者，長期臥床、居住於長期照護醫療機構，過去一年無法自行行走，近日因脫水入院。下列何種策略最適合此患者？,鼓勵深呼吸訓練、頻繁體位變換與早期活動,每日安排兩次胸壁震顫（chest vibration）合併姿位引流（postural drainage）,規律執行手動肺過度充氣（manual hyperinflation）與抽痰技術,在特倫德倫伯臥位（Trendelenburg position）進行分段式呼吸訓練（segmental breathing exercises）,A,鼓勵深呼吸訓練、頻繁體位變換與早期活動,無
29,針對冠狀動脈繞道手術病患接受適當有氧運動訓練2～3個月後，有關成效之敘述，下列何者最不可能發生？,最大運動時（maximal exercise），最大攝氧量（VO2 max）上升,最大運動時（maximal exercise），動靜脈氧差（a-v O2 diff）上升,次大運動時（submaximal exercise），心率血壓乘積（RPP）上升,次大運動時（submaximal exercise），舒張壓小範圍變化,C,次大運動時（submaximal exercise），心率血壓乘積（RPP）上升,無
30,下列作法何者有助於下肢閉塞性動脈硬化疾病之最佳治療？①局部熱療；②降低鹽分攝取；③循環機（circulator）治療,①②③,僅①③,僅②,僅③,C,僅②,無
31,你今天進入加護病房再度探訪昨天初次評估的患者，如果發現病歷出現下列那些新紀錄時，不需要考慮暫停治療？,DIC（disseminated intravascular coagulation）,pulmonary emboli,cardiac tamponade,asthma,D,asthma,無
32,38歲林小姐從事行政內勤工作，自述因工作忙碌與照顧孩子，已多年未規律運動。近期因腰痠背痛、體力變差，主動就診諮詢是否可改善狀況。她表示有意願改善體能，但擔心無法持續。治療師了解後發現她下班後約有45分鐘的自由時間，鄰居曾邀她一起快走，她也覺得快走不難接受，但尚未開始行動。下列那一項策略最適合作為治療師初步介入以協助行為建立的方法？,為她安排每週五次、每次60分鐘的跑步訓練，快速建立運動習慣,提供一份詳細的運動生理學課程教材，增加運動理論知識,協助設定具體、可行的短期快走目標，並鼓勵她使用運動紀錄手環追蹤進展,指出久坐對健康的嚴重危害，強調不運動將可能導致疾病惡化,C,協助設定具體、可行的短期快走目標，並鼓勵她使用運動紀錄手環追蹤進展,無
33,有關國人成人「肥胖指標」之敘述，下列何者錯誤？,身體質量指數與腰圍，均為肥胖參考指標,男性腰圍超過90公分，女性腰圍超過80公分為腹部肥胖的指標,身體質量指數24（公斤／公尺2）為過重的切點,身體質量指數30（公斤／公尺2）為肥胖的切點,D,身體質量指數30（公斤／公尺2）為肥胖的切點,無
34,68歲謝先生一年前曾接受冠狀動脈繞道手術後恢復良好，近期欲加入阻力訓練以提升生活功能與心肺耐力。其目前已參與中等強度有氧運動三週，無明顯心絞痛或心律不整。下列那一項為合宜的肌力訓練建議？,強度設為80％1RM，以快速提升骨骼肌耗氧量,每週4次，每次訓練60～75分鐘，以最大心率為主調整負荷,由低強度（30～40％1RM）起始，選擇大肌群運動，並監測 RPE,採用HIIT式重量訓練以刺激心肺反應和肌肉張力,C,由低強度（30～40％1RM）起始，選擇大肌群運動，並監測 RPE,無
35,黃小姐懷孕26週，BMI為28 kg/m² ，醫師建議她從事規律運動以預防妊娠糖尿病與過度體重增加。她詢問物理治療師關於訓練注意事項，下列建議何者錯誤？,運動期間應避免仰臥姿進行阻力訓練,建議多喝水、避免過熱，以降低胎兒熱傷害風險,阻力訓練強度建議為40～60％1RM，避免施行Valsalva maneuver,應以最大心率作為運動強度設定的依據，以避免運動不足,D,應以最大心率作為運動強度設定的依據，以避免運動不足,無
36,高海拔的移地訓練可增加回到海平面的運動表現，需要考慮的適應與訓練計畫，下列敘述何者最不適當？,"起始的訓練海拔通常於2,000～2,500公尺開始，可改善血氧飽和度和氧氣運送的問題","海拔3,000公尺約需2～3週才能有明顯適應改變，所以早期訓練強度需較保守，通常到第3～4週才可將訓練強度加到最大",高地適應可使紅血球增多，以增加血液含氧量,"數天的高地適應後，紅血球中的2,3-DPG（2,3-二磷酸甘油酸）含量會增加，使氧合解離曲線左移，以增加血紅素與氧的親和力",D,"數天的高地適應後，紅血球中的2,3-DPG（2,3-二磷酸甘油酸）含量會增加，使氧合解離曲線左移，以增加血紅素與氧的親和力",無
37,針對孕婦的運動處方需要考慮的要點很多，根據 ACSM的建議，下列敘述何者最不適當？,設計孕婦的運動強度不常以目標心率為指標，建議採用RPE或說話測試（talk test）來監測運動強度,孕婦的體能訓練可採用60％耗氧量貯存量（VO2 reserve）為訓練強度,孕婦仍可進行重量訓練科目，可採用40％1RM的輕負荷為訓練強度，反覆次數為每肌群做12～15次,孕婦在自然分娩後的第2週即可開始安排運動訓練計畫，而剖腹產者（cesarean section）需延後至第4週才可開始安排,D,孕婦在自然分娩後的第2週即可開始安排運動訓練計畫，而剖腹產者（cesarean section）需延後至第4週才可開始安排,無
38,癌症造成的全身性水腫最常與那項問題最直接相關？,壓瘡形成,白蛋白低下,淋巴阻塞,深層靜脈血栓,B,白蛋白低下,無
39,62歲大腸癌患者化療後出現貧血（Hb 7.5克／分升）。擬定運動計畫時，依安全原則，下列處置何者最佳？,避免任何阻力訓練,"以自覺用力程度（rating of perceived exertion, RPE）低強度進行",鼓勵進行高強度耐力訓練,一般運動訓練都可進行,B,"以自覺用力程度（rating of perceived exertion, RPE）低強度進行",無
40,有關癌症疼痛的敘述，下列何者錯誤？,抗癌治療也會造成疼痛,嗎啡類止痛劑常有便秘的副作用,嗎啡類止痛藥可能有噁心嘔吐的副作用,可以局部熱敷以大幅減輕疼痛,D,可以局部熱敷以大幅減輕疼痛,無
41,根據動作學習理論，教導一般兒童動作技巧，下列何項策略為正確？,練習原則應由複雜到簡單，挑戰越高效果越好,完全採取肢體動作協助的方式，以增進動作學習,反覆練習，需有足夠的練習時間,環境設計須儘量保持固定，以避免因情境變異而阻礙任務之內化及適應性,C,反覆練習，需有足夠的練習時間,無
42,2歲幼兒在上樓梯時，遇到階梯高度比較高時採取爬行的方式，遇到階梯高度比較低時採取扶物一腳一階的方式，此種行為差異無法以何項理論解釋？,動態系統理論,成熟理論,知覺理論,神經群選擇理論,B,成熟理論,無
43,根據Sutherland學者的觀察研究，1至3歲幼兒行走步態發展的變化，下列何項敘述錯誤？,行走之骨盆寬度與兩腳間寬度比值（ratio of pelvic span to ankle spread）會隨著年紀增長而增加,會出現膝屈曲弧（knee flexion curve）步態的人數會隨著年紀增長而增加,單腳站立期在步態週期（gait cycle）所占的比例會隨著年紀增長而增加,走路時的步頻（cadence）會隨著年紀增長而增加,D,走路時的步頻（cadence）會隨著年紀增長而增加,無
44,"下列關於國際健康功能與身心障礙分類系統（International Classification of Functioning, Disability and Health）的敘述，何者最不適當？",此分類系統以失能模式建構對醫療服務的架構,對所有年齡層的人適用,各個成分之間會互相影響，沒有上下階層的關係,其編碼系統可以作為健康照護系統溝通的共同語言,A,此分類系統以失能模式建構對醫療服務的架構,無
45,關於腦性麻痺兒童行走功能相關的預後表現，下列敘述何者錯誤？,兒童未來是否具備行走能力，與其兩歲時是否能穩定維持獨立坐姿有密切關聯,行走能力不僅影響兒童日常生活的獨立性，亦可能在成年後持續影響其社會參與,已具備有獨立行走能力的兒童，進入成年後便不會面臨行走功能退化或喪失的風險,粗大動作功能分類系統（Gross Motor Function Classification System）等級有助於預測兒童粗大動作能力的發展趨勢與變化,C,已具備有獨立行走能力的兒童，進入成年後便不會面臨行走功能退化或喪失的風險,無
46,在進行一名患有小兒氣喘之病童的呼吸物理治療時，最合適的運動介入策略為何？,僅執行靜態伸展運動以降低呼吸速率,避免有氧運動以預防誘發症狀,中低強度、漸進式有氧運動以提升心肺功能,高強度間歇訓練以刺激支氣管適應,C,中低強度、漸進式有氧運動以提升心肺功能,無
47,有關兒童心肺適能之敘述，下列何者正確？,無氧運動能力決定於肌肉體積多寡，無關乎個體的運動技巧,最大耗氧量是評估心肺適能的最佳指標,以800公尺或1600公尺跑走評估國小及國高中學生心肺適能，屬於直接測驗法,以登階測驗評估心肺適能，是測量受試者於3分鐘內在50公分高的平面木箱上下登階的總次數,B,最大耗氧量是評估心肺適能的最佳指標,無
48,有關以家庭為中心之早期介入概念，下列敘述何者正確？,介入為個別化，應以兒童需求為首要，不需考量其他家庭成員,一定是以家庭為基地的介入模式,介入強調家庭功能，但最終決策者應為治療師,專業人員與家庭成員為對等夥伴,D,專業人員與家庭成員為對等夥伴,無
49,小平是一個10歲兒童，使用某一標準評估工具評估動作發展結果為百分位等級（percentile rank）75，下列說明何者錯誤？,百分位等級屬於次序變項,表示在常模資料排序分成一百個等分後，他的分數在常模的相對位置,顯示他的表現優於25％的同儕,若該量表年齡分數是以特定年齡層中75百分位數決定，則和他同分的同學之發展年齡分數為10歲,C,顯示他的表現優於25％的同儕,無
50,下列針對兒童發展量表信度之敘述，何者正確？,信度代表一個測驗的內容是否真正在測量發展的特徵或行為,信度代表重複測驗結果的一致性,發展量表的信度相關係數越高，表示信度越低,信度包含內容信度、建構信度與效標信度,B,信度代表重複測驗結果的一致性,無
51,下列那一個兒童發展量表可以根據常模推算一個3歲兒童的粗大動作發展商數？,阿爾伯塔嬰兒動作量表（Alberta Infant Motor Scale）,布魯茵克斯－歐西瑞斯基動作精熟度測驗（Bruininks-Oseretsky Test of Motor Proficiency）,兒童生活功能量表（Pediatric Evaluation of Disability Inventory）,嬰幼兒綜合發展測驗－診斷量表（Comprehensive Developmental Inventory for Infants and Toddlers - Diagnosis Test）,D,嬰幼兒綜合發展測驗－診斷量表（Comprehensive Developmental Inventory for Infants and Toddlers - Diagnosis Test）,無
52,安娜為矯正年齡8個月的早產兒，動作發展約在6～8個月，父母帶她至早產兒追蹤門診進行有關遊戲互動的諮詢，依據兒童遊戲發展，治療師會建議家長以何種玩具與安娜進行互動？,手搖鈴，練習左右手的搖鈴互敲,積木組，練習疊2～3個積木,蠟筆與白紙，練習畫畫,形狀盒，練習配對形狀,A,手搖鈴，練習左右手的搖鈴互敲,無
53,基於生態系統學理論（ecological systems theory），有關家庭環境評量表（Home Observation for Measurement of the Environment Inventory）的敘述，下列何者正確？,觀察家庭環境與親子互動情況,於家中進行兒童發展評估,於家中進行環境控制系統的評估,觀察家庭至社區活動空間的可近性,A,觀察家庭環境與親子互動情況,無
54,當專業團隊已經確認輪椅可以幫助一位裘馨氏肌肉失養症（Duchenne muscular dystrophy）兒童獲得獨立行動能力，下列那些是考慮選取電動輪椅優於手動輪椅的理由？①嚴重的上肢無力；②長期手動推進輪椅導致的過度使用上肢造成的次發性損傷；③試用電動輪椅時控制不佳；④推進手動輪椅易造成極度疲勞；⑤呼吸功能不佳；⑥使用電動輪椅會減少個案運動機會,①②③⑤,①③④⑥,②③④⑤,①②④⑤,D,①②④⑤,無
55,下列何種條件不適合進行高危險新生兒之發展介入？,介入前心跳達每分鐘150下,介入前呼吸速率達每分鐘80次,介入時處於新生兒行為狀態4分,介入過程中血氧濃度在90～100％間,B,介入前呼吸速率達每分鐘80次,無
56,關於早產兒治療性擺位的敘述，下列何者正確？,仰躺擺位時，應將頭頸擺在正中、雙手置於身體兩側，並使骨盆呈前傾姿勢以維持良好脊椎曲度,患有嚴重胃食道逆流的早產兒，進食後應採右側臥以促進胃排空,以毛毯捲軸固定四肢向腹部靠攏的支持性仰臥擺位，是預防嬰兒猝死症最好的擺位姿勢,出院回家後儘量趴睡，以增加早產兒安全感及提升其睡眠品質,C,以毛毯捲軸固定四肢向腹部靠攏的支持性仰臥擺位，是預防嬰兒猝死症最好的擺位姿勢,無
57,小明最近被診斷為重度發展遲緩，下列何項家庭功能對該診斷的反應和作為，顯示該家庭進入復原過程（resilient process）較有困難？,家庭能夠兼顧小明的生活功能和其他的家庭需求,家庭仍然維持診斷前的作息模式,家庭和專業人員協力解決小明的生活功能,家庭已發展出和小明及相關專業人員的溝通技巧和能力,B,家庭仍然維持診斷前的作息模式,無
58,有關0至15歲患有腦性麻痺兒童之痙攣，下列敘述何者錯誤？,根據Linden O.（2019年）的研究顯示，多數個案之腓腸比目魚肌（gastrosoleus muscle），其痙攣程度在生命前五年有逐漸上升傾向,"腓腸比目魚肌（gastrosoleus muscle）痙攣程度可以用修正版艾許沃斯氏量表（Modified Ashworth Scale, MAS）量測","粗大動作功能分類系統（Gross Motor Function Classification System）第IV級兒童的修正版艾許沃斯氏量表（Modified Ashworth Scale, MAS）評分大多會高於分類為第I級的兒童",痙攣對個案的功能影響完全是負面，一定都要降低,D,痙攣對個案的功能影響完全是負面，一定都要降低,無
59,有關腦性麻痺兒童行走的表徵與介入，下列敘述何者正確？,痙攣型雙邊腦性麻痺比半邊型在行走時的耗氧量為高,行走時耗氧量遠低於一般兒童,膝跳躍（jump knee）與屈膝（crouch）步態之區辨點是膝關節伸直與屈曲,以踝足裝具固定踝關節於蹠屈3～5度，可以矯正膝關節反曲步態（recurvatum gait）,A,痙攣型雙邊腦性麻痺比半邊型在行走時的耗氧量為高,無
60,下列那一個不是患有自閉症類群障礙兒童常見的知覺動作問題？,有刻板動作（motor stereotypies）,姿勢控制與平衡能力差,有模仿問題與運動障礙（dyspraxia）,出現中樞神經系統之進行性動作損傷,D,出現中樞神經系統之進行性動作損傷,無
61,為自閉症類群障礙兒童設計介入計畫時，下列那一項原則最符合當代實證與家庭中心介入的理念？,將治療安排於安靜、封閉的空間，避免所有干擾刺激,優先改善知覺動作困難，再開始進行社交與語言訓練,以兒童的興趣和日常生活情境為出發點，設計動機導向的學習機會,介入應遵循一成不變的流程，讓兒童習慣標準化訓練方式,C,以兒童的興趣和日常生活情境為出發點，設計動機導向的學習機會,無
62,有關自閉症類群障礙臨床表徵之敘述，下列何者錯誤？,在教室上課期間會不自主地站起來遊走,較難解讀別人的情緒反應,具有特定的行為模式，不易改變,眼神傾向迴避人臉,A,在教室上課期間會不自主地站起來遊走,無
63,一名3歲大患有唐氏症的兒童，有輕度先天性心室中膈缺損，肌張力較低、軀幹穩定能力不足，具有行走能力但移動功能較差。以下物理治療介入何者較不合適？,宜採功能性肌力訓練方式，且逐步增加強度，以提升其肌力,設計軀幹穩定訓練以促進姿勢控制能力,設計採用助行輔具行走以減少動作學習的肌肉負荷,鼓勵適當的有氧訓練以促進心肺耐力,C,設計採用助行輔具行走以減少動作學習的肌肉負荷,無
64,有關智能障礙兒童的物理治療介入原則，下列何者錯誤？,治療的目標應包含有兒童的功能性目標以及家庭面向的目標,在練習初期時，儘量在單純的環境進行，以減少兒童分心的時間,提供適當的體能運動，來促進兒童的肢體協調能力,因兒童的認知較弱，應避免同時提供動作介入和行為改變技術的介入,D,因兒童的認知較弱，應避免同時提供動作介入和行為改變技術的介入,無
65,物理治療師透過行為改變技術促進智能障礙幼兒主動翻身的動機。下列那一項最符合正增強（positive reinforcement）的原則？,每當幼兒拒絕翻身時，即暫停活動讓其安靜下來,幼兒主動翻身後，給予拍手鼓勵或播放其喜愛的音樂,在幼兒未翻身時，以被動方式協助完成動作，並口頭鼓勵其加油,幼兒不合作時，物理治療師減少互動時間，讓其感受到失去陪伴的結果,B,幼兒主動翻身後，給予拍手鼓勵或播放其喜愛的音樂,無
66,有關智能障礙的診斷條件，下列敘述何者正確？,使用具有常模的標準化智力測量工具評估，得分的切截點為60分,診斷的依據包含智力測驗分數與適應性行為之表現較同年齡者有顯著困難,適應性行為不足是指與同年齡及社會文化背景相同的一般兒童相比之下的學業表現落差大,智能障礙必須只限開始發生於6歲以下的兒童階段,B,診斷的依據包含智力測驗分數與適應性行為之表現較同年齡者有顯著困難,無
67,念小學的小潔因脊柱裂（spina bifida）定期接受物理治療追蹤，下列何者不是此階段評估重點？,粗大動作功能分類,動作與日常生活功能,關節活動度，變形與攣縮,輔具需求與使用,A,粗大動作功能分類,無
68,一名出生3週的新生兒經診斷有臂神經叢上臂型損傷（Erb's palsy），患側無法正常地做出肩外展與肘屈曲動作。下列何者最符合物理治療早期介入的原則與成效目標？,將患側肩關節擺位於內旋與伸展位置，維持神經張力以促進神經再生,加強主動性阻力運動訓練，以促進肌力恢復並防止關節攣縮,加強被動關節活動與姿勢擺位，預防肌肉攣縮與關節軟組織沾黏,等待至2個月大確認神經再生範圍後，才開始進行動作訓練,C,加強被動關節活動與姿勢擺位，預防肌肉攣縮與關節軟組織沾黏,無
69,針對患有先天性肌肉斜頸症的兒童，下列敘述何者正確？,最佳手術治療時間為1歲前,在1歲內接受物理治療的預後效果較佳,此疾病若不接受物理治療或手術介入無法自行恢復,手術治療後，不需再進行物理治療,B,在1歲內接受物理治療的預後效果較佳,無
70,幼年期風濕性關節炎患者的症狀和活動建議，下列何者正確？,疼痛為患者最常見的症狀,關節僵硬常常發生於運動後,通常為全身性之症狀,膝關節受損的患者，應儘量減少上下樓梯,D,膝關節受損的患者，應儘量減少上下樓梯,無
71,下列那一項診斷屬於斯布蘭格形態學分類法（Spranger's classification of morphogenesis）的發育不全（dysplasia）？,成骨不全症（osteogenesis imperfecta）,髖關節發育不全（developmental dysplasia of the hip）,先天性多關節硬化症（arthrogryposis multiplex congenita）,幼年期風濕性關節炎（juvenile rheumatoid arthritis）,A,成骨不全症（osteogenesis imperfecta）,無
72,有關兒童下肢骨骼排列發展的變化，下列何時期呈現最大的膝外翻（genu valgum）？,1歲之內,1～2歲,3～4歲,6～8歲,C,3～4歲,無
73,關於心臟系統疾病兒童的有氧能力（aerobic capacity）及耐力（endurance）的評估和訓練，下列敘述何者錯誤？,六分鐘行走測試為臨床常使用的評估方法,呼吸困難指數（dyspnea index）是患童對自己整體感受的評估,每星期至少應有三次的訓練，才能增加有氧能力及耐力,除了非常虛弱的患童，運動強度應該達到伯格式自覺用力係數（Borg rate of perceived exertion scale）11～15,B,呼吸困難指數（dyspnea index）是患童對自己整體感受的評估,無
74,關於燒燙傷的層級與分類，下列何者正確？,部分皮層（partial-thickness）燒燙傷造成的疼痛問題通常比全皮層（full-thickness）燒燙傷更嚴重,全皮層（full-thickness）燒燙傷容易有疤痕組織肥大的問題，淺層（superficial）與部分皮層（partial-thickness）燒燙傷則通常不會有疤痕問題,計算燒燙傷體表面積百分比時，相較於成人，1歲嬰兒的頭部與軀幹所占比例都較大，下肢占比則較小,全皮層（full-thickness）燒燙傷會破壞末梢神經，因此患者不會感覺到疼痛,A,部分皮層（partial-thickness）燒燙傷造成的疼痛問題通常比全皮層（full-thickness）燒燙傷更嚴重,無
75,關於兒童健康相關體適能（health-related fitness）之發展，下列何者正確？,男性的肌力在成年後才會明顯高於女性,男性與女性的柔軟度表現相近，且都會隨著年齡增長而下降,兒童體脂肪比例從出生起便不斷下降,兒童的無氧運動表現通常不如成人，因其肌肉產能尚未成熟,D,兒童的無氧運動表現通常不如成人，因其肌肉產能尚未成熟,無
76,有關目標達成量表的敘述，下列何者錯誤？,以五分量表方式呈現,用來評量治療後進步的情形,必須經過專業訓練，家長無法參與擬定,若將兒童目前的表現定為目標達成量表中的-2分，則治療後預期表現定為目標達成量表中的0分量尺,C,必須經過專業訓練，家長無法參與擬定,無
77,民國112年修正公布之特殊教育法第38條規定，學校及幼兒園應依身心障礙學生及幼兒之教育需求，提供下列支持服務。下列何項服務正確？,運動輔具服務,療育補助服務,醫療照護服務,家庭喘息服務,A,運動輔具服務,無
