題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
17,排尿中樞（micturition center）位於下列何處？,橋腦（pons）,延髓（medulla oblongata）,海馬迴（hippocampus）,枕葉（occipital lobe）,A,橋腦（pons）,無
18,肩部旋轉袖肌（rotator cuff）中的肩胛下肌（subscapularis），其肌腱附著於肱骨（humerus）何處？,大結節（greater tubercle）,小結節（lesser tubercle）,結節間溝（intertubercular sulcus）,喙狀突（coracoid process）,B,小結節（lesser tubercle）,無
19,面神經（facial nerve）受損時，下列那一個動作最容易受到影響？,壓縮臉頰（compress cheek）的吸吮（sucking）動作,抬升（elevate）下巴並前引（protrude）下頜,抬升（elevate）下巴並後縮（retract）下頜,上下排牙齒進行研磨（grinding）的動作,A,壓縮臉頰（compress cheek）的吸吮（sucking）動作,無
20,下列關於鼻腔（nasal cavity）的敘述，何者正確？,鼻腔內側沿中線可分成上、中、下鼻甲（nasal concha）,下鼻道（inferior nasal meatus）內有後篩竇（posterior ethmoidal sinus）開口,下鼻甲（inferior nasal concha）是最長且寬的鼻甲，有獨立骨頭,蝶篩隱窩（spheno-ethmoidal recess）位於鼻腔最下方,C,下鼻甲（inferior nasal concha）是最長且寬的鼻甲，有獨立骨頭,無
21,髂股韌帶（iliofemoral ligament）可協助防止髖關節過度伸展（hyperextension of hip joint），其近端附著點是下列何者？,髂前下棘（anterior inferior iliac spine）,髂前上棘（anterior superior iliac spine）,坐骨棘（ischial spine）,髂嵴（iliac crest）,A,髂前下棘（anterior inferior iliac spine）,無
22,下列何者的節後神經元（postganglionic neuron）幾乎都位於器官壁內神經節（intramural ganglion）中？,肋間神經（intercostal nerve）,舌咽神經（glossopharyngeal nerve）,面神經（facial nerve）,迷走神經（vagus nerve）,D,迷走神經（vagus nerve）,無
23,下列關於交感神經（sympathetic nerve）的敘述，何者正確？,節前神經纖維較節後神經纖維長,主要由T1~L2的脊髓灰質前角（anterior horn）發出,所有的節前軸突末端皆會釋放乙醯膽鹼（acetylcholine）,神經節的位置靠近所支配的內臟器官,C,所有的節前軸突末端皆會釋放乙醯膽鹼（acetylcholine）,無
24,下列關於頸襻（ansa cervicalis）的敘述，何者正確？,舌神經（lingual nerve）也共同參與組成,由第一到第三頸神經（C1~C3）組成,主要支配舌骨上肌群（suprahyoid muscles）,主要接受下頜處皮膚的感覺訊息,B,由第一到第三頸神經（C1~C3）組成,無
25,下列何者屬於特殊內臟感覺（special visceral sense）？,嗅覺,視覺,痛覺,平衡覺,A,嗅覺,無
26,下列關於神經元（neuron）分類的敘述，何者正確？,單極（unipolar）神經元只會有一個長的主幹（trunk）連接到脊髓而不接收其他地方的連接,背根神經節（dorsal root ganglion）內的神經元屬於單極（unipolar）神經元,交感神經節（sympathetic ganglion）內的神經元屬於雙極（bipolar）神經元,多極（multipolar）神經元會有多個可以產生脈衝（impulse）的軸突（axon）,B,背根神經節（dorsal root ganglion）內的神經元屬於單極（unipolar）神經元,無
27,下列那一條路徑負責控制頸部肌肉使眼睛可以追蹤移動中的物體？,紅核脊髓徑（rubrospinal tract）,前庭脊髓徑（vestibulospinal tract）,網狀脊髓徑（reticulospinal tract）,頂蓋脊髓徑（tectospinal tract）,D,頂蓋脊髓徑（tectospinal tract）,無
28,下列關於脊髓灰質（gray matter）的敘述，何者正確？,背角（dorsal horn）有初級感覺神經元（primary sensory neuron）,T1~L2腹角（ventral horn）有副交感節前神經元（preganglionic parasympathetic neuron）,T1~L2外側角（lateral horn）有交感節前神經元（preganglionic sympathetic neuron）,含有背根（dorsal root）,C,T1~L2外側角（lateral horn）有交感節前神經元（preganglionic sympathetic neuron）,無
29,下列何者傳遞鼻黏膜、眼瞼（eyelid）及角膜（cornea）等處的一般體感覺（general somatic sensory）？,動眼神經（oculomotor nerve）,三叉神經（trigeminal nerve）,舌咽神經（glossopharyngeal nerve）,面神經（facial nerve）,B,三叉神經（trigeminal nerve）,無
30,腦脊髓液循流進入上矢狀竇（superior sagittal sinus）中，需要靠下列那層構造形成顆粒突向竇中？,骨膜層硬膜（periosteal layer of dura）,腦膜層硬膜（meningeal layer of dura）,蛛網膜（arachnoid mater）,軟腦膜（pia mater）,C,蛛網膜（arachnoid mater）,無
31,下列何者穿越篩骨（ethmoid bone）後連接至嗅球（olfactory bulb）？,第一對顱神經,第三對顱神經,第五對顱神經,第七對顱神經,A,第一對顱神經,無
32,下列何者出現在右心房（right atrium）？,冠狀竇開口（opening of coronary sinus）,腱索（chordae tendineae）,乳頭肌（papillary muscle）,二尖瓣（bicuspid valve）,A,冠狀竇開口（opening of coronary sinus）,無
33,下列何者可固定心臟並可防止其過度充血？,心內膜（endocardium）,漿膜性心包膜壁層（parietal layer of serous pericardium）,漿膜性心包膜臟層（visceral layer of serous pericardium）,纖維性心包膜（fibrous pericardium）,D,纖維性心包膜（fibrous pericardium）,無
34,下列何者不是髂內動脈（internal iliac artery）的分支？,陰部內動脈（internal pudendal artery）,子宮動脈（uterine artery）,直腸上動脈（superior rectal artery）,臀上動脈（superior gluteal artery）,C,直腸上動脈（superior rectal artery）,無
35,下列敘述何者正確？①紫外線照射下，皮膚角質細胞（keratinocyte）可以合成維生素D的前驅物；②胸腺是可以分泌激素（hormone）的免疫器官,①②皆正確,①②皆錯誤,僅①正確,僅②正確,A,①②皆正確,無
36,下列關於肝臟（liver）的敘述，何者錯誤？,肝臟前表面有鐮狀韌帶（falciform ligament）將肝臟分為兩葉且右葉大於左葉,膽囊（gallbladder）緊貼於肝臟的尾狀葉（caudate lobe）,肝臟巨噬細胞（hepatic macrophage）常位於肝竇狀隙（sinusoid）壁上,肝細胞內具有發達的平滑內質網（smooth endoplasmic reticulum），可幫助製造膽鹽（bile salt）與解毒,B,膽囊（gallbladder）緊貼於肝臟的尾狀葉（caudate lobe）,無
37,下列有關腸繫膜（mesentery）的敘述，何者錯誤？,腸繫膜是由單層的腹膜（peritoneum）所構成,腸繫膜可儲存脂肪,腸繫膜固定腹腔器官的位置並將器官與腹壁連接在一起,大網膜（greater omentum）和小網膜（lesser omentum）都屬於腸繫膜,A,腸繫膜是由單層的腹膜（peritoneum）所構成,無
38,腎小體（renal corpuscle）的入球小動脈（afferent arteriole）直接由下列何者分支而來？,皮質放射動脈（cortical radiate artery）,葉間動脈（interlobar artery）,節動脈（segmental artery）,腎動脈（renal artery）,A,皮質放射動脈（cortical radiate artery）,無
39,下列何者是大陰唇（labia majora）的同源器官（homologous organ）？,陰莖（penis）,龜頭（glans penis）,肛門（anus）,陰囊（scrotum）,D,陰囊（scrotum）,無
40,下列關於精液（semen）的敘述，何者錯誤？,尿道球腺（bulbourethral gland）分泌的液體占精液中的最大部分,精液由多個腺體的分泌物組成,精液中含有果糖（fructose），能提供精子養分,精液中含有能將精液液化（liquefy）的酵素成分,A,尿道球腺（bulbourethral gland）分泌的液體占精液中的最大部分,無
41,下列何者屬於結締組織（connective tissue）？,神經細胞,上皮細胞,脂肪細胞,肌肉細胞,C,脂肪細胞,無
42,下列何種由嵌入蛋白（integral protein）媒介之細胞膜運輸，在生理狀況下最不可能達到飽和（saturation）現象？,離子通道（ion channel）,輔助擴散（facilitated diffusion）,初級主動運輸（primary active transport）,次級主動運輸（secondary active transport）,A,離子通道（ion channel）,無
43,關於平滑肌的敘述，下列何者錯誤？,支配平滑肌細胞的神經突觸可能是興奮性或抑制性,單個平滑肌細胞可以受交感神經和副交感神經的支配,平滑肌細胞的收縮活動通常不需要鈣離子,在沒有任何神經輸入下，平滑肌可能產生動作電位,C,平滑肌細胞的收縮活動通常不需要鈣離子,無
44,L型鈣離子通道（L-type calcium channel）在心臟細胞的動作電位對應於那個階段？,同極化（isopolarization）,過極化（hyperpolarization）,高原期（plateau）,再極化（repolarization）,C,高原期（plateau）,無
45,下列何者最有可能在骨骼肌收縮的最初幾秒內，提供細胞所需的 ATP？,脂肪酸（fatty acid）,葡萄糖（glucose）,胺基酸（amino acid）,磷酸肌胺酸（creatine phosphate）,D,磷酸肌胺酸（creatine phosphate）,無
46,下列何種器官與身體內鈣離子恆定（homeostasis）調節作用，最無直接相關？,胃腸道（gastrointestinal tract）,腎臟（kidney）,肝臟（liver）,骨頭（bone）,C,肝臟（liver）,無
47,心動週期（cardiac cycle）中，有關左心室（left ventricle）的等容舒張期（isovolumetric relaxation phase），下列敘述何者正確？,緊跟在第一心音（S1）之後發生,此期間主動脈瓣（aortic valve）開啟,此期間左心室內壓力下降,此期間血液由左心房（left atrium）流入左心室,C,此期間左心室內壓力下降,無
48,於心電圖（electrocardiogram）中，何種間距可用以計算心室每分鐘跳動次數？,R波至下一個P波,R波至下一個Q波,R波至下一個R波,R波至下一個T波,C,R波至下一個R波,無
49,跑步時，下列何者之血流會減少？,腸道,心臟,肺臟,腦部,A,腸道,無
50,下列何者不能自由進出大部分的微血管？,蛋白質（protein）,乙醇（ethanol）,葡萄糖（glucose）,胺基酸（amino acid）,A,蛋白質（protein）,無
51,二氧化碳在血中主要是以何種形態運輸？,溶解的二氧化碳,碳酸氫根（bicarbonate）,碳胺基化合物（carbamino compound）,乳酸（lactic acid）,B,碳酸氫根（bicarbonate）,無
52,解剖性死腔（anatomical dead space）增加時，下列何種呼吸型態最能省力而有效的增加肺泡換氣量（alveolar ventilation）？,淺而慢,淺而快,深而慢,深而快,C,深而慢,無
53,肺順應性（lung compliance）用來描述下列何種現象？,單位壓力下肺泡膜電位的變化程度,單位壓力下肺容積的變化程度,單位容積下呼吸氣流的變化程度,單位容積下呼吸阻力的變化程度,B,單位壓力下肺容積的變化程度,無
54,控制自發性呼吸（automatic breathing）頻率的節律性細胞（pacemaker cell）位於下列何處？,延腦腹側呼吸群的 pre-Bötzinger complex,呼吸調節中樞（pneumotaxic center）,長吸氣中樞（apneustic center）,大腦皮質（cerebral cortex）,A,延腦腹側呼吸群的 pre-Bötzinger complex,無
55,關於自主神經系統，下列敘述何者正確？,利用特化的運動終板（motor end plate）與其目標器官（target organ）結合,對肌肉的調控皆為興奮性（excitatory）,主要受到意志的控制,控制平滑肌及腺體,D,控制平滑肌及腺體,無
56,下列何者是副交感神經興奮所造成的作用？,心跳加速,唾腺及淚液分泌減少,皮膚血管收縮,男性生殖器勃起,D,男性生殖器勃起,無
57,下列何種狀況對於右側水平半規管（semicircular canal）的毛細胞（hair cell）可產生最大刺激？,毛細胞的過極化（hyperpolarization）,將立體纖毛（stereocilia）朝過極化方向彎曲,搭上快速上升的電梯,將頭向右邊轉,D,將頭向右邊轉,無
58,脊髓損傷的病人，失去了右腳自主運動能力及左腳痛覺，下列何者最可能為其損傷部位？,頸部脊髓的左半側,上胸腔區脊髓的左半側,橋腦（pons）右半側的感覺和運動路徑,上胸腔區脊髓的右半側,D,上胸腔區脊髓的右半側,無
59,下列那個腦區，負責整合與解釋體表感覺訊息？,基底核,大腦皮質,腦幹,中腦,B,大腦皮質,無
60,人類的長期記憶儲存於何處？,腦幹,大腦皮質,下視丘,視丘,B,大腦皮質,無
61,腎臟的管旁微血管（peritubular capillary）由何種血管直接分支形成？,小葉間動脈（interlobular artery）,腎絲球（glomerulus）之微血管,直血管（vasa recta）,出球小動脈（efferent arteriole）,D,出球小動脈（efferent arteriole）,無
62,有關腦下垂體後葉所釋放激素的敘述，下列何者錯誤？,所分泌的激素均來自於腦下垂體的神經細胞,抗利尿激素（antidiuretic hormone）作用主要與維持體液平衡有關,催產素（oxytocin）的分泌會促進子宮平滑肌收縮,均為胜肽類的激素,A,所分泌的激素均來自於腦下垂體的神經細胞,無
63,有關醛固酮（aldosterone）的調控，下列何者錯誤？,長期血中醛固酮濃度過高，會造成尿中鈉排泄量大量增加,創傷失血，會刺激醛固酮的分泌增加,血鉀濃度升高，會刺激醛固酮分泌增加,長期攝食低鈉飲食，會造成血中醛固酮濃度上升,A,長期血中醛固酮濃度過高，會造成尿中鈉排泄量大量增加,無
64,當血鈣濃度下降時，下列何種身體反應最不可能發生？,血中副甲狀腺素濃度升高,腎臟鈣和磷的再吸收作用均增強,血中活化態的維生素D濃度升高,骨再吸收作用（bone resorption）增強,B,腎臟鈣和磷的再吸收作用均增強,無
65,有關大腸吸收的敘述，下列何者正確？,從管腔主動運輸鈉離子到上皮細胞,從管腔被動運輸水分到上皮細胞,從管腔主動運輸鉀離子到上皮細胞,從管腔被動運輸碳酸氫根到上皮細胞,B,從管腔被動運輸水分到上皮細胞,無
66,有關吸收後期（postabsorptive state）的敘述，下列何者錯誤？,肝醣的形成速度會低於分解速度,肝臟中的葡萄糖會開始釋放到血液之中,骨骼肌主要利用葡萄糖當做能量來源,儲存的脂肪會開始釋放脂肪酸到血液,C,骨骼肌主要利用葡萄糖當做能量來源,無
67,當鈣離子被回收至肌漿網（sarcoplasmic reticulum）後，骨骼肌會出現下列何種現象？,原肌凝蛋白（tropomyosin）會從肌動蛋白（actin）上的橫橋（cross-bridge）結合位置移開,原肌凝蛋白（tropomyosin）的結構改變，提高對 ATP的親和力,會延長動作電位後過極化（after-hyperpolarization）的時間,肌動蛋白（actin）的橫橋（cross-bridge）結合位置被原肌凝蛋白（tropomyosin）覆蓋，阻止肌動蛋白與肌凝蛋白（myosin）的結合,D,肌動蛋白（actin）的橫橋（cross-bridge）結合位置被原肌凝蛋白（tropomyosin）覆蓋，阻止肌動蛋白與肌凝蛋白（myosin）的結合,無
68,"副甲狀腺激素（parathyroid hormone, PTH）可藉由促進下列何種方式，增加血中鈣離子濃度？",尿液酸化（urine acidification）,尿液鹼化（urine alkalinization）,腎小管再吸收（renal tubular reabsorption）,腎小球過濾（glomerular filtration）,C,腎小管再吸收（renal tubular reabsorption）,無
69,史達林心臟定律（Starling's law of the heart）指出，當心室舒張末期容積（end-diastolic ventricular volume）增加時，心臟收縮將增強。主要原因為何？,血液中鈣離子濃度上升,心肌纖維被拉長,心跳速率降低,迷走神經活化,B,心肌纖維被拉長,無
70,血液二氧化碳分壓（PCO2）上升後可能造成下列何種現象？,"動脈血（arterial）氫離子濃度（proton, H⁺）下降",周邊化學受器（peripheral chemoreceptors）放電（firing）降低,"腦中細胞外液（extracellular fluid）氫離子濃度（proton, H⁺）上升",抑制呼吸頻率（respiratory frequency）,C,"腦中細胞外液（extracellular fluid）氫離子濃度（proton, H⁺）上升",無
71,有關電壓依賴性離子通道（voltage-gated ion channels）的敘述，下列何者正確？,細胞膜的過極化（hyperpolarization），可以造成L型鈣離子通道的開啟,細胞膜的去極化（depolarization），可以造成電壓依賴性鈉離子通道的開啟,鈉離子通道的關閉，可以造成電壓依賴性鉀離子通道的開啟,鉀離子通道的不活化（inactivation），可以造成細胞膜的過極化（hyperpolarization）,B,細胞膜的去極化（depolarization），可以造成電壓依賴性鈉離子通道的開啟,無
72,有關神經傳導物質釋放的敘述，下列何者錯誤？,包含神經傳導物質的囊泡，聚集在軸突末梢的活性區（active zone）,動作電位打開電壓依賴性鈣離子通道（voltage-dependent calcium channel），讓軸突末梢流入大量的鈣離子,神經傳導物質可以直接通過電壓依賴性鈣離子通道（voltage-dependent calcium channel），由突觸前神經元運送到突觸後神經元內,鈣離子結合到突觸前的特殊蛋白，促使囊泡釋出神經傳導物質,C,神經傳導物質可以直接通過電壓依賴性鈣離子通道（voltage-dependent calcium channel），由突觸前神經元運送到突觸後神經元內,無
73,神經細胞動作電位（action potential）的去極化（depolarization）與再極化（repolarization）分別對下列何種離子的通透性最高？,鈉離子與鉀離子,鉀離子與鉀離子,鈉離子與氯離子,鉀離子與鈉離子,A,鈉離子與鉀離子,無
74,下列何種腦區可過濾環境中重複且不重要的刺激？,松果體（pineal gland）,下視丘（hypothalamus）,基底核（basal ganglia）,網狀活化系統（reticular activating system）,D,網狀活化系統（reticular activating system）,無
75,聲波依靠液相振動、氣相振動和固相振動三種不同形式來傳導。有關聲波自外耳至內耳傳導順序，下列何者正確？,皆固相振動,皆氣相振動,氣相振動→固相振動→液相振動,氣相振動→液相振動→固相振動,C,氣相振動→固相振動→液相振動,無
76,患者出現眩暈耳鳴、左耳聽力喪失和噁心嘔吐，就醫後被懷疑罹患梅尼爾氏症（Meniere's disease），下列何者是最可能的原因？,中耳聽小骨（ossicles）發生偶合不良的現象,耳蝸毛細胞（hair cells）被改變，即使在靜止時也能產生運動感,耳石脫落進入半規管（semicircular canals），刺激了毛細胞（hair cells）,發炎反應造成內耳迷路（labyrinth）的液體量增加，導致內淋巴和外淋巴混合,D,發炎反應造成內耳迷路（labyrinth）的液體量增加，導致內淋巴和外淋巴混合,無
77,"若將菊糖（inulin）注射入某人體靜脈內，之後連續一段時間測量其血漿中菊糖的濃度、尿液中菊糖的濃度與尿液流速，發現三者皆為穩定數值。假定其血漿中菊糖濃度為0.25 mg/mL，尿液中菊糖濃度為16 mg/mL，尿液流速為2 mL/min，則腎絲球過濾率（glomerular filtration rate, GFR）大約為多少（單位：mL/min）？",128,8,312.5,2,A,128,無
78,有關抗利尿激素（antidiuretic hormone or vasopressin）作用的敘述，下列何者錯誤？,增加集尿管（collecting duct）管壁對水分子的通透性（permeability）,促進集尿管（collecting duct）對水的再吸收（reabsorption）,增加腎臟對鈉的排泄量（excretion）,濃縮尿液,C,增加腎臟對鈉的排泄量（excretion）,無
79,人體發生呼吸性鹼中毒（respiratory alkalosis）時，腎臟會進行下列何種代償作用（renal compensation）？,減少分泌（secrete）氫離子,加強再吸收碳酸氫根（HCO₃⁻）離子,加強產生新碳酸氫根（HCO₃⁻）離子,加強分泌銨根（NH₄⁺）離子,A,減少分泌（secrete）氫離子,無
80,成熟精子（sperm）的特徵是：,含有23對染色體,同時有XY染色體,製造睪固酮（testosterone）,頂體（acrosome）中含有酵素協助精子穿透卵,D,頂體（acrosome）中含有酵素協助精子穿透卵,無
