題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
11,"根據職能治療實務架構（Occupational Therapy Practice Framework, OTPF, 2014）和世界衛生組織之國際健康功能與身心障礙分類系統（International Classification of Functioning, Disability, and Health, ICF），下列那些是職能治療常考量的身體結構（body structures）因素？①神經系統；②嗅覺；③皮膚；④肌張力；⑤內分泌系統",②④⑤,①③⑤,①②③,①③④,B,①③⑤,無
12,關於表現分析（performance analysis）與任務分析（task analysis）的敘述，下列何者錯誤？,任務分析的目的為確認影響個體職能表現的潛在因素，如個人因素、環境因素、身體功能等,表現分析的目的在於減輕個案所碰到的問題,表現分析用於確認個體執行的是有效率或無效率的任務行動（task action）,任務分析可確認任務的既有治療價值，以修復潛在的損傷,B,表現分析的目的在於減輕個案所碰到的問題,無
13,職能治療師針對穿襪子進行「活動分析」，下列敘述何者最不屬於此分析？,"根據職能治療實務架構（Occupational Therapy Practice Framework, OTPF, 2014）的動作技巧，穿襪子需要伸手及物（reaches）、抬起（lifts）的技巧","根據職能治療實務架構（Occupational Therapy Practice Framework, OTPF, 2014）的過程技巧，如適應技巧（accommodates）不佳，個體無法解決襪子穿上下顛倒的問題",職能治療師會分析個體平常穿襪子時的情境、有無人協助穿襪子以及穿襪子對個體的意義,職能治療師會分析穿襪子時需使用的材料、空間以及步驟,C,職能治療師會分析個體平常穿襪子時的情境、有無人協助穿襪子以及穿襪子對個體的意義,無
14,"職能治療師運用職能治療實務架構（Occupational Therapy Practice Framework, OTPF, 2014），分析個案到超商買東西時，需要運用的動作、過程以及社交技巧。此敘述最符合下列何種分析？",情境分析（contextual analysis）,活動分析（activity analysis）,表現分析（performance analysis）,任務分析（task analysis）,C,表現分析（performance analysis）,無
15,有關表現技巧（performance skills）之敘述，下列何者錯誤？,表現技巧可分成通用（universal）技巧與任務特定（task-specific）技巧,為職能表現最小可觀察到的單位（units）,定義為個體身體系統之運作能力,涵蓋動作（motor）、過程（process）以及社交（social interaction）技巧,C,定義為個體身體系統之運作能力,無
16,關於職能分析（occupational analysis）與活動分析（activity analysis）的比較，下列敘述何者最適當？,相較於職能分析，活動分析為高度個別化的過程,活動分析著重於從事活動的基本需求、所需技巧,職能分析相較活動分析更可協助職能治療師了解各種活動具備的治療潛能,於職能分析時，職能治療師會依據各種理論來檢視一個活動的用途,B,活動分析著重於從事活動的基本需求、所需技巧,無
17,肌肉張力過低的孩童，常因肌力與耐力不足，無法與一般發展孩童一起打球，導致難以參與體育課。以上敘述未進行那一個層級的評估？,身體結構（body structures）,身體功能（body functions）,活動及參與（activities and participation）,表現技巧（performance skills）,A,身體結構（body structures）,無
18,關於標準化表現分析（standardized performance analysis）及非標準化表現分析（nonstandardized performance analysis）的比較，下列何者最不適當？,標準化表現分析有客觀一致的評估流程，方便比較不同個案間的結果,標準化表現分析較具彈性，可以分析各種不同情境下的活動表現,非標準化表現分析較能呈現個案實際日常活動中的問題,非標準化表現分析需要較有經驗的職能治療師才能清楚分析所有問題,B,標準化表現分析較具彈性，可以分析各種不同情境下的活動表現,無
19,相對於活動分析與任務分析，下列關於職能表現分析（occupational performance analysis）目的之敘述，何者最適當？,了解活動需求與活動步驟,了解影響職能表現的身體功能因素,了解個案的實際表現,了解活動有無可以改善特定缺陷的潛能,C,了解個案的實際表現,無
20,張小姐是一位希望能幫家人準備晚餐的家庭主婦，因罹患多發性硬化症（multiple sclerosis）比較容易疲累，影響準備晚餐的例行工作。職能治療師為維持張小姐之職能角色，下列建議何者最適當？,鼓勵個案盡全力完成準備晚餐後再休息,調整白天活動與休息的節奏，才有體力準備晚餐,請外傭或家人代為準備晚餐,早上先將晚餐都準備好，下午以後完全休息,B,調整白天活動與休息的節奏，才有體力準備晚餐,無
21,關於個體社經地位、健康與年齡的敘述，下列何者錯誤？,較低社經地位的個體，通常有較高慢性疾病的罹患率,社經地位和健康的關係，僅存在個體出生後，不存在於胎兒在母體內的時期,社經地位會影響個體的職能表現和參與,年齡是死亡率和發病率的顯著預測因子,B,社經地位和健康的關係，僅存在個體出生後，不存在於胎兒在母體內的時期,無
22,"根據職能治療實務架構（Occupational Therapy Practice Framework, OTPF, 2014）定義，下列何者為表現型式（performance patterns）的範疇？①習慣；②角色；③信念；④儀式",僅①,僅①②④,僅②③④,①②③④,B,僅①②④,無
23,有關遊戲和休閒娛樂的評估，下列敘述何者錯誤？,應以個案為中心，採取由下而上的評估途徑（bottom-up approach）,應包含參與特質、情境、活動內容和經驗等四方面的評估,活動內容的評估應包括個案的興趣和活動的選擇,經驗的評估應包括個案的主觀經驗、個人意義和滿意度,A,應以個案為中心，採取由下而上的評估途徑（bottom-up approach）,無
24,下圖所示是屬於那一類的抓握模式？,lateral pinch,tip pinch,tripod pinch,span grip,C,tripod pinch,images/Q24_圖.png
25,針對圖中所示，「鑷子」彎角設計之目的為何？,避免腕關節過度橈側偏移的動作發生,避免腕關節過度尺側偏移的動作發生,避免腕關節過度彎曲的動作發生,避免腕關節過度伸展的動作發生,C,避免腕關節過度彎曲的動作發生,images/Q25_圖.png
26,有關人因設計手工具之敘述，下列何者錯誤？,手工具不能太重,握把直徑2.8～4.2公分為宜,握握把之腕關節在彎曲姿勢下有利於施力,推力作業以兩邊附有圓形握把為宜,C,握握把之腕關節在彎曲姿勢下有利於施力,無
27,有關「工作行為強化計畫」，下列敘述何者錯誤？,工作場所耐力和生產量皆屬於工作行為之範疇,學習疼痛症狀之控制，超過休息時之「疼痛指數」的2倍，才需暫時休息,工作目標的建立有助於加強個案對工作的正面價值觀,個案於工作計畫中完成目標的表現有助於改善憂鬱現象,B,學習疼痛症狀之控制，超過休息時之「疼痛指數」的2倍，才需暫時休息,無
28,下列輔具設計過程，那些符合「功能取代」設計原則？①頸椎第五節損傷個案擔任電話客服員時，使用頭戴式電話回答客戶問題；②下肢截肢計程車司機改由手動油門和煞車系統駕駛；③服務生因輕度弱視而使用大字體菜單完成點餐服務；④智能障礙個案參考印表機作業流程的附圖說明以完成影印作業,①②,①③,②③,①④,A,①②,無
29,臨床單位需要由多位職能治療師對同一個案進行施測時，治療師應確認評估工具具備下列那一項心理計量特性？,內容效度,施測者間信度,施測者內信度,內在一致性,B,施測者間信度,無
30,下列有關效度（validity）的敘述，何者正確？,表面效度（face validity）指評估工具可測量到特定理論概念及其潛在之組成,因素分析（factor analysis）是驗證評估工具之效標效度（criterion validity）的一種方法,一般來說，若專家認為「評估項目內容與特定主題有關」之一致性達50%，則可宣稱該項目具備內容效度（content validity）,同時效度（concurrent validity）與預測效度（predictive validity）都屬於效標效度（criterion validity）的範疇,D,同時效度（concurrent validity）與預測效度（predictive validity）都屬於效標效度（criterion validity）的範疇,無
31,在實證醫學常見的研究設計中，下列何者之證據等級最高？,對單一個案進行單次觀察紀錄的個案報告,以隨機臨床試驗文獻進行的系統性文獻回顧,具單盲設計的隨機臨床試驗,利用病歷資料進行的回溯性病例對照研究,B,以隨機臨床試驗文獻進行的系統性文獻回顧,無
32,有關工作樣本之敘述，下列何者最適當？,工作樣本與實際工作內容相似，較能觀察到受測者在該工作方面的知識與技能,本土化智能障礙者工作樣本是依據精神障礙者最常從事的職務設計，包括清潔員與超商助手,Valpar Component Work Samples（VCWS）工作樣本為單一特質工作樣本,因工作樣本為模擬實際工作，故工作樣本較能具備預測效度，如實反映受測者於職場之表現,A,工作樣本與實際工作內容相似，較能觀察到受測者在該工作方面的知識與技能,無
33,有關簡易智能測驗（Mini-Mental Status Examination）之敘述，下列何者錯誤？,由Folstein等人於1975年編製,測驗內容包括定向感、注意力、記憶、語言、口語理解和空間建構,定向感的測驗包括時間定向感和地點定向感兩部分,測驗分數的解讀並不因個案的年齡和教育程度而有差異,D,測驗分數的解讀並不因個案的年齡和教育程度而有差異,無
34,有關Valpar Component Work Samples（VCWS）系列工作樣本之敘述，下列何者錯誤？,同時具備效標參照與常模參照特性,"測驗結果可以與美國職業名典（Dictionary of Occupational Titles, DOT）連結做分析",在多次重複測試中，得到同樣分數，則其Methods-Time Measurement（MTM）百分等級相同,以Methods-Time Measurement（MTM）標準決定是否達到產業要求,C,在多次重複測試中，得到同樣分數，則其Methods-Time Measurement（MTM）百分等級相同,無
35,身心障礙者全方位的無接縫轉銜（seamless transition）包括下列那三階段？①學齡前階段；②就學階段；③離校後；④就業；⑤轉業,①②④,③④⑤,②③④,①②③,D,①②③,無
36,根據生涯發展之四大階段概念，在個別化轉銜計畫中職能治療師的工作描述，下列何者錯誤？,職能治療師是轉銜計畫中不可或缺的專業人員之一,計畫目標要讓身心障礙者從學校畢業後能參與有報酬的工作,提供有關學生的能力及興趣方面的資訊,進行職業訓練,D,進行職業訓練,無
37,下列何者不屬於復健參考架構（Rehabilitation Frame of Reference）的20項復健基本原則之範疇？,促進社會對身心障礙者的認可,應強調協助身心障礙者對環境之因應,應強調身心障礙者的身體損傷所在部位,專業人員應有效的傳遞身心障礙相關法令與社會資源之訊息,C,應強調身心障礙者的身體損傷所在部位,無
38,我國庇護工場設置標準指出，庇護工場對身障員工的給薪必須依照產能核薪，而產能評估的原則不包括下列何者？,身障員工與非身障員工之產能評估標準要符合公平原則,產能評估要以準確的職務分析為依據,若身障者的產能只達10%，則其薪資僅能有10%競爭性就業市場薪資,相同的職位在不同的公司可能有不同的產能核薪標準,C,若身障者的產能只達10%，則其薪資僅能有10%競爭性就業市場薪資,無
39,下列關於評估之敘述，何者正確？①動態評估（dynamic evaluation）能涵蓋靜態評估（static evaluation）之作用；②動態評估不能取代靜態評估；③動態評估比靜態評估更能指出問題之所在及預測病患對治療之反應；④靜態評估比動態評估更能指出問題之所在及預測病患對治療之反應,①③,①④,②③,②④,C,②③,無
40,踝關節背屈和蹠屈（ankle dorsiflexion and plantar flexion）是下列那個平面的動作？,橫向面（transverse plane）,矢狀面（sagittal plane）,水平面（horizontal plane）,額狀面（frontal plane）,B,矢狀面（sagittal plane）,無
41,職能治療師發現病患平躺於治療墊上，進行雙腳直膝抬腿（straight leg raise）活動時，髖關節主動彎曲的角度遠比進行屈膝抬腿活動時小很多，下列何者最有可能是造成此現象的原因？,股直肌（rectus femoris）在直膝抬腿時出現被動不足（passive insufficiency）所導致,股直肌（rectus femoris）在屈膝抬腿時出現主動不足（active insufficiency）所導致,髂腰肌（iliopsoas）在屈膝抬腿時出現主動不足（active insufficiency）所導致,膕旁肌（hamstrings）在直膝抬腿時出現被動不足（passive insufficiency）所導致,D,膕旁肌（hamstrings）在直膝抬腿時出現被動不足（passive insufficiency）所導致,無
42,患者接受前外側手術方式（anterolateral approach）髖關節置換術後，下列敘述何者正確？①手術側大腿的內收肌力明顯下降；②手術側進行單腳站立時，另一側骨盆會明顯出現低斜現象；③獨立行走時容易出現搖擺步態（trendelenburg gait） ④若患者行走時，僅手術側使用手杖，可大幅度降低搖擺步態,①②,②③,③④,①④,B,②③,無
43,腕關節角度在下列那一姿勢下，會有最佳的握力力量？,屈曲20°,中立0°,伸展20°,伸展45°,C,伸展20°,無
44,有關膝關節半月板（menisci）之敘述，下列何者最不適當？,外側半月板呈「C」形如鐮刀狀，內側半月板則呈「O」形,可吸收與分散衝擊力,可增加膝關節穩定性,對膝關節過度伸展動作提供部分的保護功能,A,外側半月板呈「C」形如鐮刀狀，內側半月板則呈「O」形,無
45,搶籃板後著地時踩在另一球員的腳上，導致腳掌掌面朝內的腳踝內翻扭傷，下列何者最可能受到傷害？,三角韌帶（deltoid ligament）,前距腓韌帶（anterior talofibular ligament）,前脛腓韌帶（anterior tibiofibular ligament）,跟腓韌帶（calcaneofibular ligament）,B,前距腓韌帶（anterior talofibular ligament）,無
46,足部變形的外觀如圖黃色圈圈所示，下列敘述何者正確？,一般俗稱為扁平足（flat foot）,足底韌帶過鬆會造成這種現象,內側足部縱弓過高所導致,行走時身體重量會壓往內側足部縱弓,C,內側足部縱弓過高所導致,images/Q46_圖.png
47,下列肩胛肌肉無力與其所造成的動作或姿勢的問題，何者正確？,前鋸肌（serratus anterior）：肩關節屈曲,斜方肌（trapezius）：肩胛骨位置外移偏離脊椎,菱形肌（rhomboids）：肩胛骨浮起無法緊貼著肋骨,棘上肌（supraspinatus）：肩關節半脫位,D,棘上肌（supraspinatus）：肩關節半脫位,無
48,放鬆的站立姿勢下，有關重力線（line of gravity）之敘述，下列何者正確？,落在髖關節前面,落在膝關節後面,落在踝關節後面,落在兩腳中間,D,落在兩腳中間,無
49,有關站立平衡維持，下列敘述何者最不適當？,當身體重心受到大的干擾時，人傾向使用踝關節策略（ankle strategy）去維持平衡,當身體平衡受到干擾往前晃動時，比目魚肌（soleus muscle）會活化，執行踝關節策略（ankle strategy）以維持平衡,髖關節策略（hip strategy）主要是由髖關節、骨盆、軀幹共同作用，以維持平衡,當身體重心受到快速干擾時，人傾向使用跨步策略（stepping strategy）去維持平衡，避免跌倒,A,當身體重心受到大的干擾時，人傾向使用踝關節策略（ankle strategy）去維持平衡,無
50,有關從有扶手的椅子上站起的動作，下列敘述何者錯誤？,通常年紀大的長者或下肢受傷的人需要有扶手的椅子協助坐到站,準備要站起來前，要先將軀幹的重心移到大腿上方,準備要站起來時，肩關節要屈曲（flexion），並使手肘移動至軀幹前方，手準備施力站起,準備要站起來時，膝關節要屈曲（flexion）超過90度，使雙腳位置在髖關節下方,C,準備要站起來時，肩關節要屈曲（flexion），並使手肘移動至軀幹前方，手準備施力站起,無
51,職能治療師檢視一位因肱骨內上髁（medial epicondyle of humerus）骨折，已接受內固定復位手術之患者，最不可能觀察到下列何種現象？,掌側小指與無名指半側有感覺異常,大魚際肌群（thenar muscles）出現萎縮塌陷,該患側手握拳的力量明顯變小，精細動作活動操作上亦變得不靈巧,手指掌指關節（MCP joint）伸展時，小指與無名指之指間關節（IP joint）會出現部分屈曲,B,大魚際肌群（thenar muscles）出現萎縮塌陷,無
52,如圖所示，量角器置於膝蓋前側，主要在評量那一個關節活動度？,髖內轉（internal rotation）,髖外轉（external rotation）,膝內收（adduction）,膝外展（abduction）,A,髖內轉（internal rotation）,無
53,當肘關節伸直時，前臂尺骨出現向外側偏移的角度，此角度稱之為：,cubital valgus,coxa valga,genu valgum,pes valgus,A,cubital valgus,無
54,如果個案的橈骨骨折後導致無力完成炒菜、拖地等家事，建議其活動目標應為下列何者？,改善被動關節活動度,增強肌力,提升認知能力,增加感覺回饋,B,增強肌力,無
55,根據團體領導理論中的情境領導（situational leadership）理論，何種領導風格的領導者會給予員工工作的獨立性，並只提供最小限度的指引？,告知型（telling）,推銷型（selling）,參與型（participating）,授權型（delegating）,D,授權型（delegating）,無
56,下列何者不是「協同領導」（co-leadership）的可能優點？,可以互相競爭並促進彼此能力,可以互相鼓勵並補足彼此缺點,可以互相討論並增進客觀了解,可以互相學習並輪替領導角色,A,可以互相競爭並促進彼此能力,無
57,關於佛洛伊德精神分析理論之敘述，下列何者錯誤？,1～3歲處於肛門期（anal stage），此時期的發展重點是關於自主和控制，精神官能症和人格違常被認為是退化至此階段,3～5歲處於潛伏期（latency stage），此時期的發展重點是社交技巧，會出現罪惡感,精神能量（psychic energy）的總量是有限的，在人格的三個部分之間是共享的,原慾（libido）和攻擊（aggressive drive）是兩種特殊的精神能量形式，皆是本我的一部分，透過客體呈現,B,3～5歲處於潛伏期（latency stage），此時期的發展重點是社交技巧，會出現罪惡感,無
58,針對個案具備艾倫認知階層篩選測驗（ACLS）5.0的認知程度與基本口語表達能力的情況下，下列何種類型的團體最適合高度結構化與指導式的領導風格？,根據認知行為參考架構所設計的「放鬆技巧訓練團體」,根據精神動力參考架構所設計的「畫出我的理想房間」,根據人類職能模式所設計的「如何做一位好父母（生理或心理疾患的育兒經驗分享）」,根據發展性參考架構所設計的「生命回顧－書寫與分享團體」,A,根據認知行為參考架構所設計的「放鬆技巧訓練團體」,無
59,以感覺動作參考架構（Sensorimotor Frame of Reference）設計活動團體時，主要目的為下列何者？,身體動作自發的自我矯正,對自我身體形象的提升,團體凝聚力,學習而獲得的認知能力提升,A,身體動作自發的自我矯正,無
60,下列有關一個團體可以達到團體凝聚階段的建議，何者錯誤？,參與團體所要達成的目標要明確,在團體的過程中，鼓勵成員能夠不帶批判的理解自己與他人的感受,儘量傾聽別人的發言，減少給別人的回饋,用開放的心胸面對他人的回饋,C,儘量傾聽別人的發言，減少給別人的回饋,無
61,某藝術治療團體中，成員鳴人在分享作品時，總是在說自己的作品很糟。這樣的情況，並沒有因為其他成員誠摯地給予正面回饋而改善。鳴人的行為，是下列那一種問題行為的表現？,獨占者（monopolist）,自我貶低（self-deprecator）,自我告解（self-confessor）,認同尋求（recognition-seeker）,B,自我貶低（self-deprecator）,無
62,在一個團體中，團體成員對於其他成員的提問或是意見，多半保持表面的理性對待，遇到衝突時則多半選擇退讓或是不處理。根據Schutz的團體發展理論，此描述最可能出現在下列那個階段（stage）？,情感期（affection stage）,風暴期（storming stage）,形成期（forming stage）,包容期（inclusion stage）,D,包容期（inclusion stage）,無
63,在治療性會談過程中，下列何種情境最會阻礙資訊的獲取？,維持客觀的態度,對個案所說的話做出價值判斷,會談中只記錄重點,聽取個案主要的想法、概念，而非細節,B,對個案所說的話做出價值判斷,無
64,Margaret Rood依發展順序，將動作發展分為四個階段，其第三階段的動作特徵為何？,在穩定肢體上練習動作（practicing movement imposed on stabilization）,技巧性動作（skilled movement）,重複地練習相位性的交互收縮（phasic reciprocal contraction）,主要肌肉群的共同收縮（stabilization through co-contraction of major muscle groups）,A,在穩定肢體上練習動作（practicing movement imposed on stabilization）,無
65,某腦傷病人其認知層級依艾倫認知階層（Allen cognitive levels）為第三級。訓練此個案穿脫衣服，最好的起始方式為：,拿一件衣服放在前方椅子上，讓他看到並示意要他穿上,拿一件衣服放在前方椅子上並說：「請穿這件衣服」,拿一件衣服放在病人膝上，並抓起病人的手說：「要怎樣把手放進袖子裡呢？」,拿一件衣服放在病人膝上，並抓起病人的手將之放進袖子裡並使他前彎說：「就是這樣穿喔！」,C,拿一件衣服放在病人膝上，並抓起病人的手說：「要怎樣把手放進袖子裡呢？」,無
66,Yalom（1985）提出治療性團體的規範，下列敘述何者錯誤？,治療性團體的規範與社交團體的規範相同,治療性團體會讓成員自由互動與自發性的發言,治療性團體的規範是主動參與及客觀接受他人,治療性團體要大量的自我揭露及渴望改變,A,治療性團體的規範與社交團體的規範相同,無
67,根據健康行為改變的跨理論模式（Transtheoretical Model of Health Behavior Change），對於行為改變的描述，下列何者正確？,個人會從前思考期（precontemplation）階段開始思考自己的問題，產生意圖改變自己的行為,行為的改變需要重複性的增強和維持，找到對個人有意義的回饋，是成功的關鍵,通常行為的改變超過一個月即可稱為進入維持期（maintenance）,復發（relapse）代表行為改變的失敗，一切的循環階段都要從頭開始,B,行為的改變需要重複性的增強和維持，找到對個人有意義的回饋，是成功的關鍵,無
68,對於兒童時期遭受到不當照顧或虐待，年紀約為10～12歲的孩童，下列關於自我調節（self-regulation）的介入策略何者最不適當？,以感覺調節策略作為創傷敏感性的介入方式，提升個案的自我控制和安全感,營造保護性與結構化的空間，降低個案的警覺程度，使其能夠參與課堂或社交活動,以繪畫團體，幫助個案抒發情緒，透過互相評價作品，提升自我認識，勇敢面對創傷,教導個案自我管理技巧，如自我監督、自我評估，確認自己的行為與外界預期的差異性，增加勝任感,C,以繪畫團體，幫助個案抒發情緒，透過互相評價作品，提升自我認識，勇敢面對創傷,無
69,職能治療在社區心理健康服務，若以復元（recovery）為導向，協助個案建立有目標導向的日常生活為目標。下列何者最不適當？,Peer Support Program,Assertive Community Treatment,Illness Management and Recovery,Family Support and Education,D,Family Support and Education,無
70,方案評估有不同層級，若評估的內容為「執行方案時所使用媒材之品質與適切性」，是屬於下列那一層級？,過程（process）,影響（impact）,結果（outcome）,總結性評量（summative evaluation）,A,過程（process）,無
71,有關生活型態再造方案（Lifestyle Redesign Programs）的敘述，下列何者錯誤？,生活型態再造之執行過程僅以團體方式進行，不提供個別介入方式,職能治療師執行此方案之頻率通常為1週1次，持續12～16週或更久,此方案之目標強調以漸進、長期的方式來改變參與者之生活型態,生活型態包含日常生活活動、工具性日常生活活動、習慣及例行公事等,A,生活型態再造之執行過程僅以團體方式進行，不提供個別介入方式,無
72,針對社區基層照護（primary care）服務中，職能治療師可使用的健康促進方式（health promotion approaches），下列敘述何者錯誤？,簡短辦公室介入（brief office interventions）為個案與健康專業人員間簡短、有目標性的互動介入，主要目標為改變健康行為,健康素養介入（health literacy interventions）促進個案有能力獲得、理解與處理基本健康資訊，不包括可進行適當的健康相關決定,慢性疾病自我管理（chronic disease self-management）包含個案及其家庭主動參與健康照護過程、自我監測症狀過程等,健康素養介入（health literacy interventions）包含教導個案評估健康訊息的相關性、品質及可信度，特別是網路之訊息,B,健康素養介入（health literacy interventions）促進個案有能力獲得、理解與處理基本健康資訊，不包括可進行適當的健康相關決定,無
73,若職能治療師想要建立一個非營利組織（non-profit organization），下列何者不是成功建立組織的主要因素？,達到收支平衡（meeting financial goal）,策略性的計畫（strategic planning）,舉辦募款活動（fund-raising）,撰寫經費申請計畫案（grant writing）,A,達到收支平衡（meeting financial goal）,無
74,有關預防老人跌倒社區方案計畫之主要目標（goal）的敘述，下列何者最不適切？,增進年長者的平衡能力一個等級,改變年長者每日生活中的危險行為,增加年長者對預防跌倒策略的覺知,降低年長者於室內及室外跌倒的危險,A,增進年長者的平衡能力一個等級,無
75,下列那一項美國法案提供關於公共交通、輔助運輸客運系統或其他公共運行服務之特定規則（specific rules）？,1973年復健法（The Rehabilitation Act of 1973）,1990年身心障礙者教育法案（Individuals with Disabilities Education Act of 1990）,1997年個別障礙者教育法修正案（Individuals with Disabilities Education Act Amendments of 1997）,2008年美國身心障礙者法案修正法（The Americans with Disability Act Amendments Act of 2008）,D,2008年美國身心障礙者法案修正法（The Americans with Disability Act Amendments Act of 2008）,無
76,某職能治療部門執行社區長照復能方案，下列何者屬於方案的間接成本？,職能治療師的薪水,復能顧問督導酬勞,職能治療部門房屋租金,職能治療師帶到案家示範用的扶手,C,職能治療部門房屋租金,無
77,根據社會認知理論（social cognitive theory），若希望讓居家失能長者養成正確並定期執行居家活動計畫（home program）習慣，下列那一個策略最有效益？,告訴他執行此計畫可以增進身體健康的好處,提供機會與有成功經驗的人接觸，聆聽或觀察他們的經驗,幫他分析可能會影響執行的因素,家裡到處張貼標語，提醒定期執行計畫,B,提供機會與有成功經驗的人接觸，聆聽或觀察他們的經驗,無
78,使用一個移動式手臂支撐輔具（mobile arm support）的先備條件為：,協調不良,側邊軀幹具備穩定性,手肘屈曲肌力僅達Fair,頭部可自主控制,B,側邊軀幹具備穩定性,無
79,在學校系統職能治療領域中，下列作法何者錯誤？,須與多專業密切溝通合作,須以感覺統合理論與技術治療個案,儘量選擇不干擾個案正常課程學習的治療模式,善用同儕對個案的影響力,B,須以感覺統合理論與技術治療個案,無
80,當職能治療師在治療肢體障礙個案時，教導個案可坐在床上，背靠著牆角穿衣服以保持平衡，是採用何種理念？,使用輔具協助,改變工作方法,環境改造,功能重建,B,改變工作方法,無
