題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
11,下列何者最符合記憶力困難個案的描述？,無法複誦朋友剛講出的電話號碼,無法安靜地上完一堂40分鐘的課程,夏天上課時，會被教室電風扇的聲音吸引而無法專心,無法一邊聊天一邊打掃,A,無法複誦朋友剛講出的電話號碼,A,,無
12,個案有情緒調節的困難，下列何者比較不是其主要會遇到的問題？,工作面試時表現不好,很難起始與維持跟他人的關係,常常過於焦慮，無法做決定,無法記得新朋友的名字,D,無法記得新朋友的名字,D,,無
13,影響個案日常表現的個人因素（personal factors）資料，可以從下列那些來源獲得？①戶籍資料；②醫師的照會說明；③職能治療師的觀察報告；④職能治療師的教育程度；⑤主要照顧者的社經狀態；⑥個案的自我報告,①②⑤,①④⑥,②③⑥,③④⑤,C,②③⑥,C,,無
14,下列那些是除了身體功能及構造外，職能治療常考量的個人因素（personal factors）？①年齡；②自我照顧能力；③價值觀；④受傷部位；⑤社經狀態；⑥對家人關係的想法；⑦認知功能；⑧性別,①②④⑦⑧,①③⑤⑥⑧,②③⑤⑦⑧,③④⑤⑥⑦,B,①③⑤⑥⑧,B,,無
15,有關職能治療師分析一般活動（activity）的原因，下列敘述何者最適當？,確認個人因素（personal factors）對目前表現的影響,確認那些活動可以用來恢復個案的表現技巧,確認情境因素（contextual factors）對目前表現的影響,預測個案未來在特定情境下的表現,B,確認那些活動可以用來恢復個案的表現技巧,B,,無
16,職能治療師在思考園藝活動的治療效益時，考量每個人的平衡能力程度不一，需要不同高度的花臺讓大家從事活動。下列何項分析最貼切？,職能分析（occupational analysis）,活動分析（activity analysis）,職能範圍分析（occupational scale analysis）,職能和諧分析（occupational orchestration analysis）,B,活動分析（activity analysis）,B,,無
17,在活動分析的過程中，當「等待膠水乾」為活動之關鍵步驟時，職能治療師應記錄在下列那一部分？,需要的技巧,順序、時間和形式,使用的物件與特質,活動的描述,B,順序、時間和形式,B,,無
18,職能治療師試圖矯正電腦成癮患者使用電腦的行為，在提供職能治療活動時，主要考量下列那一項職能型式（patterns of occupation）？,角色（roles）,習慣（habits）,常規（routines）,儀式（rituals）,B,習慣（habits）,B,,無
19,職能治療師讓個案帶自己熟悉的傢俱到長照機構中，並依自己家中房間的位置擺設。此作法最符合Seamon學者提出的那一種居家生活品質要素？,根著感（rootedness）,主控感（appropriation）,安逸感（at-easeness）,溫馨感（warmth）,A,根著感（rootedness）,A,,無
20,對於餵食困難的早產兒，職能治療師評估其體力是否可以喝完一整瓶牛奶，職能治療師最主要在確認下列那一個層級的問題？,身體結構（body structures）,身體功能（body functions）,職能參與（occupation participation）,表現技巧（performance skills）,BD,身體功能（body functions）；表現技巧（performance skills）,D,第20題答Ｂ或Ｄ者均給分，第22題答Ａ或Ｂ者均給分,無
21,讓有動作協調問題的個案進行剪紙活動，下列那一種活動調整的方式，會促使個案使用更高階的動作協調能力？,剪較為簡單的圖形,剪比較大的圖形,剪比較薄的紙張,用比較利的剪刀,C,剪比較薄的紙張,C,,無
22,職能治療師為肢體障礙個案設計活動時，最不需要考量下列那一種表現技巧（performance skills）的問題？,選擇（chooses）,注意（heeds）,使用（uses）,握穩（handles）,AB,選擇（chooses）；注意（heeds）,B,第20題答Ｂ或Ｄ者均給分，第22題答Ａ或Ｂ者均給分,無
23,下列何者是評估個案表現技巧（performance skills）後會呈現的紀錄？,個案無法排隊輪流玩遊戲,個案注意力不足,個案血清素濃度不足,個案前庭覺功能不佳,A,個案無法排隊輪流玩遊戲,A,,無
24,關於角色（roles）的敘述，下列何者正確？①角色是固定不變；②人類常透過社會化及文化適應來學習角色；③不同文化對同一角色常有不同期待；④疾病可能會造成角色無法勝任,僅①②,僅①③④,僅②③④,①②③④,C,僅②③④,C,,無
25,針對身心障礙者進行職務再設計的時機，不包括以下何者？,未達最低薪資標準,身體或心理上的限制而無法從事某種工作,工作一段時間後，因某些理由造成工作能力下降,轉換職務或工作，在新工作上執行有困難,A,未達最低薪資標準,A,,無
26,關於人因工程評估（ergonomic evaluation）的敘述，下列何者錯誤？,多數針對工作相關的肌肉骨骼疾病之評估,有利於工具或職務再設計,為避免干擾工廠正常作業，應於非上班時段進行,需評估工作使用的儀器、設備、工具如何操作,C,為避免干擾工廠正常作業，應於非上班時段進行,C,,無
27,1970年代由美國心理師Leonard Matheson提出以一種特定職業活動為主的治療計畫，透過多種專業結構化治療性活動，使傷病工作者發揮其最大能力重返工作者角色，是屬於下列何者？,工作強化,工作適能,職業輔導,職業重建,A,工作強化,A,,無
28,安置前評估（preplacement assessment）是職能治療師重要的個案就業輔導技能，下列敘述何者最不適當？,協助雇主為身障者安排安全且適當的工作職務,工作描述（job description）是執行此評估的重要參考,主要針對工作者的身體功能進行評估,是雇主不僱用身障者的重要參考依據,C,主要針對工作者的身體功能進行評估,C,,無
29,有關工作適能訓練（work conditioning program）之敘述，下列何者錯誤？,強調大量工作模擬訓練,強調心肺功能訓練,通常是每次半天的訓練,通常包括衛教過程,A,強調大量工作模擬訓練,A,,無
30,有關性向測驗（aptitude test）之敘述，下列何者錯誤？,為測量一個人天賦潛在能力的工具,大部分測驗包含多種性向之分測驗,對需要特殊操作技能之職業如汽車修護預測力最準確,因時間的限制不一定適用於身心障礙者,C,對需要特殊操作技能之職業如汽車修護預測力最準確,C,,無
31,下列那一項目不是社區自主能力測驗的內容？,時間觀念,家事處理,口語溝通,健康安全,C,口語溝通,C,,無
32,有關「價值觀（values）」的敘述，下列何者錯誤？,係指個人對廣義的生活目的或人生意義之特殊取向,與興趣及態度一樣具短暫及多變性,面臨多重選擇時，價值觀為生涯選擇最重要的決定因素,個人價值觀可從社會中學習,B,與興趣及態度一樣具短暫及多變性,B,,無
33,下列何者不屬於身心障礙個案就業成功的負面因素？,長期無業請領社會福利津貼,家屬適當的支持個案就業準備,個案曾因刑責入監服刑,個案對自己的工作技能或喜好不清楚,B,家屬適當的支持個案就業準備,B,,無
34,下列那一個敘述屬於職業輔導評量報告中教育史的內容？,個案國小到高中皆就讀特教班，識字量少,個案在學校期間未曾有正式的工作經驗,個案母親直到案主畢業前夕才開始訓練個案交通往返能力,個案母親表示個案小學期間曾服用改善注意力之藥物，但效果不佳,A,個案國小到高中皆就讀特教班，識字量少,A,,無
35,小萍是位腦性麻痺患者，目前即將畢業踏入職場，此時最需要下列何種服務？,特殊教育,轉銜計畫,職業訓練,支持性就業,B,轉銜計畫,B,,無
36,王先生為某公司貨櫃司機，因車禍造成右下肢骨折。若要評量王先生是否可以回公司勝任原來司機工作，是屬於那一層級之工作相關評量？,職涯,職位,職務,基本元素,B,職位,B,,無
37,身障者進入庇護工場就業後，後續的生涯發展最不可能是以下何者？,轉銜到競爭性職場就業,終生受雇庇護工場,轉銜到社會福利機構接受安養,自行創業設置庇護工場,D,自行創業設置庇護工場,D,,無
38,陳先生是家中主要經濟支柱，擔任手機組裝廠之組裝人員，於回家途中騎車跌倒造成右手多處挫傷骨折。針對這個勞工傷後重返職場，職災勞工職業重建個案管理員提供之服務，通常不包括以下何者？,心理輔導與社會適應需求評估,手部動作功能復原程度預測,重返工作時工作調整的需求評估,法律協助,B,手部動作功能復原程度預測,B,,無
39,審查個案相關資料或服務紀錄是職業重建服務需求評估的重要策略，下列何者不是職業重建需要審查的重要資料？,"在校的個別化教育計畫（Individualized Education Plan, IEP）",個案過去的犯罪紀錄,個案過去的醫療紀錄,個案家屬的工作史,D,個案家屬的工作史,D,,無
40,下列有關職業重建臨床服務模式（model of practice）與參考架構（frames of reference）之敘述，何者最不適當？,臨床服務模式協助專業人員發展以實證為基礎的專業服務,專業人員於某一個案的完整服務歷程宜使用單一參考架構,參考架構有利於釐清職業重建專業人員的角色功能,臨床服務模式引導專業人員於服務過程中使用適當的評量策略與職業重建原則,B,專業人員於某一個案的完整服務歷程宜使用單一參考架構,B,,無
41,下列那一條肌肉因為覆蓋面積大，除了可以讓髖關節外展，也可以產生髖關節內轉及外轉的動作？,股四頭肌（quadriceps）,臀中肌（gluteus medius）,闊筋膜張肌（tensor fasciae latae）,梨狀肌（piriformis）,B,臀中肌（gluteus medius）,B,,無
42,從患者的X光片測量得出股骨頸－股骨幹角度之間的夾角為110度，此現象應記錄為：,髖關節外翻（coxa valga）,髖關節內翻（coxa vara）,股骨頭前傾（femoral anteversion）,股骨頭後傾（femoral retroversion）,B,髖關節內翻（coxa vara）,B,,無
43,當正常人踮腳尖站立時，下列那些敘述正確？①足縱弓會增高；②蹠筋膜（plantar aponeurosis）會放鬆；③足部內在肌群（intrinsic muscles）會進行向心收縮；④會出現弓弦現象（bowstring phenomenon）來穩定足弓,①③,②③,②④,①④,A,①③,A,,無
44,下面有關前臂進行旋前（pronation）運動的敘述，何者正確？,橈骨遠端旋至固定不動的尺骨前方，此時橈骨與尺骨呈現交叉狀態,尺骨遠端旋至固定不動的橈骨前方，此時橈骨與尺骨呈現交叉狀態,橈骨遠端旋至固定不動的尺骨前方，此時橈骨與尺骨呈現平行狀態,尺骨遠端旋至固定不動的橈骨前方，此時橈骨與尺骨呈現平行狀態,A,橈骨遠端旋至固定不動的尺骨前方，此時橈骨與尺骨呈現交叉狀態,A,,無
45,針對下肢麻痺的腦性麻痺（diplegia cerebral palsy）兒童在運動學面向常見之步態問題，下列敘述何者正確？,髖關節過度內收、彎曲及外轉,站立及支撐時，膝關節過度彎曲,比目魚（soleus）肌力量不足，致使站立時膝關節過度彎曲,缺乏踝關節蹠屈（plantarflexion）能力，造成支撐時膝關節過度伸張（hyperextension）,B,站立及支撐時，膝關節過度彎曲,B,,無
46,如圖所示，從左圖到右圖的過程中，個案右側肢體關節產生下列那些動作？,shoulder flexion；elbow extension；hip flexion；knee extension,shoulder flexion；hip flexion；knee flexion；ankle dorsiflexion,elbow flexion；hip extension；knee flexion；ankle dorsiflexion,elbow extension；hip flexion；knee flexion；ankle plantarflexion,B,shoulder flexion；hip flexion；knee flexion；ankle dorsiflexion,B,,無
47,進行足球運動時，負責踢球的那側髖關節會先往後伸展再往前屈曲踢球，可將球踢得較遠。下列何者可解釋此現象？,槓桿原理,自由體圖,肌肉主動收縮時的長度與張力關係的原理,向心收縮時的力量與速度關係的原理,C,肌肉主動收縮時的長度與張力關係的原理,C,,無
48,有關開放運動鏈（open kinematic chain）動作之敘述，下列何者錯誤？,手部滑板（hand skateboard）於桌面進行手臂彎曲伸直動作,站姿下彎腰用手撿起地面上的沙包,坐姿下腳踝綁沙包後用膝關節進行踢直,伏地挺身,D,伏地挺身,D,,無
49,C6脊髓損傷患者可用肌腱固定抓握（tenodesis grip）方式抓握或放開物品，下列敘述何者最適當？,當手腕伸直時，手指屈指肌群出現主動不足的現象，導致手指掌指及指間關節會自然彎曲,當手腕伸直時，手指屈指肌群出現被動不足的現象，導致手指掌指及指間關節會自然彎曲,當手腕彎曲時，手指伸指肌群出現主動不足的現象，導致手指掌指及指間關節會自然伸展,當手腕彎曲時，手指伸指肌群出現被動不足的現象，導致手指掌指及指間關節會自然彎曲,B,當手腕伸直時，手指屈指肌群出現被動不足的現象，導致手指掌指及指間關節會自然彎曲,B,,無
50,4歲小孩在一個突然的拉扯力道下，手肘的橈骨頭出現過度移位甚至半脫位的現象，此症狀稱之為？,保母肘（nursemaid's elbow）,高爾夫球肘（golfer's elbow）,網球肘（tennis elbow）,肘隧道症候群（cubital tunnel syndrome）,A,保母肘（nursemaid's elbow）,A,,無
51,如圖所示，舉啞鈴時，手肘彎曲緩慢靠近頭的動作，主要的作用肌肉與收縮方式分別為何？,肱二頭肌、向心收縮,肱二頭肌、離心收縮,肱三頭肌、向心收縮,肱三頭肌、離心收縮,D,肱三頭肌、離心收縮,D,,無
52,如圖所示，網球發球可分四個時期，右手肱二頭肌（biceps brachii）在那一時期的收縮程度最大？,拋球準備期,揮拍準備期,手臂加速期,擊球後期,B,揮拍準備期,B,,無
53,職能治療師運用心理動力的參考架構（Psychodynamic Frame of Reference），透過設計治療性團體讓個案練習與發展良好的自我技巧（ego skills），下列那一項非個案於團體過程中的動機來源？,自我概念的發展,人際關係的滿足,焦慮與緊張的降低,其他成員的分享,D,其他成員的分享,D,,無
54,依據佛洛伊德的精神能量（psychic energy）觀點，職能治療師設計發展社交技巧和與他人合作的活動，可以促進下列何種類型的能量抒發？,原慾（libido）,攻擊（aggression）,焦慮（anxiety）,愛（love）,A,原慾（libido）,A,,無
55,職能治療師依據艾倫認知障礙參考架構（Allen's Cognitive Disabilities Frame of Reference），為個案規劃了一個針對認知層級五的烹飪團體，下列敘述何者不適切？,烹飪團體要料理的菜餚內容，可讓個案參與討論,在教導料理菜餚時，可一次教導數個步驟,個案在使用爐子、切菜工具等烹飪工具時，應在示範與監督下進行,此階層的個案對於無法看見的過程容易疏忽，例如：烹調食物時加熱溫度上升的過程，應特別注意,D,此階層的個案對於無法看見的過程容易疏忽，例如：烹調食物時加熱溫度上升的過程，應特別注意,D,,無
56,下列關於認知行為治療的改變策略，何項錯誤？,針對腦傷的成年人，認知復健可採用矯正或代償（remedial or compensatory）處理的策略,對於飲食性疾患，後設認知策略（metacognitive strategies）可以協助增進監控自我認知能力與限制,對於物質使用疾患，提供行為塑造（behavioral shaping），以發展適應性的行為改變,對於人格疾患，挑戰其錯誤性思考（faulty thoughts），可以讓個案產生改變,C,對於物質使用疾患，提供行為塑造（behavioral shaping），以發展適應性的行為改變,C,,無
57,下列那一種團體是心理教育團體（psychoeducational groups）的應用範例？,探索壓力，表達與透過媒材宣洩壓力的壓力處理團體,依據認知能力，重複同一個步驟的產業治療團體,透過肢體活動，提供感覺輸入刺激的感覺調節團體,社交資訊的傳授，以及結構化社交技巧練習的社交技巧處理團體,D,社交資訊的傳授，以及結構化社交技巧練習的社交技巧處理團體,D,,無
58,關於Ross的五個階段的團體（five-stage group），各階段的任務與活動的使用，下列何項錯誤？,階段一：目的是透過簡潔的說明，吸引成員的注意力,階段二：可透過運動和遊戲，提升團體凝聚力,階段三和階段四：運用烹飪活動或詩詞遊戲的活動規劃，整合認知和思考能力,階段五：可透過歌唱和舞蹈以延續下一階段的團體活動,D,階段五：可透過歌唱和舞蹈以延續下一階段的團體活動,D,,無
59,阿信跟馬莎兩位職能治療師共同帶領一個老人認知促進團體，所有老人都比較喜歡馬莎。在遊戲過程中，當阿信與馬莎剛好作出不同的判定時，很多成員會用馬莎提的判定，來挑戰阿信的判定。上述情形屬於協同領導風格（co-leadership）那項缺點？,不對等的付出（unequal contribution）,相互競爭（competition）,領導權的分裂（splitting）,角色的互換（exchange of leadership roles）,C,領導權的分裂（splitting）,C,,無
60,下列各式團體中，何者較適合採取指令型（directive）的領導風格？,中度失智症患者的懷舊歌唱團體,失婚婦女的就業諮詢團體,單側偏癱中風患者的動作訓練團體,大四學生的就業輔導團體,A,中度失智症患者的懷舊歌唱團體,A,,無
61,根據Kaplan & Sadock（2003）對於防衛機轉的分類，下列何者不屬於自戀型防衛機轉（narcissistic defenses）？,否認（denial）,扭曲（distortion）,轉移（displacement）,投射（projection）,C,轉移（displacement）,C,,無
62,學校要辦一個園遊會，班上正在討論如何分工。阿信覺得這個活動很無聊，因此舉手發言說：現在非洲很多地方都在鬧飢荒，我們竟然還在辦園遊會，我們應該不要參加，表達正視飢荒的訴求。阿信的行為是屬於下列那一種個人角色（individual role）?,自我告解者（self-confessor）,認同尋求者（recognition-seeker）,阻斷者（blocker）,特殊訴求辯護者（special interest pleader）,D,特殊訴求辯護者（special interest pleader）,D,,無
63,職能治療師運用藝術做為治療，使用陶土作為表達性媒材，讓成員完成一個陶瓶後，使用擊碎－完整的技術，讓成員經由打破、再復原的過程發洩內心情緒，同時也鼓勵成員揭露潛意識。此活動團體之設計主要基於下列那一項參考架構？,心理動力參考架構（Psychodynamic Frame of Reference）,認知障礙參考架構（Cognitive Disabilities Frame of Reference）,認知行為參考架構（Cognitive Behavioral Frame of Reference）,感覺動作參考架構（Sensorimotor Frame of Reference）,A,心理動力參考架構（Psychodynamic Frame of Reference）,A,,無
64,承上題，此介入方式主要是運用下列那一項活動要素？,破壞性,攻擊性,粗大動作,調節性,A,破壞性,A,,無
65,進行方案規劃時，下列何種陳述方式最適合作為規劃書上的方案方針（objectives）？,今年五月底前，培訓完成兩個社區宣導團,本行政區95%的里長都認識職能治療專業,召開六次專家諮詢會議，並完成紀錄,提高家屬對方案的滿意度,A,今年五月底前，培訓完成兩個社區宣導團,A,,無
66,方案評核時，有時會納入相關人士一起參加。下列何者正確？,所有相關人士參與評核的方式和程度，不需平等一致,參與評核的相關人士必須是對方案結果有直接興趣的人,參與評核的相關人士一定是對方案具有影響力的人,避免邀請方案對其不利之人士參與方案評核,A,所有相關人士參與評核的方式和程度，不需平等一致,A,,無
67,下列有關預防跌倒團隊專業人員分工的敘述中，何者屬於職能治療師專業的主要貢獻？,改善平衡、感覺覺知及肢體力量,調節呼吸促進放鬆及提高專注度,提供預防跌倒之居家安全建議,運動方案設計,C,提供預防跌倒之居家安全建議,C,,無
68,活動表現的自主性（independence in activity performance）大致可分為三個階段來討論，下列那一階段不屬於這三個階段？,活動開始期（initiation of a task）,活動目標設定期（goal setting of a task）,活動持續期（continuation of a task）,活動完成期（completion of a task）,B,活動目標設定期（goal setting of a task）,B,,無
69,下列為美國社區服務項目，何者可以提升社區可近性（community accessibility）？①遠距醫療（telehealth） ②參與藥局（participating pharmacies） ③語言翻譯員服務（language interpreter service） ④無障礙環境介入方案,僅④,僅①④,僅②③,①②③④,D,①②③④,D,,無
70,針對電子日常生活輔具（electronic aids to daily living），下列何者錯誤？,可用於環境控制,可設定為控制單一或多項設備,可藉由居家交流電線路（alternating current home wiring）使用遙控器對設備進行控制,可藉由聽覺、視覺及觸覺提供回饋,C,可藉由居家交流電線路（alternating current home wiring）使用遙控器對設備進行控制,C,,無
71,依據世界衛生組織（World Health Organization）健康的社會決定因素（Social Determinants of Health）委員會對健康不平等（health inequality）的敘述，下列何者正確？,健康不平等指的是每個人的健康狀態不一樣，所以應該要有個別化的健康促進計畫,健康不平等的問題在已發展或未發展的國家都有,健康不平等的現象是無法避免的，跟政治、社會、經濟因素無關,改善健康不平等的現象要從改變個人的健康信念與習慣開始,B,健康不平等的問題在已發展或未發展的國家都有,B,,無
72,職能治療社區實務典範（Community Practice Paradigm）的特色是：,強調協助恢復個案的身體或知覺功能缺陷（recovery-based）以促進生活獨立,介入過程強調整合個人自有的能力、潛能與資源（strengths-based）以促進職能參與,生物力學（biomechanical）理論架構是目前社區職能治療介入最主要的參考架構,因為目前實證研究尚不足，所以無法執行嚴謹的以實證為基礎的實務（evidence-based practice）,B,介入過程強調整合個人自有的能力、潛能與資源（strengths-based）以促進職能參與,B,,無
73,規範我國長期照護服務的基本母法名稱和正式實施時間為何？,長期照顧服務法，民國104年6月3日,長期照顧保險法，民國106年6月3日,長期照顧服務法，民國106年6月3日,長期照顧保險法，民國104年6月3日,C,長期照顧服務法，民國106年6月3日,C,,無
74,依據民國98年訂定的身心障礙者特別門診管理辦法，設有身心障礙者特別門診的醫院一定要有下列何項條件？,一般病床二百床以上,身心障礙服務窗口,醫學中心資格,復健科,B,身心障礙服務窗口,B,,無
75,某職能治療師經營了一間身心障礙者庇護工場，請問身心障礙者庇護工場其中央主管機關是：,衛生福利部社會及家庭署,衛生福利部長期照護司,教育部青年發展署,勞動部勞動力發展署,D,勞動部勞動力發展署,D,,無
76,運用PRECEDE-PROCEED衛生教育及行政診斷模式的教育與生態分析時，下列那種因素是被歸類為使能因素（enabling factors）？,個人的經濟能力,家庭的宗教信仰,母親的健康信念,減重比賽提供的獎金,A,個人的經濟能力,A,,無
77,有一位80歲女性，中風右側癱瘓已一年，原本基本日常生活活動可以自理，但日前在家裡跌倒後日常生活活動需要協助。下列敘述那一項不是職能治療主要的居家復能訓練目標？,環境評估，確認居家環境安全,協助家屬了解個案的活動能力，例如如何從床上自行坐起，所以家屬可以協助個案在日常生活中執行,設計上肢動作控制運動，例如在桌上拿積木、塑膠椎等,協助個案適應社區環境，讓個案能夠固定去參與社區的預防延緩失能活動,C,設計上肢動作控制運動，例如在桌上拿積木、塑膠椎等,C,,無
78,以下那一項任務最不貼近職能治療在預防延緩失能的功能與角色？,促進所有人（健康與失能）與他們照顧者的健康生活型態,結合其他健康專業的知識，與他們一起合作，確保個案的職能參與符合健康原則,發展以職能為中心的健康促進策略,推廣以醫療復健模式介入，協助失能者恢復已失去或缺損的身體或心理功能,D,推廣以醫療復健模式介入，協助失能者恢復已失去或缺損的身體或心理功能,D,,無
79,根據社會認知理論（Social Cognitive Theory），若希望居家失能長者對於確實執行居家活動計畫（home program）的效益有正確的了解與信心，下列何者是最無說服力的面向？,執行此計畫對於生理健康的好處與壞處,執行此計畫可以得到的社會贊許（social approval）,指出這是國家給長者的福利，不利用等於浪費資源,幫助他認知到執行活動可以帶來的自我滿足或自我價值的增加,C,指出這是國家給長者的福利，不利用等於浪費資源,C,,無
80,健康行為改變的跨理論模式（Transtheoretical Model of Health Behavior Change）包括六個階段，依其順序排列下列何者正確？①準備期（preparation） ②思考前期（precontemplation） ③思考期（contemplation） ④行動期（action） ⑤復發／循環期（relapse/re-cycling） ⑥維持期（maintenance）,②③①④⑥⑤,②③①④⑤⑥,①②③④⑤⑥,①②③④⑥⑤,A,②③①④⑥⑤,A,,無
