題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,圖片檔案
26,下列對肌梭的敘述，何者正確？,位於肌肉與肌腱交接處,內含運動神經，可引起梭內肌肉纖維收縮,主要功能為偵測肌肉的張力狀態,由 Ib感覺神經纖維負責傳出感覺訊息,B,內含運動神經，可引起梭內肌肉纖維收縮,無
27,根據動作學習原則，欲瞭解個案在訓練過程中是否已真正學會某項動作技能，下列那一種方法最合適？,觀察個案在訓練過程中的動作表現,測量個案在訓練過程中單次完成任務的速度與準確性變化,以保留或轉移測驗評估學習效果,使用即時生理指標（如心率、肌電圖）判斷動作學習程度,C,以保留或轉移測驗評估學習效果,無
28,關於患者在動作學習時，治療師給予回饋的時機，下列敘述何者正確？,相較於經幾次練習才給予一次回饋，立即回饋對於動作學習的留存（retention）效果較佳,只在錯誤量達到一定程度才給回饋，會因給的回饋不夠精準而不利學習,練習時慢慢減少給回饋的頻率，會導致無法得知動作的正確性而不利於學習,簡單的動作可以練習幾次之後再給一個整體回饋，患者仍可以從回饋中學習,D,簡單的動作可以練習幾次之後再給一個整體回饋，患者仍可以從回饋中學習,無
29,有關基模理論（schema theory）的敘述，下列何者錯誤？,是一種開放迴路的學習過程,病患第一天開始重新學習上肢的動作，其起始和完成的動作，會被記憶在短期記憶,病患重新學習上肢的動作時，眼睛看著鏡子的動作，動作會被儲存在短期記憶,基模可以由學習者自己學習建立，或是別人灌輸知識或轉移獲得,D,基模可以由學習者自己學習建立，或是別人灌輸知識或轉移獲得,無
30,在胚胎時期、嬰幼兒發展時期與成人時期發生的神經可塑性變化，下列敘述何者正確？,神經膠質細胞生成（gliogenesis）在各時期皆持續發生，神經元生成（neurogenesis）則在進入成人期後停止,在胚胎時期，神經細胞生成順序依序為神經元（neurons）、神經膠質細胞（glia）、放射狀神經膠質細胞（radical glial cells）,神經膠質細胞生成（gliogenesis）在進入成人期後，主要發生區域限於腦部及脊髓,探究胚胎時期起源，神經元（neurons）與神經膠質細胞（glia）是由不同的神經祖細胞（neural progenitor cells）分化而成,C,神經膠質細胞生成（gliogenesis）在進入成人期後，主要發生區域限於腦部及脊髓,無
31,王先生在創傷性腦傷後接受物理治療，重新學習與再學習多種功能性動作，下列關於學習誘發之神經塑性的敘述何者錯誤？,先破壞再建設，長期增強作用（long-term potentiation）發生在長期抑制作用（long-term depression）之後,特定基因的表現改變，且此改變可能造成後續的突觸、白質變化,寡突前驅膠細胞（oligodendrocytes precursor cells）增生，產生更多寡樹突細胞與髓鞘,透過新樹突脊生成、樹突大小變化、樹突形狀變化等，綜合而致新突觸形成（synaptogenesis）,A,先破壞再建設，長期增強作用（long-term potentiation）發生在長期抑制作用（long-term depression）之後,無
32,陳阿姨為亞急性期中風患者，在接受密集的動作訓練後，其動作功能逐漸恢復。關於其大腦之神經可塑性，下列何者最不可能發生？,健側大腦之主要動作皮質區，功能性活化上升,患側大腦之主要動作皮質區，功能性活化上升,雙側大腦間之功能性連結提高,患側大腦之主要動作皮質區，無功能性活化訊號,D,患側大腦之主要動作皮質區，無功能性活化訊號,無
33,治療師檢視以下檢查結果，何者較無法說明中風病患肌肉痙攣（spasticity）有增高的趨勢？,修正版艾許沃斯氏量表（modified Ashworth scale）分數增加,霍夫曼氏反射（H reflex）檢查之H/M比值增加,鐘擺測試（pendulum test）之小腿擺動次數減少，擺動時間減低,修正版塔爾迪氏量表（modified Tardieu scale）之R2與R1差距減少,D,修正版塔爾迪氏量表（modified Tardieu scale）之R2與R1差距減少,無
34,使用肌貼技術改善中風患者的動作控制能力，下列敘述何者正確？,將低張力肌肉群擺在縮短範圍，以近端為固定端貼紮，可以減少重力對肌肉群的拉力,將低張力肌肉群擺在伸長範圍，以遠端為固定端貼紮，可以增加肌肉群力量,將高張力肌肉群擺在縮短範圍，以近端為固定端貼紮，可以放鬆肌肉群,將高張力肌肉群擺在伸長範圍，以遠端為固定端貼紮，可以穩定關節,A,將低張力肌肉群擺在縮短範圍，以近端為固定端貼紮，可以減少重力對肌肉群的拉力,無
35,一位中風病人在走路時軀幹轉動減少，也缺少上肢的擺動，若要改善此情況，應使用下列何種本體感覺神經肌肉誘發技巧訓練較為合適？,肩胛與骨盆的對稱（symmetrical）運動,肩胛與骨盆的不對稱（asymmetrical）運動,肩胛與骨盆的對稱－交替（symmetrical-reciprocal）運動,肩胛與骨盆的不對稱－交替（asymmetrical-reciprocal）運動,C,肩胛與骨盆的對稱－交替（symmetrical-reciprocal）運動,無
36,有關本體感覺神經肌肉誘發技巧（PNF）中牽拉（traction）與擠壓（approximation）之誘發技巧，下列敘述何者正確？,快速擠壓比起慢速擠壓，更適合用來誘發挺直反應（upright reaction）,牽拉比起擠壓，更適合用來促進身體穩定（stability）,擠壓比起牽拉，更適合用來誘發動作,牽拉會刺激關節接受器，擠壓則不會,A,快速擠壓比起慢速擠壓，更適合用來誘發挺直反應（upright reaction）,無
37,玻巴斯概念的控制關鍵點（key points of control）的作用包含下列何者？①抑制姿勢張力；②提供豐富的本體感覺輸入；③誘發動作產生；④調節動作品質,僅①,僅①③,僅②④,①②③④,D,①②③④,無
38,治療師欲以本體感覺神經肌肉誘發技巧來治療中風病人，下列治療原則何者錯誤？,利用牽拉反射來誘發肌肉收縮,牽拉後，治療師立即給予適當阻力，引導動作方向,動作過程中，要求病人眼睛跟著肢體動作而移動視線，幫助控制及矯正動作,患側上肢宜先誘發屈曲協同動作模式，下肢宜先誘發伸直協同動作模式,D,患側上肢宜先誘發屈曲協同動作模式，下肢宜先誘發伸直協同動作模式,無
39,關於近代神經發展治療技術（NDT）的概念，下列何者正確？,強調動作誘發須先有完整正常的動作形式，始能進行功能活動訓練,以張力抑制為治療的準備動作，並強調靜態牽拉作為張力正常化的技巧,利用控制關鍵點技巧同時進行張力抑制及動作誘發，以促進有效率及目標導向的動作表現,透過軀幹活動進行姿勢準備，並強調減少姿勢的變換以避免產生代償策略,C,利用控制關鍵點技巧同時進行張力抑制及動作誘發，以促進有效率及目標導向的動作表現,無
40,關於圖示中上肢偏癱個案的訓練，下列敘述何者錯誤？,可以誘發鏡像神經元（mirror neuron）活動,患肢為未被分隔鏡所遮蔽的右手,不適用於有嚴重視空間知覺障礙者,可使用單手任務或雙手任務的練習,B,患肢為未被分隔鏡所遮蔽的右手,images/Q40_圖.png
41,40歲的張先生已經中風三年了，生病後積極復健了一年，雖然手不會動，但是可以自行外出散步，搭車甚至購物，目前想回去上班，關於他的的穿衣方式，下列那個建議較為適當？,穿襯衫的時候，患側手先穿，再把好手穿進去,穿套頭毛衣時，應該先套頭，再把患側手抬高穿入，最後穿好手,患側手沒有主動動作，穿脫衣服應該都需要請他人協助,為了避免患側手肩關節傷害，脫西裝外套時，應該先脫患側手再脫好手,A,穿襯衫的時候，患側手先穿，再把好手穿進去,無
42,一位缺血性中風患者，其核磁共振影像檢查結果如下圖，下列何項臨床表徵較符合患者的診斷？,左側肢體及臉部肌肉無力,左側肢體無力、動作協調障礙,左側本體覺缺損、注意力不集中,左側手部笨拙無力、構音困難,B,左側肢體無力、動作協調障礙,images/Q42_圖.png
43,剛中風的吳先生進行初次評估時，治療師請吳先生在紙張空白處畫出與旁邊相同的圖案，吳先生對著紙上的圖案流利地描述他先前看過這個圖以及圖的作用，但當治療師指著紙上的「請閉上雙眼」幾個字，並請吳先生做出這幾個字的動作時，吳先生卻僅搖頭重複地說：「不是這樣」，根據此一評估反應，吳先生較可能為何種語言障礙？,布洛卡氏失語症（Broca's aphasia）,韋尼克氏失語症（Wernicke's aphasia）,傳導型失語症（conduction aphasia）,全失語症（global aphasia）,B,韋尼克氏失語症（Wernicke's aphasia）,無
44,45歲的周先生兩個月前因缺血性中風入院治療，目前規律服用血管擴張劑控制血壓。周先生大部分功能活動皆已恢復獨立，但走路速度較慢且容易喘，為協助周先生出院後能執行社區活動，下列那些為正確的運動設計原則？①跑步機上行走訓練，訓練強度應以達自覺用力程度（RPE）9～10為主；②腳踏車訓練，訓練強度應達最大心跳率的60～80％ ③環狀運動，訓練強度應達 RPE11～14 ④訓練時間不可超過30分鐘；⑤運動後應給予較長的緩和（cool-down）時間,①②④⑤,②③⑤,①③④,③⑤,B,②③⑤,無
45,中風病人患側出現繞行步態（circumduction），其可能原因為何？①患側下肢伸肌張力過高；②患側足下垂（drop foot） ③患側臀中肌無力,僅①②,僅①③,僅②③,①②③,A,僅①②,無
46,72歲李先生為中風患者，臨床上發現視線幾乎都看向右側，很少主動看左側，測試結果如圖，李先生為何種症狀？,半側偏盲（homonymous hemianopsia）,視覺失認症（visual agnosia）,左右分辨困難（left-right discrimination）,單側忽略（unilateral neglect）,D,單側忽略（unilateral neglect）,images/Q46_圖.png；images/Q46_圖_2.png；images/Q46_圖_3.png
47,承上題，李先生之病灶位置最可能為何？,右大腦枕葉皮質,右大腦頂葉皮質,右大腦杏仁核,右大腦海馬迴,B,右大腦頂葉皮質,無
48,中風偏癱個案缺乏踝關節背屈主動動作，若使用下列踝足矯具（如圖）行走，較易產生下列何種步態？,擺盪起始期（initial swing）的膝過度彎曲,載重反應期（loading response）的膝過度彎曲,著地開始期（initial contact）的踝過度背屈,站立結束期（terminal stance）的膝過度彎曲,B,載重反應期（loading response）的膝過度彎曲,無
49,一位85歲男性2週前因單側肢體無力被送醫，今天剛從神經內科轉至復健科繼續治療，其住院之連續影像檢查結果如圖所示。請依序回答下列3題。此檢查項目為何？,電腦斷層（computed tomography）,核磁共振（magnetic resonance imaging）,核磁共振血管造影（magnetic resonance angiography）,功能性核磁共振（functional magnetic resonance imaging）,B,核磁共振（magnetic resonance imaging）,images/Q49_圖.png
50,此病患最有可能之診斷為何？,暫時缺血性發作（transient ischemic attack）,左側陷窩梗塞性中風（lacunar stroke）,左側中大腦動脈缺血性中風（ischemic stroke）,閉鎖症候群（locked-in syndrome）,B,左側陷窩梗塞性中風（lacunar stroke）,無
51,這位病患的臨床表徵，最可能出現下列那一項？,純動作障礙,語言障礙,視野受影響,昏迷,A,純動作障礙,無
52,下列何者適合用來評估中風個案的社會參與（participation）？,傅格－梅爾評估量表（Fugl-Meyer assessment scale）,中風衝擊量表（stroke impact scale）,功能獨立性量表（functional independence measure）,10公尺行走測試（10-meter walk test）,B,中風衝擊量表（stroke impact scale）,無
53,針對一診斷為C5脊髓完全損傷病患，下列敘述何者正確？①在坐姿時，可穿彈性襪以降低姿勢性低血壓；②訓練翻身時應強調頭－肩－臀同步的滾木式技巧（log rolling） ③因缺乏肘伸肌的肌力，翻身訓練時應以本體感覺神經肌肉誘發技巧（PNF）肩胛的動作模式為主；④可訓練病患以肩胛後縮，肩關節外轉的動作帶出上背伸直，以促進吸氣,①②④,①③④,②③,①④,D,①④,無
54,訓練T12脊髓完全損傷的病患由地板轉位至輪椅，若採由前向轉位（front-approach）的策略，下列那些為必要的訓練技巧與條件？①利用頭－臀關係帶動骨盆；②利用肱二頭肌與肱橈肌勾住輪椅；③利用三頭肌與擴背肌將身體上提；④具備膕旁肌的延展性以利一手撐在輪椅一手撐在地板；⑤具備好的肩關節伸直柔軟度以利身體上提,僅①③,僅②④,①③④⑤,①②③④,A,僅①③,無
55,陳先生車禍後之兩側皮節輕觸覺和針刺覺感覺結果如圖所示。雙側關鍵肌群徒手肌力評估結果如下：肘關節彎曲3分、腕關節彎曲與伸直為2分、肘關節伸直肌力接近3分（3-）、手部肌力介於2至3分，雙下肢關鍵肌群皆為4至5分。病人能自行呼吸，亦可在最大阻力下完成聳肩動作。依據 ASIA分類與臨床表現，下列那一項敘述最有可能？,ASIA C，神經節為C5，臨床表現符合前髓症候群,ASIA C，神經節為C4，臨床表現符合中髓症候群,ASIA D，神經節為C5，臨床表現符合中髓症候群,ASIA D，神經節為C4，臨床表現符合前髓症候群,C,ASIA D，神經節為C5，臨床表現符合中髓症候群,images/Q55_圖.png
56,一名胸髓第十二節完全性損傷患者，下列何運動治療策略最為適當？,利用角動量帶動床上翻身,利用有頭部支撐的可傾斜式或可仰躺式輪椅做減壓,長坐姿下利用頭臀關係練習床上移位,長坐姿下練習穿衣服及褲子,D,長坐姿下練習穿衣服及褲子,無
57,18歲的林同學6個月前在游泳池跳水造成頸椎第五節斷裂，目前T1以下完全沒有感覺與動作功能，此次因肺炎再度入院治療，下列敘述何者較不適當？,吸氣時，可能會看到腹部鼓起來，下胸廓卻凹進去,為了增加肺活量，可以在腹部放沙包訓練腹肌，以改善呼吸功能,建議坐姿時穿著束腹，利用束腹代替腹肌給予腹腔部分支撐，讓橫膈膜收縮變得有效率,呼吸時看到斜角肌很用力，並伴隨第一肋骨的抬高，表示呼吸有些費力,B,為了增加肺活量，可以在腹部放沙包訓練腹肌，以改善呼吸功能,無
58,下列關於創傷性腦傷的發生機轉、病理機制與相關神經損傷的敘述，何者最適當？,瀰漫性軸突損傷（diffuse axonal injury）屬於原發性傷害，但通常不會導致昏迷,瀰漫性軸突損傷（diffuse axonal injury）常發生在胼胝體、腦幹及大腦皮質處，可能影響意識狀態,顱內出血（intracerebral hemorrhage）屬於原發性傷害，但通常不會直接導致顱內壓升高,鉤回脫垂（uncal herniation）可能因為顱內壓升高導致動眼神經壓迫，造成眼球運動異常,D,鉤回脫垂（uncal herniation）可能因為顱內壓升高導致動眼神經壓迫，造成眼球運動異常,無
59,腦傷患者常會出現部分或完全忘記腦傷當下及腦傷前不久時間所發生的事情，此種現象為何？,創傷後失憶症（post-traumatic amnesia）,逆向失憶症（retrograde amnesia）,順向失憶症（anterograde amnesia）,暫時性全記憶喪失症（transient global amnesia）,B,逆向失憶症（retrograde amnesia）,無
60,以葛拉斯哥昏迷量表評估創傷性腦傷的嚴重度，下列何者正確？,1～8分表示嚴重腦傷,9～12分表示中重度腦傷,13～15分表示輕度腦傷,3分以下表示昏迷,C,13～15分表示輕度腦傷,無
61,圖示的基底核迴路中，何者為抑制性路徑？,1、2、3,2、3、5,2、4、5,3、4、5,B,2、3、5,無
62,"使用新版世界動作障礙學會巴金森氏病綜合評量表（MDS-unified Parkinson's disease rating scale, MDS-UPDRS）評估圖示個案的姿勢（項目3.13），下列敘述何者正確？",觀察僅限於軀幹的駝背,評估時可提醒病患矯正，例如口頭提示或視覺提示,評估時應於靜態站姿，排除動作對平衡或姿勢的干擾,圖中個案屬1分（不是很挺直，對老人可算是正常）情形,B,評估時可提醒病患矯正，例如口頭提示或視覺提示,images/Q62_圖.png
63,會出現視幻覺（visual hallucination）症狀的失智症是那一種？,阿茲海默症（Alzheimer’s disease）,血管性失智症（vascular dementia）,額顳葉型失智症（frontotemporal dementia）,路易氏體失智症（Lewy bodies dementia）,D,路易氏體失智症（Lewy bodies dementia）,無
64,李同學是大學一年級學生，上個月因走路不平穩就醫檢查後確診為小腦萎縮症，要求他雙腳以直線行走（tandem）時呈現明顯晃動，但仍可自己走完10步。下列何種介入方式最為適合？,因年輕人學習能力佳，以短時間、低重複次數、低頻率之模式來學習新動作技巧為最有效率的訓練策略,先在平地練習行走，接下來增加訓練複雜度，如繞過障礙物或於走路時進行數學運算,因疾病會進展為軀幹伸直肌張力高、屈曲肌張力過低，需加強屈曲肌的肌力訓練、避免伸直肌的肌力訓練,禁止各類型氧運動訓練，以免因疲勞而增加跌倒風險,B,先在平地練習行走，接下來增加訓練複雜度，如繞過障礙物或於走路時進行數學運算,無
65,下列何者具有最佳的功能恢復潛力？,小腦中風,脊髓小腦萎縮症,福萊德瑞克氏運動失調症（Friedrich ataxia）,多重系統退化症（multiple system atrophy）,A,小腦中風,無
66,一位患者因持續性頭痛與視力模糊至神經科門診就醫，經影像學檢查懷疑為腦腫瘤，下列有關腦腫瘤的敘述，何者最不適當？,神經膠母細胞瘤（glioblastoma）屬於原發性中樞神經系統腫瘤，並為世界衛生組織腫瘤分級中的第4級,腦膜瘤（meningioma）為成人最常見的非惡性腦瘤，且好發於女性,根據世界衛生組織中樞神經系統腫瘤分級制度，第4級代表惡性程度最高，具有高度侵襲性及快速增長特性,神經膠母細胞瘤（glioblastoma）好發於兒童或青少年，高齡族群發生率較低,D,神經膠母細胞瘤（glioblastoma）好發於兒童或青少年，高齡族群發生率較低,無
67,針對周邊神經病變患者的感覺障礙或疼痛處理，下列何種措施最為恰當？,指導患者經常檢查肢體位置與皮膚狀態,使用深層熱療以促進止痛,採用深層按摩增加感覺回饋與促進止痛,使用緊身衣物固定肢體以防止衣服在皮膚上移動,A,指導患者經常檢查肢體位置與皮膚狀態,無
68,謝先生今年56歲，曾患小兒麻痺症，近年因肌肉和關節疼痛以及易疲勞的症狀尋求物理治療協助，下列何種治療介入最為適當？,以高強度離心收縮進行膝伸肌訓練以維持關節穩定度,指導正確的使用三角巾讓肩關節可以充分休息,以50～60％儲備心跳率進行原地踏步以降低日常的疲勞程度,進行短時間、多次重複的深蹲訓練直到大腿肌肉疲勞以增加肌力,C,以50～60％儲備心跳率進行原地踏步以降低日常的疲勞程度,無
69,一名50歲病患前臂內側不慎遭重物壓傷，經診斷為尺神經二級損傷（桑德連分類法，Sunderland classification），若受傷位置距離小指掌骨基部18公分，病患小指外展動作之預後如何？,此情況小指外展動作本來就不受影響,不需手術，平均二個月左右可恢復動作,不需手術，平均六個月左右可恢復動作,此情況不進行手術恐無法恢復動作,C,不需手術，平均六個月左右可恢復動作,無
70,一位58歲男性，因突發性眩暈、嘔吐及步態不穩就醫。眼震圖檢查顯示靜態時無眼震，平滑追蹤及掃視正常。測試結果顯示右側半規管功能減弱100％，左側半規管功能正常，並有自發性眼震，診斷為右側周邊前庭神經炎。下列何者最符合此個案之評估結果？,在頭部向右快速轉動的頭部脈衝測試（head impulse test）中，眼睛會出現向左的追趕性掃視（catch-up saccade）,初期在黑暗環境無注視的情境下進行眼震觀察時，自發性眼震（spontaneous nystagmus）會被抑制,動態視力檢查（dynamic visual acuity）中，頭部水平轉動時，視力與靜態視力檢查結果一致,在前庭眼動反射取消測試（vestibulo-ocular reflex cancellation test）中，眼睛無法維持注視在隨著頭部移動的目標上,A,在頭部向右快速轉動的頭部脈衝測試（head impulse test）中，眼睛會出現向左的追趕性掃視（catch-up saccade）,無
71,一位48歲女性，主訴頭暈，尤其在快速轉頭或變換姿勢時更為明顯，理學檢查結果初步判斷為右側水平半規管良性陣發型姿勢性眩暈，下列那一項介入策略最無法改善症狀？,Brandt-Daroff運動（Brandt-Daroff exercises）,注視穩定訓練（gaze stabilization exercises）,耳石復位術（canalith repositioning maneuver）,前庭習慣化訓練（vestibular habituation exercises）,B,注視穩定訓練（gaze stabilization exercises）,無
72,魏小姐早上起床坐起來後，眼睛盯著左邊牆上的時鐘，同時迅速地向右側轉身下床時，發現無法清楚看到時鐘上的數字，並且感到頭暈。此現象可能為下列何者異常所導致？,眼球快速掃視（saccade）,眼球平滑追蹤（smooth pursuit）,前庭眼球反射（vestibulo-ocular reflex）,前庭脊髓反射（vestibulo-spinal reflex）,C,前庭眼球反射（vestibulo-ocular reflex）,無
73,45歲宋先生診斷為左側前庭神經炎患者，有關其前庭復健運動之敘述，下列何者錯誤？,患者可能出現眩暈或姿勢不平衡的症狀，所以治療師須事先告知患者，並保護患者避免跌倒,可利用點頭或頭部轉動的方式，給予前庭刺激,行走時，可利用加快行走速度或改變方向，給予前庭刺激,治療活動皆應該在平穩地面上執行，以幫助維持平衡,D,治療活動皆應該在平穩地面上執行，以幫助維持平衡,無
74,關於神經肌肉接合處疾病（neuromuscular junction disorders），下列敘述何者正確？,基蘭－巴瑞氏症候群屬於此類疾病,重症肌無力是典型的此類疾病,通常會有感覺異常與遠端肌肉無力,多發性硬化症屬於此類疾病,B,重症肌無力是典型的此類疾病,無
