題號,題目,選項A,選項B,選項C,選項D,正確答案,答案內容,原始答案,更正備註,圖片檔案
19,針對形狀恆常功能缺失（form-constancy dysfunction）個案的介入，下列敘述何者最適切？,戴重量手環並以手區辨物件,戴針織手套並以手區辨物件,選擇有特色的、少見的物件以練習區辨物件,將物件擺在不同的角度和位置並以視覺區辨物件,D,將物件擺在不同的角度和位置並以視覺區辨物件,D,,無
20,改良版愛許瓦式量表（modified Ashworth scale）主要在測量下列何者？,肌肉痙攣的程度,關節角度,肌耐力,平衡能力,A,肌肉痙攣的程度,A,,無
21,有關半側注意力缺失（hemiinattention），下列敘述何者最適切？,左大腦半球負責將注意力完全導向左側視覺空間,右大腦半球負責將注意力導向左側與右側視覺空間,右大腦半球負責將注意力完全導向右側視覺空間,左大腦半球負責將注意力導向左側與右側視覺空間,B,右大腦半球負責將注意力導向左側與右側視覺空間,B,,無
22,個案於刪除測驗搜尋左側空間時，呈現使用緩慢、有組織、範圍較窄的搜尋策略，以致左側部分標的物未被刪除，則個案最可能具有下列那一種問題？,左側偏盲,右側偏盲,左側注意力缺失,右側注意力缺失,A,左側偏盲,A,,無
23,有關正常老化之改變，下列敘述何者正確？,腦內充滿腦脊液的空間減少,體脂肪量增加但肌肉量減少,關節滑液隨著年齡的增加而增加,骨頭退化在80歲以後有趨緩現象,B,體脂肪量增加但肌肉量減少,B,,無
24,對於不熟悉的挑戰所採取的推理和問題解決，會隨著年紀增長緩慢退步的認知能力為下列何者？,結晶智力（crystallized intelligence）,流體智力（fluid intelligence）,後設智力（metaintelligence）,社會智力（social intelligence）,B,流體智力（fluid intelligence）,B,,無
25,有關間時提取訓練（spaced retrieval training），下列敘述何者錯誤？,適用於策略訓練的獲得階段（acquisition phase）,適用於強化記憶的抽象應用,藉由重複提取資訊以強化資訊,藉由逐漸延長提取資訊的時間以強化資訊,B,適用於強化記憶的抽象應用,B,,無
26,有關自我察覺和其相對應的代償策略，下列組合何者錯誤？,生理察覺（physical awareness）－外在代償（external compensation）,智能察覺（intellectual awareness）－情境代償（situational compensation）,緊急察覺（emergent awareness）－辨識代償（recognition compensation）,預測察覺（anticipatory awareness）－預測代償（anticipatory compensation）,A,生理察覺（physical awareness）－外在代償（external compensation）,A,,無
27,屬吞嚥治療手法之一的低頭縮下巴法（chin-tuck method），主要作用為何？,減少食物誤入氣管的機會,使呼吸道入口變寬,適用口腔期，舌後根無力之個案,將舌根部及會厭軟骨推近前咽弓（anterior faucial arch）,A,減少食物誤入氣管的機會,A,,無
28,關於腦部外傷病患之執行功能技巧（executive functions）問題，下列敘述何者錯誤？,無法具體思考,無法設定目標,無法理解動作結果,無法做計畫,A,無法具體思考,A,,無
29,下列何種認知評估工具施測時會合併使用動態評估程序？,情境記憶測驗（Contextual Memory Test）,簡易心智狀態測驗（Mini-Mental Status Examination）,日常注意力測驗（Test of Everyday Attention）,明尼蘇達認知測驗（Cognitive Assessment of Minnesota）,A,情境記憶測驗（Contextual Memory Test）,A,,無
30,老年人看到人知道與他的關係，但會想不起他的名字，此現象為何種能力的降低？,記憶提取（retrieval）,再認（recognition）,操作智力（performance intelligence）,語文智力（verbal intelligence）,A,記憶提取（retrieval）,A,,無
31,關於手指彈簧副木（finger spring splint）的敘述，下列那一項是正確的？,是連續性靜態副木（serial static splint）,屬第三類槓桿（3 rd class lever）,屬三點壓力裝具（3 point pressure orthosis）,是靜態漸進式副木（static progressive splint）,C,屬三點壓力裝具（3 point pressure orthosis）,C,,無
32,若超音波治療設定的脈動時間（pulse duration）是2 msec，脈動週期（pulse period）是10 msec，則超音波能量傳導到人體的週期（duty cycle）應為多少％？,5,20,25,40,B,20,B,,無
33,神經肌肉電刺激（Neuromuscular Electrical Stimulation）的適應症，下列何者錯誤？,增加或維持關節活動度,誘發肌肉功能,改善肌肉痙攣,降低疼痛,ABCD,增加或維持關節活動度；誘發肌肉功能；改善肌肉痙攣；降低疼痛,D,第33題一律給分，第41題答Ｂ或Ｃ或BC者均給分,無
34,有關超音波非熱效應（nonthermal effect）的敘述，下列那些正確？① 增進新陳代謝；② 增加巨噬細胞噬菌作用；③促進蛋白質生成；④ 降低肌肉痙攣,①②,②③,③④,①④,B,②③,B,,無
35,肌肉失養症（Muscular Dystrophy）患者其肩胛骨（scapular）、肩膀（shoulder）和肘部（elbow）之肌肉力量至少需達何種程度才能操作移動式手臂支撐架（mobile arm support）？,3-（fair minus）,2+（poor plus）,2（poor）,2-（poor minus）,D,2-（poor minus）,D,,無
36,有關腕部第四背腔室（the fourth compartment）的伸肌腱術後副木的種類及固定角度，下列何者最為適當？,腕部固定副木（wrist immobilization orthosis）；固定手腕在伸展40度,腕部固定副木（wrist immobilization orthosis）；固定手腕在正中位置,腕手固定副木（hand／wrist immobilization orthosis）；固定手腕在伸展40度、掌指關節微彎曲15度、指間關節完全伸直,腕手固定副木（hand／wrist immobilization orthosis）；固定手腕在正中位置、掌指關節彎曲15度、指間關節完全伸直,C,腕手固定副木（hand／wrist immobilization orthosis）；固定手腕在伸展40度、掌指關節微彎曲15度、指間關節完全伸直,C,,無
37,針對屈指肌腱損傷病患製作控制式活動副木，除了製作手部背側副木保護縫合後的屈指肌腱，另需有彈性線（elastic thread）協助執行手指的被動屈曲。下列關於彈性線（elastic thread）之考量何者正確？,彈性線的選擇須讓指間關節可對抗彈力而在保護性副木中能夠完全伸直,彈性線在白天時將指間關節擺在被動屈曲的位置，睡覺時則將彈性線鬆開,彈性線固定位置在手腕關節近端1英吋處最適當,彈性線固定位置越靠近手腕越能協助遠端指間關節（DIP joint）彎曲，達到肌腱最大的滑動範圍,A,彈性線的選擇須讓指間關節可對抗彈力而在保護性副木中能夠完全伸直,A,,無
38,有關處理截肢後所發生的幻肢痛（phantom limb pain）現象，下列方法何者減輕疼痛症狀的成效最不顯著？,鏡像治療（mirror therapy）,經皮神經電刺激（transcutaneous electrical nerve stimulation）,按摩、拍打殘肢部位,侷限誘發動作療法（constraint-induced movement therapy）,D,侷限誘發動作療法（constraint-induced movement therapy）,D,,無
39,滑鼠的游標或箭頭會從螢幕小鍵盤中以每一排按鍵為一組，逐一掃描鍵盤各組，待該組選定後再逐一掃描該組內的每一格字母，直到選定其中的一格為止，此種掃描方式稱為：,逆掃描（inverse scanning）,逐步掃描（step scanning）,環狀掃描（circular scanning）,列－行掃描（row-column scanning）,D,列－行掃描（row-column scanning）,D,,無
40,新型態電動平衡輪椅會先判斷出使用者重心偏移方向後，再依此方向進行移動。就Human Activity and Assistive Technology模式而言，上述系統是屬於下列何種要素（component）？,使用者（user）,環境介面（environment interface）,人機介面（human-technology interface）,處理器（processor）,D,處理器（processor）,D,,無
41,使用無線電調頻（radio frequency）環境控制輔具的主要使用限制為何？,在戶外陽光中無法使用,容易受到障礙物遮蔽訊號,需要有無線電頻率接受器,只能在視線範圍內操作,BC,容易受到障礙物遮蔽訊號；需要有無線電頻率接受器,C,第33題一律給分，第41題答Ｂ或Ｃ或BC者均給分,無
42,欲採用seat belt來強化骨盆定位以改善輪椅使用者的坐姿，此固定帶一般應放置於何處最為恰當？,恥骨（pubis）下端,髂嵴（iliac crest）上端,前上髂棘（anterior superior iliac spine）下端,股骨大轉子（greater trochanter of femur）,C,前上髂棘（anterior superior iliac spine）下端,C,,無
43,依內政部營建署建築物無障礙設施設計規範，有關無障礙坡道之設計，下列何者最不符合規定？,無障礙坡道高低差大於20公分以上者，其坡道之坡度不得大於1/12,坡道與鄰近地面高度差大於75公分時，坡道未鄰牆之一側應設置不得小於高度110公分之護欄,坡道與鄰近地面高度差大於20公分時，坡道未鄰牆之一側應設置護欄之外，也應設置不得小於高度20公分之防護緣,坡道兩側應設扶手，設單道扶手者，地面至扶手上緣高度為75～85公分,C,坡道與鄰近地面高度差大於20公分時，坡道未鄰牆之一側應設置護欄之外，也應設置不得小於高度20公分之防護緣,C,,無
44,依內政部營建署建築物無障礙設施設計規範，如使用折疊門做為室內出入口的門，則折疊門開啟後之淨寬度最少應為多少公分？,70,80,90,120,B,80,B,,無
45,關於工作簡化與節省體力原則，下列何者錯誤？,將常使用的物品放在方便取得之處，並以結構化方式擺放,以坐姿取代站立，避免耗費體力,以「提起」取代「推」來搬運物品,事先想好活動進行所需要的材料或物品等，避免反覆來回耗費體力,C,以「提起」取代「推」來搬運物品,C,,無
46,關於睡眠障礙之敘述，下列何者錯誤？,失眠症一般是指重覆的起始睡眠困難、維持睡眠困難、比預期的時間提早清醒，或擁有不佳的睡眠品質,失眠症的結果可能包含認知功能受損、疲倦或倦怠、情緒低落或易怒，並影響學校或工作表現,失眠症非最常見的睡眠障礙，僅影響約20%的一般大眾,共病性失眠症（comorbid insomnia）是指有醫學或精神診斷，且同時有失眠症狀的個案,C,失眠症非最常見的睡眠障礙，僅影響約20%的一般大眾,C,,無
47,在職能治療專業中，處理生理障礙個案的性功能問題時，要考量的相關因子有那些？①感覺功能、關節活動角度、動作控制能力等職能要素；②角色描述、對身體的評價；③衝動控制、能量節省；④文化觀點、社會心理議題,僅①②③,僅②③,僅①④,①②③④,D,①②③④,D,,無
48,有關影響調適的阻礙因子之敘述，下列何者錯誤？,因身心障礙而造成的社會疏離易使個案陷於藥物濫用的高風險中,疼痛會影響個人的安適感、身體、心靈與文化因素間的交互作用，進而干擾個人調適,憂鬱乃創傷時的正常反應，過一些時間自然會恢復，無需特別處理,當個案呈現緊張、抱怨常作惡夢等，應留意個案是否出現創傷後症候群而影響其調適,C,憂鬱乃創傷時的正常反應，過一些時間自然會恢復，無需特別處理,C,,無
49,關於個人情境（含心理調適）之基本概念與評估之敘述，下列何者最不適切？,個人情境因素（personal context）指的是影響個人經驗的內在環境（intrapersonal environment）,個人情境因素會影響個人面對疾病或創傷的反應，但非直接攸關後續的調適情形,個人內在因子如年齡，尤其是發生疾病或創傷時的年齡是影響個人復健成果與所花費時間長短的重要因子,可藉由訪談的方式請個案說明他如何看待疾病／創傷的發生原因與後果等，有助於職能治療師評估個案如何歸因、個人信念、價值觀等個人因子,B,個人情境因素會影響個人面對疾病或創傷的反應，但非直接攸關後續的調適情形,B,,無
50,關於轉位的敘述，下列何者錯誤？,轉位過程一開始可將個案重心前移,個案雙腳須維持雙膝彎曲不要超過90度，以使重量轉移至腳上,轉位過程包含環境與輪椅的擺設，並協助個案維持轉位前的準備姿勢,轉位過程提醒或協助個案軀幹維持在正中位置,B,個案雙腳須維持雙膝彎曲不要超過90度，以使重量轉移至腳上,B,,無
51,關於職能治療評量方式的敘述，下列何者最不適切？,日常生活功能表現的評量以個案平時進行該項活動的時間、地點等自然情境中施測,日常生活功能表現的評量應審慎留意個案的耐力（endurance）、安全性及隱私性,功能獨立量表（Functional Independence Measure）屬於工具性日常生活功能表現的工具,評量方式建議採由上而下的方式（top-down approach）,C,功能獨立量表（Functional Independence Measure）屬於工具性日常生活功能表現的工具,C,,無
52,針對下背痛個案的拿物方式，下列敘述何者錯誤？,拿地上較輕較小物品，採雙膝下蹲法,拿地上較重、體積較大物品時，通常一腳在前，採斜向下蹲法,當要拿取放在大賣場購物車內較低物品時，採側身下蹲法,抬起物品時，雙腳至少與髖關節同寬，可增加穩定度,C,當要拿取放在大賣場購物車內較低物品時，採側身下蹲法,C,,無
53,個案主訴最近出現右手拿筷子不太穩、掌內肌（intrinsic muscle）有些萎縮、小指常有麻木現象，但將手肘伸展動一動後，症狀又會舒緩一些。此個案最有可能是什麼病症？,Cubital tunnel syndrome,Guyon canal syndrome,Carpal tunnel syndrome,Medial epicondylitis,A,Cubital tunnel syndrome,A,,無
54,有關吸菸導致心臟疾病風險增高的理由，下列何者錯誤？,吸菸會破壞心血管內壁，致其容易形成斑塊,尼古丁導致血管舒張及心跳速率變慢,尼古丁影響脂肪的代謝，使低密度膽固醇增加,吸菸導致一氧化碳與血紅素結合，減少氧的攜帶,B,尼古丁導致血管舒張及心跳速率變慢,B,,無
55,關於肌萎縮性側索硬化症（amyotrophic lateral sclerosis）的介入，下列何者最不適切？,可強調病人同時做多項事務以節省體力,可教導病人安全轉位及維護皮膚完整性,可使用被動關節活動運動來減少攣縮發生的機會,可讓下肢出現垂足的病人穿戴足部裝具,A,可強調病人同時做多項事務以節省體力,A,,無
56,關於「手指受到銳利刀子割傷，僅造成屈指深肌腱斷裂」之描述，下列何者正確？,不可能，因為深層肌鍵已經割斷，淺層肌鍵一定先被割斷,可能的，有不少比例的人有先天性屈指淺肌缺損，因此僅割斷屈指深肌腱,不可能，屈指深肌腱有堅韌的腱鞘保護，不易被割斷,可能的，若割傷發生在手指屈指肌腱第一區間（zone I），便僅會割斷屈指深肌腱,D,可能的，若割傷發生在手指屈指肌腱第一區間（zone I），便僅會割斷屈指深肌腱,D,,無
57,阿茲海默症（Alzheimer's disease）相關評估與其評估內容配對，下列何者最為適切？,Activities of Daily Living Inventory：測量個案在執行IADL時的動作及處理技巧,Cognitive Performance Test：使用BADL和IADL的任務來評量病人認知缺損,Alzheimer's Disease Assessment Scale - Cognitive subscale（ADAS - cog）：與主要照顧者面談後了解病人每天真正在做的事務 ，而非病人能做的事務,Disability Assessment for Dementia：有11個項目，用於偵測病人認知功能的下降程度,B,Cognitive Performance Test：使用BADL和IADL的任務來評量病人認知缺損,B,,無
58,罹患中央脊髓症候群（central cord syndrome）的75歲女性病人，出院後與兒子的家庭同住，下列介入何者最不適切？,教導病人恢復駕駛者之角色,教導其家屬如何有效的協助病人之日常生活,找出合適病人使用之社區資源,教導病人關節保護之原則,A,教導病人恢復駕駛者之角色,A,,無
59,一位肘上截肢者，術後一個月的殘肢每英吋間隔的周徑由近端到遠端分別是11.3吋、11吋、10.8吋、11.2吋、11.5吋、11.6吋，此時職能治療師應做如何處置最為適當？,拍打殘肢,抬高殘肢,塑型,肌力訓練,C,塑型,C,,無
60,大部分愛滋病病人初期（2～4週）感染常出現的類感冒症狀包括那些？①疲倦；②發燒；③頭痛；④淋巴結腫大,僅①③,僅②④,僅①②③,①②③④,D,①②③④,D,,無
61,有關Fugl-Meyer Assessment的描述，下列何者錯誤？,是可評估腦中風個案動作之評量工具,測量項目包含感覺功能,上肢動作功能總分為66分，下肢動作功能總分為34分,每個測量項目分數最高3分，最低0分,D,每個測量項目分數最高3分，最低0分,D,,無
62,腦中風後可以遵從指令但無法命名物品，此為下列何種失語症？,Wernicke's aphasia,Broca's aphasia,Global aphasia,Apraxia of speech,B,Broca's aphasia,B,,無
63,職能治療師協助腦傷個案適應出院後生活，下列何者較不適切？,建立一個生活照護計畫,熟悉可能的轉介資源,個案重新建立社交技巧，並參與支持團體，個案回歸社區之後便予以結案,個案與治療師建立友善的治療性關係，讓個案感受他是被接納的，可隨時找治療師諮詢建議,C,個案重新建立社交技巧，並參與支持團體，個案回歸社區之後便予以結案,C,,無
64,下列何者為膝關節置換術後12週內的禁忌動作？,膝關節旋轉,膝關節屈曲,膝關節伸展,膝關節承重,A,膝關節旋轉,A,,無
65,個案診斷為右側上半身二度燙傷，目前已經住院治療二週，多數傷口已經逐漸痊癒，估計再一週就可出院。有關職能治療師在住院期間的介入及處置，下列敘述何者錯誤？,職能治療於燒傷復健期開始介入，提供擺位、副木及運動等處置,住院期間擺位可以減低水腫預防畸形,病人最舒服的姿勢通常就是攣縮的姿勢,出院前應提供壓力治療之衛教或處置,A,職能治療於燒傷復健期開始介入，提供擺位、副木及運動等處置,A,,無
66,有關顏面燒傷的處置，下列何者正確？,嚴重的顏面燒傷容易造成臉部的疤痕增生攣縮及歪曲（distortion）,穿戴彈性壓力頭套是最好的臉部疤痕控制方法,製作透明硬式面具（transparent rigid facial orthosis）要先用石膏繃帶（plaster strip）貼附在臉上取出負模來製作,透明硬式面具可加入軟式塑型墊（flexible conformer），來增加治療效果,A,嚴重的顏面燒傷容易造成臉部的疤痕增生攣縮及歪曲（distortion）,A,,無
67,針對亞急性期關節炎個案，下列何者是最適切積極的關節活動度（ROM）運動執行方式？,只能擺位，不建議任何ROM運動,只可做輕微的主動ROM運動，且不可活動到引發疼痛點,可進行主動ROM運動，及輕微牽拉之被動ROM運動,可進行ROM最終點的積極牽拉活動，增加被動ROM,C,可進行主動ROM運動，及輕微牽拉之被動ROM運動,C,,無
68,有關纖維肌痛（fibromyalgia）的介入，下列何者最不適切？,教導生活作息安排，減少疲累,疼痛舒緩之物理性因子介入,練習放鬆之生理回饋訓練,製作預防變形的手部副木,D,製作預防變形的手部副木,D,,無
69,老人跌倒常見股骨頸（femoral neck）骨折，有關其醫療處置與預後，下列何者最適切？,術後約一個星期才可開始起床活動,此部位骨折通常會採開放性復位及內固定（ORIF）較為穩固,建議須限制承重至少6～8週，且須配合使用助行器或柺杖行走,不需要遵守髖關節置換術後之禁忌動作（如髖關節彎曲超過90度）,C,建議須限制承重至少6～8週，且須配合使用助行器或柺杖行走,C,,無
70,關於脊髓損傷的痙攣，下列敘述何者錯誤？,適度的痙攣有助於執行動作,剛受傷時強度最高,經常發生在受傷部位以下神經節所支配的肌肉,發燒或其他身體症狀會造成痙攣強度突然升高,B,剛受傷時強度最高,B,,無
71,美國脊髓損傷協會建議測試個案下列何種感覺功能，以輔助診斷其受傷部位？,輕觸覺及辨物覺,刺痛覺及溫度覺,本體覺及二點辨識覺,輕觸覺及刺痛覺,D,輕觸覺及刺痛覺,D,,無
72,對於急性期的燒傷病患，職能治療師的姿勢固定處置中下列何者最不適切？,腋下燒傷：上臂外展至45度,髖部前側燒傷：採趴姿並固定膝關節,前頸燒傷：頭部微微後仰,手肘前側燒傷：手肘伸直或屈曲約5度,A,腋下燒傷：上臂外展至45度,A,,無
73,考慮肌萎縮性側索硬化症（amyotrophic lateral sclerosis）的病程進展特性，下列介入何者不適合？,於緩解期（remission）訓練肌力，有利下次復發（relapse）時功能的維持,給與電動輪椅以促進社區參與,住家環境改造以促進自我照顧,協助個案回顧人生經歷，並賦予意義,A,於緩解期（remission）訓練肌力，有利下次復發（relapse）時功能的維持,A,,無
74,"對心肺疾病的患者進行職能治療時，治療師會依據病患的耐力與從事活動的代謝當量（Metabolic Equivalents, METs）等級，建議選擇適當的活動，下列各活動何者是屬於1～2 METs等級的活動？",清潔窗戶、油漆、打桌球,淋浴、割草、打撞球,洗手／臉、操作鍵盤、畫畫,下樓梯、食物製備、打鼓,C,洗手／臉、操作鍵盤、畫畫,C,,無
75,下列何者為槌狀指（mallet finger）之手傷症狀？,手指伸展肌腱（extensor tendon）末端粘黏，造成手指遠端指節（DIP）無法屈曲（flexion）,手指伸展肌腱（extensor tendon）末端斷裂，造成手指遠端指節（DIP）無法伸展（extension）,手指伸展肌腱（extensor tendon）近端粘黏，造成手指近端指節（PIP）無法屈曲（flexion）,手指伸展肌腱（extensor tendon）近端斷裂，造成手指近端指節（PIP）無法伸展（extension）,B,手指伸展肌腱（extensor tendon）末端斷裂，造成手指遠端指節（DIP）無法伸展（extension）,B,,無
76,下列何者不是基底核（basal ganglia）病變會出現的症狀？,靜止性顫抖（resting tremor）,徐動（athetosis）,陣攣（clonus）,齒輪型僵直（cogwheel rigidity）,C,陣攣（clonus）,C,,無
77,造成Volkmann’s contracture的病理機制是：,神經拉扯受傷,藥物引發的血管發炎,水腫引起的組織缺血,肌腱粘黏,C,水腫引起的組織缺血,C,,無
78,針對正中神經或正中神經合併尺神經受損之個案，職能治療師會使用何種方法測試其物體辨識（object recognition）之感覺功能？,Moving two-point discrimination test,Modified Moberg pick-up test,Jebsen-Taylor hand function test,Roos test,B,Modified Moberg pick-up test,B,,無
79,下列何種病患最不可能產生吞嚥困難（dysphagia）？,多發性硬化症（multiple sclerosis）,胸髓損傷,頭頸部腫瘤,阿茲海默症（Alzheimer's disease）,B,胸髓損傷,B,,無
80,關於義肢，下列敘述何者錯誤？,肘下截肢（below elbow amputation）為橈骨橫斷截肢（transradial amputation）之同義詞,主動關閉機制（voluntary closing mechanism）具有較好的本體回饋,主動關閉機制為上肢義肢末端保持打開，直到拉線力量夠大將之關閉,主動張開機制（voluntary opening mechanism）病人的接受度較差,D,主動張開機制（voluntary opening mechanism）病人的接受度較差,D,,無
